,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,cross_entropy,322.792236328125,1.1920928e-07,1.0,952.0,7.0
1,contrast_0.025,cross_entropy,289.1676330566406,0.22256851,1.0,1159.0,0.0
2,contrast_0.025,cross_entropy,271.5844421386719,8.344647e-07,1.0,1391.0,3.0
3,contrast_0.025,cross_entropy,334.5332946777344,1.1920858e-05,1.0,624.0,7.0
4,contrast_0.025,cross_entropy,180.39210510253906,0.1773849,1.0,1125.0,9.0
5,contrast_0.025,cross_entropy,536.4717407226562,-0.0,1.0,1206.0,6.0
6,contrast_0.025,cross_entropy,237.01123046875,-0.0,1.0,1374.0,7.0
7,contrast_0.025,cross_entropy,248.58016967773438,-0.0,1.0,379.0,11.0
8,contrast_0.025,cross_entropy,237.70974731445312,0.07265045,1.0,1608.0,0.0
9,contrast_0.025,cross_entropy,229.96368408203125,9.7751135e-06,1.0,14.0,7.0
10,contrast_0.025,cross_entropy,177.6260528564453,2.3841855e-07,1.0,1201.0,7.0
11,contrast_0.025,cross_entropy,333.96112060546875,3.4281428,0.0,1042.0,5.0
12,contrast_0.025,cross_entropy,417.2763366699219,8.4992615e-05,1.0,1284.0,0.0
13,contrast_0.025,cross_entropy,182.51791381835938,1.1920928e-07,1.0,1439.0,6.0
14,contrast_0.025,cross_entropy,441.36639404296875,0.20938075,1.0,1515.0,0.0
15,contrast_0.025,cross_entropy,266.9398193359375,1.2755313e-05,1.0,996.0,9.0
16,contrast_0.025,cross_entropy,321.19342041015625,0.091513775,1.0,382.0,1.0
17,contrast_0.025,cross_entropy,285.825439453125,0.0014921018,1.0,1575.0,6.0
18,contrast_0.025,cross_entropy,256.23748779296875,7.0333235e-06,1.0,1372.0,3.0
19,contrast_0.025,cross_entropy,446.3548278808594,4.7205765e-05,1.0,432.0,6.0
20,contrast_0.025,cross_entropy,563.0550537109375,0.003141708,1.0,470.0,0.0
21,contrast_0.025,cross_entropy,393.75067138671875,0.8319943,0.0,459.0,0.0
22,contrast_0.025,cross_entropy,344.69964599609375,0.0023321116,1.0,1161.0,5.0
23,contrast_0.025,cross_entropy,196.14111328125,0.00039653067,1.0,856.0,1.0
24,contrast_0.025,cross_entropy,172.7342071533203,0.18027925,1.0,776.0,9.0
25,contrast_0.025,cross_entropy,305.8123779296875,0.008647495,1.0,10.0,14.0
26,contrast_0.025,cross_entropy,261.69061279296875,5.960463e-07,1.0,841.0,6.0
27,contrast_0.025,cross_entropy,181.61337280273438,0.0005105622,1.0,1105.0,0.0
28,contrast_0.025,cross_entropy,359.1783142089844,-0.0,1.0,829.0,2.0
29,contrast_0.025,cross_entropy,415.6839294433594,0.0014679381,1.0,502.0,8.0
30,contrast_0.025,cross_entropy,198.12278747558594,0.00072548294,1.0,733.0,0.0
31,contrast_0.025,cross_entropy,276.6540222167969,1.3113013e-06,1.0,59.0,7.0
32,contrast_0.025,cross_entropy,286.26739501953125,0.03350848,1.0,1082.0,7.0
33,contrast_0.025,cross_entropy,268.025634765625,0.015218924,1.0,689.0,0.0
34,contrast_0.025,cross_entropy,329.4376220703125,0.08966905,1.0,1522.0,6.0
35,contrast_0.025,cross_entropy,290.1106262207031,0.003064581,1.0,954.0,7.0
36,contrast_0.025,cross_entropy,352.993896484375,4.3033626e-05,1.0,1444.0,0.0
37,contrast_0.025,cross_entropy,194.9718475341797,3.1351552e-05,1.0,1081.0,7.0
38,contrast_0.025,cross_entropy,389.2308044433594,2.7298554e-05,1.0,70.0,7.0
39,contrast_0.025,cross_entropy,406.1591796875,5.7338024e-05,1.0,749.0,7.0
40,contrast_0.025,cross_entropy,249.1745147705078,0.00025281095,1.0,1640.0,7.0
41,contrast_0.025,cross_entropy,299.03802490234375,0.00048482584,1.0,935.0,9.0
42,contrast_0.025,cross_entropy,210.4285888671875,0.0016226709,1.0,786.0,7.0
43,contrast_0.025,cross_entropy,339.09869384765625,-0.0,1.0,1660.0,11.0
44,contrast_0.025,cross_entropy,509.30377197265625,0.17435509,1.0,1045.0,8.0
45,contrast_0.025,cross_entropy,357.1337890625,2.7072465,0.0,817.0,7.0
46,contrast_0.025,cross_entropy,226.27706909179688,-0.0,1.0,29.0,7.0
47,contrast_0.025,cross_entropy,367.2491455078125,0.124483205,1.0,897.0,3.0
48,contrast_0.025,cross_entropy,245.21771240234375,0.00311699,1.0,1411.0,2.0
49,contrast_0.025,cross_entropy,270.7854309082031,0.00034088045,1.0,1475.0,2.0
50,contrast_0.025,cross_entropy,226.85250854492188,1.1920928e-07,1.0,1302.0,7.0
51,contrast_0.025,cross_entropy,372.9266662597656,-0.0,1.0,1410.0,11.0
52,contrast_0.025,cross_entropy,196.4190216064453,0.12324778,1.0,646.0,0.0
53,contrast_0.025,cross_entropy,186.3159942626953,-0.0,1.0,211.0,1.0
54,contrast_0.025,cross_entropy,181.88580322265625,3.576278e-07,1.0,539.0,1.0
55,contrast_0.025,cross_entropy,223.56309509277344,3.5285328e-05,1.0,508.0,2.0
56,contrast_0.025,cross_entropy,188.08953857421875,9.743334,0.0,1494.0,6.0
57,contrast_0.025,cross_entropy,263.00677490234375,0.8576782,0.0,1091.0,9.0
58,contrast_0.025,cross_entropy,364.6432189941406,0.0076057618,1.0,513.0,9.0
59,contrast_0.025,cross_entropy,234.3365936279297,0.012347212,1.0,1607.0,7.0
60,contrast_0.025,cross_entropy,302.86175537109375,6.13909e-05,1.0,21.0,0.0
61,contrast_0.025,cross_entropy,333.2236328125,0.004031389,1.0,80.0,8.0
62,contrast_0.025,cross_entropy,273.5618896484375,0.018011931,1.0,408.0,0.0
63,contrast_0.025,cross_entropy,375.421630859375,4.5299425e-06,1.0,1532.0,0.0
64,contrast_0.025,cross_entropy,400.74310302734375,2.7418098e-06,1.0,563.0,5.0
65,contrast_0.025,cross_entropy,323.5096435546875,1.442422e-05,1.0,1585.0,2.0
66,contrast_0.025,cross_entropy,244.13955688476562,0.1385053,1.0,114.0,9.0
67,contrast_0.025,cross_entropy,556.6854248046875,0.0001821352,1.0,866.0,0.0
68,contrast_0.025,cross_entropy,265.39569091796875,0.0209529,1.0,257.0,0.0
69,contrast_0.025,cross_entropy,245.7120361328125,0.0011222024,1.0,990.0,1.0
70,contrast_0.025,cross_entropy,306.70294189453125,0.036481075,1.0,405.0,9.0
71,contrast_0.025,cross_entropy,379.1439514160156,0.04954664,1.0,1639.0,0.0
72,contrast_0.025,cross_entropy,579.6904907226562,4.374674,0.0,635.0,7.0
73,contrast_0.025,cross_entropy,369.6123962402344,1.2794173,0.0,1117.0,14.0
74,contrast_0.025,cross_entropy,325.07098388671875,1.1682442e-05,1.0,1483.0,0.0
75,contrast_0.025,cross_entropy,413.302978515625,0.0006332776,1.0,342.0,0.0
76,contrast_0.025,cross_entropy,283.8072814941406,0.04360255,1.0,1636.0,5.0
77,contrast_0.025,cross_entropy,358.99658203125,0.0003780604,1.0,743.0,7.0
78,contrast_0.025,cross_entropy,325.767333984375,0.5957962,1.0,651.0,0.0
79,contrast_0.025,cross_entropy,273.72528076171875,0.0005105622,1.0,1360.0,7.0
80,contrast_0.025,cross_entropy,173.29986572265625,5.7824416,0.0,753.0,1.0
81,contrast_0.025,cross_entropy,330.82989501953125,1.9073468e-06,1.0,586.0,1.0
82,contrast_0.025,cross_entropy,223.31838989257812,0.0062027327,1.0,683.0,0.0
