,fold,feature_name,feature,loss,acc,idx,class
0,noise_0.025,grad_magnitude,53.006996154785156,0.27648047,1.0,1337.0,8.0
1,noise_0.025,grad_magnitude,41.64943313598633,1.111567,0.0,263.0,0.0
2,noise_0.025,grad_magnitude,19.840187072753906,0.2029035,1.0,506.0,9.0
3,noise_0.025,grad_magnitude,95.74368286132812,0.0005821679,1.0,1152.0,0.0
4,noise_0.025,grad_magnitude,17.617919921875,6.0556486e-05,1.0,1120.0,0.0
5,noise_0.025,grad_magnitude,21.523719787597656,3.569959,0.0,296.0,0.0
6,noise_0.025,grad_magnitude,38.52621078491211,0.0034060818,1.0,771.0,14.0
7,noise_0.025,grad_magnitude,54.23349380493164,0.077159084,1.0,407.0,0.0
8,noise_0.025,grad_magnitude,18.180971145629883,-0.0,1.0,867.0,5.0
9,noise_0.025,grad_magnitude,22.949281692504883,1.1920928e-07,1.0,142.0,7.0
10,noise_0.025,grad_magnitude,104.4545669555664,0.9180896,0.0,1015.0,0.0
11,noise_0.025,grad_magnitude,29.549114227294922,0.050978336,1.0,958.0,7.0
12,noise_0.025,grad_magnitude,17.158527374267578,0.00016032365,1.0,660.0,0.0
13,noise_0.025,grad_magnitude,38.99623107910156,0.00039259833,1.0,1105.0,0.0
14,noise_0.025,grad_magnitude,35.93275451660156,0.0045510526,1.0,418.0,7.0
15,noise_0.025,grad_magnitude,14.406184196472168,0.043327473,1.0,991.0,9.0
16,noise_0.025,grad_magnitude,35.23080062866211,0.22174735,1.0,1394.0,1.0
17,noise_0.025,grad_magnitude,21.45124626159668,-0.0,1.0,1198.0,5.0
18,noise_0.025,grad_magnitude,28.48748779296875,1.8596476e-05,1.0,1153.0,3.0
19,noise_0.025,grad_magnitude,52.364173889160156,0.5346156,1.0,306.0,0.0
20,noise_0.025,grad_magnitude,14.207796096801758,1.3113013e-06,1.0,1650.0,8.0
21,noise_0.025,grad_magnitude,28.088016510009766,-0.0,1.0,1061.0,5.0
22,noise_0.025,grad_magnitude,59.94779586791992,0.37903967,1.0,1103.0,0.0
23,noise_0.025,grad_magnitude,13.956820487976074,5.245195e-06,1.0,532.0,7.0
24,noise_0.025,grad_magnitude,50.325199127197266,0.026740193,1.0,112.0,0.0
25,noise_0.025,grad_magnitude,60.89511489868164,0.004372916,1.0,334.0,2.0
26,noise_0.025,grad_magnitude,58.91585922241211,0.25607407,1.0,1481.0,3.0
27,noise_0.025,grad_magnitude,28.795082092285156,7.2950735,0.0,460.0,9.0
28,noise_0.025,grad_magnitude,31.258085250854492,0.00045122457,1.0,268.0,7.0
29,noise_0.025,grad_magnitude,36.7420768737793,0.0051889266,1.0,1448.0,0.0
30,noise_0.025,grad_magnitude,29.61993408203125,-0.0,1.0,1020.0,5.0
31,noise_0.025,grad_magnitude,27.265422821044922,1.1920922e-06,1.0,1022.0,2.0
32,noise_0.025,grad_magnitude,15.095497131347656,-0.0,1.0,1618.0,11.0
33,noise_0.025,grad_magnitude,31.867168426513672,0.0026848007,1.0,1100.0,7.0
34,noise_0.025,grad_magnitude,60.36191940307617,0.0006760457,1.0,868.0,8.0
35,noise_0.025,grad_magnitude,36.17239761352539,0.07687145,1.0,757.0,0.0
36,noise_0.025,grad_magnitude,9.066291809082031,3.349725e-05,1.0,1663.0,3.0
