,fold,feature_name,feature,loss,acc,idx,class
0,train,typicality,9878.0361328125,0.0016874135,1.0,8414.0,5.0
1,train,typicality,7877.78515625,0.016459635,1.0,2447.0,0.0
2,train,typicality,9260.7607421875,0.0038694285,1.0,217.0,0.0
3,train,typicality,7578.4873046875,0.012386185,1.0,5329.0,3.0
4,train,typicality,7300.77197265625,0.0011482796,1.0,6985.0,9.0
5,train,typicality,7319.7841796875,0.00083780946,1.0,7390.0,2.0
6,train,typicality,9772.041015625,0.013556443,1.0,12865.0,0.0
7,train,typicality,10029.4501953125,0.016089015,1.0,8390.0,7.0
8,train,typicality,10603.6455078125,-0.0,1.0,8515.0,5.0
9,train,typicality,8541.689453125,1.3472865,0.0,940.0,5.0
10,train,typicality,10263.69921875,0.00092916226,1.0,1057.0,1.0
11,train,typicality,7275.32666015625,6.079655e-06,1.0,6191.0,6.0
12,train,typicality,10560.841796875,0.0036104037,1.0,8774.0,7.0
13,train,typicality,7526.6826171875,7.510157e-06,1.0,4797.0,8.0
14,train,typicality,7769.4970703125,0.0010201494,1.0,714.0,14.0
15,train,typicality,9740.068359375,4.9828242e-05,1.0,11773.0,9.0
16,train,typicality,8357.46484375,2.3841855e-07,1.0,9921.0,12.0
17,train,typicality,7979.2802734375,8.248942e-05,1.0,9342.0,0.0
18,train,typicality,7746.9130859375,-0.0,1.0,9414.0,8.0
19,train,typicality,7621.81689453125,0.32176512,1.0,688.0,3.0
20,train,typicality,10293.9091796875,5.960463e-07,1.0,2534.0,8.0
21,train,typicality,7472.11474609375,3.81469e-06,1.0,10604.0,3.0
22,train,typicality,7186.6259765625,0.009016158,1.0,1002.0,9.0
23,train,typicality,7561.0625,6.8781395e-05,1.0,7896.0,0.0
24,train,typicality,7802.53955078125,1.5497195e-06,1.0,12398.0,6.0
25,train,typicality,9987.958984375,2.622601e-06,1.0,1698.0,6.0
26,train,typicality,8888.50390625,0.004246979,1.0,2880.0,9.0
