,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,energy,-48.577781677246094,0.0057020625,1.0,1033.0,14.0
1,saltpepper_0.025,energy,-61.661155700683594,64.721954,0.0,987.0,48.0
2,saltpepper_0.025,energy,-34.551307678222656,36.735054,0.0,97.0,55.0
3,saltpepper_0.025,energy,-35.549713134765625,0.5612508,1.0,105.0,50.0
4,saltpepper_0.025,energy,-37.58747100830078,31.15469,0.0,448.0,13.0
5,saltpepper_0.025,energy,-53.06973648071289,4.835225,0.0,680.0,9.0
6,saltpepper_0.025,energy,-38.6007194519043,58.093517,0.0,181.0,31.0
7,saltpepper_0.025,energy,-24.187320709228516,15.225383,0.0,870.0,26.0
8,saltpepper_0.025,energy,-43.72098922729492,9.419285,0.0,801.0,16.0
9,saltpepper_0.025,energy,-52.39970016479492,22.794138,0.0,314.0,22.0
10,saltpepper_0.025,energy,-29.33506965637207,19.633883,0.0,381.0,42.0
11,saltpepper_0.025,energy,-32.66001510620117,9.205479,0.0,792.0,56.0
12,saltpepper_0.025,energy,-37.56575393676758,33.677204,0.0,976.0,38.0
13,saltpepper_0.025,energy,-44.48849105834961,3.4691029,0.0,2.0,59.0
14,saltpepper_0.025,energy,-39.09882354736328,35.9522,0.0,325.0,48.0
15,saltpepper_0.025,energy,-29.5752010345459,17.446838,0.0,533.0,19.0
16,saltpepper_0.025,energy,-63.3281364440918,73.957695,0.0,993.0,41.0
17,saltpepper_0.025,energy,-34.99627685546875,10.571458,0.0,949.0,9.0
18,saltpepper_0.025,energy,-64.2600326538086,39.241627,0.0,112.0,52.0
19,saltpepper_0.025,energy,-55.97127914428711,9.215678,0.0,1192.0,22.0
20,saltpepper_0.025,energy,-40.166717529296875,33.07218,0.0,491.0,55.0
21,saltpepper_0.025,energy,-21.569337844848633,32.19536,0.0,779.0,40.0
22,saltpepper_0.025,energy,-41.043025970458984,25.83597,0.0,437.0,38.0
23,saltpepper_0.025,energy,-32.43976593017578,24.403835,0.0,468.0,24.0
24,saltpepper_0.025,energy,-45.79831314086914,47.283295,0.0,785.0,8.0
25,saltpepper_0.025,energy,-46.410316467285156,30.001682,0.0,191.0,1.0
26,saltpepper_0.025,energy,-53.265411376953125,21.43788,0.0,336.0,27.0
27,saltpepper_0.025,energy,-58.002960205078125,54.08486,0.0,298.0,29.0
28,saltpepper_0.025,energy,-29.215377807617188,39.63245,0.0,76.0,40.0
29,saltpepper_0.025,energy,-42.15262985229492,9.105038,0.0,668.0,35.0
30,saltpepper_0.025,energy,-50.743648529052734,54.24899,0.0,245.0,12.0
31,saltpepper_0.025,energy,-64.59337615966797,32.8124,0.0,1078.0,24.0
32,saltpepper_0.025,energy,-45.50236511230469,29.239908,0.0,422.0,42.0
33,saltpepper_0.025,energy,-53.64838409423828,33.390152,0.0,650.0,55.0
34,saltpepper_0.025,energy,-56.4612922668457,9.925063,0.0,651.0,56.0
35,saltpepper_0.025,energy,-36.450374603271484,52.07834,0.0,48.0,12.0
36,saltpepper_0.025,energy,-34.137943267822266,7.995864,0.0,33.0,24.0
37,saltpepper_0.025,energy,-28.119735717773438,21.232204,0.0,1233.0,26.0
38,saltpepper_0.025,energy,-50.882850646972656,24.208239,0.0,449.0,40.0
39,saltpepper_0.025,energy,-42.79916000366211,24.712593,0.0,499.0,34.0
40,saltpepper_0.025,energy,-25.807796478271484,35.17158,0.0,234.0,42.0
41,saltpepper_0.025,energy,-55.63253402709961,12.292989,0.0,247.0,26.0
42,saltpepper_0.025,energy,-33.72632598876953,0.6945712,1.0,198.0,1.0
43,saltpepper_0.025,energy,-68.8038101196289,9.14371,0.0,159.0,16.0
44,saltpepper_0.025,energy,-42.933387756347656,72.062675,0.0,892.0,41.0
45,saltpepper_0.025,energy,-35.43924331665039,32.900513,0.0,495.0,30.0
46,saltpepper_0.025,energy,-29.59197998046875,36.944515,0.0,1049.0,59.0
47,saltpepper_0.025,energy,-33.261295318603516,70.55586,0.0,1037.0,52.0
48,saltpepper_0.025,energy,-53.231712341308594,42.841255,0.0,83.0,20.0
49,saltpepper_0.025,energy,-60.66107940673828,20.736542,0.0,1245.0,38.0
50,saltpepper_0.025,energy,-54.11665725708008,18.069523,0.0,1234.0,42.0
51,saltpepper_0.025,energy,-60.47330856323242,39.24527,0.0,462.0,48.0
52,saltpepper_0.025,energy,-44.389217376708984,18.617037,0.0,736.0,16.0
53,saltpepper_0.025,energy,-30.91642189025879,34.122738,0.0,226.0,15.0
54,saltpepper_0.025,energy,-28.775978088378906,15.85433,0.0,304.0,38.0
55,saltpepper_0.025,energy,-59.218990325927734,14.354942,0.0,50.0,58.0
56,saltpepper_0.025,energy,-50.826271057128906,67.09485,0.0,140.0,57.0
57,saltpepper_0.025,energy,-39.58241653442383,3.3621235,0.0,390.0,47.0
58,saltpepper_0.025,energy,-35.094669342041016,8.314903,0.0,320.0,36.0
59,saltpepper_0.025,energy,-54.659427642822266,6.1001754,0.0,760.0,24.0
60,saltpepper_0.025,energy,-40.76237487792969,109.889366,0.0,411.0,48.0
61,saltpepper_0.025,energy,-41.793270111083984,27.27629,0.0,1160.0,9.0
62,saltpepper_0.025,energy,-25.030447006225586,48.46849,0.0,567.0,8.0
63,saltpepper_0.025,energy,-43.24406814575195,19.359308,0.0,1076.0,26.0
64,saltpepper_0.025,energy,-46.04867172241211,34.62159,0.0,282.0,12.0
65,saltpepper_0.025,energy,-21.220928192138672,27.690968,0.0,641.0,40.0
66,saltpepper_0.025,energy,-49.14170455932617,50.231956,0.0,267.0,34.0
67,saltpepper_0.025,energy,-26.478500366210938,59.853214,0.0,648.0,53.0
68,saltpepper_0.025,energy,-37.599143981933594,7.88169,0.0,220.0,36.0
69,saltpepper_0.025,energy,-37.01801681518555,29.925848,0.0,544.0,26.0
70,saltpepper_0.025,energy,-22.799951553344727,32.411568,0.0,848.0,51.0
71,saltpepper_0.025,energy,-39.10957336425781,55.784847,0.0,167.0,20.0
72,saltpepper_0.025,energy,-36.84900665283203,18.642162,0.0,920.0,16.0
73,saltpepper_0.025,energy,-50.444522857666016,25.103481,0.0,25.0,26.0
74,saltpepper_0.025,energy,-36.436119079589844,53.76185,0.0,765.0,40.0
75,saltpepper_0.025,energy,-45.712799072265625,25.814245,0.0,953.0,50.0
76,saltpepper_0.025,energy,-59.3453254699707,6.671284,0.0,452.0,56.0
77,saltpepper_0.025,energy,-31.94841957092285,85.02098,0.0,628.0,3.0
78,saltpepper_0.025,energy,-41.49113464355469,11.964907,0.0,881.0,52.0
79,saltpepper_0.025,energy,-46.14122009277344,9.3481045,0.0,40.0,22.0
80,saltpepper_0.025,energy,-51.30977249145508,36.049892,0.0,743.0,3.0
81,saltpepper_0.025,energy,-60.045536041259766,24.876993,0.0,80.0,34.0
82,saltpepper_0.025,energy,-31.939327239990234,32.303326,0.0,662.0,30.0
83,saltpepper_0.025,energy,-29.820621490478516,69.53115,0.0,657.0,29.0
84,saltpepper_0.025,energy,-62.715919494628906,25.412397,0.0,513.0,25.0
85,saltpepper_0.025,energy,-25.51941680908203,19.50854,0.0,855.0,34.0
86,saltpepper_0.025,energy,-40.276268005371094,46.152634,0.0,721.0,53.0
87,saltpepper_0.025,energy,-45.86199188232422,54.974358,0.0,674.0,15.0
88,saltpepper_0.025,energy,-38.59947967529297,54.180725,0.0,967.0,48.0
89,saltpepper_0.025,energy,-44.37590026855469,40.432026,0.0,1041.0,11.0
90,saltpepper_0.025,energy,-33.94227981567383,0.10703972,1.0,910.0,59.0
91,saltpepper_0.025,energy,-35.10658264160156,40.36802,0.0,550.0,20.0
92,saltpepper_0.025,energy,-39.93760299682617,14.758331,0.0,186.0,22.0
93,saltpepper_0.025,energy,-61.625213623046875,61.741936,0.0,42.0,52.0
94,saltpepper_0.025,energy,-33.68059158325195,18.85537,0.0,162.0,56.0
95,saltpepper_0.025,energy,-29.9969539642334,9.608006,0.0,47.0,56.0
96,saltpepper_0.025,energy,-21.841136932373047,16.53378,0.0,979.0,9.0
97,saltpepper_0.025,energy,-49.11890411376953,30.336403,0.0,327.0,12.0
98,saltpepper_0.025,energy,-56.87202072143555,9.480436,0.0,266.0,22.0
99,saltpepper_0.025,energy,-62.91376495361328,55.065083,0.0,661.0,35.0
100,saltpepper_0.025,energy,-59.048038482666016,34.88393,0.0,532.0,4.0
101,saltpepper_0.025,energy,-39.978092193603516,61.723568,0.0,142.0,29.0
102,saltpepper_0.025,energy,-42.86857986450195,88.48128,0.0,1046.0,7.0
103,saltpepper_0.025,energy,-58.523197174072266,35.637543,0.0,717.0,33.0
104,saltpepper_0.025,energy,-32.14824676513672,5.2610803,0.0,615.0,14.0
105,saltpepper_0.025,energy,-43.380374908447266,31.054058,0.0,807.0,26.0
106,saltpepper_0.025,energy,-36.82707977294922,90.00569,0.0,322.0,41.0
107,saltpepper_0.025,energy,-41.616886138916016,8.614679,0.0,190.0,24.0
108,saltpepper_0.025,energy,-60.18486022949219,21.235651,0.0,738.0,44.0
109,saltpepper_0.025,energy,-37.14549255371094,32.651848,0.0,425.0,33.0
110,saltpepper_0.025,energy,-56.2195930480957,35.846348,0.0,53.0,33.0
111,saltpepper_0.025,energy,-65.51142120361328,11.851873,0.0,565.0,22.0
112,saltpepper_0.025,energy,-38.500885009765625,13.084734,0.0,100.0,36.0
113,saltpepper_0.025,energy,-49.72800064086914,11.475758,0.0,148.0,37.0
114,saltpepper_0.025,energy,-31.96257209777832,11.878195,0.0,891.0,56.0
