,fold,feature_name,feature,loss,acc,idx,class
0,smear_0.025,typicality,14271.185546875,1.1920928e-07,1.0,1164.0,21.0
1,smear_0.025,typicality,12019.462890625,-0.0,1.0,429.0,44.0
2,smear_0.025,typicality,17457.7421875,-0.0,1.0,570.0,16.0
3,smear_0.025,typicality,16463.67578125,-0.0,1.0,946.0,50.0
4,smear_0.025,typicality,12738.9970703125,7.3909487e-06,1.0,870.0,6.0
5,smear_0.025,typicality,27829.544921875,4.7683704e-07,1.0,321.0,43.0
6,smear_0.025,typicality,14111.2783203125,2.3841855e-07,1.0,787.0,38.0
7,smear_0.025,typicality,16374.8837890625,1.1920928e-07,1.0,367.0,26.0
8,smear_0.025,typicality,9639.431640625,-0.0,1.0,1153.0,54.0
9,smear_0.025,typicality,17302.1640625,-0.0,1.0,761.0,52.0
10,smear_0.025,typicality,20547.26171875,4.1723165e-06,1.0,792.0,40.0
11,smear_0.025,typicality,16099.6015625,1.1920928e-07,1.0,100.0,20.0
12,smear_0.025,typicality,22131.6796875,-0.0,1.0,876.0,30.0
13,smear_0.025,typicality,14686.123046875,1.1920928e-07,1.0,999.0,3.0
14,smear_0.025,typicality,18803.140625,4.7683704e-07,1.0,210.0,24.0
15,smear_0.025,typicality,15857.369140625,5.9604467e-06,1.0,849.0,27.0
16,smear_0.025,typicality,18346.23046875,16.132051,0.0,483.0,41.0
17,smear_0.025,typicality,16810.41015625,6.4037685,0.0,398.0,9.0
18,smear_0.025,typicality,17048.513671875,1.2636105e-05,1.0,241.0,33.0
19,smear_0.025,typicality,13790.7626953125,-0.0,1.0,642.0,15.0
20,smear_0.025,typicality,10278.767578125,-0.0,1.0,954.0,30.0
21,smear_0.025,typicality,11036.130859375,0.0013458014,1.0,880.0,9.0
22,smear_0.025,typicality,12935.5908203125,-0.0,1.0,442.0,53.0
23,smear_0.025,typicality,17890.166015625,-0.0,1.0,62.0,15.0
24,smear_0.025,typicality,14426.1591796875,-0.0,1.0,272.0,16.0
25,smear_0.025,typicality,19856.458984375,-0.0,1.0,798.0,1.0
26,smear_0.025,typicality,17786.30859375,0.0002870148,1.0,4.0,53.0
27,smear_0.025,typicality,18521.671875,1.9192512e-05,1.0,684.0,48.0
28,smear_0.025,typicality,20211.7109375,5.960463e-07,1.0,180.0,4.0
29,smear_0.025,typicality,17818.00390625,-0.0,1.0,194.0,34.0
30,smear_0.025,typicality,16938.96484375,2.145765e-06,1.0,1040.0,48.0
31,smear_0.025,typicality,12870.6796875,-0.0,1.0,21.0,54.0
32,smear_0.025,typicality,17045.517578125,1.1920928e-07,1.0,278.0,51.0
33,smear_0.025,typicality,21469.01953125,-0.0,1.0,34.0,42.0
34,smear_0.025,typicality,11940.8271484375,-0.0,1.0,417.0,7.0
35,smear_0.025,typicality,14141.83984375,3.4570635e-06,1.0,48.0,22.0
36,smear_0.025,typicality,13483.083984375,-0.0,1.0,681.0,41.0
37,smear_0.025,typicality,15274.728515625,3.576278e-07,1.0,58.0,13.0
38,smear_0.025,typicality,11184.30859375,7.748574e-06,1.0,527.0,57.0
39,smear_0.025,typicality,27449.5625,1.072883e-06,1.0,14.0,23.0
40,smear_0.025,typicality,22197.8046875,1.7046783e-05,1.0,1184.0,28.0
41,smear_0.025,typicality,11605.109375,3.4122868,0.0,603.0,27.0
42,smear_0.025,typicality,15805.9296875,4.0530336e-05,1.0,616.0,42.0
43,smear_0.025,typicality,21334.12890625,3.4689303e-05,1.0,656.0,27.0
44,smear_0.025,typicality,15224.1396484375,2.622601e-06,1.0,457.0,58.0
45,smear_0.025,typicality,20598.42578125,1.7285198e-05,1.0,200.0,31.0
46,smear_0.025,typicality,13493.9365234375,-0.0,1.0,172.0,50.0
47,smear_0.025,typicality,22996.01953125,-0.0,1.0,752.0,0.0
48,smear_0.025,typicality,23618.119140625,-0.0,1.0,635.0,34.0
49,smear_0.025,typicality,23640.65234375,9.7751135e-06,1.0,1199.0,34.0
50,smear_0.025,typicality,17842.119140625,0.013575847,1.0,982.0,36.0
51,smear_0.025,typicality,22964.701171875,-0.0,1.0,816.0,0.0
52,smear_0.025,typicality,16720.990234375,1.1920928e-07,1.0,222.0,55.0
53,smear_0.025,typicality,13101.498046875,1.0490363e-05,1.0,345.0,40.0
54,smear_0.025,typicality,12697.7490234375,9.5367386e-07,1.0,1068.0,21.0
55,smear_0.025,typicality,16391.703125,-0.0,1.0,91.0,16.0
56,smear_0.025,typicality,19981.228515625,3.576278e-07,1.0,9.0,26.0
57,smear_0.025,typicality,21453.826171875,-0.0,1.0,1114.0,12.0
58,smear_0.025,typicality,18634.66796875,2.622601e-06,1.0,405.0,45.0
59,smear_0.025,typicality,9215.826171875,-0.0,1.0,1208.0,42.0
60,smear_0.025,typicality,18014.81640625,6.9141147e-06,1.0,1006.0,11.0
61,smear_0.025,typicality,16365.9619140625,1.1920928e-07,1.0,1221.0,37.0
62,smear_0.025,typicality,12706.6259765625,5.245195e-06,1.0,645.0,3.0
63,smear_0.025,typicality,21335.015625,5.435796e-05,1.0,61.0,28.0
64,smear_0.025,typicality,18517.1015625,5.5073175e-05,1.0,763.0,1.0
65,smear_0.025,typicality,17329.224609375,9.5367386e-07,1.0,753.0,42.0
66,smear_0.025,typicality,16171.572265625,32.97326,0.0,198.0,26.0
67,smear_0.025,typicality,19099.791015625,2.3841855e-07,1.0,826.0,28.0
68,smear_0.025,typicality,18694.435546875,-0.0,1.0,720.0,0.0
69,smear_0.025,typicality,10155.935546875,5.316593e-05,1.0,70.0,48.0
70,smear_0.025,typicality,11882.1181640625,1.1920928e-07,1.0,357.0,36.0
71,smear_0.025,typicality,18372.560546875,3.0278701e-05,1.0,242.0,13.0
72,smear_0.025,typicality,28496.13671875,1.1920928e-07,1.0,1161.0,8.0
73,smear_0.025,typicality,15778.6083984375,3.576278e-07,1.0,994.0,36.0
74,smear_0.025,typicality,21579.98828125,5.2450712e-05,1.0,285.0,16.0
75,smear_0.025,typicality,15306.2197265625,2.0265559e-06,1.0,138.0,36.0
76,smear_0.025,typicality,14989.4130859375,-0.0,1.0,19.0,24.0
77,smear_0.025,typicality,17057.1015625,1.1920928e-07,1.0,1115.0,7.0
78,smear_0.025,typicality,12842.7900390625,1.0670534,0.0,0.0,11.0
79,smear_0.025,typicality,11499.66796875,0.45225036,1.0,956.0,36.0
80,smear_0.025,typicality,15152.37109375,-0.0,1.0,1156.0,42.0
81,smear_0.025,typicality,9000.8271484375,-0.0,1.0,960.0,2.0
82,smear_0.025,typicality,11723.361328125,1.1920928e-07,1.0,444.0,12.0
83,smear_0.025,typicality,15037.587890625,7.2717403e-06,1.0,258.0,3.0
84,smear_0.025,typicality,17286.6875,-0.0,1.0,304.0,48.0
85,smear_0.025,typicality,15755.068359375,0.012791488,1.0,187.0,57.0
86,smear_0.025,typicality,16314.44921875,-0.0,1.0,455.0,20.0
87,smear_0.025,typicality,11800.75390625,-0.0,1.0,723.0,8.0
88,smear_0.025,typicality,15853.708984375,4.7683704e-07,1.0,354.0,12.0
89,smear_0.025,typicality,15322.4287109375,-0.0,1.0,671.0,42.0
90,smear_0.025,typicality,14739.103515625,6.3180723e-06,1.0,660.0,15.0
91,smear_0.025,typicality,15070.060546875,4.7683704e-07,1.0,784.0,32.0
92,smear_0.025,typicality,25336.490234375,-0.0,1.0,743.0,50.0
93,smear_0.025,typicality,20356.107421875,8.344647e-07,1.0,1224.0,4.0
94,smear_0.025,typicality,14529.3251953125,15.253485,0.0,422.0,16.0
95,smear_0.025,typicality,17877.572265625,6.9735004e-05,1.0,1105.0,8.0
96,smear_0.025,typicality,20152.84375,-0.0,1.0,1008.0,6.0
97,smear_0.025,typicality,19531.283203125,1.1920928e-07,1.0,68.0,22.0
98,smear_0.025,typicality,14021.330078125,3.576278e-07,1.0,35.0,30.0
99,smear_0.025,typicality,19325.32421875,2.3841855e-07,1.0,574.0,53.0
100,smear_0.025,typicality,13818.7001953125,5.630652,0.0,573.0,53.0
101,smear_0.025,typicality,17784.05078125,-0.0,1.0,585.0,44.0
102,smear_0.025,typicality,15464.01953125,-0.0,1.0,505.0,59.0
103,smear_0.025,typicality,15897.931640625,13.179522,0.0,487.0,15.0
104,smear_0.025,typicality,14882.4423828125,-0.0,1.0,867.0,42.0
105,smear_0.025,typicality,22269.2578125,1.20400655e-05,1.0,991.0,48.0
106,smear_0.025,typicality,14738.4296875,9.5367386e-07,1.0,1111.0,57.0
107,smear_0.025,typicality,14889.1923828125,-0.0,1.0,203.0,50.0
108,smear_0.025,typicality,24171.466796875,1.1920928e-07,1.0,484.0,56.0
109,smear_0.025,typicality,10152.134765625,4.0531077e-06,1.0,1021.0,39.0
110,smear_0.025,typicality,16232.201171875,4.410734e-06,1.0,402.0,9.0
111,smear_0.025,typicality,17199.859375,4.1723165e-06,1.0,899.0,1.0
112,smear_0.025,typicality,14438.3916015625,-0.0,1.0,1233.0,16.0
113,smear_0.025,typicality,18314.330078125,-0.0,1.0,481.0,59.0
114,smear_0.025,typicality,11219.8017578125,1.1920922e-06,1.0,1035.0,41.0
115,smear_0.025,typicality,15034.072265625,-0.0,1.0,959.0,5.0
116,smear_0.025,typicality,15189.1669921875,9.5367386e-07,1.0,625.0,53.0
117,smear_0.025,typicality,14223.1318359375,2.622601e-06,1.0,888.0,37.0
118,smear_0.025,typicality,15924.6875,-0.0,1.0,292.0,14.0
119,smear_0.025,typicality,21902.017578125,-0.0,1.0,717.0,3.0
120,smear_0.025,typicality,13698.2138671875,0.00023088173,1.0,448.0,52.0
121,smear_0.025,typicality,10299.755859375,-0.0,1.0,610.0,13.0
122,smear_0.025,typicality,17557.595703125,-0.0,1.0,197.0,27.0
123,smear_0.025,typicality,14468.3828125,7.510157e-06,1.0,711.0,3.0
124,smear_0.025,typicality,17609.6640625,-0.0,1.0,1083.0,28.0
125,smear_0.025,typicality,11981.6240234375,8.737659e-05,1.0,73.0,48.0
126,smear_0.025,typicality,19050.279296875,-0.0,1.0,478.0,19.0
127,smear_0.025,typicality,20598.92578125,0.0011563766,1.0,1239.0,20.0
128,smear_0.025,typicality,18599.427734375,0.00064030645,1.0,738.0,59.0
129,smear_0.025,typicality,15541.78125,24.002142,0.0,599.0,48.0
130,smear_0.025,typicality,20829.740234375,-0.0,1.0,789.0,17.0
131,smear_0.025,typicality,15621.392578125,-0.0,1.0,869.0,30.0
132,smear_0.025,typicality,14593.1513671875,1.1920928e-07,1.0,904.0,30.0
133,smear_0.025,typicality,9919.232421875,0.003210749,1.0,813.0,50.0
134,smear_0.025,typicality,16541.80078125,0.83722854,0.0,409.0,16.0
135,smear_0.025,typicality,18129.150390625,0.00012277803,1.0,384.0,41.0
136,smear_0.025,typicality,16875.1484375,-0.0,1.0,778.0,41.0
137,smear_0.025,typicality,17373.705078125,0.00085377,1.0,916.0,31.0
138,smear_0.025,typicality,15799.224609375,1.7881378e-06,1.0,783.0,16.0
139,smear_0.025,typicality,25573.201171875,1.8477269e-05,1.0,276.0,31.0
140,smear_0.025,typicality,18924.369140625,1.1920928e-07,1.0,233.0,8.0
141,smear_0.025,typicality,17774.33203125,3.111314e-05,1.0,225.0,34.0
142,smear_0.025,typicality,14818.4453125,1.1920928e-07,1.0,191.0,36.0
143,smear_0.025,typicality,16837.29296875,5.223154,0.0,174.0,16.0
144,smear_0.025,typicality,14389.6240234375,4.7683704e-07,1.0,759.0,2.0
145,smear_0.025,typicality,16941.99609375,-0.0,1.0,300.0,42.0
146,smear_0.025,typicality,16580.267578125,0.0001136,1.0,697.0,39.0
147,smear_0.025,typicality,14437.9833984375,1.5497195e-06,1.0,291.0,44.0
148,smear_0.025,typicality,13231.8896484375,-0.0,1.0,531.0,26.0
149,smear_0.025,typicality,12285.00390625,-0.0,1.0,885.0,36.0
150,smear_0.025,typicality,15576.783203125,7.3909487e-06,1.0,715.0,10.0
151,smear_0.025,typicality,16481.37890625,-0.0,1.0,797.0,53.0
152,smear_0.025,typicality,21383.126953125,-0.0,1.0,940.0,12.0
153,smear_0.025,typicality,14137.671875,-0.0,1.0,961.0,38.0
154,smear_0.025,typicality,11331.3818359375,4.7683704e-07,1.0,1145.0,22.0
155,smear_0.025,typicality,22714.8125,7.748574e-06,1.0,498.0,13.0
156,smear_0.025,typicality,9823.0048828125,8.442845,0.0,427.0,33.0
157,smear_0.025,typicality,11285.4990234375,8.344616e-06,1.0,122.0,34.0
158,smear_0.025,typicality,15377.015625,10.806054,0.0,325.0,39.0
159,smear_0.025,typicality,15745.58984375,-0.0,1.0,1063.0,58.0
160,smear_0.025,typicality,17961.3828125,-0.0,1.0,1057.0,8.0
161,smear_0.025,typicality,16989.294921875,7.867782e-06,1.0,1220.0,26.0
162,smear_0.025,typicality,14282.9384765625,-0.0,1.0,165.0,22.0
163,smear_0.025,typicality,17773.16796875,1.1920928e-07,1.0,745.0,28.0
164,smear_0.025,typicality,15075.302734375,7.152555e-07,1.0,1084.0,32.0
165,smear_0.025,typicality,14948.2890625,2.8610189e-06,1.0,205.0,12.0
166,smear_0.025,typicality,18008.18359375,2.145765e-06,1.0,33.0,28.0
167,smear_0.025,typicality,15655.9111328125,-0.0,1.0,707.0,10.0
168,smear_0.025,typicality,15761.017578125,-0.0,1.0,2.0,16.0
169,smear_0.025,typicality,12004.8330078125,2.3841855e-07,1.0,777.0,5.0
170,smear_0.025,typicality,14251.275390625,4.7683704e-07,1.0,545.0,36.0
171,smear_0.025,typicality,18026.720703125,-0.0,1.0,632.0,16.0
172,smear_0.025,typicality,13819.23046875,-0.0,1.0,846.0,25.0
173,smear_0.025,typicality,17986.5234375,4.7683704e-07,1.0,560.0,19.0
174,smear_0.025,typicality,13733.8251953125,-0.0,1.0,762.0,10.0
175,smear_0.025,typicality,17274.4140625,6.079655e-06,1.0,650.0,38.0
176,smear_0.025,typicality,21318.12109375,-0.0,1.0,37.0,31.0
177,smear_0.025,typicality,14878.677734375,0.036816295,1.0,104.0,22.0
178,smear_0.025,typicality,16250.548828125,9.95348e-05,1.0,1080.0,26.0
179,smear_0.025,typicality,10692.806640625,0.13873132,1.0,542.0,41.0
180,smear_0.025,typicality,16755.443359375,1.072883e-06,1.0,295.0,30.0
181,smear_0.025,typicality,23917.4609375,1.1920928e-07,1.0,1119.0,40.0
182,smear_0.025,typicality,18755.962890625,0.20894961,1.0,351.0,36.0
183,smear_0.025,typicality,13583.603515625,1.6212332e-05,1.0,732.0,7.0
184,smear_0.025,typicality,15588.6474609375,-0.0,1.0,604.0,11.0
185,smear_0.025,typicality,10236.681640625,8.344647e-07,1.0,1154.0,9.0
186,smear_0.025,typicality,10951.171875,1.41858045e-05,1.0,461.0,17.0
187,smear_0.025,typicality,15637.392578125,3.3139633e-05,1.0,661.0,32.0
188,smear_0.025,typicality,14299.85546875,5.1259863e-06,1.0,673.0,16.0
189,smear_0.025,typicality,15783.8017578125,1.585471e-05,1.0,1187.0,50.0
190,smear_0.025,typicality,12455.947265625,-0.0,1.0,1099.0,59.0
191,smear_0.025,typicality,14088.5859375,7.152555e-07,1.0,355.0,26.0
192,smear_0.025,typicality,15701.7509765625,1.490105e-05,1.0,780.0,8.0
193,smear_0.025,typicality,12840.1669921875,1.1920928e-07,1.0,566.0,5.0
194,smear_0.025,typicality,14955.984375,-0.0,1.0,756.0,12.0
195,smear_0.025,typicality,15522.947265625,4.7444173e-05,1.0,1172.0,31.0
196,smear_0.025,typicality,17845.7109375,5.0067774e-06,1.0,615.0,13.0
197,smear_0.025,typicality,13667.24609375,-0.0,1.0,550.0,29.0
198,smear_0.025,typicality,19813.234375,-0.0,1.0,123.0,10.0
199,smear_0.025,typicality,30551.8984375,-0.0,1.0,126.0,53.0
200,smear_0.025,typicality,11001.689453125,-0.0,1.0,593.0,27.0
201,smear_0.025,typicality,28670.576171875,2.3841855e-07,1.0,146.0,8.0
202,smear_0.025,typicality,21906.65234375,3.576278e-07,1.0,456.0,59.0
203,smear_0.025,typicality,16418.029296875,-0.0,1.0,10.0,9.0
204,smear_0.025,typicality,10986.205078125,3.5762723e-06,1.0,757.0,48.0
205,smear_0.025,typicality,19928.2421875,4.7683704e-07,1.0,1126.0,18.0
206,smear_0.025,typicality,18039.986328125,-0.0,1.0,1065.0,40.0
207,smear_0.025,typicality,18427.974609375,-0.0,1.0,1106.0,34.0
208,smear_0.025,typicality,14077.45703125,-0.0,1.0,131.0,33.0
209,smear_0.025,typicality,27690.70703125,0.14978482,1.0,30.0,39.0
210,smear_0.025,typicality,18814.369140625,1.1920928e-07,1.0,269.0,16.0
211,smear_0.025,typicality,17653.490234375,1.1920928e-07,1.0,525.0,51.0
212,smear_0.025,typicality,20800.779296875,2.7418098e-06,1.0,1157.0,13.0
213,smear_0.025,typicality,22036.4140625,3.5762723e-06,1.0,918.0,30.0
214,smear_0.025,typicality,13543.2900390625,4.7683704e-07,1.0,519.0,14.0
215,smear_0.025,typicality,30862.12109375,0.00023958198,1.0,861.0,16.0
216,smear_0.025,typicality,14674.6640625,3.576278e-07,1.0,804.0,40.0
217,smear_0.025,typicality,22955.787109375,3.576278e-07,1.0,244.0,16.0
218,smear_0.025,typicality,8622.0615234375,2.503392e-06,1.0,1197.0,37.0
219,smear_0.025,typicality,13556.06640625,-0.0,1.0,158.0,28.0
220,smear_0.025,typicality,17946.205078125,1.3113013e-06,1.0,713.0,30.0
221,smear_0.025,typicality,15610.81640625,-0.0,1.0,246.0,9.0
222,smear_0.025,typicality,20759.287109375,-0.0,1.0,800.0,41.0
223,smear_0.025,typicality,14041.140625,1.3113013e-06,1.0,665.0,43.0
224,smear_0.025,typicality,12142.6494140625,2.6615071,0.0,945.0,55.0
225,smear_0.025,typicality,19607.8515625,21.345655,0.0,630.0,33.0
226,smear_0.025,typicality,11913.1005859375,1.1920928e-07,1.0,1192.0,34.0
227,smear_0.025,typicality,15406.755859375,4.7683704e-07,1.0,506.0,12.0
228,smear_0.025,typicality,11187.71484375,-0.0,1.0,362.0,1.0
229,smear_0.025,typicality,16776.076171875,1.5497195e-06,1.0,412.0,42.0
230,smear_0.025,typicality,9401.353515625,-0.0,1.0,1089.0,22.0
231,smear_0.025,typicality,24734.255859375,-0.0,1.0,476.0,53.0
232,smear_0.025,typicality,11585.884765625,-0.0,1.0,561.0,16.0
233,smear_0.025,typicality,14414.537109375,0.0089958375,1.0,644.0,10.0
234,smear_0.025,typicality,16703.095703125,1.7881378e-06,1.0,127.0,43.0
235,smear_0.025,typicality,16737.212890625,-0.0,1.0,302.0,16.0
236,smear_0.025,typicality,10828.068359375,7.510157e-06,1.0,401.0,20.0
237,smear_0.025,typicality,14361.685546875,1.966934e-05,1.0,1093.0,13.0
238,smear_0.025,typicality,21344.482421875,10.055514,0.0,962.0,13.0
239,smear_0.025,typicality,22578.537109375,0.060085032,1.0,206.0,26.0
240,smear_0.025,typicality,12008.3828125,11.101104,0.0,207.0,1.0
241,smear_0.025,typicality,18687.673828125,6.0271025,0.0,1206.0,12.0
242,smear_0.025,typicality,17994.63671875,-0.0,1.0,1169.0,42.0
243,smear_0.025,typicality,8960.1025390625,0.1802006,1.0,83.0,43.0
244,smear_0.025,typicality,19866.953125,2.8695478,0.0,877.0,39.0
245,smear_0.025,typicality,20468.62109375,6.3180723e-06,1.0,1217.0,34.0
246,smear_0.025,typicality,13930.41015625,-0.0,1.0,1069.0,57.0
247,smear_0.025,typicality,13770.1611328125,19.50622,0.0,1121.0,26.0
248,smear_0.025,typicality,9035.5126953125,-0.0,1.0,45.0,3.0
249,smear_0.025,typicality,14958.806640625,1.6689287e-06,1.0,28.0,56.0
250,smear_0.025,typicality,17093.6015625,-0.0,1.0,906.0,20.0
251,smear_0.025,typicality,13272.79296875,2.2477095,0.0,1010.0,59.0
252,smear_0.025,typicality,22940.955078125,1.1920928e-07,1.0,115.0,30.0
253,smear_0.025,typicality,17160.029296875,1.1920928e-07,1.0,418.0,59.0
254,smear_0.025,typicality,15261.50390625,-0.0,1.0,446.0,15.0
255,smear_0.025,typicality,17080.90234375,-0.0,1.0,1147.0,36.0
256,smear_0.025,typicality,12846.16796875,6.4372807e-06,1.0,270.0,6.0
257,smear_0.025,typicality,20453.623046875,2.8610189e-06,1.0,3.0,32.0
258,smear_0.025,typicality,14758.1474609375,5.0067774e-06,1.0,764.0,8.0
259,smear_0.025,typicality,21544.53125,-0.0,1.0,1231.0,6.0
260,smear_0.025,typicality,10196.482421875,3.6954812e-06,1.0,511.0,13.0
261,smear_0.025,typicality,15712.2646484375,-0.0,1.0,503.0,13.0
262,smear_0.025,typicality,10943.7724609375,5.1962333,0.0,805.0,0.0
263,smear_0.025,typicality,13978.4326171875,3.576278e-07,1.0,1009.0,8.0
264,smear_0.025,typicality,22142.291015625,7.152555e-07,1.0,479.0,37.0
265,smear_0.025,typicality,15180.111328125,-0.0,1.0,1122.0,36.0
266,smear_0.025,typicality,21664.771484375,2.145765e-06,1.0,72.0,58.0
267,smear_0.025,typicality,18359.958984375,4.7683704e-07,1.0,157.0,42.0
268,smear_0.025,typicality,13944.400390625,3.5762723e-06,1.0,314.0,1.0
269,smear_0.025,typicality,16532.578125,-0.0,1.0,382.0,20.0
