,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,knn,0.11132105439901352,19.468918,0.0,199.0,23.0
1,hue_0.025,knn,7.2873029708862305,1.328939,0.0,37.0,11.0
2,hue_0.025,knn,7.412472248077393,20.300964,0.0,270.0,27.0
3,hue_0.025,knn,10.030024528503418,3.0529096,0.0,171.0,9.0
4,hue_0.025,knn,8.776268005371094,0.8858611,0.0,129.0,19.0
5,hue_0.025,knn,8.566527366638184,5.1997275,0.0,50.0,16.0
6,hue_0.025,knn,0.2576760947704315,0.00060361286,1.0,253.0,11.0
7,hue_0.025,knn,7.529588222503662,0.00010585225,1.0,48.0,16.0
8,hue_0.025,knn,12.760703086853027,0.0049850456,1.0,172.0,0.0
9,hue_0.025,knn,7.323482036590576,4.0531077e-06,1.0,154.0,14.0
10,hue_0.025,knn,4.272161483764648,7.152555e-07,1.0,140.0,2.0
11,hue_0.025,knn,11.733351707458496,0.004437006,1.0,243.0,7.0
12,hue_0.025,knn,8.413850784301758,0.0008916455,1.0,12.0,17.0
13,hue_0.025,knn,8.760563850402832,0.0009319015,1.0,26.0,6.0
14,hue_0.025,knn,9.036951065063477,0.00014602071,1.0,71.0,16.0
15,hue_0.025,knn,10.81674575805664,3.564294e-05,1.0,240.0,11.0
16,hue_0.025,knn,7.461047649383545,7.8615913,0.0,62.0,29.0
17,hue_0.025,knn,12.17149543762207,11.112629,0.0,206.0,14.0
18,hue_0.025,knn,7.955451011657715,0.0017478679,1.0,135.0,14.0
19,hue_0.025,knn,9.135518074035645,0.015424955,1.0,155.0,28.0
20,hue_0.025,knn,6.896883010864258,1.1920928e-07,1.0,75.0,5.0
21,hue_0.025,knn,4.236617088317871,22.312067,0.0,125.0,30.0
22,hue_0.025,knn,9.523916244506836,0.042816274,1.0,124.0,12.0
23,hue_0.025,knn,6.9187421798706055,0.006465588,1.0,210.0,24.0
24,hue_0.025,knn,8.907008171081543,0.8483683,0.0,258.0,21.0
25,hue_0.025,knn,7.379273891448975,0.11547726,1.0,207.0,22.0
26,hue_0.025,knn,12.109872817993164,28.312462,0.0,127.0,24.0
27,hue_0.025,knn,4.545907974243164,-0.0,1.0,34.0,9.0
28,hue_0.025,knn,17.048603057861328,0.0003657864,1.0,278.0,17.0
29,hue_0.025,knn,0.14230288565158844,8.3924465,0.0,242.0,17.0
30,hue_0.025,knn,7.931919097900391,0.93676543,1.0,211.0,25.0
31,hue_0.025,knn,9.501314163208008,1.1920928e-07,1.0,267.0,19.0
32,hue_0.025,knn,7.722983360290527,2.3841855e-07,1.0,108.0,16.0
33,hue_0.025,knn,4.058816909790039,0.06276417,1.0,208.0,11.0
34,hue_0.025,knn,4.988255023956299,1.072883e-06,1.0,100.0,5.0
