,fold,feature_name,feature,loss,acc,idx,class
0,noise_0.025,knn,8.015336036682129,0.041938733,1.0,251.0,5.0
1,noise_0.025,knn,7.056746482849121,1.1920928e-07,1.0,121.0,15.0
2,noise_0.025,knn,5.479296684265137,0.0009322588,1.0,94.0,15.0
3,noise_0.025,knn,4.803470611572266,1.1514524,0.0,5.0,9.0
4,noise_0.025,knn,7.247447967529297,0.05395498,1.0,37.0,11.0
5,noise_0.025,knn,6.460663318634033,8.357693,0.0,237.0,1.0
6,noise_0.025,knn,1.158544898033142,2.538962,0.0,22.0,3.0
7,noise_0.025,knn,4.00947380065918,7.195969,0.0,137.0,13.0
8,noise_0.025,knn,7.8114213943481445,9.5367386e-07,1.0,40.0,12.0
9,noise_0.025,knn,2.1066880226135254,0.009785421,1.0,12.0,17.0
10,noise_0.025,knn,8.1510648727417,16.86709,0.0,32.0,23.0
11,noise_0.025,knn,8.647841453552246,0.00019000156,1.0,178.0,8.0
12,noise_0.025,knn,10.523825645446777,0.00015102676,1.0,149.0,19.0
13,noise_0.025,knn,10.440085411071777,27.513844,0.0,130.0,26.0
14,noise_0.025,knn,10.648383140563965,21.189873,0.0,179.0,11.0
15,noise_0.025,knn,5.921660900115967,26.421434,0.0,113.0,8.0
16,noise_0.025,knn,8.633191108703613,11.3163595,0.0,90.0,7.0
17,noise_0.025,knn,8.877094268798828,7.6293654e-06,1.0,198.0,18.0
18,noise_0.025,knn,6.5910515785217285,0.01825824,1.0,123.0,29.0
19,noise_0.025,knn,9.63210391998291,0.0038441347,1.0,58.0,22.0
20,noise_0.025,knn,8.20529842376709,0.008514058,1.0,272.0,20.0
21,noise_0.025,knn,8.203020095825195,9.655906e-06,1.0,269.0,16.0
22,noise_0.025,knn,9.413139343261719,0.122327864,1.0,44.0,30.0
23,noise_0.025,knn,12.9005126953125,0.25162712,1.0,266.0,6.0
24,noise_0.025,knn,7.305268287658691,15.4951515,0.0,184.0,5.0
25,noise_0.025,knn,8.01736831665039,0.00031799983,1.0,188.0,16.0
26,noise_0.025,knn,10.423629760742188,-0.0,1.0,126.0,17.0
27,noise_0.025,knn,6.604041576385498,5.4596363e-05,1.0,235.0,16.0
28,noise_0.025,knn,9.008420944213867,0.01639115,1.0,27.0,27.0
29,noise_0.025,knn,9.247594833374023,0.03618104,1.0,2.0,16.0
30,noise_0.025,knn,8.08575439453125,19.06834,0.0,231.0,23.0
31,noise_0.025,knn,5.972765922546387,4.88067,0.0,66.0,22.0
32,noise_0.025,knn,7.998861789703369,0.045697592,1.0,223.0,19.0
33,noise_0.025,knn,8.201668739318848,1.1920928e-07,1.0,260.0,2.0
34,noise_0.025,knn,7.601262092590332,13.725613,0.0,61.0,10.0
35,noise_0.025,knn,7.594152927398682,6.5732164,0.0,62.0,29.0
36,noise_0.025,knn,4.905949115753174,3.004029e-05,1.0,96.0,17.0
37,noise_0.025,knn,8.243661880493164,10.48123,0.0,36.0,22.0
38,noise_0.025,knn,8.837726593017578,0.00022039369,1.0,160.0,16.0
39,noise_0.025,knn,8.500731468200684,0.00022635281,1.0,78.0,11.0
40,noise_0.025,knn,9.130217552185059,8.878579,0.0,276.0,26.0
41,noise_0.025,knn,14.698330879211426,3.3139633e-05,1.0,108.0,16.0
42,noise_0.025,knn,9.841166496276855,0.021257423,1.0,205.0,15.0
