,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,energy,0.022142410278320312,1.5696707,1.0,155.0,52.0
1,hue_0.025,energy,2.14019513130188,8.16885,0.0,313.0,14.0
2,hue_0.025,energy,0.3801688849925995,0.82970786,1.0,408.0,37.0
3,hue_0.025,energy,-0.5219078660011292,1.6964947,0.0,427.0,62.0
4,hue_0.025,energy,1.8900203704833984,12.058816,0.0,326.0,37.0
5,hue_0.025,energy,-1.3519082069396973,2.2374604,0.0,58.0,6.0
6,hue_0.025,energy,-0.6091717481613159,1.0659018,1.0,421.0,32.0
7,hue_0.025,energy,-3.5264861583709717,5.339514,0.0,380.0,30.0
8,hue_0.025,energy,2.0088963508605957,1.3041067,0.0,60.0,64.0
9,hue_0.025,energy,0.6763355731964111,17.530045,0.0,308.0,21.0
10,hue_0.025,energy,-2.4168522357940674,2.79905,0.0,248.0,30.0
11,hue_0.025,energy,1.184906244277954,0.012204258,1.0,172.0,48.0
12,hue_0.025,energy,5.851612091064453,0.04413171,1.0,328.0,8.0
13,hue_0.025,energy,-1.06828773021698,2.9002323,0.0,214.0,26.0
14,hue_0.025,energy,-2.482248306274414,0.04233098,1.0,148.0,8.0
15,hue_0.025,energy,-5.5751447677612305,7.9585633,0.0,144.0,45.0
16,hue_0.025,energy,-4.669783115386963,3.9457496e-05,1.0,167.0,18.0
17,hue_0.025,energy,-3.3645553588867188,10.642429,0.0,365.0,6.0
18,hue_0.025,energy,-1.8250865936279297,5.4447107,0.0,281.0,9.0
19,hue_0.025,energy,-0.1424332857131958,0.40037128,1.0,223.0,54.0
20,hue_0.025,energy,-1.1321710348129272,8.129728,0.0,133.0,55.0
21,hue_0.025,energy,-3.311447858810425,32.55769,0.0,395.0,21.0
22,hue_0.025,energy,-2.8060145378112793,0.13046342,1.0,9.0,61.0
23,hue_0.025,energy,-1.3748584985733032,7.1610436,0.0,110.0,20.0
24,hue_0.025,energy,2.3095390796661377,4.357627,0.0,416.0,8.0
25,hue_0.025,energy,-2.662100315093994,5.986986,0.0,67.0,53.0
26,hue_0.025,energy,10.005228996276855,8.382018,0.0,346.0,43.0
27,hue_0.025,energy,0.6331850290298462,0.87008834,1.0,261.0,11.0
28,hue_0.025,energy,-1.8794443607330322,21.925207,0.0,87.0,42.0
29,hue_0.025,energy,0.7349909543991089,7.8939304,0.0,263.0,35.0
30,hue_0.025,energy,-0.7798548936843872,4.2057753,0.0,68.0,61.0
31,hue_0.025,energy,0.2048729658126831,1.005688,0.0,321.0,10.0
32,hue_0.025,energy,-2.8754539489746094,0.012085075,1.0,272.0,4.0
33,hue_0.025,energy,-2.358419179916382,0.22925857,1.0,48.0,28.0
34,hue_0.025,energy,-4.51961612701416,4.184064,0.0,282.0,56.0
35,hue_0.025,energy,2.9796130657196045,0.023118136,1.0,329.0,18.0
36,hue_0.025,energy,1.1200385093688965,0.13089679,1.0,171.0,21.0
37,hue_0.025,energy,-2.0248472690582275,1.4496784,0.0,161.0,44.0
38,hue_0.025,energy,-1.2419788837432861,9.91043,0.0,285.0,37.0
39,hue_0.025,energy,-3.0966544151306152,3.3397326,0.0,190.0,31.0
40,hue_0.025,energy,1.0846340656280518,4.7923594,0.0,330.0,43.0
41,hue_0.025,energy,5.820815563201904,4.0540366,0.0,393.0,20.0
42,hue_0.025,energy,2.738746404647827,1.9138982,0.0,340.0,1.0
43,hue_0.025,energy,3.0582926273345947,1.7059704,0.0,419.0,39.0
44,hue_0.025,energy,-2.6162538528442383,7.129663,0.0,119.0,46.0
45,hue_0.025,energy,-1.3089596033096313,0.0033457275,1.0,208.0,4.0
46,hue_0.025,energy,-2.4563794136047363,16.789986,0.0,404.0,52.0
47,hue_0.025,energy,4.8478546142578125,0.00015972769,1.0,362.0,18.0
48,hue_0.025,energy,-1.4162142276763916,8.666718,0.0,434.0,54.0
49,hue_0.025,energy,-3.121387481689453,14.330002,0.0,293.0,17.0
50,hue_0.025,energy,2.429145097732544,4.5478745,0.0,117.0,59.0
51,hue_0.025,energy,-0.49719083309173584,1.3536594,1.0,233.0,28.0
52,hue_0.025,energy,0.34647345542907715,1.9408226,0.0,424.0,27.0
53,hue_0.025,energy,-1.5962995290756226,1.2170177,0.0,193.0,32.0
54,hue_0.025,energy,-2.5778157711029053,2.4292169,0.0,327.0,49.0
55,hue_0.025,energy,0.17671585083007812,1.4305105e-06,1.0,211.0,18.0
56,hue_0.025,energy,0.6124476194381714,7.0333235e-06,1.0,336.0,9.0
57,hue_0.025,energy,-1.3747124671936035,0.029862307,1.0,288.0,29.0
58,hue_0.025,energy,-1.6816056966781616,0.64815086,1.0,410.0,7.0
59,hue_0.025,energy,2.0316271781921387,5.4252634,0.0,275.0,10.0
60,hue_0.025,energy,-1.1780920028686523,4.1238284,0.0,339.0,11.0
61,hue_0.025,energy,-2.302117347717285,0.37960574,1.0,5.0,51.0
62,hue_0.025,energy,-0.7263954281806946,7.7364807,0.0,90.0,58.0
63,hue_0.025,energy,-2.254897356033325,0.015981555,1.0,348.0,55.0
64,hue_0.025,energy,4.6275858879089355,0.073128894,1.0,353.0,21.0
65,hue_0.025,energy,4.190517425537109,1.4974971,0.0,268.0,60.0
66,hue_0.025,energy,3.9274909496307373,0.067068495,1.0,294.0,46.0
67,hue_0.025,energy,13.443796157836914,0.16421852,1.0,23.0,61.0
68,hue_0.025,energy,1.0913169384002686,5.076425,0.0,273.0,35.0
69,hue_0.025,energy,0.285458505153656,3.2926462,0.0,250.0,31.0
70,hue_0.025,energy,-3.815183162689209,10.122283,0.0,297.0,21.0
71,hue_0.025,energy,-3.3452553749084473,3.7321706,0.0,50.0,38.0
72,hue_0.025,energy,-0.5973852276802063,3.4852087,0.0,141.0,43.0
73,hue_0.025,energy,0.7201659083366394,0.0006295844,1.0,179.0,28.0
74,hue_0.025,energy,-2.3464627265930176,0.5563021,1.0,49.0,34.0
75,hue_0.025,energy,-0.011314690113067627,3.356617,0.0,390.0,64.0
