,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,typicality,27678.587890625,4.7683704e-07,1.0,962.0,31.0
1,contrast_0.025,typicality,12860.974609375,1.1920928e-07,1.0,1038.0,50.0
2,contrast_0.025,typicality,20500.94921875,0.0012260309,1.0,421.0,53.0
3,contrast_0.025,typicality,17119.658203125,1.1920928e-07,1.0,352.0,32.0
4,contrast_0.025,typicality,21282.662109375,5.535608,0.0,204.0,31.0
5,contrast_0.025,typicality,12209.2763671875,8.1774226e-05,1.0,103.0,3.0
6,contrast_0.025,typicality,15459.86328125,3.81469e-06,1.0,536.0,16.0
7,contrast_0.025,typicality,15204.244140625,-0.0,1.0,64.0,15.0
8,contrast_0.025,typicality,19074.259765625,0.0004258441,1.0,583.0,14.0
9,contrast_0.025,typicality,13053.107421875,4.005352e-05,1.0,157.0,7.0
10,contrast_0.025,typicality,14216.712890625,-0.0,1.0,1019.0,13.0
11,contrast_0.025,typicality,15075.92578125,5.2093103e-05,1.0,1209.0,3.0
12,contrast_0.025,typicality,16632.37109375,4.7683704e-07,1.0,602.0,34.0
13,contrast_0.025,typicality,9233.703125,-0.0,1.0,206.0,3.0
14,contrast_0.025,typicality,11241.68359375,-0.0,1.0,128.0,41.0
15,contrast_0.025,typicality,19828.97265625,8.214619,0.0,1199.0,47.0
16,contrast_0.025,typicality,24099.17578125,1.1920928e-07,1.0,598.0,12.0
17,contrast_0.025,typicality,17060.04296875,0.34679565,1.0,1028.0,29.0
18,contrast_0.025,typicality,22832.525390625,6.5564896e-06,1.0,81.0,41.0
19,contrast_0.025,typicality,13940.94140625,14.334362,0.0,3.0,34.0
20,contrast_0.025,typicality,17172.734375,-0.0,1.0,1007.0,30.0
21,contrast_0.025,typicality,11628.810546875,1.1920922e-06,1.0,676.0,13.0
22,contrast_0.025,typicality,16010.5537109375,0.0011990032,1.0,417.0,1.0
23,contrast_0.025,typicality,12294.5732421875,-0.0,1.0,26.0,22.0
24,contrast_0.025,typicality,17418.474609375,0.0015412606,1.0,1108.0,57.0
25,contrast_0.025,typicality,13685.263671875,1.1920928e-07,1.0,720.0,37.0
26,contrast_0.025,typicality,10524.685546875,0.015113133,1.0,657.0,40.0
27,contrast_0.025,typicality,12280.19921875,1.1920928e-07,1.0,976.0,58.0
28,contrast_0.025,typicality,11692.7099609375,3.5046916e-05,1.0,431.0,45.0
29,contrast_0.025,typicality,9707.5908203125,1.3113013e-06,1.0,971.0,12.0
30,contrast_0.025,typicality,16623.515625,2.4795225e-05,1.0,285.0,41.0
31,contrast_0.025,typicality,17488.3359375,0.0010425376,1.0,835.0,42.0
32,contrast_0.025,typicality,17927.546875,3.2186456e-06,1.0,1124.0,8.0
33,contrast_0.025,typicality,12911.583984375,1.1920928e-07,1.0,221.0,49.0
34,contrast_0.025,typicality,13090.9970703125,4.5060096e-05,1.0,1134.0,55.0
35,contrast_0.025,typicality,15752.0576171875,16.646217,0.0,418.0,41.0
36,contrast_0.025,typicality,13694.4091796875,2.0478337,0.0,689.0,35.0
37,contrast_0.025,typicality,12690.1943359375,7.4503034e-05,1.0,759.0,54.0
38,contrast_0.025,typicality,10906.1455078125,-0.0,1.0,16.0,14.0
39,contrast_0.025,typicality,15659.03125,-0.0,1.0,758.0,19.0
40,contrast_0.025,typicality,22931.455078125,1.7881378e-06,1.0,896.0,48.0
41,contrast_0.025,typicality,14842.064453125,2.1219028e-05,1.0,378.0,35.0
42,contrast_0.025,typicality,11780.392578125,4.8159392e-05,1.0,530.0,26.0
43,contrast_0.025,typicality,18819.9296875,-0.0,1.0,908.0,42.0
44,contrast_0.025,typicality,20644.037109375,15.453691,0.0,533.0,23.0
45,contrast_0.025,typicality,11897.734375,0.0016117214,1.0,39.0,33.0
46,contrast_0.025,typicality,17074.310546875,-0.0,1.0,1232.0,41.0
47,contrast_0.025,typicality,19500.078125,2.0265374e-05,1.0,543.0,9.0
48,contrast_0.025,typicality,12216.6767578125,1.5497088e-05,1.0,932.0,37.0
49,contrast_0.025,typicality,18161.830078125,-0.0,1.0,779.0,7.0
50,contrast_0.025,typicality,23624.263671875,-0.0,1.0,345.0,55.0
51,contrast_0.025,typicality,17065.685546875,1.1920922e-06,1.0,1093.0,0.0
52,contrast_0.025,typicality,12670.46875,-0.0,1.0,1086.0,51.0
53,contrast_0.025,typicality,12400.3935546875,0.011540795,1.0,220.0,11.0
54,contrast_0.025,typicality,12056.208984375,1.0847986e-05,1.0,834.0,1.0
55,contrast_0.025,typicality,25264.8828125,12.779844,0.0,1244.0,43.0
56,contrast_0.025,typicality,23144.7265625,8.546941e-05,1.0,108.0,16.0
57,contrast_0.025,typicality,23532.970703125,0.0036694354,1.0,69.0,15.0
58,contrast_0.025,typicality,17376.779296875,-0.0,1.0,605.0,30.0
59,contrast_0.025,typicality,17537.05859375,2.5748875e-05,1.0,729.0,19.0
60,contrast_0.025,typicality,19194.8671875,1.1920928e-07,1.0,838.0,45.0
61,contrast_0.025,typicality,19270.119140625,4.0531077e-06,1.0,839.0,25.0
62,contrast_0.025,typicality,15924.109375,-0.0,1.0,446.0,36.0
63,contrast_0.025,typicality,15555.029296875,2.2274766,0.0,151.0,40.0
64,contrast_0.025,typicality,27272.576171875,2.604492,0.0,337.0,42.0
65,contrast_0.025,typicality,16415.97265625,5.960463e-07,1.0,1165.0,35.0
66,contrast_0.025,typicality,22173.728515625,7.867782e-06,1.0,9.0,56.0
67,contrast_0.025,typicality,14710.9140625,9.894322e-06,1.0,1082.0,55.0
68,contrast_0.025,typicality,16332.3212890625,-0.0,1.0,308.0,37.0
69,contrast_0.025,typicality,20712.126953125,3.755022e-05,1.0,288.0,42.0
70,contrast_0.025,typicality,17540.958984375,7.152555e-07,1.0,371.0,37.0
71,contrast_0.025,typicality,23907.21875,4.5299425e-06,1.0,630.0,59.0
72,contrast_0.025,typicality,11431.6767578125,2.1099822e-05,1.0,607.0,20.0
73,contrast_0.025,typicality,12690.0361328125,1.4662635e-05,1.0,1203.0,35.0
74,contrast_0.025,typicality,20482.5625,0.015466743,1.0,490.0,13.0
75,contrast_0.025,typicality,11100.2900390625,1.1920928e-07,1.0,822.0,14.0
76,contrast_0.025,typicality,15130.6015625,11.717634,0.0,239.0,10.0
77,contrast_0.025,typicality,17782.0,0.010618614,1.0,236.0,7.0
78,contrast_0.025,typicality,16623.5,5.807746,0.0,1054.0,5.0
79,contrast_0.025,typicality,15465.201171875,1.585471e-05,1.0,193.0,44.0
80,contrast_0.025,typicality,17255.80078125,0.12061197,1.0,681.0,28.0
81,contrast_0.025,typicality,15181.6533203125,1.2755313e-05,1.0,944.0,8.0
82,contrast_0.025,typicality,21988.916015625,0.032598153,1.0,197.0,50.0
83,contrast_0.025,typicality,18639.193359375,0.0009821597,1.0,532.0,27.0
84,contrast_0.025,typicality,14196.0478515625,1.1920922e-06,1.0,17.0,39.0
85,contrast_0.025,typicality,8467.857421875,-0.0,1.0,737.0,43.0
86,contrast_0.025,typicality,17093.173828125,9.5367386e-07,1.0,51.0,35.0
87,contrast_0.025,typicality,18054.78515625,9.082515,0.0,653.0,42.0
88,contrast_0.025,typicality,18979.99609375,1.3589766e-05,1.0,1094.0,48.0
89,contrast_0.025,typicality,10374.017578125,-0.0,1.0,318.0,52.0
90,contrast_0.025,typicality,15322.61328125,1.2755313e-05,1.0,742.0,32.0
91,contrast_0.025,typicality,16146.072265625,2.145765e-06,1.0,647.0,0.0
92,contrast_0.025,typicality,14929.4619140625,2.3722367e-05,1.0,373.0,8.0
93,contrast_0.025,typicality,12884.416015625,2.9802277e-06,1.0,351.0,58.0
94,contrast_0.025,typicality,20329.826171875,-0.0,1.0,260.0,27.0
95,contrast_0.025,typicality,14191.1103515625,8.463824e-06,1.0,1187.0,48.0
96,contrast_0.025,typicality,15215.7890625,0.000110739296,1.0,72.0,16.0
97,contrast_0.025,typicality,19307.001953125,0.00015078839,1.0,618.0,2.0
98,contrast_0.025,typicality,13543.91015625,0.00046897857,1.0,797.0,2.0
99,contrast_0.025,typicality,13254.29296875,-0.0,1.0,403.0,30.0
100,contrast_0.025,typicality,12846.072265625,0.00024637525,1.0,241.0,26.0
101,contrast_0.025,typicality,17117.12109375,9.2621325e-05,1.0,700.0,25.0
102,contrast_0.025,typicality,11873.5810546875,-0.0,1.0,360.0,46.0
103,contrast_0.025,typicality,15037.365234375,10.054518,0.0,627.0,41.0
104,contrast_0.025,typicality,10443.380859375,5.960463e-07,1.0,760.0,3.0
105,contrast_0.025,typicality,13456.29296875,3.4570635e-06,1.0,680.0,40.0
106,contrast_0.025,typicality,16879.216796875,1.1920928e-07,1.0,1142.0,1.0
107,contrast_0.025,typicality,20024.380859375,0.0018755479,1.0,895.0,53.0
108,contrast_0.025,typicality,21306.45703125,3.5762723e-06,1.0,375.0,26.0
109,contrast_0.025,typicality,14086.677734375,6.4372807e-06,1.0,326.0,26.0
110,contrast_0.025,typicality,15182.13671875,-0.0,1.0,313.0,12.0
111,contrast_0.025,typicality,13842.263671875,1.394739e-05,1.0,481.0,50.0
112,contrast_0.025,typicality,12788.349609375,-0.0,1.0,798.0,48.0
113,contrast_0.025,typicality,33747.3828125,0.00043907063,1.0,768.0,51.0
114,contrast_0.025,typicality,19616.67578125,0.08956006,1.0,765.0,28.0
115,contrast_0.025,typicality,22358.197265625,8.271481,0.0,977.0,8.0
116,contrast_0.025,typicality,21987.01953125,1.3113013e-06,1.0,531.0,58.0
117,contrast_0.025,typicality,11559.5205078125,-0.0,1.0,733.0,11.0
118,contrast_0.025,typicality,17071.259765625,-0.0,1.0,629.0,38.0
119,contrast_0.025,typicality,16687.515625,8.065423,0.0,634.0,38.0
120,contrast_0.025,typicality,14054.8974609375,1.1920928e-07,1.0,635.0,27.0
121,contrast_0.025,typicality,12436.8740234375,1.1920928e-07,1.0,267.0,46.0
122,contrast_0.025,typicality,15807.234375,16.167637,0.0,703.0,33.0
123,contrast_0.025,typicality,14268.36328125,0.00010716341,1.0,650.0,20.0
124,contrast_0.025,typicality,12780.8056640625,-0.0,1.0,558.0,0.0
125,contrast_0.025,typicality,20179.064453125,4.8278598e-05,1.0,525.0,21.0
126,contrast_0.025,typicality,22250.390625,0.00043335106,1.0,1156.0,48.0
127,contrast_0.025,typicality,23661.625,1.1920928e-07,1.0,210.0,38.0
128,contrast_0.025,typicality,9538.033203125,5.245195e-06,1.0,167.0,36.0
129,contrast_0.025,typicality,8804.1640625,14.247761,0.0,1120.0,13.0
130,contrast_0.025,typicality,10460.7763671875,1.3113013e-06,1.0,219.0,39.0
131,contrast_0.025,typicality,15822.267578125,6.1152496e-05,1.0,717.0,41.0
132,contrast_0.025,typicality,12432.2421875,1.3113013e-06,1.0,173.0,10.0
133,contrast_0.025,typicality,13769.115234375,-0.0,1.0,86.0,34.0
134,contrast_0.025,typicality,27602.125,-0.0,1.0,1152.0,26.0
135,contrast_0.025,typicality,19297.8515625,0.005664962,1.0,957.0,31.0
136,contrast_0.025,typicality,21290.388671875,9.894322e-06,1.0,1132.0,33.0
137,contrast_0.025,typicality,14768.4541015625,0.000112408045,1.0,1002.0,51.0
138,contrast_0.025,typicality,18559.37109375,1.0847986e-05,1.0,259.0,42.0
139,contrast_0.025,typicality,19889.177734375,7.986991e-06,1.0,552.0,37.0
140,contrast_0.025,typicality,14105.33984375,1.7881378e-06,1.0,863.0,25.0
141,contrast_0.025,typicality,19304.013671875,14.48588,0.0,169.0,13.0
142,contrast_0.025,typicality,13646.96484375,3.576278e-07,1.0,655.0,28.0
143,contrast_0.025,typicality,17549.30859375,4.0613832,0.0,942.0,15.0
144,contrast_0.025,typicality,14873.3212890625,2.264974e-06,1.0,683.0,34.0
145,contrast_0.025,typicality,12939.8056640625,5.956956,0.0,913.0,19.0
146,contrast_0.025,typicality,16074.373046875,-0.0,1.0,1198.0,46.0
147,contrast_0.025,typicality,13595.046875,0.00031418633,1.0,498.0,19.0
148,contrast_0.025,typicality,11098.6796875,-0.0,1.0,507.0,41.0
149,contrast_0.025,typicality,14594.208984375,-0.0,1.0,1044.0,8.0
150,contrast_0.025,typicality,13630.771484375,3.087473e-05,1.0,864.0,58.0
151,contrast_0.025,typicality,14521.7734375,-0.0,1.0,448.0,53.0
152,contrast_0.025,typicality,10107.576171875,0.002912805,1.0,897.0,48.0
153,contrast_0.025,typicality,19726.673828125,0.0007173825,1.0,1140.0,48.0
154,contrast_0.025,typicality,15170.283203125,11.961699,0.0,708.0,50.0
155,contrast_0.025,typicality,16132.56640625,3.81469e-06,1.0,1238.0,45.0
156,contrast_0.025,typicality,14278.8623046875,1.585471e-05,1.0,486.0,35.0
157,contrast_0.025,typicality,17514.666015625,1.1920928e-07,1.0,299.0,46.0
158,contrast_0.025,typicality,14267.34765625,2.3841855e-07,1.0,225.0,40.0
159,contrast_0.025,typicality,14703.8671875,0.016766816,1.0,301.0,54.0
160,contrast_0.025,typicality,14075.87109375,7.0211805e-05,1.0,187.0,12.0
161,contrast_0.025,typicality,10348.953125,2.3841855e-07,1.0,70.0,12.0
162,contrast_0.025,typicality,12680.595703125,2.3841855e-07,1.0,1095.0,35.0
163,contrast_0.025,typicality,12414.693359375,-0.0,1.0,1222.0,47.0
164,contrast_0.025,typicality,19734.669921875,0.00022861728,1.0,243.0,23.0
165,contrast_0.025,typicality,14216.6201171875,-0.0,1.0,685.0,53.0
166,contrast_0.025,typicality,17413.83203125,4.8874615e-05,1.0,866.0,11.0
167,contrast_0.025,typicality,12785.677734375,0.000396769,1.0,980.0,2.0
168,contrast_0.025,typicality,7425.240234375,0.01734575,1.0,1202.0,13.0
169,contrast_0.025,typicality,14661.3056640625,4.1723165e-06,1.0,226.0,28.0
170,contrast_0.025,typicality,12571.314453125,0.00023719836,1.0,538.0,42.0
171,contrast_0.025,typicality,15499.76171875,2.3841855e-07,1.0,1163.0,13.0
172,contrast_0.025,typicality,16306.1611328125,2.9336045,0.0,649.0,56.0
173,contrast_0.025,typicality,15196.26171875,14.3475895,0.0,347.0,53.0
174,contrast_0.025,typicality,22457.486328125,7.510157e-06,1.0,192.0,39.0
175,contrast_0.025,typicality,11880.62109375,2.3841855e-07,1.0,223.0,36.0
176,contrast_0.025,typicality,19801.7109375,3.576278e-07,1.0,714.0,12.0
177,contrast_0.025,typicality,22420.611328125,0.00025733974,1.0,1243.0,17.0
178,contrast_0.025,typicality,17706.990234375,-0.0,1.0,438.0,0.0
179,contrast_0.025,typicality,19377.865234375,4.1723165e-06,1.0,147.0,33.0
180,contrast_0.025,typicality,11696.0771484375,1.0132739e-05,1.0,33.0,57.0
181,contrast_0.025,typicality,17882.359375,2.3841855e-07,1.0,472.0,25.0
182,contrast_0.025,typicality,15556.16015625,4.210099,0.0,1170.0,34.0
183,contrast_0.025,typicality,18798.89453125,0.0009793015,1.0,447.0,30.0
184,contrast_0.025,typicality,15529.677734375,14.773942,0.0,1115.0,43.0
185,contrast_0.025,typicality,13490.0458984375,-0.0,1.0,783.0,12.0
186,contrast_0.025,typicality,12412.2734375,-0.0,1.0,146.0,59.0
187,contrast_0.025,typicality,12812.63671875,5.960463e-07,1.0,250.0,47.0
188,contrast_0.025,typicality,15617.28125,1.9073468e-06,1.0,56.0,34.0
189,contrast_0.025,typicality,13875.4716796875,2.8610189e-06,1.0,522.0,45.0
190,contrast_0.025,typicality,22194.41015625,-0.0,1.0,591.0,8.0
