,fold,feature_name,feature,loss,acc,idx,class
0,brightness_0.025,grad_magnitude,28.858966827392578,2.8426633,0.0,278.0,46.0
1,brightness_0.025,grad_magnitude,29.92021369934082,1.32232,0.0,348.0,55.0
2,brightness_0.025,grad_magnitude,10.957592964172363,0.009793448,1.0,53.0,57.0
3,brightness_0.025,grad_magnitude,21.7661075592041,0.0033884987,1.0,48.0,28.0
4,brightness_0.025,grad_magnitude,12.786277770996094,0.0007114263,1.0,216.0,22.0
5,brightness_0.025,grad_magnitude,11.712118148803711,2.9774277,0.0,342.0,2.0
6,brightness_0.025,grad_magnitude,36.83744430541992,0.5839967,1.0,292.0,15.0
7,brightness_0.025,grad_magnitude,45.664794921875,0.06027821,1.0,135.0,1.0
8,brightness_0.025,grad_magnitude,12.087198257446289,0.0033756676,1.0,434.0,54.0
9,brightness_0.025,grad_magnitude,26.21959114074707,0.0013349678,1.0,183.0,16.0
10,brightness_0.025,grad_magnitude,15.863118171691895,2.5823908,0.0,417.0,57.0
11,brightness_0.025,grad_magnitude,34.35411834716797,5.9351754,0.0,204.0,34.0
12,brightness_0.025,grad_magnitude,63.62852096557617,0.029610856,1.0,147.0,48.0
13,brightness_0.025,grad_magnitude,21.611927032470703,4.1870894,0.0,300.0,49.0
14,brightness_0.025,grad_magnitude,35.17863464355469,1.2500181,0.0,402.0,23.0
15,brightness_0.025,grad_magnitude,2.9469170570373535,0.57418644,1.0,19.0,28.0
16,brightness_0.025,grad_magnitude,24.037824630737305,0.004535507,1.0,245.0,4.0
17,brightness_0.025,grad_magnitude,16.93514060974121,0.04562015,1.0,145.0,56.0
18,brightness_0.025,grad_magnitude,2.827953338623047,0.0016429034,1.0,223.0,54.0
19,brightness_0.025,grad_magnitude,79.70149993896484,0.02660497,1.0,43.0,29.0
20,brightness_0.025,grad_magnitude,12.393158912658691,0.0017460829,1.0,33.0,8.0
21,brightness_0.025,grad_magnitude,18.12860870361328,0.038209636,1.0,80.0,29.0
22,brightness_0.025,grad_magnitude,16.605308532714844,0.08936504,1.0,191.0,24.0
23,brightness_0.025,grad_magnitude,32.91242599487305,5.4219074,0.0,205.0,3.0
24,brightness_0.025,grad_magnitude,41.074127197265625,0.0043438366,1.0,195.0,26.0
25,brightness_0.025,grad_magnitude,7.74473237991333,0.04078465,1.0,29.0,51.0
26,brightness_0.025,grad_magnitude,10.192931175231934,0.0012340081,1.0,381.0,41.0
27,brightness_0.025,grad_magnitude,46.43330001831055,0.0030321358,1.0,166.0,63.0
28,brightness_0.025,grad_magnitude,36.980567932128906,0.00020275444,1.0,221.0,18.0
29,brightness_0.025,grad_magnitude,24.819231033325195,0.019415338,1.0,338.0,4.0
30,brightness_0.025,grad_magnitude,14.501483917236328,0.00066913624,1.0,84.0,0.0
