Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.025,ind_val,hue,0.025,0.13762019230769232,0.8479567307692308,0.49278846153846156
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.05,ind_val,hue,0.05,0.15084134615384615,0.8479567307692308,0.4993990384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.07500000000000001,ind_val,hue,0.07500000000000001,0.16526442307692307,0.8479567307692308,0.506610576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.1,ind_val,hue,0.1,0.19170673076923078,0.8479567307692308,0.5198317307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.125,ind_val,hue,0.125,0.20012019230769232,0.8479567307692308,0.5240384615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.15000000000000002,ind_val,hue,0.15000000000000002,0.1953125,0.8479567307692308,0.5216346153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.17500000000000002,ind_val,hue,0.17500000000000002,0.21514423076923078,0.8479567307692308,0.5315504807692308
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.2,ind_val,hue,0.2,0.22115384615384615,0.8479567307692308,0.5345552884615385
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.225,ind_val,hue,0.225,0.2205528846153846,0.8479567307692308,0.5342548076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.25,ind_val,hue,0.25,0.2361778846153846,0.8479567307692308,0.5420673076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.275,ind_val,hue,0.275,0.21394230769230768,0.8479567307692308,0.5309495192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.30000000000000004,ind_val,hue,0.30000000000000004,0.22956730769230768,0.8479567307692308,0.5387620192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.325,ind_val,hue,0.325,0.21394230769230768,0.8479567307692308,0.5309495192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.35000000000000003,ind_val,hue,0.35000000000000003,0.2109375,0.8479567307692308,0.5294471153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.375,ind_val,hue,0.375,0.20552884615384615,0.8479567307692308,0.5267427884615385
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.4,ind_val,hue,0.4,0.1953125,0.8479567307692308,0.5216346153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.42500000000000004,ind_val,hue,0.42500000000000004,0.1953125,0.8479567307692308,0.5216346153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.45,ind_val,hue,0.45,0.21394230769230768,0.8479567307692308,0.5309495192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.47500000000000003,ind_val,hue,0.47500000000000003,0.20793269230769232,0.8479567307692308,0.5279447115384616
CCT,Softmax,val_optimal,OoD Val,ind_val,hue_0.5,ind_val,hue,0.5,0.21574519230769232,0.8479567307692308,0.5318509615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.025,ind_val,contrast,0.025,0.13131009615384615,0.8479567307692308,0.4896334134615385
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.05,ind_val,contrast,0.05,0.13341346153846154,0.8479567307692308,0.4906850961538462
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.07500000000000001,ind_val,contrast,0.07500000000000001,0.13371394230769232,0.8479567307692308,0.49083533653846156
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.1,ind_val,contrast,0.1,0.13641826923076922,0.8479567307692308,0.4921875
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.125,ind_val,contrast,0.125,0.13912259615384615,0.8479567307692308,0.4935396634615385
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.15000000000000002,ind_val,contrast,0.15000000000000002,0.14302884615384615,0.8479567307692308,0.4954927884615385
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.17500000000000002,ind_val,contrast,0.17500000000000002,0.14933894230769232,0.8479567307692308,0.49864783653846156
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.2,ind_val,contrast,0.2,0.15955528846153846,0.8479567307692308,0.5037560096153847
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.225,ind_val,contrast,0.225,0.1640625,0.8479567307692308,0.5060096153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.25,ind_val,contrast,0.25,0.1700721153846154,0.8479567307692308,0.5090144230769231
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.275,ind_val,contrast,0.275,0.1856971153846154,0.8479567307692308,0.5168269230769231
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.30000000000000004,ind_val,contrast,0.30000000000000004,0.18870192307692307,0.8479567307692308,0.518329326923077
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.325,ind_val,contrast,0.325,0.20042067307692307,0.8479567307692308,0.524188701923077
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.35000000000000003,ind_val,contrast,0.35000000000000003,0.2052283653846154,0.8479567307692308,0.5265925480769231
