,fold,feature_name,feature,loss,acc,idx,class
0,adv_0.025,typicality,9434.6689453125,24.588005,0.0,896.0,0.0
1,adv_0.025,typicality,11377.271484375,18.931757,0.0,1459.0,3.0
2,adv_0.025,typicality,9472.5390625,31.872374,0.0,1296.0,0.0
3,adv_0.025,typicality,10400.833984375,1.1946218,0.0,69.0,2.0
4,adv_0.025,typicality,10746.794921875,6.269117,0.0,982.0,8.0
5,adv_0.025,typicality,9440.5234375,5.2934213,0.0,542.0,2.0
6,adv_0.025,typicality,9232.74609375,25.058685,0.0,1554.0,1.0
7,adv_0.025,typicality,9371.9296875,14.007327,0.0,233.0,7.0
8,adv_0.025,typicality,10718.328125,3.5271845,0.0,412.0,6.0
9,adv_0.025,typicality,9333.802734375,21.76828,0.0,31.0,1.0
10,adv_0.025,typicality,9552.3359375,3.1277657,0.0,477.0,9.0
11,adv_0.025,typicality,9623.9775390625,17.979443,0.0,393.0,6.0
12,adv_0.025,typicality,10760.060546875,39.669933,0.0,1323.0,0.0
13,adv_0.025,typicality,9462.4921875,0.4719047,1.0,1491.0,7.0
14,adv_0.025,typicality,10538.755859375,29.233768,0.0,284.0,9.0
15,adv_0.025,typicality,10893.1904296875,0.059482027,1.0,1479.0,7.0
16,adv_0.025,typicality,9562.271484375,0.0032286919,1.0,951.0,6.0
17,adv_0.025,typicality,9540.517578125,15.317506,0.0,993.0,5.0
18,adv_0.025,typicality,10788.1572265625,12.302569,0.0,500.0,7.0
19,adv_0.025,typicality,9429.6796875,1.211866,0.0,377.0,7.0
20,adv_0.025,typicality,9379.0263671875,49.008617,0.0,488.0,14.0
21,adv_0.025,typicality,10874.658203125,8.2539625,0.0,539.0,1.0
22,adv_0.025,typicality,10836.8271484375,14.720027,0.0,1394.0,1.0
23,adv_0.025,typicality,9543.703125,43.305214,0.0,1349.0,0.0
24,adv_0.025,typicality,10663.853515625,10.337223,0.0,1041.0,7.0
25,adv_0.025,typicality,10078.142578125,6.8391676,0.0,261.0,1.0
26,adv_0.025,typicality,10995.259765625,49.888542,0.0,1653.0,4.0
27,adv_0.025,typicality,9876.958984375,33.852634,0.0,460.0,9.0
28,adv_0.025,typicality,9448.998046875,1.986779,0.0,738.0,6.0
29,adv_0.025,typicality,9584.591796875,1.3113013e-06,1.0,653.0,11.0
30,adv_0.025,typicality,10906.5341796875,38.242767,0.0,658.0,0.0
31,adv_0.025,typicality,9655.7587890625,17.04601,0.0,652.0,1.0
32,adv_0.025,typicality,9410.578125,14.68276,0.0,291.0,8.0
33,adv_0.025,typicality,9299.81640625,22.591486,0.0,642.0,5.0
34,adv_0.025,typicality,10910.96875,2.7412226,0.0,1114.0,7.0
35,adv_0.025,typicality,10806.876953125,-0.0,1.0,906.0,11.0
36,adv_0.025,typicality,9518.69921875,21.394962,0.0,112.0,0.0
37,adv_0.025,typicality,9394.66015625,38.150322,0.0,24.0,4.0
38,adv_0.025,typicality,10710.38671875,0.002891885,1.0,52.0,11.0
39,adv_0.025,typicality,9516.15625,23.61493,0.0,766.0,5.0
40,adv_0.025,typicality,9500.73828125,12.06676,0.0,1576.0,6.0
41,adv_0.025,typicality,9602.8857421875,21.016794,0.0,1235.0,0.0
42,adv_0.025,typicality,9450.224609375,16.291595,0.0,240.0,6.0
43,adv_0.025,typicality,10339.59375,3.4406445,0.0,294.0,6.0
44,adv_0.025,typicality,10780.9853515625,21.073923,0.0,1333.0,0.0
45,adv_0.025,typicality,9486.8662109375,24.99756,0.0,1131.0,5.0
46,adv_0.025,typicality,9695.9375,1.6502795,0.0,1561.0,2.0
47,adv_0.025,typicality,10826.8525390625,24.187244,0.0,1139.0,0.0
48,adv_0.025,typicality,10996.330078125,38.392864,0.0,565.0,0.0
49,adv_0.025,typicality,10315.5458984375,4.4610996,0.0,1379.0,8.0
50,adv_0.025,typicality,10456.814453125,19.953676,0.0,1549.0,5.0
51,adv_0.025,typicality,10576.931640625,4.0136013,0.0,786.0,7.0
52,adv_0.025,typicality,10649.23046875,3.8952882,0.0,1250.0,6.0
53,adv_0.025,typicality,10848.029296875,26.473452,0.0,1265.0,0.0
54,adv_0.025,typicality,9586.640625,11.644767,0.0,450.0,5.0
55,adv_0.025,typicality,11109.58203125,4.7549806,0.0,1232.0,2.0
56,adv_0.025,typicality,9535.365234375,15.627783,0.0,609.0,0.0
57,adv_0.025,typicality,10821.759765625,15.425264,0.0,1286.0,0.0
58,adv_0.025,typicality,11084.63671875,17.020344,0.0,1500.0,7.0
59,adv_0.025,typicality,9931.46875,22.479353,0.0,1372.0,3.0
60,adv_0.025,typicality,10817.048828125,0.3301946,1.0,211.0,1.0
61,adv_0.025,typicality,10824.955078125,18.180912,0.0,678.0,1.0
62,adv_0.025,typicality,9500.1435546875,15.370964,0.0,1544.0,9.0
63,adv_0.025,typicality,9557.0126953125,2.0211947,0.0,1616.0,1.0
64,adv_0.025,typicality,10623.5546875,19.02544,0.0,613.0,9.0
65,adv_0.025,typicality,10756.35546875,25.923267,0.0,350.0,3.0
66,adv_0.025,typicality,11192.751953125,27.56167,0.0,1453.0,0.0
67,adv_0.025,typicality,9529.193359375,13.87571,0.0,1105.0,0.0
68,adv_0.025,typicality,9534.5810546875,28.65912,0.0,1631.0,0.0
69,adv_0.025,typicality,10967.6044921875,24.824053,0.0,380.0,9.0
70,adv_0.025,typicality,9778.734375,19.160034,0.0,371.0,5.0
71,adv_0.025,typicality,10708.921875,27.598232,0.0,205.0,9.0
72,adv_0.025,typicality,10535.43359375,26.466177,0.0,499.0,0.0
73,adv_0.025,typicality,9494.494140625,4.887569e-06,1.0,221.0,6.0
74,adv_0.025,typicality,9561.8935546875,0.47648168,1.0,153.0,3.0
75,adv_0.025,typicality,9512.58984375,16.014992,0.0,531.0,3.0
76,adv_0.025,typicality,9700.7646484375,24.80397,0.0,1387.0,0.0
77,adv_0.025,typicality,9305.1953125,22.524023,0.0,1075.0,0.0
78,adv_0.025,typicality,9442.0439453125,30.964046,0.0,1368.0,0.0
79,adv_0.025,typicality,10708.8984375,0.0005217621,1.0,783.0,2.0
80,adv_0.025,typicality,9571.279296875,30.182556,0.0,554.0,0.0
81,adv_0.025,typicality,10799.451171875,30.244165,0.0,1259.0,4.0
82,adv_0.025,typicality,9583.638671875,21.748047,0.0,694.0,7.0
83,adv_0.025,typicality,9433.9912109375,23.016329,0.0,623.0,0.0
84,adv_0.025,typicality,9271.912109375,20.205132,0.0,1348.0,7.0
