,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,energy,-19.51579475402832,5.4836123e-06,1.0,120.0,16.0
1,contrast_0.025,energy,-15.369595527648926,2.3841855e-07,1.0,843.0,28.0
2,contrast_0.025,energy,-19.03175163269043,-0.0,1.0,962.0,59.0
3,contrast_0.025,energy,-29.201101303100586,16.355133,0.0,95.0,47.0
4,contrast_0.025,energy,-4.5715508460998535,8.344647e-07,1.0,54.0,37.0
5,contrast_0.025,energy,-17.988292694091797,-0.0,1.0,151.0,37.0
6,contrast_0.025,energy,-31.194725036621094,23.889278,0.0,106.0,26.0
7,contrast_0.025,energy,-19.480709075927734,4.7683704e-07,1.0,189.0,8.0
8,contrast_0.025,energy,-5.700469017028809,1.1920928e-07,1.0,966.0,13.0
9,contrast_0.025,energy,-28.241823196411133,-0.0,1.0,214.0,58.0
10,contrast_0.025,energy,-24.322879791259766,1.1920928e-07,1.0,495.0,12.0
11,contrast_0.025,energy,-4.781789779663086,5.960463e-07,1.0,675.0,8.0
12,contrast_0.025,energy,-23.999719619750977,1.1920928e-07,1.0,1064.0,45.0
13,contrast_0.025,energy,-15.198892593383789,0.0003147822,1.0,83.0,3.0
14,contrast_0.025,energy,-21.20806884765625,1.001353e-05,1.0,444.0,28.0
15,contrast_0.025,energy,-15.009766578674316,7.3909487e-06,1.0,749.0,7.0
16,contrast_0.025,energy,-29.447860717773438,9.7751135e-06,1.0,1207.0,21.0
17,contrast_0.025,energy,-29.776784896850586,0.00033587537,1.0,146.0,59.0
18,contrast_0.025,energy,-17.555519104003906,0.0038764349,1.0,1054.0,13.0
19,contrast_0.025,energy,-15.540031433105469,-0.0,1.0,504.0,34.0
20,contrast_0.025,energy,-21.792736053466797,-0.0,1.0,60.0,15.0
21,contrast_0.025,energy,-17.586885452270508,13.511552,0.0,215.0,49.0
22,contrast_0.025,energy,-12.746942520141602,3.4817297,0.0,365.0,5.0
23,contrast_0.025,energy,-16.590160369873047,-0.0,1.0,483.0,40.0
