,fold,feature_name,feature,loss,acc,idx,class
0,adv_0.025,cross_entropy,1600.6669921875,12.547642,0.0,874.0,27.0
1,adv_0.025,cross_entropy,1176.6900634765625,11.452719,0.0,151.0,41.0
2,adv_0.025,cross_entropy,1007.1771240234375,15.992824,0.0,530.0,58.0
3,adv_0.025,cross_entropy,859.44189453125,12.841019,0.0,126.0,20.0
4,adv_0.025,cross_entropy,1264.6131591796875,9.848207,0.0,175.0,56.0
5,adv_0.025,cross_entropy,1020.5638427734375,0.19182487,1.0,795.0,14.0
6,adv_0.025,cross_entropy,2333.259521484375,8.886247,0.0,1095.0,54.0
7,adv_0.025,cross_entropy,935.340576171875,18.555729,0.0,619.0,20.0
8,adv_0.025,cross_entropy,1097.9810791015625,4.8530517,0.0,489.0,51.0
9,adv_0.025,cross_entropy,1686.3670654296875,9.299276,0.0,724.0,29.0
10,adv_0.025,cross_entropy,965.873291015625,24.042383,0.0,1207.0,52.0
11,adv_0.025,cross_entropy,1041.1376953125,8.622889,0.0,867.0,53.0
12,adv_0.025,cross_entropy,1354.8929443359375,20.15475,0.0,508.0,27.0
13,adv_0.025,cross_entropy,1334.536865234375,10.436417,0.0,136.0,3.0
14,adv_0.025,cross_entropy,1522.7059326171875,12.611016,0.0,993.0,3.0
15,adv_0.025,cross_entropy,972.5234985351562,19.64051,0.0,1062.0,57.0
16,adv_0.025,cross_entropy,1477.1044921875,5.0851145,0.0,501.0,10.0
17,adv_0.025,cross_entropy,1997.740478515625,17.845066,0.0,807.0,30.0
18,adv_0.025,cross_entropy,815.794677734375,7.57345,0.0,974.0,13.0
19,adv_0.025,cross_entropy,883.991943359375,24.070536,0.0,1150.0,34.0
20,adv_0.025,cross_entropy,1044.0089111328125,0.87789613,0.0,154.0,16.0
21,adv_0.025,cross_entropy,815.5361328125,0.0069805556,1.0,1065.0,42.0
22,adv_0.025,cross_entropy,1286.3392333984375,18.243658,0.0,822.0,33.0
23,adv_0.025,cross_entropy,917.524169921875,11.58998,0.0,715.0,30.0
24,adv_0.025,cross_entropy,985.5099487304688,7.076162,0.0,78.0,39.0
25,adv_0.025,cross_entropy,1325.0849609375,17.611103,0.0,245.0,45.0
26,adv_0.025,cross_entropy,1926.30419921875,13.57339,0.0,1132.0,34.0
27,adv_0.025,cross_entropy,652.7999267578125,7.291567,0.0,820.0,8.0
28,adv_0.025,cross_entropy,963.3717041015625,16.065905,0.0,360.0,59.0
29,adv_0.025,cross_entropy,861.8208618164062,7.2597766,0.0,1171.0,20.0
30,adv_0.025,cross_entropy,1123.4237060546875,27.744852,0.0,1125.0,36.0
31,adv_0.025,cross_entropy,1475.29443359375,2.7008502,0.0,270.0,42.0
32,adv_0.025,cross_entropy,770.9124755859375,15.330916,0.0,211.0,55.0
33,adv_0.025,cross_entropy,937.4113159179688,6.5082974,0.0,1071.0,34.0
34,adv_0.025,cross_entropy,972.5867309570312,4.9332514,0.0,65.0,54.0
35,adv_0.025,cross_entropy,873.516845703125,14.614057,0.0,213.0,30.0
36,adv_0.025,cross_entropy,883.759521484375,4.5792527,0.0,424.0,52.0
37,adv_0.025,cross_entropy,1500.450927734375,23.056137,0.0,899.0,34.0
38,adv_0.025,cross_entropy,1332.6912841796875,8.597752,0.0,850.0,12.0
39,adv_0.025,cross_entropy,837.2748413085938,22.43971,0.0,604.0,37.0
40,adv_0.025,cross_entropy,576.5970458984375,30.157927,0.0,341.0,36.0
41,adv_0.025,cross_entropy,1685.408203125,22.296282,0.0,712.0,32.0
