,fold,feature_name,feature,loss,acc,idx,class
0,jpeg_0.025,energy,-26.620481491088867,1.0251946e-05,1.0,944.0,8.0
1,jpeg_0.025,energy,-25.92397117614746,1.2636105e-05,1.0,1193.0,30.0
2,jpeg_0.025,energy,-17.326866149902344,1.1920928e-07,1.0,279.0,25.0
3,jpeg_0.025,energy,-23.601287841796875,1.1920922e-06,1.0,209.0,2.0
4,jpeg_0.025,energy,-25.49498176574707,5.960463e-07,1.0,229.0,9.0
5,jpeg_0.025,energy,-37.540199279785156,-0.0,1.0,407.0,57.0
6,jpeg_0.025,energy,-31.762842178344727,-0.0,1.0,467.0,12.0
7,jpeg_0.025,energy,-9.084532737731934,0.00023898606,1.0,988.0,14.0
8,jpeg_0.025,energy,-14.681463241577148,0.00024113132,1.0,935.0,14.0
9,jpeg_0.025,energy,-19.81502914428711,2.264974e-06,1.0,1012.0,0.0
10,jpeg_0.025,energy,-22.850587844848633,0.00016449529,1.0,573.0,31.0
11,jpeg_0.025,energy,-22.957780838012695,2.3841855e-07,1.0,503.0,27.0
12,jpeg_0.025,energy,-25.784528732299805,-0.0,1.0,702.0,51.0
13,jpeg_0.025,energy,-7.31044340133667,0.034016512,1.0,884.0,15.0
14,jpeg_0.025,energy,-31.408414840698242,-0.0,1.0,713.0,4.0
15,jpeg_0.025,energy,-36.829856872558594,4.887569e-06,1.0,1174.0,4.0
16,jpeg_0.025,energy,-17.26153564453125,1.1920922e-06,1.0,411.0,50.0
17,jpeg_0.025,energy,-30.352853775024414,0.08013319,1.0,685.0,30.0
18,jpeg_0.025,energy,-9.27877140045166,1.3113013e-06,1.0,146.0,3.0
19,jpeg_0.025,energy,-22.268836975097656,-0.0,1.0,259.0,2.0
20,jpeg_0.025,energy,-18.137807846069336,4.1723165e-06,1.0,662.0,35.0
21,jpeg_0.025,energy,-11.677728652954102,-0.0,1.0,1135.0,41.0
22,jpeg_0.025,energy,-12.34326457977295,-0.0,1.0,128.0,30.0
