,fold,feature_name,feature,loss,acc,idx,class
0,multnoise_0.025,typicality,23511.798828125,9.5367386e-07,1.0,928.0,27.0
1,multnoise_0.025,typicality,16240.86328125,0.0034920922,1.0,1114.0,25.0
2,multnoise_0.025,typicality,17908.197265625,-0.0,1.0,31.0,7.0
3,multnoise_0.025,typicality,16868.216796875,4.1723165e-06,1.0,176.0,57.0
4,multnoise_0.025,typicality,20368.6953125,0.00013219437,1.0,227.0,6.0
5,multnoise_0.025,typicality,10260.03125,1.3004346,0.0,326.0,1.0
6,multnoise_0.025,typicality,22814.26953125,0.0019834624,1.0,32.0,16.0
7,multnoise_0.025,typicality,18578.78125,6.747018e-05,1.0,490.0,9.0
8,multnoise_0.025,typicality,16638.658203125,0.0013765155,1.0,1032.0,13.0
9,multnoise_0.025,typicality,20669.666015625,7.181108,0.0,191.0,28.0
10,multnoise_0.025,typicality,17812.09765625,-0.0,1.0,491.0,57.0
11,multnoise_0.025,typicality,14321.306640625,0.00047541282,1.0,168.0,3.0
12,multnoise_0.025,typicality,15278.8740234375,3.576278e-07,1.0,744.0,50.0
13,multnoise_0.025,typicality,21400.255859375,2.9802277e-06,1.0,382.0,5.0
14,multnoise_0.025,typicality,24643.41015625,0.0025085907,1.0,734.0,42.0
15,multnoise_0.025,typicality,12604.7548828125,0.0013584205,1.0,549.0,7.0
16,multnoise_0.025,typicality,18328.994140625,0.0002412505,1.0,548.0,33.0
17,multnoise_0.025,typicality,12163.9423828125,0.00012218206,1.0,475.0,37.0
18,multnoise_0.025,typicality,16425.89453125,0.007625637,1.0,1160.0,0.0
19,multnoise_0.025,typicality,13491.49609375,1.072883e-06,1.0,1000.0,54.0
20,multnoise_0.025,typicality,21901.7265625,-0.0,1.0,550.0,9.0
21,multnoise_0.025,typicality,14213.357421875,0.00046862112,1.0,1021.0,14.0
22,multnoise_0.025,typicality,15891.2109375,7.684843,0.0,390.0,19.0
23,multnoise_0.025,typicality,21511.3671875,5.2927524e-05,1.0,92.0,26.0
24,multnoise_0.025,typicality,18647.8203125,2.145765e-06,1.0,627.0,2.0
25,multnoise_0.025,typicality,13527.8232421875,0.19961753,1.0,1173.0,12.0
26,multnoise_0.025,typicality,13295.4375,-0.0,1.0,21.0,21.0
27,multnoise_0.025,typicality,12994.7109375,-0.0,1.0,941.0,54.0
28,multnoise_0.025,typicality,18974.544921875,0.22597548,1.0,77.0,37.0
29,multnoise_0.025,typicality,19011.6171875,1.3470559e-05,1.0,284.0,34.0
30,multnoise_0.025,typicality,16213.501953125,1.1444026e-05,1.0,240.0,12.0
31,multnoise_0.025,typicality,16836.564453125,0.8774096,1.0,167.0,58.0
32,multnoise_0.025,typicality,16111.748046875,6.1409616,0.0,467.0,59.0
33,multnoise_0.025,typicality,12903.95703125,7.828996,0.0,279.0,15.0
34,multnoise_0.025,typicality,18914.291015625,0.0015355474,1.0,230.0,21.0
35,multnoise_0.025,typicality,13143.64453125,0.0002719986,1.0,1112.0,28.0
36,multnoise_0.025,typicality,15140.7490234375,0.00017069314,1.0,872.0,54.0
37,multnoise_0.025,typicality,14475.8720703125,0.043637697,1.0,103.0,39.0
38,multnoise_0.025,typicality,13982.708984375,10.573947,0.0,1180.0,52.0
39,multnoise_0.025,typicality,18307.15234375,3.0993935e-05,1.0,546.0,35.0
40,multnoise_0.025,typicality,12954.37109375,2.3841855e-07,1.0,51.0,39.0
41,multnoise_0.025,typicality,20576.83203125,13.5375595,0.0,1205.0,15.0
42,multnoise_0.025,typicality,22240.9296875,1.0728779e-05,1.0,339.0,20.0
43,multnoise_0.025,typicality,16141.529296875,4.613293e-05,1.0,914.0,13.0
44,multnoise_0.025,typicality,20763.37890625,0.0017243054,1.0,372.0,57.0
45,multnoise_0.025,typicality,14519.3056640625,8.344647e-07,1.0,996.0,59.0
46,multnoise_0.025,typicality,16372.0576171875,4.059182,0.0,597.0,31.0
47,multnoise_0.025,typicality,18679.90625,8.511181e-05,1.0,81.0,25.0
48,multnoise_0.025,typicality,17406.40234375,3.2186456e-06,1.0,95.0,28.0
49,multnoise_0.025,typicality,12878.0185546875,-0.0,1.0,276.0,1.0
50,multnoise_0.025,typicality,14882.021484375,0.0033687768,1.0,832.0,14.0
51,multnoise_0.025,typicality,13314.0166015625,0.0019955975,1.0,998.0,50.0
52,multnoise_0.025,typicality,18462.58203125,0.15730597,1.0,188.0,16.0
53,multnoise_0.025,typicality,18982.359375,0.00438609,1.0,308.0,11.0
54,multnoise_0.025,typicality,15189.650390625,0.22809477,1.0,472.0,28.0
55,multnoise_0.025,typicality,15500.6435546875,1.4781843e-05,1.0,46.0,3.0
56,multnoise_0.025,typicality,20228.32421875,1.1920928e-07,1.0,837.0,40.0
57,multnoise_0.025,typicality,20148.7265625,0.00039498156,1.0,454.0,14.0
58,multnoise_0.025,typicality,15295.5380859375,1.1920922e-06,1.0,165.0,26.0
59,multnoise_0.025,typicality,11016.794921875,0.018673925,1.0,617.0,0.0
60,multnoise_0.025,typicality,14916.0361328125,0.00020037073,1.0,91.0,46.0
61,multnoise_0.025,typicality,16519.978515625,1.001353e-05,1.0,386.0,56.0
62,multnoise_0.025,typicality,21032.5546875,-0.0,1.0,707.0,16.0
63,multnoise_0.025,typicality,14649.01953125,4.1007155e-05,1.0,939.0,26.0
64,multnoise_0.025,typicality,13276.1171875,-0.0,1.0,114.0,30.0
65,multnoise_0.025,typicality,26841.736328125,3.366764,0.0,1129.0,25.0
66,multnoise_0.025,typicality,22490.8046875,0.0005367746,1.0,895.0,35.0
67,multnoise_0.025,typicality,17405.603515625,7.210504,0.0,1061.0,0.0
68,multnoise_0.025,typicality,21715.1640625,0.24823068,1.0,1044.0,45.0
69,multnoise_0.025,typicality,12497.064453125,0.00022945156,1.0,813.0,54.0
70,multnoise_0.025,typicality,17230.064453125,5.070711,0.0,90.0,7.0
71,multnoise_0.025,typicality,20432.814453125,-0.0,1.0,1174.0,51.0
72,multnoise_0.025,typicality,16322.580078125,0.004524352,1.0,877.0,20.0
73,multnoise_0.025,typicality,11894.70703125,7.190337,0.0,987.0,25.0
