,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,softmax,0.9999955892562866,71.83721,0.0,748.0,18.0
1,saltpepper_0.025,softmax,0.9996519088745117,90.43773,0.0,76.0,30.0
2,saltpepper_0.025,softmax,0.7194238305091858,44.11051,0.0,147.0,34.0
3,saltpepper_0.025,softmax,0.9940299987792969,124.14457,0.0,485.0,33.0
4,saltpepper_0.025,softmax,0.5554956793785095,114.83122,0.0,339.0,55.0
5,saltpepper_0.025,softmax,0.9040600061416626,8.590772,0.0,496.0,29.0
6,saltpepper_0.025,softmax,0.5217484831809998,67.26424,0.0,555.0,21.0
7,saltpepper_0.025,softmax,0.8735060691833496,76.74929,0.0,239.0,5.0
8,saltpepper_0.025,softmax,0.9919866323471069,79.12302,0.0,152.0,53.0
9,saltpepper_0.025,softmax,0.999947190284729,38.892696,0.0,466.0,39.0
10,saltpepper_0.025,softmax,0.9985275268554688,11.432196,0.0,685.0,9.0
11,saltpepper_0.025,softmax,0.907698392868042,64.72249,0.0,31.0,4.0
12,saltpepper_0.025,softmax,0.4917166829109192,11.803713,0.0,62.0,29.0
13,saltpepper_0.025,softmax,0.8878740072250366,91.42686,0.0,913.0,30.0
14,saltpepper_0.025,softmax,0.9999997615814209,48.506126,0.0,44.0,42.0
15,saltpepper_0.025,softmax,0.8979297876358032,17.101004,0.0,672.0,3.0
16,saltpepper_0.025,softmax,0.9997720122337341,82.36352,0.0,523.0,41.0
17,saltpepper_0.025,softmax,1.0,77.231895,0.0,720.0,48.0
18,saltpepper_0.025,softmax,0.9973719120025635,56.5487,0.0,178.0,22.0
19,saltpepper_0.025,softmax,0.9026718735694885,49.739796,0.0,451.0,34.0
20,saltpepper_0.025,softmax,0.9991090893745422,121.26063,0.0,561.0,26.0
21,saltpepper_0.025,softmax,0.9154062271118164,28.477047,0.0,385.0,47.0
22,saltpepper_0.025,softmax,1.0,121.09232,0.0,571.0,15.0
23,saltpepper_0.025,softmax,0.9070253968238831,8.6780594e-05,1.0,957.0,16.0
24,saltpepper_0.025,softmax,0.8364198803901672,61.99785,0.0,995.0,53.0
25,saltpepper_0.025,softmax,0.9734651446342468,57.32293,0.0,850.0,6.0
26,saltpepper_0.025,softmax,0.8514984250068665,73.2932,0.0,334.0,34.0
27,saltpepper_0.025,softmax,0.9516229629516602,28.151047,0.0,710.0,3.0
28,saltpepper_0.025,softmax,0.9993360638618469,0.12862706,1.0,363.0,16.0
29,saltpepper_0.025,softmax,0.9804018139839172,62.2134,0.0,272.0,30.0
30,saltpepper_0.025,softmax,0.999650239944458,127.01074,0.0,414.0,38.0
31,saltpepper_0.025,softmax,0.9999310970306396,73.85717,0.0,556.0,12.0
32,saltpepper_0.025,softmax,0.9999998807907104,56.931034,0.0,682.0,0.0
33,saltpepper_0.025,softmax,1.0,90.775856,0.0,83.0,42.0
