,fold,feature_name,feature,loss,acc,idx,class
0,smear_0.025,cross_entropy,1376.622314453125,9.655486e-05,1.0,441.0,26.0
1,smear_0.025,cross_entropy,1227.9248046875,0.0005652499,1.0,858.0,11.0
2,smear_0.025,cross_entropy,2093.161376953125,-0.0,1.0,114.0,24.0
3,smear_0.025,cross_entropy,1778.055908203125,2.2700377,0.0,470.0,0.0
4,smear_0.025,cross_entropy,1105.152099609375,0.0018085566,1.0,238.0,46.0
5,smear_0.025,cross_entropy,1447.316650390625,0.00017069314,1.0,1228.0,40.0
6,smear_0.025,cross_entropy,1007.9384155273438,0.00018642595,1.0,302.0,25.0
7,smear_0.025,cross_entropy,1476.210205078125,0.0018492517,1.0,127.0,26.0
8,smear_0.025,cross_entropy,1719.6392822265625,-0.0,1.0,852.0,10.0
9,smear_0.025,cross_entropy,1127.669189453125,0.00052581314,1.0,76.0,2.0
10,smear_0.025,cross_entropy,916.5831298828125,20.43297,0.0,1227.0,15.0
11,smear_0.025,cross_entropy,1010.7393188476562,7.6293654e-06,1.0,870.0,40.0
12,smear_0.025,cross_entropy,1599.9010009765625,1.1920928e-07,1.0,532.0,54.0
13,smear_0.025,cross_entropy,2430.5673828125,0.00062374683,1.0,909.0,53.0
14,smear_0.025,cross_entropy,1667.640869140625,2.0265559e-06,1.0,1119.0,40.0
15,smear_0.025,cross_entropy,1969.2568359375,2.2411095e-05,1.0,62.0,7.0
16,smear_0.025,cross_entropy,1298.4384765625,0.00017248097,1.0,546.0,0.0
17,smear_0.025,cross_entropy,1465.6942138671875,0.00043847485,1.0,343.0,2.0
18,smear_0.025,cross_entropy,1150.2164306640625,0.015295002,1.0,1173.0,53.0
19,smear_0.025,cross_entropy,1677.0634765625,-0.0,1.0,68.0,0.0
20,smear_0.025,cross_entropy,1175.22119140625,3.0437987,0.0,755.0,3.0
21,smear_0.025,cross_entropy,1197.5711669921875,5.6028207e-06,1.0,1164.0,27.0
22,smear_0.025,cross_entropy,1451.7073974609375,0.0012340081,1.0,861.0,42.0
23,smear_0.025,cross_entropy,2379.705322265625,2.145765e-06,1.0,282.0,5.0
24,smear_0.025,cross_entropy,1585.775634765625,9.5367386e-07,1.0,890.0,36.0
25,smear_0.025,cross_entropy,1087.0916748046875,-0.0,1.0,822.0,37.0
26,smear_0.025,cross_entropy,1341.8974609375,3.5166122e-05,1.0,196.0,42.0
27,smear_0.025,cross_entropy,1030.3687744140625,0.000194769,1.0,1027.0,20.0
28,smear_0.025,cross_entropy,1719.3583984375,4.3511553,0.0,1154.0,55.0
29,smear_0.025,cross_entropy,1249.2393798828125,0.00062231725,1.0,1239.0,4.0
30,smear_0.025,cross_entropy,1838.9720458984375,3.4079275,0.0,1127.0,0.0
31,smear_0.025,cross_entropy,2201.392578125,-0.0,1.0,1029.0,48.0
32,smear_0.025,cross_entropy,1484.8289794921875,1.1324818e-05,1.0,979.0,47.0
33,smear_0.025,cross_entropy,1416.760009765625,5.960287e-05,1.0,102.0,51.0
34,smear_0.025,cross_entropy,1505.2410888671875,0.00087389897,1.0,54.0,26.0
35,smear_0.025,cross_entropy,929.5337524414062,12.030393,0.0,1223.0,40.0
36,smear_0.025,cross_entropy,2233.4296875,1.2755313e-05,1.0,1086.0,55.0
37,smear_0.025,cross_entropy,1372.377685546875,0.00015281464,1.0,351.0,12.0
38,smear_0.025,cross_entropy,1042.82177734375,0.00067151885,1.0,551.0,28.0
39,smear_0.025,cross_entropy,1750.860595703125,3.8146245e-05,1.0,43.0,34.0
40,smear_0.025,cross_entropy,1335.580322265625,2.3841855e-07,1.0,486.0,5.0
41,smear_0.025,cross_entropy,2065.75244140625,2.2172682e-05,1.0,1042.0,53.0
42,smear_0.025,cross_entropy,817.980712890625,6.351673,0.0,747.0,10.0
43,smear_0.025,cross_entropy,1963.661376953125,4.577532e-05,1.0,910.0,34.0
44,smear_0.025,cross_entropy,1258.44775390625,6.079655e-06,1.0,774.0,43.0
45,smear_0.025,cross_entropy,2425.47216796875,0.0027592226,1.0,674.0,35.0
46,smear_0.025,cross_entropy,970.962890625,0.001065759,1.0,78.0,1.0
47,smear_0.025,cross_entropy,1769.2689208984375,1.1920928e-07,1.0,138.0,30.0
48,smear_0.025,cross_entropy,2046.073486328125,1.1920928e-07,1.0,1226.0,55.0
49,smear_0.025,cross_entropy,1738.501708984375,6.854299e-05,1.0,700.0,48.0
50,smear_0.025,cross_entropy,1668.4345703125,2.3841855e-07,1.0,356.0,37.0
51,smear_0.025,cross_entropy,2319.69384765625,3.470955,0.0,347.0,52.0
52,smear_0.025,cross_entropy,2022.731201171875,5.960463e-07,1.0,229.0,19.0
53,smear_0.025,cross_entropy,1972.3177490234375,0.052484453,1.0,79.0,33.0
54,smear_0.025,cross_entropy,1159.9677734375,-0.0,1.0,1059.0,37.0
55,smear_0.025,cross_entropy,807.179931640625,1.1920928e-07,1.0,563.0,7.0
56,smear_0.025,cross_entropy,1360.0855712890625,0.0019553844,1.0,916.0,33.0
57,smear_0.025,cross_entropy,1188.8125,1.5497088e-05,1.0,850.0,26.0
58,smear_0.025,cross_entropy,1227.781494140625,1.2993728e-05,1.0,895.0,12.0
59,smear_0.025,cross_entropy,987.2412109375,4.7683704e-07,1.0,616.0,59.0
60,smear_0.025,cross_entropy,1094.566162109375,-0.0,1.0,1065.0,20.0
61,smear_0.025,cross_entropy,1448.699951171875,-0.0,1.0,147.0,0.0
62,smear_0.025,cross_entropy,1651.674560546875,16.907722,0.0,705.0,13.0
63,smear_0.025,cross_entropy,1099.7025146484375,0.0056318897,1.0,415.0,15.0
64,smear_0.025,cross_entropy,1672.161376953125,0.16068965,1.0,262.0,13.0
65,smear_0.025,cross_entropy,1637.46630859375,9.5367386e-07,1.0,531.0,39.0
66,smear_0.025,cross_entropy,1992.85400390625,0.0031507395,1.0,725.0,0.0
67,smear_0.025,cross_entropy,1993.6466064453125,1.3112935e-05,1.0,617.0,7.0
68,smear_0.025,cross_entropy,1178.578857421875,19.14739,0.0,622.0,23.0
69,smear_0.025,cross_entropy,1726.55224609375,6.430208,0.0,449.0,34.0
70,smear_0.025,cross_entropy,1678.50927734375,0.00016675988,1.0,720.0,59.0
71,smear_0.025,cross_entropy,1638.2542724609375,3.1351552e-05,1.0,1187.0,14.0
72,smear_0.025,cross_entropy,1559.177978515625,0.087134,1.0,439.0,24.0
73,smear_0.025,cross_entropy,1976.236572265625,1.3113013e-06,1.0,736.0,51.0
74,smear_0.025,cross_entropy,1102.3497314453125,2.3841855e-07,1.0,1018.0,22.0
75,smear_0.025,cross_entropy,1630.593017578125,7.3909487e-06,1.0,132.0,33.0
76,smear_0.025,cross_entropy,1605.498291015625,-0.0,1.0,978.0,28.0
77,smear_0.025,cross_entropy,1609.270751953125,5.4836123e-06,1.0,1152.0,31.0
78,smear_0.025,cross_entropy,1193.74267578125,0.09878518,1.0,749.0,21.0
79,smear_0.025,cross_entropy,1306.325927734375,1.5973917e-05,1.0,1066.0,59.0
