,fold,feature_name,feature,loss,acc,idx,class
0,adv_0.025,typicality,881845207040.0,9.430671,0.0,203.0,10.0
1,adv_0.025,typicality,3852344064.0,6.2996817,0.0,27.0,27.0
2,adv_0.025,typicality,2198764519424.0,8.910479,0.0,160.0,16.0
3,adv_0.025,typicality,4947355107328.0,2.7804964,0.0,235.0,16.0
4,adv_0.025,typicality,2504997732352.0,9.587992,0.0,214.0,0.0
5,adv_0.025,typicality,1126693076992.0,8.98788,0.0,52.0,20.0
6,adv_0.025,typicality,1799451836416.0,7.2378926,0.0,188.0,16.0
7,adv_0.025,typicality,1786474266624.0,3.497597,0.0,108.0,16.0
8,adv_0.025,typicality,3518891819008.0,3.0638983,0.0,13.0,16.0
9,adv_0.025,typicality,952562286592.0,9.415004,0.0,10.0,12.0
10,adv_0.025,typicality,2217573613568.0,9.107059,0.0,66.0,22.0
11,adv_0.025,typicality,2336420265984.0,15.077138,0.0,127.0,24.0
12,adv_0.025,typicality,977829953536.0,5.1206284,0.0,192.0,16.0
13,adv_0.025,typicality,1658962051072.0,3.823989,0.0,8.0,29.0
14,adv_0.025,typicality,2239098781696.0,11.79839,0.0,173.0,20.0
15,adv_0.025,typicality,1855345000448.0,0.009380669,1.0,262.0,6.0
16,adv_0.025,typicality,545351401472.0,19.164568,0.0,122.0,23.0
17,adv_0.025,typicality,895150981120.0,6.7793317,0.0,33.0,16.0
18,adv_0.025,typicality,4317149134848.0,3.2861996,0.0,92.0,7.0
19,adv_0.025,typicality,2031629893632.0,12.605332,0.0,176.0,29.0
20,adv_0.025,typicality,2611486654464.0,12.099962,0.0,150.0,30.0
21,adv_0.025,typicality,1446485032960.0,15.390493,0.0,44.0,30.0
22,adv_0.025,typicality,1946664828928.0,11.086461,0.0,60.0,27.0
23,adv_0.025,typicality,1843172474880.0,2.6096554,0.0,159.0,6.0
24,adv_0.025,typicality,778762846208.0,1.6296953,0.0,34.0,9.0
25,adv_0.025,typicality,1581999718400.0,0.006350575,1.0,217.0,26.0
26,adv_0.025,typicality,1670275661824.0,7.142006,0.0,193.0,27.0
27,adv_0.025,typicality,1614199914496.0,2.4785752,0.0,233.0,12.0
28,adv_0.025,typicality,958476189696.0,6.1590085,0.0,142.0,12.0
29,adv_0.025,typicality,397669302272.0,2.0950184,0.0,232.0,5.0
30,adv_0.025,typicality,3214793506816.0,0.026441632,1.0,246.0,22.0
31,adv_0.025,typicality,1339063795712.0,6.503654,0.0,110.0,24.0
32,adv_0.025,typicality,1506953003008.0,0.5866514,1.0,29.0,18.0
33,adv_0.025,typicality,400647585792.0,2.9062011,0.0,94.0,15.0
34,adv_0.025,typicality,706219802624.0,6.9004846,0.0,196.0,8.0
35,adv_0.025,typicality,419249979392.0,6.7976503,0.0,96.0,17.0
36,adv_0.025,typicality,734074503168.0,0.49786928,1.0,99.0,18.0
37,adv_0.025,typicality,820567343104.0,4.993495,0.0,88.0,12.0
38,adv_0.025,typicality,1195802099712.0,8.565362,0.0,256.0,21.0
39,adv_0.025,typicality,1394890375168.0,1.2624334,0.0,223.0,19.0
40,adv_0.025,typicality,1428702494720.0,0.81896746,0.0,55.0,29.0
41,adv_0.025,typicality,2470935265280.0,7.8948593,0.0,17.0,28.0
42,adv_0.025,typicality,2257377296384.0,1.2897682,0.0,174.0,5.0
43,adv_0.025,typicality,1301486239744.0,7.116352,0.0,40.0,12.0
44,adv_0.025,typicality,1255085441024.0,1.0088717,1.0,103.0,5.0
45,adv_0.025,typicality,2415859597312.0,0.95975935,1.0,168.0,5.0
46,adv_0.025,typicality,1810018861056.0,0.00796038,1.0,248.0,26.0
47,adv_0.025,typicality,3346328977408.0,5.764061,0.0,117.0,16.0
48,adv_0.025,typicality,2746411909120.0,0.21579064,1.0,1.0,19.0
49,adv_0.025,typicality,271943565312.0,7.1170325,0.0,146.0,29.0
50,adv_0.025,typicality,2824446148608.0,0.041341268,1.0,194.0,13.0
51,adv_0.025,typicality,832439320576.0,1.4462256,0.0,269.0,16.0
52,adv_0.025,typicality,1759002886144.0,0.056500744,1.0,249.0,11.0
53,adv_0.025,typicality,19395454976.0,0.016079629,1.0,152.0,11.0
54,adv_0.025,typicality,3405495402496.0,5.8127565,0.0,151.0,28.0
55,adv_0.025,typicality,11001495552.0,5.363802,0.0,64.0,15.0
56,adv_0.025,typicality,756033388544.0,5.1601644,0.0,50.0,16.0
57,adv_0.025,typicality,907678253056.0,12.619424,0.0,213.0,3.0
58,adv_0.025,typicality,965242781696.0,15.0532055,0.0,79.0,3.0
59,adv_0.025,typicality,2283174100992.0,0.6944633,1.0,172.0,0.0
60,adv_0.025,typicality,2127223324672.0,1.011825,1.0,121.0,15.0
