,fold,feature_name,feature,loss,acc,idx,class
0,jpeg_0.025,cross_entropy,427.5986633300781,3.1983888,0.0,136.0,15.0
1,jpeg_0.025,cross_entropy,270.32562255859375,5.7174277,0.0,191.0,27.0
2,jpeg_0.025,cross_entropy,307.13543701171875,16.049332,0.0,201.0,10.0
3,jpeg_0.025,cross_entropy,445.6654357910156,3.3808293,0.0,223.0,19.0
4,jpeg_0.025,cross_entropy,260.8188171386719,4.652264,0.0,212.0,13.0
5,jpeg_0.025,cross_entropy,328.7119445800781,3.0196142,0.0,185.0,21.0
6,jpeg_0.025,cross_entropy,321.8260498046875,0.54709625,1.0,96.0,17.0
7,jpeg_0.025,cross_entropy,427.88671875,5.2605267,0.0,115.0,8.0
8,jpeg_0.025,cross_entropy,393.71612548828125,0.050412774,1.0,122.0,23.0
9,jpeg_0.025,cross_entropy,263.23760986328125,8.7676935,0.0,199.0,23.0
10,jpeg_0.025,cross_entropy,504.4613037109375,4.892921,0.0,82.0,12.0
11,jpeg_0.025,cross_entropy,332.9132995605469,7.0383615,0.0,120.0,22.0
12,jpeg_0.025,cross_entropy,275.0106201171875,3.490096,0.0,196.0,8.0
13,jpeg_0.025,cross_entropy,260.8268127441406,1.6466978,0.0,18.0,14.0
14,jpeg_0.025,cross_entropy,459.17718505859375,3.0998046,0.0,49.0,26.0
15,jpeg_0.025,cross_entropy,280.2818603515625,3.9164639,0.0,145.0,11.0
16,jpeg_0.025,cross_entropy,295.614013671875,11.214737,0.0,0.0,28.0
17,jpeg_0.025,cross_entropy,391.3504638671875,0.81499255,1.0,11.0,25.0
18,jpeg_0.025,cross_entropy,319.4540710449219,3.7756147,0.0,242.0,17.0
19,jpeg_0.025,cross_entropy,287.20428466796875,5.337169,0.0,130.0,26.0
20,jpeg_0.025,cross_entropy,191.59902954101562,1.7957029,0.0,206.0,14.0
21,jpeg_0.025,cross_entropy,369.3848876953125,8.675914,0.0,262.0,6.0
22,jpeg_0.025,cross_entropy,272.7705078125,0.5247281,1.0,55.0,29.0
23,jpeg_0.025,cross_entropy,295.72613525390625,5.862747,0.0,107.0,23.0
24,jpeg_0.025,cross_entropy,289.76947021484375,10.475778,0.0,280.0,25.0
25,jpeg_0.025,cross_entropy,324.42919921875,12.543366,0.0,219.0,0.0
26,jpeg_0.025,cross_entropy,279.24676513671875,0.0059338836,1.0,236.0,2.0
27,jpeg_0.025,cross_entropy,386.7423095703125,1.4494773,0.0,230.0,14.0
28,jpeg_0.025,cross_entropy,242.68247985839844,2.0515234,0.0,156.0,15.0
29,jpeg_0.025,cross_entropy,429.0238342285156,21.579906,0.0,270.0,27.0
30,jpeg_0.025,cross_entropy,341.9234619140625,3.127955,0.0,207.0,22.0
31,jpeg_0.025,cross_entropy,517.1708984375,0.0056881947,1.0,180.0,3.0
32,jpeg_0.025,cross_entropy,327.6784973144531,2.1025407,0.0,56.0,15.0
33,jpeg_0.025,cross_entropy,276.61273193359375,2.506846,0.0,5.0,9.0
34,jpeg_0.025,cross_entropy,542.5103759765625,10.509578,0.0,214.0,0.0
35,jpeg_0.025,cross_entropy,244.40896606445312,1.1718727,0.0,105.0,23.0
36,jpeg_0.025,cross_entropy,325.0765380859375,10.360013,0.0,103.0,5.0
37,jpeg_0.025,cross_entropy,269.8282470703125,0.00394495,1.0,198.0,18.0
38,jpeg_0.025,cross_entropy,309.63531494140625,15.765056,0.0,10.0,12.0
39,jpeg_0.025,cross_entropy,446.5164794921875,10.2762165,0.0,26.0,6.0
40,jpeg_0.025,cross_entropy,310.7687683105469,9.15102,0.0,127.0,24.0
41,jpeg_0.025,cross_entropy,260.1947021484375,0.55521923,1.0,69.0,29.0
42,jpeg_0.025,cross_entropy,375.1158142089844,8.138224,0.0,275.0,20.0
43,jpeg_0.025,cross_entropy,294.8265075683594,1.9137341,0.0,73.0,6.0
44,jpeg_0.025,cross_entropy,359.6883544921875,2.0725117,0.0,182.0,9.0
45,jpeg_0.025,cross_entropy,349.4921875,13.120928,0.0,263.0,5.0
46,jpeg_0.025,cross_entropy,396.30963134765625,11.655697,0.0,241.0,21.0
47,jpeg_0.025,cross_entropy,714.4307861328125,4.041106,0.0,249.0,11.0
48,jpeg_0.025,cross_entropy,244.71035766601562,2.4769995,0.0,197.0,26.0
49,jpeg_0.025,cross_entropy,339.62957763671875,5.747379,0.0,143.0,11.0
50,jpeg_0.025,cross_entropy,296.96453857421875,1.4783616,0.0,27.0,27.0
51,jpeg_0.025,cross_entropy,332.29693603515625,5.3441825,0.0,126.0,17.0
52,jpeg_0.025,cross_entropy,361.11065673828125,2.8027968,0.0,117.0,16.0
53,jpeg_0.025,cross_entropy,296.1495361328125,1.9641979,0.0,221.0,17.0
54,jpeg_0.025,cross_entropy,464.02252197265625,6.037876,0.0,238.0,9.0
55,jpeg_0.025,cross_entropy,288.11285400390625,3.9289072,0.0,13.0,16.0
56,jpeg_0.025,cross_entropy,448.05810546875,6.4372807e-06,1.0,271.0,25.0
57,jpeg_0.025,cross_entropy,240.46932983398438,0.7573597,0.0,79.0,3.0
58,jpeg_0.025,cross_entropy,421.3193054199219,2.6771595,0.0,23.0,17.0
59,jpeg_0.025,cross_entropy,350.16253662109375,4.4908843,0.0,66.0,22.0
60,jpeg_0.025,cross_entropy,506.7519226074219,5.157671,0.0,192.0,16.0
61,jpeg_0.025,cross_entropy,320.45709228515625,6.3736305,0.0,43.0,22.0
62,jpeg_0.025,cross_entropy,289.87530517578125,0.09236704,1.0,14.0,9.0
63,jpeg_0.025,cross_entropy,461.20037841796875,5.67164,0.0,70.0,23.0
64,jpeg_0.025,cross_entropy,442.14593505859375,2.4590306,0.0,245.0,17.0
65,jpeg_0.025,cross_entropy,272.875244140625,3.4191077,0.0,118.0,30.0
66,jpeg_0.025,cross_entropy,449.0750732421875,1.2344344,0.0,227.0,7.0
67,jpeg_0.025,cross_entropy,261.2791748046875,13.546199,0.0,110.0,24.0
68,jpeg_0.025,cross_entropy,286.01544189453125,7.309923,0.0,183.0,2.0
69,jpeg_0.025,cross_entropy,394.35626220703125,4.075302,0.0,31.0,30.0
70,jpeg_0.025,cross_entropy,331.916015625,5.8557396,0.0,46.0,4.0
71,jpeg_0.025,cross_entropy,351.921875,1.1393926,0.0,116.0,17.0
72,jpeg_0.025,cross_entropy,277.0343933105469,8.86903,0.0,1.0,19.0
73,jpeg_0.025,cross_entropy,363.6192626953125,5.114408,0.0,188.0,16.0
74,jpeg_0.025,cross_entropy,375.7873840332031,0.40610498,1.0,64.0,15.0
75,jpeg_0.025,cross_entropy,386.95684814453125,9.5472975,0.0,261.0,24.0
76,jpeg_0.025,cross_entropy,336.2296447753906,11.405514,0.0,274.0,23.0
77,jpeg_0.025,cross_entropy,226.97958374023438,3.490096,0.0,224.0,8.0
78,jpeg_0.025,cross_entropy,353.9924011230469,1.9844862,0.0,213.0,3.0
79,jpeg_0.025,cross_entropy,395.9664611816406,11.096784,0.0,237.0,1.0
80,jpeg_0.025,cross_entropy,259.35870361328125,7.7313514,0.0,174.0,5.0
81,jpeg_0.025,cross_entropy,354.8719177246094,2.9145048,0.0,170.0,13.0
82,jpeg_0.025,cross_entropy,562.4229736328125,4.7098947,0.0,208.0,11.0
83,jpeg_0.025,cross_entropy,252.99964904785156,0.3476975,1.0,273.0,14.0
84,jpeg_0.025,cross_entropy,392.361328125,7.13928,0.0,139.0,0.0
85,jpeg_0.025,cross_entropy,355.82470703125,9.311885,0.0,89.0,21.0
86,jpeg_0.025,cross_entropy,353.154541015625,6.9906454,0.0,194.0,13.0
87,jpeg_0.025,cross_entropy,417.8271179199219,3.3214407,0.0,6.0,14.0
88,jpeg_0.025,cross_entropy,304.12646484375,0.036501303,1.0,101.0,3.0
89,jpeg_0.025,cross_entropy,458.874267578125,3.8197412,0.0,161.0,11.0
90,jpeg_0.025,cross_entropy,269.701416015625,7.2173724,0.0,276.0,26.0
91,jpeg_0.025,cross_entropy,447.85614013671875,5.168463,0.0,34.0,9.0
92,jpeg_0.025,cross_entropy,381.2476501464844,0.04086304,1.0,59.0,7.0
93,jpeg_0.025,cross_entropy,486.967529296875,0.07511981,1.0,247.0,18.0
94,jpeg_0.025,cross_entropy,359.3975830078125,3.5162091,0.0,164.0,12.0
95,jpeg_0.025,cross_entropy,389.8543395996094,2.8073967,0.0,226.0,11.0
96,jpeg_0.025,cross_entropy,267.20355224609375,0.009643753,1.0,277.0,26.0
97,jpeg_0.025,cross_entropy,277.295654296875,10.488361,0.0,109.0,10.0
98,jpeg_0.025,cross_entropy,429.3691101074219,11.557252,0.0,255.0,27.0
99,jpeg_0.025,cross_entropy,369.4687805175781,18.53989,0.0,61.0,10.0
100,jpeg_0.025,cross_entropy,369.939453125,3.45043,0.0,281.0,0.0
101,jpeg_0.025,cross_entropy,343.440185546875,9.931562,0.0,233.0,12.0
102,jpeg_0.025,cross_entropy,417.01123046875,6.197274,0.0,190.0,28.0
103,jpeg_0.025,cross_entropy,311.0433349609375,5.2042108,0.0,155.0,28.0
104,jpeg_0.025,cross_entropy,292.9715270996094,2.958586,0.0,211.0,25.0
105,jpeg_0.025,cross_entropy,283.3460693359375,11.5630245,0.0,259.0,9.0
106,jpeg_0.025,cross_entropy,233.53115844726562,3.7178733,0.0,248.0,26.0
107,jpeg_0.025,cross_entropy,296.36090087890625,0.1763503,1.0,106.0,30.0
108,jpeg_0.025,cross_entropy,331.6712951660156,10.367093,0.0,2.0,16.0
109,jpeg_0.025,cross_entropy,275.46453857421875,0.0230776,1.0,131.0,7.0
110,jpeg_0.025,cross_entropy,438.1875,3.4852343,0.0,252.0,23.0
111,jpeg_0.025,cross_entropy,366.310546875,2.3827498,0.0,65.0,6.0
112,jpeg_0.025,cross_entropy,249.82012939453125,1.2875154,0.0,158.0,7.0
113,jpeg_0.025,cross_entropy,641.2825927734375,7.3745337,0.0,74.0,19.0
114,jpeg_0.025,cross_entropy,488.0748291015625,0.70424116,1.0,137.0,13.0
115,jpeg_0.025,cross_entropy,260.1947021484375,0.0076533197,1.0,135.0,14.0
116,jpeg_0.025,cross_entropy,319.8920593261719,0.13880707,1.0,114.0,9.0
117,jpeg_0.025,cross_entropy,358.2852783203125,3.1859672,0.0,172.0,0.0
118,jpeg_0.025,cross_entropy,363.3681335449219,0.9136383,1.0,112.0,12.0
119,jpeg_0.025,cross_entropy,286.5384216308594,5.923112,0.0,210.0,24.0
120,jpeg_0.025,cross_entropy,438.98663330078125,18.153742,0.0,184.0,5.0
121,jpeg_0.025,cross_entropy,360.37542724609375,1.8783977,0.0,138.0,21.0
122,jpeg_0.025,cross_entropy,251.35958862304688,0.2019767,1.0,37.0,11.0
123,jpeg_0.025,cross_entropy,269.096923828125,9.611106,0.0,17.0,28.0
124,jpeg_0.025,cross_entropy,392.37994384765625,1.2149062,1.0,160.0,16.0
125,jpeg_0.025,cross_entropy,356.0566711425781,7.9398084,0.0,200.0,9.0
126,jpeg_0.025,cross_entropy,468.5198669433594,0.8972435,0.0,146.0,29.0
127,jpeg_0.025,cross_entropy,352.14019775390625,0.1689066,1.0,154.0,14.0
128,jpeg_0.025,cross_entropy,302.609130859375,0.0016561139,1.0,35.0,15.0
