Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.025,ind_val,fog,0.025,0.4014423076923077,0.5961538461538461,0.4987980769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.05,ind_val,fog,0.05,0.40444711538461536,0.5961538461538461,0.5003004807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.07500000000000001,ind_val,fog,0.07500000000000001,0.4104567307692308,0.5961538461538461,0.5033052884615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.1,ind_val,fog,0.1,0.4098557692307692,0.5961538461538461,0.5030048076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.125,ind_val,fog,0.125,0.41346153846153844,0.5961538461538461,0.5048076923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.15000000000000002,ind_val,fog,0.15000000000000002,0.4104567307692308,0.5961538461538461,0.5033052884615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.17500000000000002,ind_val,fog,0.17500000000000002,0.4206730769230769,0.5961538461538461,0.5084134615384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.2,ind_val,fog,0.2,0.41947115384615385,0.5961538461538461,0.5078125
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.225,ind_val,fog,0.225,0.40444711538461536,0.5961538461538461,0.5003004807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.25,ind_val,fog,0.25,0.4092548076923077,0.5961538461538461,0.5027043269230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.275,ind_val,fog,0.275,0.4074519230769231,0.5961538461538461,0.5018028846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.30000000000000004,ind_val,fog,0.30000000000000004,0.42728365384615385,0.5961538461538461,0.51171875
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.325,ind_val,fog,0.325,0.42427884615384615,0.5961538461538461,0.5102163461538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.35000000000000003,ind_val,fog,0.35000000000000003,0.42247596153846156,0.5961538461538461,0.5093149038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.375,ind_val,fog,0.375,0.4230769230769231,0.5961538461538461,0.5096153846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.4,ind_val,fog,0.4,0.4206730769230769,0.5961538461538461,0.5084134615384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.42500000000000004,ind_val,fog,0.42500000000000004,0.42367788461538464,0.5961538461538461,0.5099158653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.45,ind_val,fog,0.45,0.4326923076923077,0.5961538461538461,0.5144230769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.47500000000000003,ind_val,fog,0.47500000000000003,0.43569711538461536,0.5961538461538461,0.5159254807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,fog_0.5,ind_val,fog,0.5,0.4362980769230769,0.5961538461538461,0.5162259615384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.025,ind_val,jpeg,0.025,0.3948317307692308,0.5961538461538461,0.49549278846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.05,ind_val,jpeg,0.05,0.40024038461538464,0.5961538461538461,0.4981971153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.07500000000000001,ind_val,jpeg,0.07500000000000001,0.39903846153846156,0.5961538461538461,0.49759615384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.1,ind_val,jpeg,0.1,0.40685096153846156,0.5961538461538461,0.5015024038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.125,ind_val,jpeg,0.125,0.40685096153846156,0.5961538461538461,0.5015024038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.15000000000000002,ind_val,jpeg,0.15000000000000002,0.4152644230769231,0.5961538461538461,0.5057091346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.17500000000000002,ind_val,jpeg,0.17500000000000002,0.41646634615384615,0.5961538461538461,0.5063100961538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.2,ind_val,jpeg,0.2,0.42367788461538464,0.5961538461538461,0.5099158653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.225,ind_val,jpeg,0.225,0.42427884615384615,0.5961538461538461,0.5102163461538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.25,ind_val,jpeg,0.25,0.42367788461538464,0.5961538461538461,0.5099158653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.275,ind_val,jpeg,0.275,0.42908653846153844,0.5961538461538461,0.5126201923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.30000000000000004,ind_val,jpeg,0.30000000000000004,0.4308894230769231,0.5961538461538461,0.5135216346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.325,ind_val,jpeg,0.325,0.43689903846153844,0.5961538461538461,0.5165264423076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.35000000000000003,ind_val,jpeg,0.35000000000000003,0.43509615384615385,0.5961538461538461,0.515625
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.375,ind_val,jpeg,0.375,0.4296875,0.5961538461538461,0.5129206730769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.4,ind_val,jpeg,0.4,0.4375,0.5961538461538461,0.5168269230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.42500000000000004,ind_val,jpeg,0.42500000000000004,0.4375,0.5961538461538461,0.5168269230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.45,ind_val,jpeg,0.45,0.43810096153846156,0.5961538461538461,0.5171274038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.47500000000000003,ind_val,jpeg,0.47500000000000003,0.43810096153846156,0.5961538461538461,0.5171274038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.5,ind_val,jpeg,0.5,0.4423076923076923,0.5961538461538461,0.5192307692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.025,ind_val,contrast,0.025,0.4065504807692308,0.5961538461538461,0.5013521634615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.05,ind_val,contrast,0.05,0.4128605769230769,0.5961538461538461,0.5045072115384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.07500000000000001,ind_val,contrast,0.07500000000000001,0.42247596153846156,0.5961538461538461,0.5093149038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.1,ind_val,contrast,0.1,0.4293870192307692,0.5961538461538461,0.5127704326923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.125,ind_val,contrast,0.125,0.43569711538461536,0.5961538461538461,0.5159254807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.15000000000000002,ind_val,contrast,0.15000000000000002,0.43960336538461536,0.5961538461538461,0.5178786057692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.17500000000000002,ind_val,contrast,0.17500000000000002,0.4456129807692308,0.5961538461538461,0.5208834134615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.2,ind_val,contrast,0.2,0.4540264423076923,0.5961538461538461,0.5250901442307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.225,ind_val,contrast,0.225,0.45883413461538464,0.5961538461538461,0.5274939903846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.25,ind_val,contrast,0.25,0.46694711538461536,0.5961538461538461,0.5315504807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.275,ind_val,contrast,0.275,0.47205528846153844,0.5961538461538461,0.5341045673076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.30000000000000004,ind_val,contrast,0.30000000000000004,0.47866586538461536,0.5961538461538461,0.5374098557692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.325,ind_val,contrast,0.325,0.4879807692307692,0.5961538461538461,0.5420673076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.35000000000000003,ind_val,contrast,0.35000000000000003,0.48828125,0.5961538461538461,0.5422175480769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.375,ind_val,contrast,0.375,0.48197115384615385,0.5961538461538461,0.5390625
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.4,ind_val,contrast,0.4,0.47836538461538464,0.5961538461538461,0.5372596153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.42500000000000004,ind_val,contrast,0.42500000000000004,0.4738581730769231,0.5961538461538461,0.5350060096153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.45,ind_val,contrast,0.45,0.47265625,0.5961538461538461,0.5344050480769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.47500000000000003,ind_val,contrast,0.47500000000000003,0.4675480769230769,0.5961538461538461,0.5318509615384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.5,ind_val,contrast,0.5,0.46424278846153844,0.5961538461538461,0.5301983173076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.025,ind_val,saltpepper,0.025,0.27524038461538464,0.5961538461538461,0.4356971153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.05,ind_val,saltpepper,0.05,0.28966346153846156,0.5961538461538461,0.44290865384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.07500000000000001,ind_val,saltpepper,0.07500000000000001,0.30408653846153844,0.5961538461538461,0.4501201923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.1,ind_val,saltpepper,0.1,0.3317307692307692,0.5961538461538461,0.4639423076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.125,ind_val,saltpepper,0.125,0.3557692307692308,0.5961538461538461,0.47596153846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.15000000000000002,ind_val,saltpepper,0.15000000000000002,0.3605769230769231,0.5961538461538461,0.4783653846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.17500000000000002,ind_val,saltpepper,0.17500000000000002,0.3707932692307692,0.5961538461538461,0.4834735576923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.2,ind_val,saltpepper,0.2,0.3798076923076923,0.5961538461538461,0.4879807692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.225,ind_val,saltpepper,0.225,0.3858173076923077,0.5961538461538461,0.4909855769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.25,ind_val,saltpepper,0.25,0.3918269230769231,0.5961538461538461,0.4939903846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.275,ind_val,saltpepper,0.275,0.4128605769230769,0.5961538461538461,0.5045072115384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.30000000000000004,ind_val,saltpepper,0.30000000000000004,0.42427884615384615,0.5961538461538461,0.5102163461538461
