,fold,feature_name,feature,loss,acc,idx,class
0,fog_0.025,grad_magnitude,6.288683891296387,3.2901222e-05,1.0,996.0,9.0
1,fog_0.025,grad_magnitude,6.647566318511963,0.035509713,1.0,1076.0,7.0
2,fog_0.025,grad_magnitude,11.96943187713623,9.137342,0.0,435.0,5.0
3,fog_0.025,grad_magnitude,19.62660789489746,0.00026985342,1.0,1576.0,6.0
4,fog_0.025,grad_magnitude,38.22166442871094,6.89278,0.0,646.0,0.0
5,fog_0.025,grad_magnitude,5.451327800750732,4.5589375,0.0,187.0,2.0
6,fog_0.025,grad_magnitude,6.246873378753662,4.1722382e-05,1.0,1596.0,8.0
7,fog_0.025,grad_magnitude,5.321293830871582,7.9747835e-05,1.0,658.0,0.0
8,fog_0.025,grad_magnitude,10.133078575134277,5.090107e-05,1.0,98.0,9.0
9,fog_0.025,grad_magnitude,25.190099716186523,8.827751,0.0,543.0,9.0
10,fog_0.025,grad_magnitude,1.7053160667419434,0.67049867,1.0,698.0,7.0
11,fog_0.025,grad_magnitude,24.31230926513672,4.9828242e-05,1.0,128.0,8.0
12,fog_0.025,grad_magnitude,22.561365127563477,0.00016068121,1.0,1416.0,7.0
13,fog_0.025,grad_magnitude,23.825122833251953,4.9947444e-05,1.0,1129.0,7.0
14,fog_0.025,grad_magnitude,23.657033920288086,0.0027665934,1.0,329.0,2.0
15,fog_0.025,grad_magnitude,14.525160789489746,2.0265559e-06,1.0,510.0,11.0
16,fog_0.025,grad_magnitude,6.083116054534912,5.093982,0.0,998.0,7.0
17,fog_0.025,grad_magnitude,24.144399642944336,1.4543428e-05,1.0,807.0,5.0
18,fog_0.025,grad_magnitude,8.292487144470215,10.388456,0.0,1270.0,7.0
19,fog_0.025,grad_magnitude,62.3394775390625,10.51317,0.0,1035.0,0.0
20,fog_0.025,grad_magnitude,10.300668716430664,0.0029132804,1.0,1588.0,1.0
21,fog_0.025,grad_magnitude,9.8572359085083,12.253036,0.0,1359.0,0.0
22,fog_0.025,grad_magnitude,2.6451427936553955,0.00012540031,1.0,733.0,0.0
23,fog_0.025,grad_magnitude,14.300199508666992,1.8477269e-05,1.0,1133.0,7.0
24,fog_0.025,grad_magnitude,15.005800247192383,1.6093125e-05,1.0,721.0,7.0
25,fog_0.025,grad_magnitude,14.86613941192627,6.381787,0.0,93.0,6.0
26,fog_0.025,grad_magnitude,1.5856274366378784,3.010611,0.0,132.0,9.0
27,fog_0.025,grad_magnitude,23.793010711669922,0.00046778703,1.0,585.0,1.0
28,fog_0.025,grad_magnitude,9.473282814025879,5.2088346,0.0,792.0,0.0
29,fog_0.025,grad_magnitude,5.143660068511963,0.17747894,1.0,992.0,0.0
30,fog_0.025,grad_magnitude,64.99933624267578,3.933829e-05,1.0,1478.0,7.0
31,fog_0.025,grad_magnitude,23.54500389099121,2.324554e-05,1.0,298.0,2.0
32,fog_0.025,grad_magnitude,38.673465728759766,5.566919e-05,1.0,511.0,7.0
33,fog_0.025,grad_magnitude,24.032228469848633,3.2066786e-05,1.0,783.0,2.0
34,fog_0.025,grad_magnitude,25.790220260620117,0.0013834201,1.0,427.0,9.0
35,fog_0.025,grad_magnitude,9.197492599487305,2.9086643e-05,1.0,1384.0,7.0
36,fog_0.025,grad_magnitude,2.421788454055786,6.2093625,0.0,109.0,6.0
37,fog_0.025,grad_magnitude,7.6169281005859375,1.1203306,0.0,413.0,7.0
38,fog_0.025,grad_magnitude,2.55169677734375,3.5762723e-06,1.0,88.0,11.0
39,fog_0.025,grad_magnitude,24.01473045349121,1.3715973,0.0,354.0,7.0
40,fog_0.025,grad_magnitude,5.673484802246094,10.308006,0.0,1096.0,14.0
41,fog_0.025,grad_magnitude,6.6132307052612305,10.205944,0.0,1199.0,0.0
42,fog_0.025,grad_magnitude,33.50508117675781,10.049503,0.0,40.0,0.0
43,fog_0.025,grad_magnitude,45.3060188293457,6.484775e-05,1.0,834.0,7.0
44,fog_0.025,grad_magnitude,25.960086822509766,2.145765e-06,1.0,971.0,11.0
45,fog_0.025,grad_magnitude,6.777640342712402,4.088795e-05,1.0,414.0,1.0
46,fog_0.025,grad_magnitude,12.27586555480957,4.5227537,0.0,431.0,6.0
47,fog_0.025,grad_magnitude,5.100841045379639,2.7021694,0.0,419.0,5.0
48,fog_0.025,grad_magnitude,17.60860252380371,7.7602235e-05,1.0,1206.0,6.0
49,fog_0.025,grad_magnitude,2.0029356479644775,5.6026798e-05,1.0,1393.0,0.0
50,fog_0.025,grad_magnitude,11.884271621704102,5.7218822e-05,1.0,1316.0,3.0
51,fog_0.025,grad_magnitude,27.59233856201172,0.00062791654,1.0,726.0,9.0
52,fog_0.025,grad_magnitude,3.202688455581665,10.356083,0.0,1268.0,5.0
53,fog_0.025,grad_magnitude,17.74924659729004,0.0002478054,1.0,900.0,9.0
54,fog_0.025,grad_magnitude,8.109034538269043,4.2676016e-05,1.0,1560.0,3.0
55,fog_0.025,grad_magnitude,7.241751194000244,12.263486,0.0,1119.0,14.0
56,fog_0.025,grad_magnitude,60.14179992675781,2.5152844e-05,1.0,156.0,6.0
57,fog_0.025,grad_magnitude,19.876018524169922,0.0016897937,1.0,1280.0,1.0
58,fog_0.025,grad_magnitude,17.298852920532227,5.6384404e-05,1.0,207.0,6.0
59,fog_0.025,grad_magnitude,2.9980194568634033,6.039309,0.0,852.0,0.0
60,fog_0.025,grad_magnitude,37.07717514038086,6.639737e-05,1.0,134.0,0.0
61,fog_0.025,grad_magnitude,28.611967086791992,3.6477377e-05,1.0,13.0,7.0
62,fog_0.025,grad_magnitude,10.51868724822998,1.8238856e-05,1.0,1442.0,7.0
63,fog_0.025,grad_magnitude,2.159133195877075,6.7708585e-05,1.0,934.0,0.0
64,fog_0.025,grad_magnitude,25.976905822753906,9.548208e-05,1.0,1544.0,9.0
65,fog_0.025,grad_magnitude,10.281145095825195,3.8518507,0.0,765.0,9.0
66,fog_0.025,grad_magnitude,8.386299133300781,1.186698,0.0,614.0,0.0
