,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,grad_magnitude,5.673894882202148,8.144079,0.0,1629.0,0.0
1,saltpepper_0.025,grad_magnitude,16.61469841003418,7.905947,0.0,58.0,0.0
2,saltpepper_0.025,grad_magnitude,20.413990020751953,1.5841882,0.0,951.0,6.0
3,saltpepper_0.025,grad_magnitude,17.309438705444336,8.513868,0.0,1510.0,0.0
4,saltpepper_0.025,grad_magnitude,12.421401023864746,7.0178695,0.0,775.0,1.0
5,saltpepper_0.025,grad_magnitude,5.737597942352295,0.073463134,1.0,958.0,7.0
6,saltpepper_0.025,grad_magnitude,8.912217140197754,7.0558424,0.0,611.0,0.0
7,saltpepper_0.025,grad_magnitude,16.427520751953125,3.2392147,0.0,1439.0,6.0
8,saltpepper_0.025,grad_magnitude,17.98719024658203,0.25668254,1.0,387.0,6.0
9,saltpepper_0.025,grad_magnitude,13.411843299865723,0.15671563,1.0,832.0,7.0
10,saltpepper_0.025,grad_magnitude,17.009355545043945,1.3222167,0.0,1514.0,3.0
11,saltpepper_0.025,grad_magnitude,11.036320686340332,8.274463,0.0,272.0,6.0
12,saltpepper_0.025,grad_magnitude,13.888168334960938,2.5180087,0.0,704.0,3.0
13,saltpepper_0.025,grad_magnitude,10.944089889526367,10.29358,0.0,1653.0,4.0
14,saltpepper_0.025,grad_magnitude,13.595647811889648,6.923515,0.0,547.0,0.0
15,saltpepper_0.025,grad_magnitude,13.099443435668945,7.4237347,0.0,843.0,4.0
16,saltpepper_0.025,grad_magnitude,9.531898498535156,5.9169855,0.0,1196.0,9.0
17,saltpepper_0.025,grad_magnitude,10.722826957702637,9.323154,0.0,1327.0,14.0
18,saltpepper_0.025,grad_magnitude,5.587207794189453,7.477134,0.0,1226.0,6.0
19,saltpepper_0.025,grad_magnitude,9.951406478881836,7.289973,0.0,1023.0,0.0
20,saltpepper_0.025,grad_magnitude,8.562049865722656,7.864007,0.0,174.0,0.0
21,saltpepper_0.025,grad_magnitude,15.700630187988281,0.00017498393,1.0,1268.0,5.0
22,saltpepper_0.025,grad_magnitude,16.964229583740234,5.9601645,0.0,1251.0,2.0
23,saltpepper_0.025,grad_magnitude,10.988494873046875,8.355101,0.0,647.0,3.0
24,saltpepper_0.025,grad_magnitude,7.1374287605285645,1.2494822,1.0,1080.0,6.0
25,saltpepper_0.025,grad_magnitude,9.966516494750977,0.9601241,0.0,1300.0,7.0
26,saltpepper_0.025,grad_magnitude,13.022237777709961,6.3422775,0.0,987.0,9.0
27,saltpepper_0.025,grad_magnitude,20.748823165893555,5.299619,0.0,1609.0,9.0
28,saltpepper_0.025,grad_magnitude,13.096451759338379,7.860026,0.0,622.0,0.0
29,saltpepper_0.025,grad_magnitude,9.868688583374023,10.345599,0.0,86.0,2.0
30,saltpepper_0.025,grad_magnitude,7.112299919128418,9.4066,0.0,1355.0,1.0
