,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.0,2.0265559e-06,1.0,4.0,0.0
1,train,rabanser,0.0,0.042371314,1.0,7.0,0.0
2,train,rabanser,0.0,0.0067244666,1.0,13.0,0.0
3,train,rabanser,0.0,0.13150863,1.0,14.0,0.0
4,train,rabanser,0.0,2.0265559e-06,1.0,32.0,0.0
5,train,rabanser,0.0,0.11189939,1.0,38.0,0.0
6,train,rabanser,0.0,2.7418098e-06,1.0,39.0,0.0
7,train,rabanser,0.0,0.16865718,1.0,45.0,0.0
8,train,rabanser,0.0,1.5973917e-05,1.0,53.0,0.0
9,train,rabanser,0.0,6.079489e-05,1.0,59.0,0.0
10,train,rabanser,0.0,2.3841855e-07,1.0,61.0,0.0
11,train,rabanser,0.0,2.622601e-06,1.0,65.0,0.0
12,train,rabanser,0.0,3.2186456e-06,1.0,87.0,0.0
13,train,rabanser,0.0,0.19903378,1.0,88.0,0.0
14,train,rabanser,0.0,0.0001296913,1.0,92.0,0.0
15,train,rabanser,0.0,0.13075863,1.0,107.0,0.0
16,train,rabanser,0.0,0.20585059,1.0,111.0,0.0
17,train,rabanser,0.0,3.635817e-05,1.0,114.0,0.0
18,train,rabanser,0.0,1.1920928e-07,1.0,115.0,0.0
19,train,rabanser,0.0,8.344647e-07,1.0,124.0,0.0
20,train,rabanser,0.0,0.032167327,1.0,136.0,0.0
21,train,rabanser,0.0,7.8079036e-05,1.0,146.0,0.0
22,train,rabanser,0.0,0.0003482689,1.0,147.0,0.0
23,train,rabanser,0.0,0.004067245,1.0,155.0,0.0
24,train,rabanser,0.0,0.10465983,1.0,159.0,0.0
25,train,rabanser,0.0,0.08426385,1.0,162.0,0.0
26,train,rabanser,0.0,0.006635418,1.0,163.0,0.0
27,train,rabanser,0.0,0.15534441,1.0,175.0,0.0
28,train,rabanser,0.0,0.020869313,1.0,181.0,0.0
29,train,rabanser,0.0,4.7683704e-07,1.0,183.0,0.0
30,train,rabanser,0.0,0.000849363,1.0,195.0,0.0
31,train,rabanser,0.0,0.0029796036,1.0,196.0,0.0
32,train,rabanser,0.0,0.017170584,1.0,197.0,0.0
33,train,rabanser,0.0,2.1021867,0.0,198.0,0.0
34,train,rabanser,0.0,0.27576023,1.0,202.0,0.0
35,train,rabanser,0.0,0.30275768,1.0,205.0,0.0
36,train,rabanser,0.0,0.11850376,1.0,209.0,0.0
37,train,rabanser,0.0,0.00585472,1.0,217.0,0.0
38,train,rabanser,0.0,0.1550291,1.0,218.0,0.0
