,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.7098781067468674,0.020180851,1.0,0.0,8.0
1,train,rabanser,0.7207680114439692,0.0003467197,1.0,1.0,3.0
2,train,rabanser,0.7570637422711478,0.018919954,1.0,2.0,7.0
3,train,rabanser,0.7309915052568703,-0.0,1.0,3.0,11.0
4,ind_val,rabanser,0.539066240380809,0.013589136,1.0,0.0,2.0
5,ind_val,rabanser,0.5218354882661949,0.001428537,1.0,1.0,6.0
6,ind_val,rabanser,0.48390172424084615,0.007077504,1.0,2.0,7.0
7,ind_val,rabanser,0.5028791846821572,1.2516897e-05,1.0,3.0,1.0
8,ind_test,rabanser,0.5323301241500394,4.7683704e-07,1.0,0.0,0.0
9,ind_test,rabanser,0.49849458576870376,0.009622501,1.0,1.0,7.0
10,ind_test,rabanser,0.5316517411645708,0.25744358,1.0,2.0,7.0
11,ind_test,rabanser,0.5343668924633069,-0.0,1.0,3.0,5.0
12,OoD Val,rabanser,0.4723144273124889,29.185776,0.0,0.0,3.0
13,OoD Val,rabanser,0.45045106290287845,0.0054299957,1.0,1.0,0.0
14,OoD Val,rabanser,0.45871608130639174,0.44395742,1.0,2.0,0.0
15,OoD Val,rabanser,0.45786323005018154,11.498423,0.0,3.0,7.0
16,OoD Test,rabanser,0.48804851759106704,0.42446503,1.0,0.0,1.0
17,OoD Test,rabanser,0.4399381222474722,13.668818,0.0,1.0,1.0
18,OoD Test,rabanser,0.471234538368784,5.72465,0.0,2.0,5.0
19,OoD Test,rabanser,0.4549939511334892,7.2629585,0.0,3.0,7.0
