,fold,feature_name,feature,loss,acc,idx,class
0,train,knn,0.0,5.0185852e-05,1.0,22.0,0.0
1,train,knn,0.0,0.00030405668,1.0,115.0,0.0
2,train,knn,0.0,3.0994368e-06,1.0,150.0,0.0
3,train,knn,0.0,7.152555e-07,1.0,155.0,0.0
4,train,knn,0.0,2.3841855e-07,1.0,156.0,0.0
5,train,knn,0.0,2.3364748e-05,1.0,194.0,0.0
6,train,knn,0.0,0.0014429406,1.0,202.0,0.0
7,train,knn,0.0,0.00016652151,1.0,206.0,0.0
8,train,knn,0.0,1.5139465e-05,1.0,213.0,0.0
9,train,knn,0.0,-0.0,1.0,218.0,0.0
10,train,knn,0.0,1.1920922e-06,1.0,247.0,0.0
11,train,knn,0.0,0.0026518677,1.0,269.0,0.0
12,train,knn,0.0,5.3881147e-05,1.0,281.0,0.0
13,train,knn,0.0,5.4953973e-05,1.0,348.0,0.0
14,train,knn,0.0,3.397407e-05,1.0,426.0,0.0
15,train,knn,0.0,0.33653378,1.0,478.0,0.0
16,train,knn,0.0,3.576278e-07,1.0,481.0,0.0
17,train,knn,0.0,4.7683704e-07,1.0,559.0,0.0
18,train,knn,0.0,5.960463e-07,1.0,568.0,0.0
19,train,knn,0.0,3.576278e-07,1.0,626.0,0.0
20,train,knn,0.0,2.145765e-06,1.0,628.0,0.0
21,train,knn,0.0,7.986704e-05,1.0,653.0,0.0
22,train,knn,0.0,1.4341053,0.0,746.0,0.0
23,train,knn,0.0,2.0384581e-05,1.0,796.0,0.0
24,train,knn,0.0,1.12056105e-05,1.0,804.0,0.0
25,train,knn,0.0,6.782779e-05,1.0,887.0,0.0
26,train,knn,0.0,2.145765e-06,1.0,985.0,0.0
27,train,knn,0.0,0.0007655074,1.0,1007.0,0.0
28,train,knn,0.0,1.4305105e-06,1.0,1310.0,0.0
29,train,knn,0.0,1.5973917e-05,1.0,1338.0,0.0
30,train,knn,0.0,4.6491514e-06,1.0,1514.0,0.0
31,train,knn,0.0,0.015427537,1.0,1548.0,0.0
32,train,knn,0.0,0.00010346831,1.0,1602.0,0.0
33,train,knn,0.0,2.324554e-05,1.0,1637.0,0.0
34,train,knn,0.0,7.0333235e-06,1.0,1641.0,0.0
35,train,knn,0.0,7.7125434e-05,1.0,1642.0,0.0
36,train,knn,0.0,0.0020109448,1.0,1682.0,0.0
37,train,knn,0.0,0.65963674,1.0,1728.0,0.0
38,train,knn,0.0,4.2676016e-05,1.0,1831.0,0.0
39,train,knn,0.0,1.5255207,0.0,1843.0,0.0
40,train,knn,0.0,1.7285198e-05,1.0,1901.0,0.0
41,train,knn,0.0,8.400516,0.0,1931.0,0.0
42,train,knn,0.0,9.2263734e-05,1.0,1958.0,0.0
43,train,knn,0.0,2.002696e-05,1.0,2020.0,0.0
44,train,knn,0.0,0.021216577,1.0,2091.0,0.0
45,train,knn,0.0,0.00032836766,1.0,2124.0,0.0
46,train,knn,0.0,5.8530048e-05,1.0,2126.0,0.0
47,train,knn,0.0,1.5616295e-05,1.0,2151.0,0.0
48,train,knn,0.0,3.9030333,0.0,2172.0,0.0
49,train,knn,0.0,0.0025008614,1.0,2192.0,0.0
50,train,knn,0.0,1.4543428e-05,1.0,2235.0,0.0
51,train,knn,0.0,1.12056105e-05,1.0,2253.0,0.0
52,train,knn,0.0,0.0005012686,1.0,2267.0,0.0
53,train,knn,0.0,3.373566e-05,1.0,2283.0,0.0
54,train,knn,0.0,0.00018821376,1.0,2329.0,0.0
55,train,knn,0.0,1.1844751,0.0,2341.0,0.0
56,train,knn,0.0,4.4344873e-05,1.0,2408.0,0.0
57,train,knn,0.0,4.3228254,0.0,2433.0,0.0
58,train,knn,0.0,8.225407e-06,1.0,2524.0,0.0
59,train,knn,0.0,0.0016281456,1.0,2657.0,0.0
60,train,knn,0.0,1.1920922e-06,1.0,2809.0,0.0
61,train,knn,0.0,3.8623064e-05,1.0,2813.0,0.0
62,train,knn,0.0,0.0007683662,1.0,2910.0,0.0
63,train,knn,0.0,2.0265559e-06,1.0,2940.0,0.0
64,train,knn,0.0,5.709962e-05,1.0,2994.0,0.0
65,train,knn,0.0,1.716599e-05,1.0,3009.0,0.0
66,train,knn,0.0,2.3841855e-07,1.0,3025.0,0.0
67,train,knn,0.0,1.4066597e-05,1.0,3046.0,0.0
68,train,knn,0.0,2.3686895,0.0,3110.0,0.0
69,train,knn,0.0,0.0016275506,1.0,3165.0,0.0
70,train,knn,0.0,4.804019e-05,1.0,3169.0,0.0
71,train,knn,0.0,0.0005505953,1.0,3209.0,0.0
72,train,knn,0.0,1.41858045e-05,1.0,3266.0,0.0
73,train,knn,0.0,0.15876168,1.0,3279.0,0.0
74,train,knn,0.0,0.10213479,1.0,3355.0,0.0
75,train,knn,0.0,0.07240453,1.0,3445.0,0.0
76,train,knn,0.0,0.00076991477,1.0,3478.0,0.0
77,train,knn,0.0,3.4570635e-06,1.0,3635.0,0.0
78,train,knn,0.0,8.034383e-05,1.0,3824.0,0.0
79,train,knn,0.0,1.633154e-05,1.0,3866.0,0.0
80,train,knn,0.0,0.00041702634,1.0,3880.0,0.0
81,train,knn,0.0,1.394739e-05,1.0,3923.0,0.0
82,train,knn,0.0,0.0004534885,1.0,3973.0,0.0
83,train,knn,0.0,0.0002298091,1.0,4089.0,0.0
84,train,knn,0.0,4.7683704e-07,1.0,4104.0,0.0
85,train,knn,0.0,3.2696397,0.0,4199.0,0.0
86,train,knn,0.0,0.45258158,1.0,4322.0,0.0
87,train,knn,0.0,8.0582235e-05,1.0,4358.0,0.0
88,train,knn,0.0,5.3285134e-05,1.0,4414.0,0.0
89,train,knn,0.0,0.00016926287,1.0,4418.0,0.0
