,fold,feature_name,feature,loss,acc,idx,class
0,train,softmax,0.9999963045120239,3.6954812e-06,1.0,158.0,0.0
1,train,softmax,0.9999176263809204,8.237023e-05,1.0,170.0,0.0
2,train,softmax,0.9999995231628418,4.7683704e-07,1.0,220.0,0.0
3,train,softmax,0.9982354640960693,0.0017660749,1.0,229.0,0.0
4,train,softmax,0.9999995231628418,4.7683704e-07,1.0,407.0,0.0
5,train,softmax,0.9760937094688416,0.024196671,1.0,428.0,0.0
6,train,softmax,0.9999245405197144,7.5456635e-05,1.0,438.0,0.0
7,train,softmax,0.9999023675918579,9.762764e-05,1.0,605.0,0.0
8,train,softmax,0.9998841285705566,0.000115864714,1.0,609.0,0.0
9,train,softmax,1.0,-0.0,1.0,640.0,0.0
10,train,softmax,0.9999730587005615,2.6940936e-05,1.0,704.0,0.0
11,train,softmax,0.9999101161956787,8.9879766e-05,1.0,763.0,0.0
12,train,softmax,0.999997615814209,2.384183e-06,1.0,787.0,0.0
13,train,softmax,0.9394552111625671,0.06245512,1.0,947.0,0.0
14,train,softmax,0.9999690055847168,3.0993935e-05,1.0,1059.0,0.0
15,train,softmax,0.2664428949356079,1.3225954,1.0,1188.0,0.0
16,train,softmax,0.9993197917938232,0.0006804535,1.0,1208.0,0.0
17,train,softmax,0.9999086856842041,9.131015e-05,1.0,1210.0,0.0
18,train,softmax,0.997456967830658,0.0025462846,1.0,1233.0,0.0
19,train,softmax,0.9999514818191528,4.8517002e-05,1.0,1300.0,0.0
20,train,softmax,0.9999992847442627,7.152555e-07,1.0,1327.0,0.0
21,train,softmax,0.9998612403869629,0.00013874998,1.0,1336.0,0.0
22,train,softmax,0.9999958276748657,4.1723165e-06,1.0,1357.0,0.0
23,train,softmax,0.9999970197677612,2.9802277e-06,1.0,1364.0,0.0
24,train,softmax,0.6551651954650879,0.42286786,1.0,1378.0,0.0
25,train,softmax,0.9999963045120239,3.6954812e-06,1.0,1399.0,0.0
26,train,softmax,0.9999996423721313,3.576278e-07,1.0,1401.0,0.0
27,train,softmax,0.9999822378158569,1.7762026e-05,1.0,1498.0,0.0
28,train,softmax,0.9999996423721313,3.576278e-07,1.0,1503.0,0.0
29,train,softmax,0.999993085861206,6.9141147e-06,1.0,1523.0,0.0
30,train,softmax,0.999982476234436,1.7523613e-05,1.0,1583.0,0.0
31,train,softmax,0.9999923706054688,7.6293654e-06,1.0,1594.0,0.0
32,train,softmax,0.9910668730735779,0.0089732725,1.0,1608.0,0.0
33,train,softmax,0.5183389782905579,2.4983087,0.0,1622.0,0.0
34,train,softmax,0.9999990463256836,9.5367386e-07,1.0,1683.0,0.0
35,train,softmax,0.829719066619873,0.18666814,1.0,1731.0,0.0
36,train,softmax,0.9980973601341248,0.0019044611,1.0,1776.0,0.0
37,train,softmax,0.5721244812011719,1.2574172,0.0,1804.0,0.0
38,train,softmax,0.3115865886211395,1.3629469,0.0,1888.0,0.0
39,train,softmax,0.9999911785125732,8.821448e-06,1.0,1893.0,0.0
40,train,softmax,0.9999785423278809,2.1457441e-05,1.0,1916.0,0.0
41,train,softmax,0.9999176263809204,8.237023e-05,1.0,1927.0,0.0
42,train,softmax,0.9999110698699951,8.892618e-05,1.0,1966.0,0.0
43,train,softmax,0.9999706745147705,2.9325056e-05,1.0,2012.0,0.0
44,train,softmax,0.999996542930603,3.4570635e-06,1.0,2080.0,0.0
45,train,softmax,0.9998109936714172,0.00018904806,1.0,2115.0,0.0
46,train,softmax,0.6683694124221802,2.0035307,0.0,2121.0,0.0
47,train,softmax,0.999987006187439,1.2993728e-05,1.0,2245.0,0.0
48,train,softmax,0.9999898672103882,1.0132739e-05,1.0,2261.0,0.0
49,train,softmax,0.9998621940612793,0.00013779645,1.0,2337.0,0.0
50,train,softmax,0.999997615814209,2.384183e-06,1.0,2349.0,0.0
51,train,softmax,0.9998942613601685,0.00010573305,1.0,2457.0,0.0
52,train,softmax,0.997536301612854,0.002466733,1.0,2473.0,0.0
53,train,softmax,0.9999953508377075,4.6491514e-06,1.0,2512.0,0.0
54,train,softmax,0.9999942779541016,5.7220295e-06,1.0,2598.0,0.0
55,train,softmax,0.9999942779541016,5.7220295e-06,1.0,2644.0,0.0
56,train,softmax,0.9999526739120483,4.7324967e-05,1.0,2647.0,0.0
57,train,softmax,0.9997456669807434,0.00025436026,1.0,2663.0,0.0
58,train,softmax,0.9999275207519531,7.247662e-05,1.0,2675.0,0.0
59,train,softmax,0.9993890523910522,0.00061111845,1.0,2690.0,0.0
60,train,softmax,0.9999892711639404,1.0728779e-05,1.0,2711.0,0.0
61,train,softmax,0.9999508857727051,4.911302e-05,1.0,2744.0,0.0
62,train,softmax,0.9999814033508301,1.8596476e-05,1.0,2795.0,0.0
63,train,softmax,0.9992400407791138,0.0007602662,1.0,3046.0,0.0
64,train,softmax,0.9999986886978149,1.3113013e-06,1.0,3047.0,0.0
65,train,softmax,0.9753301739692688,0.024979232,1.0,3068.0,0.0
66,train,softmax,0.8714432716369629,0.1376045,1.0,3084.0,0.0
67,train,softmax,0.9998165965080261,0.00018344627,1.0,3087.0,0.0
68,train,softmax,0.9998207688331604,0.0001792747,1.0,3096.0,0.0
69,train,softmax,0.7837066054344177,5.840984,0.0,3108.0,0.0
70,train,softmax,0.5770743489265442,1.2622781,0.0,3196.0,0.0
71,train,softmax,0.9995861649513245,0.00041392818,1.0,3219.0,0.0
72,train,softmax,0.9999997615814209,2.3841855e-07,1.0,3263.0,0.0
73,train,softmax,0.9999792575836182,2.0742202e-05,1.0,3344.0,0.0
74,train,softmax,0.9999998807907104,1.1920928e-07,1.0,3419.0,0.0
75,train,softmax,0.9999606609344482,3.933829e-05,1.0,3428.0,0.0
76,train,softmax,0.9998998641967773,0.00010013079,1.0,3468.0,0.0
77,train,softmax,0.9999991655349731,8.344647e-07,1.0,3548.0,0.0
78,train,softmax,0.9999969005584717,3.0994368e-06,1.0,3566.0,0.0
79,train,softmax,0.9998698234558105,0.00013016807,1.0,3609.0,0.0
80,train,softmax,0.9999990463256836,9.5367386e-07,1.0,3613.0,0.0
81,train,softmax,0.9999657869338989,3.421248e-05,1.0,3615.0,0.0
82,train,softmax,0.9999600648880005,3.9934315e-05,1.0,3617.0,0.0
83,train,softmax,0.999761164188385,0.00023886688,1.0,3622.0,0.0
84,train,softmax,0.9998185038566589,0.00018153928,1.0,3637.0,0.0
85,train,softmax,0.9999850988388062,1.490105e-05,1.0,3662.0,0.0
86,train,softmax,0.999273955821991,0.00072631676,1.0,3737.0,0.0
87,train,softmax,0.9995833039283752,0.000416788,1.0,3801.0,0.0
88,train,softmax,0.999980092048645,1.9907753e-05,1.0,3837.0,0.0
89,train,softmax,0.7617638111114502,3.786195,0.0,3955.0,0.0
90,train,softmax,0.9719109535217285,0.028491108,1.0,3966.0,0.0
91,train,softmax,0.9999803304672241,1.966934e-05,1.0,4021.0,0.0
92,train,softmax,0.9999881982803345,1.180165e-05,1.0,4027.0,0.0
93,train,softmax,0.9999797344207764,2.0265374e-05,1.0,4051.0,0.0
94,train,softmax,0.9999874830245972,1.2516897e-05,1.0,4065.0,0.0
95,train,softmax,0.9999839067459106,1.6093125e-05,1.0,4074.0,0.0
96,train,softmax,0.9999167919158936,8.320462e-05,1.0,4083.0,0.0
97,train,softmax,0.9995825886726379,0.00041750298,1.0,4120.0,0.0
98,train,softmax,0.8564056158065796,0.15501113,1.0,4216.0,0.0
99,train,softmax,0.9999414682388306,5.8530048e-05,1.0,4460.0,0.0
100,train,softmax,0.9999994039535522,5.960463e-07,1.0,4479.0,0.0
101,train,softmax,0.9999433755874634,5.662281e-05,1.0,4727.0,0.0
102,train,softmax,0.9999783039093018,2.1695856e-05,1.0,4737.0,0.0
