,fold,feature_name,feature,loss,acc,idx,class
0,train,softmax,0.9999969005584717,1.633154e-05,1.0,6069.0,42.0
1,train,softmax,0.9876370429992676,2.7536968e-05,1.0,2058.0,3.0
2,train,softmax,0.999915599822998,1.4305105e-06,1.0,9867.0,57.0
3,train,softmax,0.9999986886978149,-0.0,1.0,7645.0,38.0
4,train,softmax,0.9999988079071045,1.306659,0.0,591.0,1.0
5,train,softmax,0.9999823570251465,1.5139465e-05,1.0,6111.0,30.0
6,train,softmax,0.999786913394928,8.463824e-06,1.0,2630.0,28.0
7,train,softmax,0.9999173879623413,7.152555e-07,1.0,153.0,31.0
8,train,softmax,0.9999401569366455,4.410734e-06,1.0,8094.0,44.0
9,train,softmax,0.9999427795410156,1.7881378e-06,1.0,7290.0,32.0
10,train,softmax,0.9998588562011719,0.016722856,1.0,4087.0,2.0
11,train,softmax,0.9999456405639648,2.3841855e-07,1.0,2248.0,20.0
12,train,softmax,0.999940037727356,-0.0,1.0,6831.0,4.0
13,train,softmax,0.9999659061431885,0.23219375,1.0,5481.0,58.0
14,train,softmax,0.9999929666519165,0.00012873775,1.0,602.0,35.0
15,train,softmax,1.0,1.1920928e-07,1.0,3625.0,40.0
16,train,softmax,0.9999237060546875,2.3841855e-07,1.0,716.0,16.0
17,train,softmax,0.9999842643737793,3.576278e-07,1.0,8532.0,42.0
18,train,softmax,0.9999995231628418,4.887569e-06,1.0,2296.0,30.0
19,train,softmax,0.9999998807907104,-0.0,1.0,7015.0,39.0
20,train,softmax,0.9998093247413635,1.1920928e-07,1.0,56.0,58.0
21,train,softmax,0.9978048205375671,5.7218822e-05,1.0,4084.0,26.0
22,train,softmax,0.9983629584312439,6.603976e-05,1.0,2178.0,31.0
23,train,softmax,0.9975023865699768,2.9802277e-06,1.0,6464.0,15.0
24,train,softmax,1.0,4.7683704e-07,1.0,5780.0,22.0
25,train,softmax,0.9999309778213501,9.5367386e-07,1.0,2311.0,6.0
26,train,softmax,0.9984343647956848,1.3589766e-05,1.0,6153.0,41.0
27,train,softmax,0.8770974278450012,3.6477377e-05,1.0,6524.0,19.0
28,train,softmax,0.9984138011932373,1.072883e-06,1.0,9223.0,12.0
29,train,softmax,0.9999998807907104,0.005153467,1.0,1182.0,12.0
30,train,softmax,0.999987006187439,1.6569955e-05,1.0,8414.0,41.0
31,train,softmax,0.999596893787384,2.7060143e-05,1.0,7935.0,52.0
32,train,softmax,0.9999798536300659,0.00014971566,1.0,9224.0,26.0
33,train,softmax,0.9999997615814209,6.9735004e-05,1.0,1156.0,33.0
34,train,softmax,0.9999654293060303,-0.0,1.0,1614.0,38.0
35,train,softmax,0.9999700784683228,0.000304295,1.0,1725.0,26.0
36,train,softmax,0.9999961853027344,2.8610189e-06,1.0,7893.0,40.0
37,train,softmax,0.9999209642410278,0.23504883,1.0,8822.0,12.0
38,train,softmax,0.9023123979568481,0.0024717276,1.0,5881.0,55.0
39,train,softmax,0.998161256313324,0.008944326,1.0,4572.0,3.0
40,train,softmax,0.9999200105667114,3.755022e-05,1.0,4943.0,6.0
41,train,softmax,0.9999903440475464,0.0034230705,1.0,9298.0,40.0
42,train,softmax,0.9993836879730225,1.5020258e-05,1.0,8091.0,6.0
43,train,softmax,0.9998892545700073,0.0006587719,1.0,8604.0,54.0
44,train,softmax,0.9999737739562988,1.7881378e-06,1.0,177.0,30.0
45,train,softmax,0.9999998807907104,7.152555e-07,1.0,9945.0,51.0
46,train,softmax,0.9999828338623047,0.0035442412,1.0,5100.0,50.0
47,train,softmax,0.9999978542327881,0.00013255194,1.0,5778.0,10.0
48,train,softmax,0.9999998807907104,0.18666814,1.0,3859.0,0.0
49,train,softmax,0.9999991655349731,2.384183e-06,1.0,3729.0,55.0
50,train,softmax,0.9999717473983765,0.00080636406,1.0,8698.0,3.0
51,train,softmax,0.9152100682258606,0.15166809,1.0,8790.0,28.0
52,train,softmax,0.9992176294326782,8.344647e-07,1.0,1053.0,0.0
53,train,softmax,0.9990973472595215,0.00012432756,1.0,976.0,9.0
54,train,softmax,0.9999895095825195,3.0717406,0.0,8512.0,8.0
55,train,softmax,0.9993346333503723,5.2569914e-05,1.0,7422.0,47.0
56,train,softmax,0.9999970197677612,0.00010775939,1.0,6873.0,13.0
57,train,softmax,0.9988443851470947,5.245195e-06,1.0,5426.0,59.0
58,train,softmax,0.9999972581863403,0.0005372511,1.0,1430.0,13.0
59,train,softmax,0.9999853372573853,1.3113013e-06,1.0,3069.0,34.0
60,train,softmax,1.0,0.00012253964,1.0,6673.0,28.0
61,train,softmax,0.9987800717353821,1.3113013e-06,1.0,6587.0,44.0
62,train,softmax,0.9998652935028076,0.0003558956,1.0,9816.0,37.0
63,train,softmax,0.9999945163726807,0.0015310243,1.0,1144.0,8.0
64,train,softmax,0.9999879598617554,3.4331686e-05,1.0,1016.0,40.0
65,train,softmax,0.9995883107185364,0.027243204,1.0,2098.0,31.0
66,train,softmax,0.9999905824661255,5.400035e-05,1.0,5740.0,41.0
67,train,softmax,0.9988664388656616,3.6954812e-06,1.0,4871.0,48.0
68,train,softmax,0.9999666213989258,8.7257395e-05,1.0,6311.0,42.0
69,train,softmax,0.999893069267273,5.769563e-05,1.0,4221.0,40.0
70,train,softmax,0.9999967813491821,0.00010561385,1.0,9839.0,52.0
71,train,softmax,0.9996040463447571,0.00082756596,1.0,7311.0,8.0
72,train,softmax,0.2879910171031952,0.0026926473,1.0,3620.0,30.0
73,train,softmax,0.9999200105667114,-0.0,1.0,1738.0,37.0
74,train,softmax,0.9997990727424622,1.3589766e-05,1.0,4434.0,37.0
75,train,softmax,0.9999997615814209,-0.0,1.0,4647.0,35.0
76,train,softmax,0.9999997615814209,0.0064546913,1.0,6284.0,50.0
77,train,softmax,0.9997348189353943,1.9073468e-06,1.0,5448.0,13.0
78,train,softmax,0.9999985694885254,2.622601e-06,1.0,5098.0,16.0
79,train,softmax,0.999697208404541,0.0017560789,1.0,8612.0,48.0
80,train,softmax,0.9999828338623047,4.8278598e-05,1.0,4163.0,28.0
81,train,softmax,0.9999995231628418,2.0861407e-05,1.0,3421.0,49.0
82,train,softmax,0.9997214674949646,1.3884642,0.0,9090.0,3.0
83,train,softmax,0.9999991655349731,4.136477e-05,1.0,4784.0,3.0
84,train,softmax,0.9999990463256836,9.536698e-06,1.0,7839.0,8.0
85,train,softmax,0.9987483024597168,2.503392e-06,1.0,5667.0,40.0
86,train,softmax,0.9999995231628418,2.9802277e-06,1.0,6933.0,4.0
87,train,softmax,0.9999834299087524,0.0004665955,1.0,8400.0,54.0
88,train,softmax,0.9999986886978149,16.481924,0.0,6028.0,52.0
89,train,softmax,0.9995436072349548,0.0006699701,1.0,8823.0,28.0
90,train,softmax,1.0,3.576278e-07,1.0,9624.0,6.0
91,train,softmax,0.9996445178985596,2.2530301e-05,1.0,2231.0,40.0
92,train,softmax,0.9953051805496216,0.0001294529,1.0,9700.0,3.0
93,train,softmax,0.9999253749847412,-0.0,1.0,8794.0,39.0
94,train,softmax,0.999998927116394,0.00085150695,1.0,4484.0,58.0
95,train,softmax,0.8815231919288635,0.00020835613,1.0,3008.0,12.0
