,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.15,0.015397957,1.0,79.0,0.0
1,train,rabanser,0.18125,0.059655108,1.0,92.0,0.0
2,train,rabanser,0.16875,0.0046247425,1.0,120.0,0.0
3,train,rabanser,0.16875,0.005234465,1.0,145.0,0.0
4,train,rabanser,0.15,5.1252303,0.0,149.0,0.0
5,train,rabanser,0.16875,0.027523667,1.0,153.0,0.0
6,train,rabanser,0.1625,0.20267497,1.0,162.0,0.0
7,train,rabanser,0.14375,0.0054595177,1.0,243.0,0.0
8,train,rabanser,0.14375,0.076242365,1.0,274.0,0.0
9,train,rabanser,0.19375,0.037455853,1.0,300.0,0.0
10,train,rabanser,0.1875,0.8573301,0.0,324.0,0.0
11,train,rabanser,0.16875,0.0012597252,1.0,333.0,0.0
12,train,rabanser,0.1625,0.017726915,1.0,437.0,0.0
13,train,rabanser,0.16875,0.039453335,1.0,491.0,0.0
14,train,rabanser,0.18125,2.2530773,0.0,520.0,0.0
15,train,rabanser,0.16875,0.0005191409,1.0,539.0,0.0
16,train,rabanser,0.18125,0.030422842,1.0,579.0,0.0
17,train,rabanser,0.175,0.001750605,1.0,617.0,0.0
18,train,rabanser,0.15625,0.0005270046,1.0,620.0,0.0
19,train,rabanser,0.15625,0.2363866,1.0,641.0,0.0
20,train,rabanser,0.15,0.0041450066,1.0,718.0,0.0
21,train,rabanser,0.15,3.492771e-05,1.0,743.0,0.0
22,train,rabanser,0.15625,0.02352447,1.0,750.0,0.0
23,train,rabanser,0.1375,4.8874615e-05,1.0,770.0,0.0
24,train,rabanser,0.15625,0.0241599,1.0,779.0,0.0
25,train,rabanser,0.175,0.0025758918,1.0,818.0,0.0
26,train,rabanser,0.1625,0.016003845,1.0,850.0,0.0
27,train,rabanser,0.16875,0.035211343,1.0,935.0,0.0
28,train,rabanser,0.16875,0.21466522,1.0,989.0,0.0
29,train,rabanser,0.175,8.5830325e-06,1.0,996.0,0.0
30,train,rabanser,0.1625,0.017234327,1.0,1000.0,0.0
31,train,rabanser,0.1625,0.04119851,1.0,1008.0,0.0
32,train,rabanser,0.1625,0.00027080684,1.0,1027.0,0.0
33,train,rabanser,0.15625,0.11810988,1.0,1057.0,0.0
34,train,rabanser,0.15,0.0040829163,1.0,1068.0,0.0
35,train,rabanser,0.16875,0.9632298,1.0,1107.0,0.0
36,train,rabanser,0.15,0.002591468,1.0,1114.0,0.0
37,train,rabanser,0.175,0.00022349245,1.0,1131.0,0.0
38,train,rabanser,0.19375,0.3295897,1.0,1141.0,0.0
39,train,rabanser,0.175,0.046775952,1.0,1175.0,0.0
40,train,rabanser,0.15,0.0013202055,1.0,1256.0,0.0
41,train,rabanser,0.1375,0.0033726974,1.0,1262.0,0.0
42,train,rabanser,0.15625,0.017887115,1.0,1281.0,0.0
43,train,rabanser,0.175,0.003292855,1.0,1347.0,0.0
44,train,rabanser,0.1625,0.0023838456,1.0,1354.0,0.0
45,train,rabanser,0.15625,0.0062122107,1.0,1401.0,0.0
46,train,rabanser,0.15625,0.0018704316,1.0,1422.0,0.0
47,train,rabanser,0.15,0.0009028411,1.0,1452.0,0.0
48,train,rabanser,0.1625,0.0032712303,1.0,1453.0,0.0
49,train,rabanser,0.15,0.04154656,1.0,1457.0,0.0
50,train,rabanser,0.15,2.761983,0.0,1496.0,0.0
