,fold,feature_name,feature,loss,acc,idx,class
0,train,softmax,0.43409791588783264,0.0016245751,1.0,320.0,15.0
1,train,softmax,0.7329225540161133,0.0028908153,1.0,133.0,15.0
2,train,softmax,0.6189097166061401,0.00015734388,1.0,1103.0,15.0
3,train,softmax,0.7763950228691101,0.14559144,1.0,571.0,24.0
4,train,softmax,0.975564181804657,1.8767631,0.0,169.0,4.0
5,train,softmax,0.6580032110214233,3.9007506,0.0,310.0,17.0
6,train,softmax,0.5559149980545044,0.058015108,1.0,2207.0,22.0
7,train,softmax,0.9869721531867981,0.092577554,1.0,1088.0,18.0
8,train,softmax,0.553049623966217,0.62389934,1.0,117.0,30.0
9,train,softmax,0.44150176644325256,0.073405534,1.0,2132.0,12.0
10,train,softmax,0.30867999792099,0.08214163,1.0,700.0,6.0
11,train,softmax,0.652565062046051,0.38627762,1.0,1742.0,8.0
12,train,softmax,0.8918940424919128,1.060718,1.0,67.0,22.0
13,train,softmax,0.8272902369499207,0.051947016,1.0,1759.0,3.0
14,train,softmax,0.26981809735298157,0.11391179,1.0,1360.0,14.0
15,train,softmax,0.6786529421806335,2.070819,0.0,1384.0,17.0
16,train,softmax,0.23976482450962067,0.036855016,1.0,567.0,14.0
17,train,softmax,0.9955169558525085,0.07893029,1.0,813.0,3.0
18,train,softmax,0.952607274055481,0.22199018,1.0,1849.0,10.0
19,train,softmax,0.8824622631072998,0.27977118,1.0,1268.0,9.0
20,train,softmax,0.6703981161117554,2.2583368,0.0,778.0,12.0
21,train,softmax,0.9951325058937073,1.8578002,0.0,1397.0,3.0
22,train,softmax,0.8387144207954407,0.8068578,1.0,866.0,12.0
23,train,softmax,0.6940814256668091,0.007201073,1.0,505.0,19.0
24,train,softmax,0.9704997539520264,0.34643188,1.0,1757.0,8.0
25,train,softmax,0.9252983927726746,0.39638492,1.0,653.0,8.0
26,train,softmax,0.9605761766433716,2.532188,0.0,1626.0,25.0
27,train,softmax,0.742139458656311,0.3420335,1.0,927.0,19.0
28,train,softmax,0.9759877920150757,3.8930502,0.0,756.0,22.0
29,train,softmax,0.5646958947181702,0.03783253,1.0,194.0,12.0
