,fold,feature_name,feature,loss,acc,idx,class
0,train,knn,0.0,0.5366565,1.0,2404.0,25.0
1,train,knn,0.0,1.6364793,0.0,2517.0,43.0
2,train,knn,0.0,2.5778666,0.0,2364.0,63.0
3,train,knn,0.0,4.8434873,0.0,306.0,10.0
4,train,knn,0.0,0.5658609,1.0,442.0,19.0
5,train,knn,0.0,3.2011294,0.0,3179.0,2.0
6,train,knn,0.0,1.2210308,1.0,2408.0,15.0
7,train,knn,0.0,1.7611578,1.0,794.0,15.0
8,train,knn,0.0,1.0312204,1.0,622.0,60.0
9,train,knn,0.0,2.3182707,0.0,237.0,21.0
10,train,knn,0.0,3.4522734,0.0,2352.0,14.0
11,train,knn,0.0,2.3693094,0.0,220.0,21.0
12,train,knn,0.0,2.9510665,0.0,2211.0,40.0
13,train,knn,0.0,3.256806,0.0,1033.0,39.0
14,train,knn,0.0,0.79515076,1.0,1008.0,23.0
15,train,knn,0.0,0.12274486,1.0,147.0,10.0
16,train,knn,0.0,0.12721665,1.0,2968.0,55.0
17,train,knn,0.0,9.103295,0.0,481.0,31.0
18,train,knn,0.0,2.517032,0.0,371.0,5.0
19,train,knn,0.0,5.286427,0.0,2328.0,10.0
20,train,knn,0.0,4.0756083,0.0,268.0,59.0
21,train,knn,0.0,2.649754,0.0,585.0,30.0
22,train,knn,0.0,0.0041676816,1.0,1355.0,8.0
23,train,knn,0.0,2.256824,0.0,1672.0,19.0
24,train,knn,0.0,3.0625694,0.0,2399.0,55.0
25,train,knn,0.0,2.8983297,0.0,3082.0,41.0
26,train,knn,0.0,3.9103374,0.0,3361.0,25.0
27,train,knn,0.0,0.15078533,1.0,1601.0,8.0
28,train,knn,0.0,2.4164035,0.0,1827.0,25.0
29,train,knn,0.0,4.194064,0.0,715.0,62.0
30,train,knn,0.0,0.82525474,1.0,3462.0,60.0
31,train,knn,0.0,8.799123,0.0,3137.0,53.0
32,train,knn,0.0,0.5609355,1.0,926.0,36.0
33,train,knn,0.0,0.005905442,1.0,2760.0,18.0
34,train,knn,0.0,1.2578739,1.0,2818.0,27.0
35,train,knn,0.0,0.51568043,1.0,2702.0,44.0
36,train,knn,3.142759084701538,0.35134256,1.0,2112.0,4.0
37,train,knn,0.0,2.7934315,0.0,1476.0,37.0
38,train,knn,0.0,2.3509011,0.0,1373.0,30.0
39,train,knn,0.0,6.889379,0.0,1381.0,38.0
40,train,knn,0.0,3.8156574,0.0,1516.0,37.0
41,train,knn,0.0,0.045383908,1.0,796.0,10.0
42,train,knn,0.0,1.3757482,1.0,103.0,21.0
43,train,knn,0.0,2.509993,0.0,1522.0,0.0
44,train,knn,0.0,3.089837,0.0,1339.0,35.0
45,train,knn,0.0,1.7001394,0.0,258.0,25.0
46,train,knn,0.0,0.71365356,1.0,1098.0,9.0
47,train,knn,0.0,4.4583225,0.0,1625.0,31.0
48,train,knn,0.0,2.6866148,0.0,569.0,10.0
49,train,knn,0.0,2.4353771,0.0,2797.0,61.0
50,train,knn,0.0,2.0948992,0.0,240.0,57.0
51,train,knn,0.0,0.031867493,1.0,3016.0,8.0
52,train,knn,0.0,1.6184045,1.0,3222.0,45.0
53,train,knn,0.0,1.2938861,0.0,3465.0,20.0
54,train,knn,0.0,1.293099,1.0,1891.0,30.0
55,train,knn,0.0,2.2859097,0.0,2227.0,6.0
56,train,knn,0.0,5.0875025,0.0,2466.0,17.0
57,train,knn,0.0,1.521601,1.0,1263.0,30.0
58,train,knn,0.0,0.060441613,1.0,1169.0,4.0
59,train,knn,0.0,0.6460786,1.0,1988.0,60.0
60,train,knn,0.0,3.2919216,0.0,1418.0,37.0
61,train,knn,0.0,1.624822,1.0,399.0,20.0
62,train,knn,0.0,0.9359478,1.0,74.0,63.0
63,train,knn,0.0,2.7872186,0.0,1429.0,15.0
64,train,knn,0.0,2.3224998,0.0,2179.0,38.0
65,train,knn,0.0,3.2622268,0.0,960.0,15.0
66,train,knn,0.0,3.5755136,0.0,3058.0,21.0
67,train,knn,0.0,3.0721755,0.0,905.0,55.0
68,train,knn,0.0,3.1121266,0.0,1222.0,3.0
69,train,knn,0.0,2.1436481,0.0,3046.0,3.0
70,train,knn,0.0,2.7414865,0.0,1100.0,64.0
71,train,knn,0.0,0.47058305,1.0,170.0,10.0
