,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.19375,0.0803723931312561,0.9196276068687439,100.0,
1,train,rabanser,0.190625,0.0744394063949585,0.9255605936050415,217.0,
2,train,rabanser,0.1875,0.05706608295440674,0.9429339170455933,265.0,
3,train,rabanser,0.19375,0.080410897731781,0.919589102268219,291.0,
4,train,rabanser,0.1875,0.07762569189071655,0.9223743081092834,326.0,
5,train,rabanser,0.16875,0.07611924409866333,0.9238807559013367,439.0,
6,train,rabanser,0.1875,0.14955544471740723,0.8504445552825928,462.0,
7,train,rabanser,0.19375,0.10484647750854492,0.8951535224914551,518.0,
8,train,rabanser,0.2,0.07802271842956543,0.9219772815704346,566.0,
9,train,rabanser,0.19687500000000002,0.07818603515625,0.92181396484375,580.0,
10,train,rabanser,0.2,0.13870924711227417,0.8612907528877258,785.0,
11,train,rabanser,0.2125,0.13730114698410034,0.8626988530158997,796.0,
12,train,rabanser,0.2,0.21553772687911987,0.7844622731208801,5.0,
13,train,rabanser,0.175,0.09669536352157593,0.9033046364784241,54.0,
14,train,rabanser,0.175,0.0486413836479187,0.9513586163520813,323.0,
15,train,rabanser,0.20625,0.08459138870239258,0.9154086112976074,374.0,
16,train,rabanser,0.2,0.3581247329711914,0.6418752670288086,485.0,
17,train,rabanser,0.1875,0.14064913988113403,0.859350860118866,506.0,
18,train,rabanser,0.19375,0.04722374677658081,0.9527762532234192,550.0,
19,train,rabanser,0.20625,0.09553718566894531,0.9044628143310547,562.0,
20,train,rabanser,0.2,0.043240249156951904,0.9567597508430481,568.0,
21,train,rabanser,0.19375,0.1292562484741211,0.8707437515258789,570.0,
22,train,rabanser,0.19687500000000002,0.08353954553604126,0.9164604544639587,610.0,
23,train,rabanser,0.1875,0.10405313968658447,0.8959468603134155,646.0,
24,train,rabanser,0.1875,0.07547879219055176,0.9245212078094482,711.0,
25,train,rabanser,0.16875,0.07717180252075195,0.922828197479248,732.0,
26,train,rabanser,0.190625,0.11829787492752075,0.8817021250724792,773.0,
