,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,softmax,0.9997157454490662,2.1332998,0.0,42.0,12.0
1,hue_0.025,softmax,0.5741081237792969,0.68966746,1.0,313.0,57.0
2,hue_0.025,softmax,0.998332679271698,90.76068,0.0,271.0,43.0
3,hue_0.025,softmax,0.6568584442138672,17.860231,0.0,1074.0,55.0
4,hue_0.025,softmax,0.7363035082817078,1.378792,0.0,238.0,57.0
5,hue_0.025,softmax,0.4261057674884796,25.582048,0.0,68.0,15.0
6,hue_0.025,softmax,0.9744763374328613,14.805812,0.0,978.0,38.0
7,hue_0.025,softmax,0.999885082244873,4.783751,0.0,228.0,26.0
8,hue_0.025,softmax,0.999982476234436,23.929438,0.0,204.0,5.0
9,hue_0.025,softmax,1.0,12.7720995,0.0,241.0,50.0
10,hue_0.025,softmax,0.4858429431915283,9.143713,0.0,535.0,53.0
11,hue_0.025,softmax,0.99565190076828,22.991522,0.0,442.0,39.0
12,hue_0.025,softmax,0.9428315758705139,8.152021,0.0,664.0,5.0
13,hue_0.025,softmax,0.7835540771484375,0.996763,1.0,830.0,24.0
14,hue_0.025,softmax,0.5022628903388977,8.037445,0.0,384.0,15.0
15,hue_0.025,softmax,0.9620479345321655,23.980007,0.0,161.0,5.0
16,hue_0.025,softmax,0.7675085067749023,0.07833844,1.0,809.0,5.0
17,hue_0.025,softmax,0.9955788254737854,9.958618,0.0,1183.0,33.0
18,hue_0.025,softmax,0.6972494125366211,5.9925647,0.0,18.0,58.0
19,hue_0.025,softmax,0.39455080032348633,18.710281,0.0,1212.0,17.0
20,hue_0.025,softmax,0.48078203201293945,9.66284,0.0,1151.0,28.0
21,hue_0.025,softmax,0.6368435025215149,0.001961928,1.0,817.0,5.0
22,hue_0.025,softmax,0.9983559250831604,9.372211,0.0,784.0,43.0
23,hue_0.025,softmax,0.5591452717781067,11.500584,0.0,216.0,55.0
24,hue_0.025,softmax,0.6750895977020264,2.6642041,0.0,91.0,51.0
25,hue_0.025,softmax,0.9820834398269653,4.8611946,0.0,322.0,2.0
