,fold,feature_name,feature,loss,acc,idx,class
0,multnoise_0.025,cross_entropy,2048.171630859375,9.335968,0.0,935.0,53.0
1,multnoise_0.025,cross_entropy,1008.431640625,29.467941,0.0,562.0,58.0
2,multnoise_0.025,cross_entropy,1276.496826171875,45.136337,0.0,41.0,54.0
3,multnoise_0.025,cross_entropy,2965.5439453125,9.273827,0.0,201.0,2.0
4,multnoise_0.025,cross_entropy,1080.058349609375,20.063875,0.0,265.0,57.0
5,multnoise_0.025,cross_entropy,770.3753051757812,22.030836,0.0,338.0,27.0
6,multnoise_0.025,cross_entropy,1964.80126953125,19.45723,0.0,550.0,53.0
7,multnoise_0.025,cross_entropy,2061.90234375,2.3609552,0.0,891.0,22.0
8,multnoise_0.025,cross_entropy,1115.5133056640625,7.1437416,0.0,648.0,53.0
9,multnoise_0.025,cross_entropy,1250.9453125,3.220158,0.0,1111.0,42.0
10,multnoise_0.025,cross_entropy,984.2125244140625,0.05553906,1.0,242.0,19.0
11,multnoise_0.025,cross_entropy,1698.51611328125,2.4068983,0.0,362.0,8.0
12,multnoise_0.025,cross_entropy,1353.10546875,0.12697172,1.0,532.0,16.0
13,multnoise_0.025,cross_entropy,1431.0457763671875,19.53641,0.0,886.0,6.0
14,multnoise_0.025,cross_entropy,1459.5693359375,7.6356306,0.0,416.0,4.0
15,multnoise_0.025,cross_entropy,1430.4739990234375,12.629248,0.0,479.0,20.0
16,multnoise_0.025,cross_entropy,669.5455322265625,21.384104,0.0,863.0,37.0
17,multnoise_0.025,cross_entropy,1048.039794921875,31.330004,0.0,536.0,48.0
18,multnoise_0.025,cross_entropy,917.5490112304688,20.621157,0.0,380.0,30.0
19,multnoise_0.025,cross_entropy,1182.21630859375,15.370772,0.0,127.0,34.0
20,multnoise_0.025,cross_entropy,1886.4530029296875,5.366537,0.0,495.0,59.0
21,multnoise_0.025,cross_entropy,1003.6688232421875,23.256157,0.0,505.0,53.0
22,multnoise_0.025,cross_entropy,988.7003173828125,5.2534475,0.0,620.0,0.0
23,multnoise_0.025,cross_entropy,1317.72216796875,16.527185,0.0,1055.0,33.0
24,multnoise_0.025,cross_entropy,1207.150146484375,13.754865,0.0,65.0,29.0
25,multnoise_0.025,cross_entropy,875.614990234375,11.704108,0.0,724.0,56.0
26,multnoise_0.025,cross_entropy,1469.22216796875,15.714219,0.0,1214.0,52.0
27,multnoise_0.025,cross_entropy,1001.7357788085938,0.2718468,1.0,830.0,26.0
28,multnoise_0.025,cross_entropy,1080.0872802734375,21.965204,0.0,559.0,0.0
29,multnoise_0.025,cross_entropy,1024.6424560546875,19.226467,0.0,702.0,28.0
30,multnoise_0.025,cross_entropy,1078.5003662109375,14.010617,0.0,1210.0,25.0
31,multnoise_0.025,cross_entropy,1419.117919921875,20.677801,0.0,1222.0,3.0
32,multnoise_0.025,cross_entropy,1445.255859375,18.546322,0.0,741.0,40.0
33,multnoise_0.025,cross_entropy,1241.0953369140625,35.524975,0.0,597.0,53.0
34,multnoise_0.025,cross_entropy,1113.206787109375,14.146685,0.0,1233.0,52.0
35,multnoise_0.025,cross_entropy,820.6669921875,8.877951,0.0,1241.0,8.0
36,multnoise_0.025,cross_entropy,898.1513061523438,25.376612,0.0,591.0,13.0
37,multnoise_0.025,cross_entropy,865.1910400390625,6.739524,0.0,1183.0,40.0
38,multnoise_0.025,cross_entropy,907.4285888671875,7.1288795,0.0,803.0,34.0
39,multnoise_0.025,cross_entropy,1578.4813232421875,10.963082,0.0,413.0,45.0
40,multnoise_0.025,cross_entropy,1002.5059814453125,11.626387,0.0,717.0,3.0
41,multnoise_0.025,cross_entropy,953.5868530273438,5.20644,0.0,671.0,25.0
42,multnoise_0.025,cross_entropy,714.5921630859375,4.904931,0.0,364.0,13.0
43,multnoise_0.025,cross_entropy,1361.6719970703125,9.655194,0.0,643.0,20.0
44,multnoise_0.025,cross_entropy,3095.2607421875,0.09270806,1.0,417.0,57.0
45,multnoise_0.025,cross_entropy,1623.4815673828125,11.525002,0.0,1006.0,32.0
46,multnoise_0.025,cross_entropy,1539.455322265625,1.3804624,0.0,517.0,30.0
47,multnoise_0.025,cross_entropy,2390.89013671875,10.123877,0.0,492.0,38.0
48,multnoise_0.025,cross_entropy,1496.35498046875,11.581699,0.0,96.0,28.0
49,multnoise_0.025,cross_entropy,907.2496337890625,23.473253,0.0,1213.0,39.0
50,multnoise_0.025,cross_entropy,1173.2406005859375,16.587637,0.0,541.0,53.0
51,multnoise_0.025,cross_entropy,1604.499755859375,32.16823,0.0,62.0,8.0
52,multnoise_0.025,cross_entropy,965.9935302734375,11.008808,0.0,261.0,8.0
53,multnoise_0.025,cross_entropy,1653.314453125,11.343542,0.0,764.0,33.0
54,multnoise_0.025,cross_entropy,1207.732666015625,0.23135814,1.0,259.0,4.0
55,multnoise_0.025,cross_entropy,933.713623046875,11.869696,0.0,905.0,3.0
