,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,energy,-107.7558822631836,27.932554,0.0,821.0,27.0
1,saltpepper_0.025,energy,-113.59492492675781,107.54869,0.0,714.0,4.0
2,saltpepper_0.025,energy,-126.30335235595703,59.717377,0.0,147.0,51.0
3,saltpepper_0.025,energy,-129.52044677734375,158.04474,0.0,755.0,31.0
4,saltpepper_0.025,energy,-113.20065307617188,73.79991,0.0,404.0,56.0
5,saltpepper_0.025,energy,-118.13626861572266,131.79634,0.0,659.0,58.0
6,saltpepper_0.025,energy,-112.79061889648438,33.122166,0.0,213.0,27.0
7,saltpepper_0.025,energy,-126.68590545654297,1.1920928e-07,1.0,279.0,16.0
8,saltpepper_0.025,energy,-120.61475372314453,230.39626,0.0,608.0,32.0
9,saltpepper_0.025,energy,-107.48596954345703,122.02376,0.0,1135.0,22.0
10,saltpepper_0.025,energy,-169.31336975097656,97.94476,0.0,51.0,53.0
11,saltpepper_0.025,energy,-128.14816284179688,34.55443,0.0,79.0,3.0
12,saltpepper_0.025,energy,-133.05612182617188,112.90923,0.0,637.0,15.0
13,saltpepper_0.025,energy,-109.9087142944336,136.99251,0.0,313.0,11.0
14,saltpepper_0.025,energy,-154.79150390625,178.35754,0.0,858.0,32.0
15,saltpepper_0.025,energy,-82.38753509521484,150.22554,0.0,173.0,52.0
16,saltpepper_0.025,energy,-136.25502014160156,85.50609,0.0,413.0,20.0
17,saltpepper_0.025,energy,-80.50469207763672,-0.0,1.0,1175.0,16.0
18,saltpepper_0.025,energy,-110.16421508789062,83.076294,0.0,1126.0,4.0
19,saltpepper_0.025,energy,-155.05967712402344,179.58734,0.0,540.0,32.0
20,saltpepper_0.025,energy,-69.86273956298828,174.56624,0.0,384.0,30.0
21,saltpepper_0.025,energy,-100.40530395507812,71.12627,0.0,697.0,3.0
22,saltpepper_0.025,energy,-122.69075012207031,62.49083,0.0,849.0,2.0
23,saltpepper_0.025,energy,-102.58711242675781,32.98516,0.0,374.0,27.0
24,saltpepper_0.025,energy,-129.36607360839844,188.42023,0.0,690.0,0.0
25,saltpepper_0.025,energy,-128.18270874023438,79.1072,0.0,456.0,42.0
26,saltpepper_0.025,energy,-98.0022964477539,38.94889,0.0,164.0,28.0
27,saltpepper_0.025,energy,-110.57378387451172,109.79747,0.0,709.0,48.0
28,saltpepper_0.025,energy,-142.90447998046875,73.10485,0.0,595.0,48.0
29,saltpepper_0.025,energy,-131.7030029296875,17.182442,0.0,401.0,9.0
30,saltpepper_0.025,energy,-118.55166625976562,130.28336,0.0,101.0,30.0
31,saltpepper_0.025,energy,-121.78199005126953,143.1785,0.0,562.0,41.0
32,saltpepper_0.025,energy,-128.71124267578125,76.399445,0.0,588.0,57.0
33,saltpepper_0.025,energy,-136.85336303710938,118.69007,0.0,29.0,41.0
34,saltpepper_0.025,energy,-115.11969757080078,101.05474,0.0,106.0,34.0
35,saltpepper_0.025,energy,-131.66407775878906,101.64959,0.0,377.0,21.0
36,saltpepper_0.025,energy,-121.13338470458984,90.373146,0.0,810.0,22.0
37,saltpepper_0.025,energy,-123.62416076660156,80.24055,0.0,7.0,33.0
38,saltpepper_0.025,energy,-103.05148315429688,118.314445,0.0,974.0,20.0
39,saltpepper_0.025,energy,-126.27864074707031,24.875275,0.0,867.0,29.0
40,saltpepper_0.025,energy,-137.26515197753906,131.84128,0.0,285.0,0.0
41,saltpepper_0.025,energy,-136.01904296875,41.850906,0.0,272.0,1.0
42,saltpepper_0.025,energy,-126.09467315673828,77.10841,0.0,566.0,19.0
43,saltpepper_0.025,energy,-139.7462158203125,131.27351,0.0,896.0,42.0
44,saltpepper_0.025,energy,-111.54774475097656,155.52089,0.0,747.0,26.0
45,saltpepper_0.025,energy,-123.7850112915039,32.618095,0.0,843.0,1.0
46,saltpepper_0.025,energy,-124.81431579589844,72.666504,0.0,470.0,19.0
47,saltpepper_0.025,energy,-117.53742980957031,88.525185,0.0,1151.0,34.0
48,saltpepper_0.025,energy,-131.8433837890625,73.03393,0.0,520.0,35.0
49,saltpepper_0.025,energy,-135.18544006347656,97.37051,0.0,1035.0,18.0
50,saltpepper_0.025,energy,-121.15544891357422,161.74817,0.0,491.0,52.0
51,saltpepper_0.025,energy,-104.56488037109375,134.17465,0.0,432.0,4.0
52,saltpepper_0.025,energy,-110.74922943115234,85.87811,0.0,34.0,39.0
53,saltpepper_0.025,energy,-107.39246368408203,106.51991,0.0,1229.0,54.0
54,saltpepper_0.025,energy,-120.59058380126953,126.22063,0.0,1150.0,0.0
55,saltpepper_0.025,energy,-116.33489227294922,158.09537,0.0,1193.0,38.0
56,saltpepper_0.025,energy,-132.51634216308594,109.71946,0.0,444.0,40.0
57,saltpepper_0.025,energy,-133.43043518066406,149.4096,0.0,149.0,40.0
58,saltpepper_0.025,energy,-162.5695037841797,75.39011,0.0,538.0,13.0
