,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,softmax,0.9993120431900024,27.932554,0.0,821.0,27.0
1,saltpepper_0.025,softmax,1.0,107.54869,0.0,714.0,4.0
2,saltpepper_0.025,softmax,0.9999929666519165,59.717377,0.0,147.0,51.0
3,saltpepper_0.025,softmax,0.996488094329834,158.04474,0.0,755.0,31.0
4,saltpepper_0.025,softmax,1.0,73.79991,0.0,404.0,56.0
5,saltpepper_0.025,softmax,0.9999991655349731,131.79634,0.0,659.0,58.0
6,saltpepper_0.025,softmax,0.9999879598617554,33.122166,0.0,213.0,27.0
7,saltpepper_0.025,softmax,1.0,1.1920928e-07,1.0,279.0,16.0
8,saltpepper_0.025,softmax,1.0,230.39626,0.0,608.0,32.0
9,saltpepper_0.025,softmax,0.9999991655349731,122.02376,0.0,1135.0,22.0
10,saltpepper_0.025,softmax,0.9999669790267944,97.94476,0.0,51.0,53.0
11,saltpepper_0.025,softmax,0.9999562501907349,34.55443,0.0,79.0,3.0
12,saltpepper_0.025,softmax,0.7907141447067261,112.90923,0.0,637.0,15.0
13,saltpepper_0.025,softmax,1.0,136.99251,0.0,313.0,11.0
14,saltpepper_0.025,softmax,0.9999998807907104,178.35754,0.0,858.0,32.0
15,saltpepper_0.025,softmax,0.7595651745796204,150.22554,0.0,173.0,52.0
16,saltpepper_0.025,softmax,0.9538022875785828,85.50609,0.0,413.0,20.0
17,saltpepper_0.025,softmax,1.0,-0.0,1.0,1175.0,16.0
18,saltpepper_0.025,softmax,1.0,83.076294,0.0,1126.0,4.0
19,saltpepper_0.025,softmax,0.8606017231941223,179.58734,0.0,540.0,32.0
20,saltpepper_0.025,softmax,0.9996201992034912,174.56624,0.0,384.0,30.0
21,saltpepper_0.025,softmax,1.0,71.12627,0.0,697.0,3.0
22,saltpepper_0.025,softmax,1.0,62.49083,0.0,849.0,2.0
23,saltpepper_0.025,softmax,0.9999997615814209,32.98516,0.0,374.0,27.0
24,saltpepper_0.025,softmax,1.0,188.42023,0.0,690.0,0.0
25,saltpepper_0.025,softmax,0.999927282333374,79.1072,0.0,456.0,42.0
26,saltpepper_0.025,softmax,0.9999833106994629,38.94889,0.0,164.0,28.0
27,saltpepper_0.025,softmax,0.9867970943450928,109.79747,0.0,709.0,48.0
28,saltpepper_0.025,softmax,0.9999992847442627,73.10485,0.0,595.0,48.0
29,saltpepper_0.025,softmax,0.9996792078018188,17.182442,0.0,401.0,9.0
30,saltpepper_0.025,softmax,1.0,130.28336,0.0,101.0,30.0
31,saltpepper_0.025,softmax,0.9997370839118958,143.1785,0.0,562.0,41.0
