,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,cross_entropy,278.3570556640625,2.0487068,0.0,138.0,21.0
1,hue_0.025,cross_entropy,342.38330078125,5.1516685,0.0,188.0,16.0
2,hue_0.025,cross_entropy,744.4278564453125,16.041641,0.0,205.0,15.0
3,hue_0.025,cross_entropy,391.26458740234375,8.039438,0.0,174.0,5.0
4,hue_0.025,cross_entropy,441.43463134765625,4.394007,0.0,58.0,22.0
5,hue_0.025,cross_entropy,506.2540283203125,2.2328143,0.0,281.0,0.0
6,hue_0.025,cross_entropy,347.3562927246094,6.6478357,0.0,202.0,28.0
7,hue_0.025,cross_entropy,379.728759765625,15.692972,0.0,179.0,11.0
8,hue_0.025,cross_entropy,321.9642333984375,7.1936827,0.0,120.0,22.0
9,hue_0.025,cross_entropy,491.241943359375,7.4755282,0.0,171.0,9.0
10,hue_0.025,cross_entropy,355.535888671875,9.817083,0.0,216.0,27.0
11,hue_0.025,cross_entropy,258.9508056640625,5.4340415,0.0,33.0,16.0
12,hue_0.025,cross_entropy,334.81121826171875,1.2531013,0.0,93.0,14.0
13,hue_0.025,cross_entropy,409.28021240234375,1.5633636,0.0,92.0,7.0
14,hue_0.025,cross_entropy,315.583740234375,5.7220295e-06,1.0,217.0,26.0
15,hue_0.025,cross_entropy,368.419921875,3.0686297,0.0,45.0,1.0
16,hue_0.025,cross_entropy,306.285888671875,11.400242,0.0,157.0,8.0
17,hue_0.025,cross_entropy,418.50787353515625,13.051114,0.0,203.0,10.0
18,hue_0.025,cross_entropy,455.76519775390625,6.825723,0.0,24.0,22.0
19,hue_0.025,cross_entropy,327.4483642578125,7.143656,0.0,42.0,5.0
20,hue_0.025,cross_entropy,462.79974365234375,9.372607,0.0,68.0,9.0
21,hue_0.025,cross_entropy,318.4517822265625,3.1510258,0.0,164.0,12.0
22,hue_0.025,cross_entropy,329.57940673828125,4.492744,0.0,178.0,8.0
23,hue_0.025,cross_entropy,251.5955810546875,7.2264643,0.0,74.0,19.0
24,hue_0.025,cross_entropy,381.4136657714844,1.487647,0.0,149.0,19.0
25,hue_0.025,cross_entropy,323.54852294921875,11.440051,0.0,0.0,28.0
26,hue_0.025,cross_entropy,478.5823974609375,4.3795595,0.0,212.0,13.0
27,hue_0.025,cross_entropy,455.61798095703125,3.3620362,0.0,224.0,8.0
28,hue_0.025,cross_entropy,357.8414306640625,8.528841,0.0,262.0,6.0
29,hue_0.025,cross_entropy,259.070068359375,6.350273,0.0,153.0,2.0
30,hue_0.025,cross_entropy,286.5762023925781,1.12504,1.0,244.0,26.0
31,hue_0.025,cross_entropy,294.32666015625,2.9818633,0.0,193.0,27.0
32,hue_0.025,cross_entropy,446.6436767578125,2.0534694,0.0,182.0,9.0
33,hue_0.025,cross_entropy,293.427001953125,0.18197961,1.0,83.0,0.0
34,hue_0.025,cross_entropy,253.38189697265625,4.5027776,0.0,66.0,22.0
35,hue_0.025,cross_entropy,496.53729248046875,4.026629,0.0,126.0,17.0
36,hue_0.025,cross_entropy,289.33953857421875,1.6856858,0.0,48.0,16.0
37,hue_0.025,cross_entropy,254.2805938720703,11.997288,0.0,36.0,22.0
38,hue_0.025,cross_entropy,244.10203552246094,12.29249,0.0,222.0,9.0
39,hue_0.025,cross_entropy,293.78143310546875,0.12905265,1.0,121.0,15.0
40,hue_0.025,cross_entropy,292.4666748046875,3.7856472,0.0,32.0,23.0
41,hue_0.025,cross_entropy,354.22052001953125,1.6275654,0.0,158.0,7.0
42,hue_0.025,cross_entropy,374.8348693847656,5.128496,0.0,124.0,12.0
43,hue_0.025,cross_entropy,391.17633056640625,18.409056,0.0,61.0,10.0
44,hue_0.025,cross_entropy,421.4925537109375,2.078499,0.0,54.0,29.0
45,hue_0.025,cross_entropy,479.13812255859375,7.1662507,0.0,276.0,26.0
46,hue_0.025,cross_entropy,465.04974365234375,0.7482008,1.0,112.0,12.0
47,hue_0.025,cross_entropy,428.2303161621094,2.3040726,0.0,65.0,6.0
48,hue_0.025,cross_entropy,284.50048828125,2.6888885,0.0,254.0,6.0
49,hue_0.025,cross_entropy,350.3345947265625,7.505102,0.0,209.0,10.0
50,hue_0.025,cross_entropy,360.8114929199219,0.15727092,1.0,154.0,14.0
51,hue_0.025,cross_entropy,262.32220458984375,8.947073,0.0,51.0,8.0
52,hue_0.025,cross_entropy,281.08642578125,3.3620362,0.0,196.0,8.0
53,hue_0.025,cross_entropy,386.34149169921875,17.912746,0.0,184.0,5.0
54,hue_0.025,cross_entropy,485.38580322265625,2.774119,0.0,204.0,13.0
55,hue_0.025,cross_entropy,412.0310363769531,0.0039930386,1.0,91.0,26.0
56,hue_0.025,cross_entropy,306.1713562011719,0.61434525,1.0,96.0,17.0
57,hue_0.025,cross_entropy,308.56878662109375,13.934589,0.0,110.0,24.0
58,hue_0.025,cross_entropy,274.955322265625,0.008689449,1.0,236.0,2.0
59,hue_0.025,cross_entropy,336.986572265625,9.124493,0.0,168.0,5.0
60,hue_0.025,cross_entropy,342.3374938964844,5.1259863e-06,1.0,271.0,25.0
61,hue_0.025,cross_entropy,267.83721923828125,11.86833,0.0,169.0,5.0
62,hue_0.025,cross_entropy,339.2421569824219,0.0225937,1.0,131.0,7.0
63,hue_0.025,cross_entropy,286.8577880859375,0.54144925,1.0,71.0,16.0
64,hue_0.025,cross_entropy,290.0966796875,5.8038425,0.0,191.0,27.0
65,hue_0.025,cross_entropy,454.0849609375,6.2485747,0.0,238.0,9.0
66,hue_0.025,cross_entropy,460.2720642089844,1.7828128,0.0,206.0,14.0
67,hue_0.025,cross_entropy,373.0128173828125,9.685531,0.0,267.0,19.0
68,hue_0.025,cross_entropy,359.25384521484375,3.2947528,0.0,172.0,0.0
69,hue_0.025,cross_entropy,284.73406982421875,5.0666523,0.0,155.0,28.0
70,hue_0.025,cross_entropy,299.06378173828125,7.5608683,0.0,4.0,12.0
71,hue_0.025,cross_entropy,428.08837890625,12.71674,0.0,263.0,5.0
72,hue_0.025,cross_entropy,328.4188537597656,9.53163,0.0,261.0,24.0
73,hue_0.025,cross_entropy,291.1339416503906,4.7373314,0.0,208.0,11.0
74,hue_0.025,cross_entropy,650.37255859375,6.165344,0.0,81.0,16.0
75,hue_0.025,cross_entropy,243.84954833984375,0.17046215,1.0,78.0,11.0
76,hue_0.025,cross_entropy,451.40087890625,0.16872063,1.0,106.0,30.0
77,hue_0.025,cross_entropy,450.943603515625,11.525398,0.0,259.0,9.0
78,hue_0.025,cross_entropy,374.1119079589844,6.787194,0.0,95.0,25.0
79,hue_0.025,cross_entropy,544.4947509765625,4.8475637,0.0,50.0,16.0
80,hue_0.025,cross_entropy,402.5604248046875,18.798067,0.0,251.0,5.0
81,hue_0.025,cross_entropy,289.1204528808594,8.674599,0.0,86.0,5.0
82,hue_0.025,cross_entropy,274.708740234375,3.3289304,0.0,167.0,19.0
83,hue_0.025,cross_entropy,527.7433471679688,4.2628493,0.0,249.0,11.0
84,hue_0.025,cross_entropy,429.4206848144531,2.5689795,0.0,117.0,16.0
85,hue_0.025,cross_entropy,296.2811584472656,5.136831,0.0,115.0,8.0
86,hue_0.025,cross_entropy,320.09429931640625,5.096521,0.0,82.0,12.0
87,hue_0.025,cross_entropy,435.6544189453125,14.690931,0.0,30.0,6.0
88,hue_0.025,cross_entropy,430.60205078125,3.4561377,0.0,21.0,16.0
89,hue_0.025,cross_entropy,386.227294921875,2.8590105,0.0,211.0,25.0
90,hue_0.025,cross_entropy,365.8216552734375,6.4875703,0.0,144.0,0.0
91,hue_0.025,cross_entropy,331.08050537109375,5.1235085,0.0,94.0,15.0
92,hue_0.025,cross_entropy,275.29547119140625,0.44747138,1.0,220.0,7.0
93,hue_0.025,cross_entropy,333.86163330078125,0.12732224,1.0,123.0,29.0
