,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,-0.3097873330116272,14.622456,0.0,1930.0,1.0
1,train,energy,4.234622001647949,0.004373272,1.0,609.0,12.0
2,train,energy,0.8960452675819397,17.943495,0.0,1912.0,10.0
3,train,energy,1.2277777194976807,9.266058,0.0,1657.0,8.0
4,train,energy,-0.6926632523536682,0.010641497,1.0,665.0,16.0
5,train,energy,4.526665210723877,14.307387,0.0,739.0,10.0
6,train,energy,5.396486282348633,4.563821,0.0,1878.0,11.0
7,train,energy,2.7091128826141357,0.014586712,1.0,1893.0,13.0
8,train,energy,4.06719446182251,2.5461903,0.0,1813.0,24.0
9,train,energy,-0.09909284114837646,0.0037089859,1.0,404.0,7.0
10,train,energy,-0.8196355700492859,0.7010828,1.0,464.0,17.0
11,train,energy,-0.8805166482925415,0.017657464,1.0,708.0,23.0
12,train,energy,3.6213221549987793,0.7261085,1.0,2041.0,2.0
13,train,energy,5.3800153732299805,4.4968204,0.0,1447.0,18.0
14,train,energy,0.7541251182556152,8.495779,0.0,2033.0,17.0
15,train,energy,0.2693811058998108,6.7038255,0.0,1535.0,1.0
16,train,energy,8.127657890319824,0.27179682,1.0,1194.0,21.0
17,train,energy,-0.6661093831062317,0.6874529,1.0,866.0,12.0
18,train,energy,-1.2388322353363037,13.081971,0.0,21.0,24.0
19,train,energy,-0.9024531841278076,3.7574754,0.0,388.0,8.0
20,train,energy,2.166086435317993,0.99345934,1.0,2159.0,16.0
21,train,energy,2.874866485595703,12.912089,0.0,1668.0,11.0
22,train,energy,0.6799864172935486,4.762767,0.0,199.0,25.0
23,train,energy,8.211281776428223,5.437419,0.0,1435.0,15.0
24,train,energy,3.9937636852264404,7.6954427,0.0,1181.0,27.0
25,train,energy,-0.5927786827087402,0.15733367,1.0,1839.0,12.0
26,train,energy,1.8986690044403076,0.37047952,1.0,910.0,18.0
27,train,energy,-2.01607084274292,0.9457388,0.0,2242.0,23.0
28,train,energy,4.471497535705566,12.731898,0.0,812.0,5.0
29,train,energy,5.8804121017456055,3.3628166,0.0,226.0,4.0
30,train,energy,5.152568340301514,0.5901201,1.0,1243.0,20.0
31,train,energy,2.064098596572876,13.526408,0.0,668.0,6.0
32,train,energy,6.481524467468262,3.0016134,0.0,1265.0,28.0
33,train,energy,3.919032096862793,0.035476234,1.0,203.0,16.0
34,train,energy,6.672524452209473,0.0025723246,1.0,1451.0,20.0
35,train,energy,0.1855977177619934,0.25958574,1.0,1001.0,17.0
