,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,typicality,1021822959616.0,1.9778117,0.0,25.0,2.0
1,contrast_0.025,typicality,409820397568.0,2.045574,0.0,278.0,17.0
2,contrast_0.025,typicality,1441423556608.0,0.008390888,1.0,277.0,26.0
3,contrast_0.025,typicality,887676731392.0,9.677192,0.0,150.0,30.0
4,contrast_0.025,typicality,230012977152.0,9.61714,0.0,17.0,28.0
5,contrast_0.025,typicality,795999600640.0,1.4885997,0.0,269.0,16.0
6,contrast_0.025,typicality,970075209728.0,4.0531077e-06,1.0,217.0,26.0
7,contrast_0.025,typicality,1173657878528.0,3.2932487,0.0,111.0,28.0
8,contrast_0.025,typicality,682172219392.0,2.3740735,0.0,22.0,3.0
9,contrast_0.025,typicality,757700231168.0,3.3976986,0.0,185.0,21.0
10,contrast_0.025,typicality,966830456832.0,5.761548,0.0,143.0,11.0
11,contrast_0.025,typicality,1357773012992.0,2.8125367,0.0,226.0,11.0
12,contrast_0.025,typicality,1398784786432.0,0.1590026,1.0,123.0,29.0
13,contrast_0.025,typicality,971915657216.0,13.9278555,0.0,110.0,24.0
14,contrast_0.025,typicality,2076423618560.0,5.1113267,0.0,115.0,8.0
15,contrast_0.025,typicality,810879549440.0,5.219879,0.0,126.0,17.0
16,contrast_0.025,typicality,1159652704256.0,5.899856,0.0,107.0,23.0
17,contrast_0.025,typicality,8046815744.0,2.6637032,0.0,147.0,8.0
18,contrast_0.025,typicality,825660538880.0,9.123341,0.0,127.0,24.0
19,contrast_0.025,typicality,850239291392.0,6.1795635,0.0,81.0,16.0
20,contrast_0.025,typicality,1027115057152.0,0.5994845,1.0,96.0,17.0
21,contrast_0.025,typicality,8276748800.0,8.351236,0.0,275.0,20.0
22,contrast_0.025,typicality,831677071360.0,5.4331293,0.0,33.0,16.0
23,contrast_0.025,typicality,772115267584.0,0.0045273188,1.0,198.0,18.0
24,contrast_0.025,typicality,778481303552.0,4.65414,0.0,212.0,13.0
25,contrast_0.025,typicality,813267091456.0,8.810502,0.0,279.0,9.0
26,contrast_0.025,typicality,733685678080.0,3.340784,0.0,164.0,12.0
27,contrast_0.025,typicality,824361287680.0,1.7150248,0.0,48.0,16.0
28,contrast_0.025,typicality,1296521363456.0,0.8092805,1.0,244.0,26.0
29,contrast_0.025,typicality,1289669312512.0,7.2991667,0.0,183.0,2.0
30,contrast_0.025,typicality,766435393536.0,5.2820387,0.0,94.0,15.0
31,contrast_0.025,typicality,737351303168.0,0.7262449,1.0,137.0,13.0
32,contrast_0.025,typicality,961945927680.0,9.571544,0.0,216.0,27.0
33,contrast_0.025,typicality,647721517056.0,1.9422436,0.0,221.0,17.0
34,contrast_0.025,typicality,1207493459968.0,0.3895874,1.0,133.0,8.0
35,contrast_0.025,typicality,477801480192.0,5.3719563,0.0,148.0,0.0
36,contrast_0.025,typicality,943002222592.0,5.9496975,0.0,19.0,6.0
37,contrast_0.025,typicality,762026328064.0,8.609883,0.0,86.0,5.0
38,contrast_0.025,typicality,998386106368.0,0.31184334,1.0,20.0,6.0
39,contrast_0.025,typicality,932884971520.0,5.226474,0.0,155.0,28.0
