,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,energy,4.8160176277160645,3.9149475,0.0,217.0,9.0
1,contrast_0.025,energy,0.18373943865299225,12.431109,0.0,418.0,1.0
2,contrast_0.025,energy,-3.0947277545928955,0.11579647,1.0,207.0,29.0
3,contrast_0.025,energy,-4.659163475036621,12.192591,0.0,244.0,2.0
4,contrast_0.025,energy,-1.5946602821350098,19.073687,0.0,30.0,8.0
5,contrast_0.025,energy,-4.307620048522949,9.580851,0.0,366.0,35.0
6,contrast_0.025,energy,-1.61405348777771,13.294859,0.0,323.0,27.0
7,contrast_0.025,energy,-5.914581298828125,16.810223,0.0,23.0,61.0
8,contrast_0.025,energy,-2.163853645324707,0.0037929513,1.0,41.0,58.0
9,contrast_0.025,energy,2.25573468208313,7.67926,0.0,98.0,6.0
10,contrast_0.025,energy,2.791592597961426,8.839218,0.0,167.0,18.0
11,contrast_0.025,energy,-3.8026211261749268,2.6315234,0.0,257.0,8.0
12,contrast_0.025,energy,-1.4177980422973633,2.833579,0.0,278.0,46.0
13,contrast_0.025,energy,-4.880210876464844,4.184776,0.0,40.0,54.0
14,contrast_0.025,energy,1.1588120460510254,6.0434537,0.0,415.0,32.0
15,contrast_0.025,energy,-5.823965072631836,8.949867,0.0,236.0,18.0
16,contrast_0.025,energy,-5.395618915557861,12.997888,0.0,301.0,7.0
17,contrast_0.025,energy,-1.0627790689468384,12.123828,0.0,191.0,24.0
18,contrast_0.025,energy,-5.504788398742676,11.906772,0.0,68.0,61.0
19,contrast_0.025,energy,-3.5934197902679443,14.7994375,0.0,198.0,60.0
20,contrast_0.025,energy,-2.4779436588287354,0.6033575,1.0,350.0,55.0
21,contrast_0.025,energy,-1.2117661237716675,10.942625,0.0,435.0,61.0
22,contrast_0.025,energy,-5.415221691131592,8.169709,0.0,256.0,7.0
23,contrast_0.025,energy,-4.0435285568237305,0.3519511,1.0,387.0,31.0
24,contrast_0.025,energy,-6.278350830078125,15.597899,0.0,120.0,19.0
25,contrast_0.025,energy,-7.493772029876709,1.1581182,0.0,218.0,41.0
26,contrast_0.025,energy,-2.780517101287842,6.5535493,0.0,221.0,18.0
27,contrast_0.025,energy,-6.551082611083984,11.973478,0.0,131.0,21.0
28,contrast_0.025,energy,-3.378246307373047,0.16783033,1.0,307.0,8.0
29,contrast_0.025,energy,-1.1279281377792358,15.38611,0.0,169.0,62.0
30,contrast_0.025,energy,-9.168663024902344,11.090562,0.0,299.0,2.0
31,contrast_0.025,energy,-6.203417778015137,4.6489797,0.0,295.0,62.0
32,contrast_0.025,energy,-4.52360200881958,27.744064,0.0,31.0,24.0
33,contrast_0.025,energy,-6.015435218811035,0.047995076,1.0,69.0,9.0
34,contrast_0.025,energy,-1.8763148784637451,10.904366,0.0,283.0,24.0
35,contrast_0.025,energy,-3.5464134216308594,1.08844,0.0,137.0,3.0
36,contrast_0.025,energy,-0.14926186203956604,0.43225062,1.0,158.0,38.0
37,contrast_0.025,energy,-1.6965351104736328,0.036636688,1.0,116.0,23.0
38,contrast_0.025,energy,-6.531354904174805,14.513963,0.0,312.0,1.0
39,contrast_0.025,energy,-0.7754064798355103,16.948835,0.0,15.0,17.0
40,contrast_0.025,energy,-0.8416639566421509,11.454621,0.0,205.0,3.0
41,contrast_0.025,energy,-5.449019432067871,8.342035,0.0,398.0,31.0
42,contrast_0.025,energy,-4.365711688995361,17.025917,0.0,62.0,57.0
43,contrast_0.025,energy,-0.3656631112098694,10.529223,0.0,219.0,48.0
44,contrast_0.025,energy,5.22642183303833,7.3791046,0.0,353.0,21.0
45,contrast_0.025,energy,10.897578239440918,3.413859,0.0,213.0,28.0
46,contrast_0.025,energy,-0.04708684980869293,14.96883,0.0,18.0,52.0
47,contrast_0.025,energy,-2.647895336151123,9.7105,0.0,378.0,11.0
48,contrast_0.025,energy,-3.168346643447876,8.007567,0.0,194.0,22.0
49,contrast_0.025,energy,-0.37869787216186523,0.5458812,1.0,84.0,0.0
50,contrast_0.025,energy,-5.38153076171875,6.648038,0.0,11.0,47.0
51,contrast_0.025,energy,-5.000460624694824,0.12913658,1.0,113.0,22.0
52,contrast_0.025,energy,-0.6565843820571899,8.059468,0.0,20.0,17.0
53,contrast_0.025,energy,-0.10945585370063782,8.199081,0.0,124.0,5.0
54,contrast_0.025,energy,-5.866575241088867,2.0442953,0.0,10.0,37.0
55,contrast_0.025,energy,-2.100393772125244,2.7045715,0.0,134.0,28.0
56,contrast_0.025,energy,5.162697792053223,2.7894082,0.0,150.0,3.0
57,contrast_0.025,energy,-1.507941484451294,2.118392,0.0,225.0,55.0
58,contrast_0.025,energy,1.210012674331665,9.168718,0.0,324.0,61.0
59,contrast_0.025,energy,-7.881900787353516,0.19175076,1.0,206.0,2.0
60,contrast_0.025,energy,-7.602930545806885,0.08627265,1.0,381.0,41.0
61,contrast_0.025,energy,-6.321290016174316,7.890972,0.0,157.0,38.0
62,contrast_0.025,energy,-3.7812180519104004,30.570889,0.0,376.0,50.0
63,contrast_0.025,energy,-0.014940991997718811,16.176414,0.0,177.0,45.0
64,contrast_0.025,energy,-0.5012842416763306,7.72933,0.0,416.0,8.0
65,contrast_0.025,energy,-2.6424145698547363,1.1036355,1.0,83.0,13.0
66,contrast_0.025,energy,-4.028102397918701,4.640241,0.0,322.0,47.0
67,contrast_0.025,energy,-2.086056709289551,8.551958,0.0,305.0,54.0
68,contrast_0.025,energy,4.757203578948975,0.5218414,1.0,202.0,53.0
69,contrast_0.025,energy,0.31263864040374756,4.1187124,0.0,239.0,20.0
70,contrast_0.025,energy,-4.677347183227539,15.460176,0.0,114.0,25.0
71,contrast_0.025,energy,2.788395404815674,4.25042,0.0,234.0,54.0
72,contrast_0.025,energy,3.121744155883789,5.584967,0.0,320.0,18.0
73,contrast_0.025,energy,-6.1621012687683105,5.3962297,0.0,96.0,40.0
74,contrast_0.025,energy,-5.527035713195801,12.453603,0.0,241.0,10.0
75,contrast_0.025,energy,0.0429079532623291,8.065872,0.0,115.0,24.0
76,contrast_0.025,energy,-1.8833448886871338,2.3552938,0.0,357.0,33.0
77,contrast_0.025,energy,-0.9750304222106934,15.130867,0.0,184.0,9.0
78,contrast_0.025,energy,7.992602348327637,5.6820397,0.0,432.0,1.0
79,contrast_0.025,energy,-6.5485687255859375,22.757858,0.0,310.0,51.0
80,contrast_0.025,energy,-3.3421833515167236,14.296139,0.0,280.0,25.0
81,contrast_0.025,energy,-6.291767120361328,6.7114987,0.0,367.0,53.0
82,contrast_0.025,energy,5.19872522354126,0.30123955,1.0,409.0,15.0
83,contrast_0.025,energy,-4.207975387573242,0.03928475,1.0,125.0,14.0
84,contrast_0.025,energy,-2.9292385578155518,13.650767,0.0,190.0,31.0
85,contrast_0.025,energy,-5.9292988777160645,6.509557,0.0,99.0,28.0
86,contrast_0.025,energy,-5.713572025299072,4.7847557,0.0,222.0,21.0
87,contrast_0.025,energy,-0.28111642599105835,5.620656,0.0,181.0,49.0
88,contrast_0.025,energy,-3.8982326984405518,10.745728,0.0,243.0,45.0
89,contrast_0.025,energy,-4.6785807609558105,6.6098256,0.0,65.0,1.0
90,contrast_0.025,energy,-3.7128818035125732,3.9028592,0.0,285.0,37.0
91,contrast_0.025,energy,-3.2738189697265625,20.43,0.0,354.0,26.0
92,contrast_0.025,energy,-5.678369045257568,13.530385,0.0,139.0,0.0
93,contrast_0.025,energy,-6.836043357849121,13.322858,0.0,140.0,0.0
94,contrast_0.025,energy,-4.781856536865234,5.433172,0.0,178.0,12.0
95,contrast_0.025,energy,-6.208998680114746,4.5314136,0.0,106.0,59.0
96,contrast_0.025,energy,-0.9120418429374695,0.10211896,1.0,162.0,15.0
97,contrast_0.025,energy,-2.1287858486175537,9.826741,0.0,344.0,37.0
98,contrast_0.025,energy,-3.4623045921325684,3.3820887,0.0,2.0,7.0
99,contrast_0.025,energy,-0.8372302055358887,5.266064,0.0,17.0,13.0
100,contrast_0.025,energy,-8.109878540039062,2.9098415,0.0,48.0,28.0
101,contrast_0.025,energy,2.6142303943634033,2.6132603,0.0,33.0,8.0
102,contrast_0.025,energy,-2.508894681930542,27.256292,0.0,386.0,30.0
103,contrast_0.025,energy,3.05639910697937,9.35739,0.0,145.0,56.0
104,contrast_0.025,energy,-2.8436717987060547,12.708017,0.0,22.0,16.0
105,contrast_0.025,energy,-6.120774269104004,1.1747446,0.0,226.0,47.0
106,contrast_0.025,energy,-3.097731113433838,0.6593087,1.0,369.0,23.0
107,contrast_0.025,energy,-2.106112003326416,4.8894434,0.0,166.0,63.0
108,contrast_0.025,energy,-2.034639358520508,0.22967677,1.0,161.0,44.0
109,contrast_0.025,energy,-7.017127990722656,1.8876307,0.0,355.0,31.0
110,contrast_0.025,energy,-5.08042049407959,5.8835864,0.0,273.0,35.0
111,contrast_0.025,energy,-0.32828378677368164,9.12131,0.0,9.0,61.0
112,contrast_0.025,energy,-4.225358963012695,12.783191,0.0,39.0,60.0
113,contrast_0.025,energy,-0.09178817272186279,2.298859,0.0,80.0,29.0
114,contrast_0.025,energy,-4.1013503074646,4.910477,0.0,233.0,28.0
115,contrast_0.025,energy,-4.962972164154053,0.020378504,1.0,88.0,44.0
116,contrast_0.025,energy,-4.214768886566162,0.61187834,1.0,43.0,29.0
117,contrast_0.025,energy,-5.669992923736572,2.8808024,0.0,186.0,7.0
118,contrast_0.025,energy,-6.113162040710449,19.841478,0.0,388.0,4.0
119,contrast_0.025,energy,-0.7191590070724487,0.22270401,1.0,392.0,48.0
120,contrast_0.025,energy,-1.9088037014007568,23.586226,0.0,380.0,30.0
121,contrast_0.025,energy,-1.0530743598937988,0.5163962,1.0,46.0,8.0
122,contrast_0.025,energy,-8.028082847595215,10.058192,0.0,38.0,56.0
123,contrast_0.025,energy,-1.960423231124878,19.143436,0.0,297.0,21.0
124,contrast_0.025,energy,-1.7012313604354858,10.232689,0.0,86.0,36.0
125,contrast_0.025,energy,-2.2977519035339355,4.953087,0.0,156.0,49.0
126,contrast_0.025,energy,2.8927018642425537,16.997883,0.0,119.0,46.0
127,contrast_0.025,energy,-3.5437846183776855,2.5583837,0.0,143.0,61.0
128,contrast_0.025,energy,-2.3011324405670166,13.648622,0.0,413.0,60.0
129,contrast_0.025,energy,-2.269226312637329,7.528403,0.0,390.0,64.0
130,contrast_0.025,energy,-2.073272466659546,8.774915,0.0,313.0,14.0
131,contrast_0.025,energy,-2.189520835876465,7.3935814,0.0,249.0,3.0
132,contrast_0.025,energy,-4.901452541351318,17.085514,0.0,34.0,4.0
133,contrast_0.025,energy,-1.789175033569336,4.9873977,0.0,269.0,13.0
134,contrast_0.025,energy,1.030353307723999,0.019289877,1.0,112.0,56.0
135,contrast_0.025,energy,-3.255645990371704,13.435617,0.0,1.0,9.0
136,contrast_0.025,energy,-3.5652847290039062,11.985448,0.0,268.0,60.0
137,contrast_0.025,energy,1.165604829788208,7.604743,0.0,232.0,51.0
138,contrast_0.025,energy,-0.22984431684017181,0.33145276,1.0,117.0,59.0
139,contrast_0.025,energy,6.852784156799316,23.175026,0.0,75.0,7.0
140,contrast_0.025,energy,-2.7889962196350098,14.199627,0.0,349.0,18.0
141,contrast_0.025,energy,-4.348963737487793,15.02879,0.0,330.0,43.0
142,contrast_0.025,energy,-3.713573694229126,19.228523,0.0,93.0,4.0
143,contrast_0.025,energy,-6.28465461730957,6.956689,0.0,331.0,56.0
144,contrast_0.025,energy,-4.047142505645752,8.871793,0.0,407.0,33.0
145,contrast_0.025,energy,-0.5311940908432007,28.275848,0.0,201.0,19.0
146,contrast_0.025,energy,-0.881183385848999,5.2487197,0.0,54.0,20.0
147,contrast_0.025,energy,-2.103848934173584,0.9361191,1.0,176.0,58.0
148,contrast_0.025,energy,-2.4814834594726562,0.6667573,1.0,168.0,9.0
149,contrast_0.025,energy,-3.9823763370513916,1.5884039,0.0,286.0,63.0
150,contrast_0.025,energy,0.6591569781303406,21.846651,0.0,230.0,29.0
151,contrast_0.025,energy,4.34357213973999,10.204513,0.0,379.0,3.0
152,contrast_0.025,energy,-5.578071117401123,2.300682,0.0,58.0,6.0
153,contrast_0.025,energy,0.7479989528656006,14.304611,0.0,414.0,55.0
154,contrast_0.025,energy,-2.60573410987854,10.624805,0.0,103.0,17.0
155,contrast_0.025,energy,3.8922040462493896,19.760242,0.0,12.0,30.0
156,contrast_0.025,energy,-7.738715171813965,12.109859,0.0,282.0,56.0
157,contrast_0.025,energy,9.69098949432373,15.300972,0.0,420.0,57.0
158,contrast_0.025,energy,-2.7250399589538574,13.879217,0.0,8.0,47.0
159,contrast_0.025,energy,-2.8005266189575195,6.3911963,0.0,5.0,51.0
160,contrast_0.025,energy,-4.158984184265137,2.3234622,0.0,42.0,58.0
161,contrast_0.025,energy,0.4438476860523224,3.3531845,0.0,315.0,6.0
162,contrast_0.025,energy,-9.00467300415039,5.8865237,0.0,173.0,15.0
