,fold,feature_name,feature,loss,acc,idx,class
0,noise_0.025,typicality,9512.767578125,22.194899,0.0,241.0,10.0
1,noise_0.025,typicality,9473.0087890625,7.295891,0.0,26.0,47.0
2,noise_0.025,typicality,9965.71484375,14.981103,0.0,121.0,1.0
3,noise_0.025,typicality,9225.4794921875,12.880567,0.0,262.0,62.0
4,noise_0.025,typicality,11005.974609375,15.231245,0.0,184.0,9.0
5,noise_0.025,typicality,11401.84375,6.347596,0.0,269.0,13.0
6,noise_0.025,typicality,10608.8798828125,11.526094,0.0,290.0,62.0
7,noise_0.025,typicality,9449.42578125,41.67822,0.0,230.0,29.0
8,noise_0.025,typicality,11765.03515625,0.8923608,0.0,174.0,38.0
9,noise_0.025,typicality,9246.3388671875,6.8009424,0.0,390.0,64.0
10,noise_0.025,typicality,11337.912109375,12.529091,0.0,65.0,1.0
11,noise_0.025,typicality,10461.783203125,17.3314,0.0,360.0,58.0
12,noise_0.025,typicality,11457.0107421875,12.141592,0.0,324.0,61.0
13,noise_0.025,typicality,8800.5400390625,14.767768,0.0,329.0,18.0
14,noise_0.025,typicality,10792.92578125,18.011238,0.0,244.0,2.0
15,noise_0.025,typicality,11871.455078125,1.7835326,0.0,403.0,56.0
16,noise_0.025,typicality,9557.6025390625,8.149973,0.0,13.0,46.0
17,noise_0.025,typicality,11204.501953125,8.422221,0.0,251.0,62.0
18,noise_0.025,typicality,11649.126953125,20.792488,0.0,404.0,52.0
19,noise_0.025,typicality,9486.7958984375,0.36460748,1.0,112.0,56.0
20,noise_0.025,typicality,11121.662109375,20.63767,0.0,80.0,29.0
21,noise_0.025,typicality,9495.93359375,9.231536,0.0,397.0,36.0
22,noise_0.025,typicality,8948.43359375,8.425487,0.0,378.0,11.0
23,noise_0.025,typicality,11681.791015625,13.592298,0.0,312.0,1.0
24,noise_0.025,typicality,11070.546875,13.305677,0.0,162.0,15.0
25,noise_0.025,typicality,9932.388671875,16.816896,0.0,354.0,26.0
26,noise_0.025,typicality,10194.0390625,24.528656,0.0,92.0,4.0
27,noise_0.025,typicality,11345.609375,10.019458,0.0,120.0,19.0
28,noise_0.025,typicality,10290.220703125,22.459743,0.0,435.0,61.0
29,noise_0.025,typicality,10776.28515625,5.0047684,0.0,67.0,53.0
30,noise_0.025,typicality,10171.68359375,10.200033,0.0,306.0,12.0
31,noise_0.025,typicality,10223.0107421875,2.8204033,0.0,19.0,28.0
32,noise_0.025,typicality,9678.0849609375,6.2864,0.0,379.0,3.0
33,noise_0.025,typicality,11711.291015625,7.8393507,0.0,279.0,5.0
34,noise_0.025,typicality,8520.2197265625,4.9883585,0.0,171.0,21.0
35,noise_0.025,typicality,11658.0234375,13.192901,0.0,129.0,7.0
36,noise_0.025,typicality,10939.0419921875,0.21526721,1.0,88.0,44.0
37,noise_0.025,typicality,10688.8984375,12.990154,0.0,199.0,2.0
38,noise_0.025,typicality,9993.3154296875,26.637672,0.0,177.0,45.0
39,noise_0.025,typicality,9606.5390625,10.924363,0.0,416.0,8.0
40,noise_0.025,typicality,11673.1201171875,25.514708,0.0,389.0,51.0
41,noise_0.025,typicality,10998.3515625,0.00010847457,1.0,328.0,8.0
42,noise_0.025,typicality,10027.1630859375,18.719734,0.0,272.0,4.0
43,noise_0.025,typicality,10705.7509765625,0.19938044,1.0,148.0,8.0
44,noise_0.025,typicality,8347.322265625,3.2058394,0.0,294.0,46.0
45,noise_0.025,typicality,10883.7080078125,20.626787,0.0,338.0,4.0
46,noise_0.025,typicality,11086.1328125,18.494202,0.0,204.0,34.0
47,noise_0.025,typicality,8886.5302734375,3.8094254,0.0,81.0,29.0
48,noise_0.025,typicality,9588.7158203125,5.7040725,0.0,82.0,11.0
49,noise_0.025,typicality,11355.3544921875,2.6320548,0.0,222.0,21.0
50,noise_0.025,typicality,11216.783203125,7.0415683,0.0,179.0,28.0
51,noise_0.025,typicality,10005.3134765625,19.294182,0.0,418.0,1.0
52,noise_0.025,typicality,10451.953125,10.211872,0.0,126.0,48.0
53,noise_0.025,typicality,9819.3779296875,13.105345,0.0,36.0,51.0
54,noise_0.025,typicality,11775.0908203125,13.629493,0.0,86.0,36.0
55,noise_0.025,typicality,8819.80859375,20.982456,0.0,434.0,54.0
56,noise_0.025,typicality,9630.091796875,17.533379,0.0,229.0,60.0
57,noise_0.025,typicality,10908.564453125,8.08903,0.0,255.0,5.0
58,noise_0.025,typicality,11599.01171875,12.602438,0.0,333.0,30.0
59,noise_0.025,typicality,11255.1630859375,9.777493,0.0,368.0,56.0
60,noise_0.025,typicality,9723.478515625,18.214418,0.0,164.0,60.0
61,noise_0.025,typicality,10952.716796875,12.960294,0.0,18.0,52.0
62,noise_0.025,typicality,9686.03125,18.268744,0.0,330.0,43.0
63,noise_0.025,typicality,9906.3369140625,16.972054,0.0,76.0,21.0
64,noise_0.025,typicality,9639.30859375,20.495792,0.0,66.0,60.0
65,noise_0.025,typicality,10360.0009765625,9.581034,0.0,347.0,44.0
66,noise_0.025,typicality,10693.9931640625,8.788175,0.0,359.0,48.0
67,noise_0.025,typicality,11645.423828125,9.433157,0.0,285.0,37.0
68,noise_0.025,typicality,9777.96484375,10.259654,0.0,247.0,34.0
69,noise_0.025,typicality,8965.607421875,9.068528,0.0,203.0,39.0
70,noise_0.025,typicality,11894.6044921875,4.599696,0.0,142.0,41.0
71,noise_0.025,typicality,10613.978515625,1.8600254,0.0,32.0,20.0
72,noise_0.025,typicality,11445.404296875,9.156451,0.0,2.0,7.0
73,noise_0.025,typicality,12175.068359375,0.38494724,1.0,113.0,22.0
74,noise_0.025,typicality,10924.462890625,23.455566,0.0,412.0,52.0
75,noise_0.025,typicality,10087.365234375,4.4918246,0.0,374.0,20.0
76,noise_0.025,typicality,9994.0634765625,21.811638,0.0,405.0,50.0
77,noise_0.025,typicality,11668.646484375,11.674744,0.0,152.0,52.0
78,noise_0.025,typicality,9246.556640625,2.9952617,0.0,417.0,57.0
