,fold,feature_name,feature,loss,acc,idx,class
0,smear_0.025,typicality,10857.3330078125,5.2973714,0.0,186.0,7.0
1,smear_0.025,typicality,10075.8076171875,9.478314,0.0,25.0,30.0
2,smear_0.025,typicality,11243.5146484375,0.011721076,1.0,41.0,58.0
3,smear_0.025,typicality,10304.6494140625,23.433935,0.0,310.0,51.0
4,smear_0.025,typicality,8774.126953125,4.766192,0.0,102.0,34.0
5,smear_0.025,typicality,11646.841796875,1.1384261,0.0,218.0,41.0
6,smear_0.025,typicality,10707.396484375,0.21203047,1.0,24.0,22.0
7,smear_0.025,typicality,9105.46484375,9.974781,0.0,424.0,27.0
8,smear_0.025,typicality,10172.458984375,2.6388223,0.0,35.0,40.0
9,smear_0.025,typicality,11238.302734375,4.4795446,0.0,52.0,55.0
10,smear_0.025,typicality,8821.7373046875,3.4372058,0.0,417.0,57.0
11,smear_0.025,typicality,8752.6142578125,6.090481,0.0,54.0,20.0
12,smear_0.025,typicality,9323.30859375,0.1528999,1.0,84.0,0.0
13,smear_0.025,typicality,10103.744140625,3.8600416,0.0,192.0,58.0
14,smear_0.025,typicality,12575.232421875,17.744831,0.0,183.0,16.0
15,smear_0.025,typicality,10502.28125,6.547388,0.0,175.0,10.0
16,smear_0.025,typicality,11782.4423828125,7.8868403,0.0,431.0,32.0
17,smear_0.025,typicality,9579.310546875,13.916082,0.0,26.0,47.0
18,smear_0.025,typicality,8328.9609375,3.3835983,0.0,327.0,49.0
19,smear_0.025,typicality,9980.0654296875,13.02322,0.0,418.0,1.0
20,smear_0.025,typicality,11115.828125,0.6018448,1.0,210.0,14.0
21,smear_0.025,typicality,9248.96484375,10.804514,0.0,281.0,9.0
22,smear_0.025,typicality,9264.9853515625,24.717705,0.0,75.0,7.0
23,smear_0.025,typicality,9202.28125,2.752067,0.0,142.0,41.0
24,smear_0.025,typicality,8524.345703125,0.72667664,1.0,394.0,16.0
25,smear_0.025,typicality,8765.005859375,5.772996,0.0,322.0,47.0
26,smear_0.025,typicality,9493.34375,18.908516,0.0,245.0,4.0
27,smear_0.025,typicality,11781.837890625,0.24381007,1.0,419.0,39.0
28,smear_0.025,typicality,9308.875,15.935435,0.0,76.0,21.0
29,smear_0.025,typicality,11172.0869140625,4.578276,0.0,57.0,29.0
30,smear_0.025,typicality,11431.2177734375,8.006294,0.0,11.0,47.0
31,smear_0.025,typicality,11886.88671875,8.646236,0.0,232.0,51.0
32,smear_0.025,typicality,9175.7822265625,6.4929686,0.0,99.0,28.0
33,smear_0.025,typicality,8515.7666015625,20.269629,0.0,28.0,50.0
34,smear_0.025,typicality,10494.0341796875,17.96637,0.0,420.0,57.0
35,smear_0.025,typicality,9730.650390625,8.341471,0.0,13.0,46.0
36,smear_0.025,typicality,10394.720703125,5.09902,0.0,180.0,9.0
37,smear_0.025,typicality,10210.68359375,24.157055,0.0,51.0,30.0
38,smear_0.025,typicality,9687.5791015625,27.62717,0.0,405.0,50.0
39,smear_0.025,typicality,11553.994140625,22.185156,0.0,235.0,25.0
40,smear_0.025,typicality,10892.0703125,12.134968,0.0,244.0,2.0
41,smear_0.025,typicality,9748.919921875,8.426716,0.0,171.0,21.0
42,smear_0.025,typicality,10151.09375,15.516922,0.0,110.0,20.0
43,smear_0.025,typicality,9952.400390625,7.1240826,0.0,433.0,46.0
44,smear_0.025,typicality,11459.498046875,1.0207794,0.0,153.0,46.0
45,smear_0.025,typicality,8777.935546875,13.475381,0.0,223.0,54.0
46,smear_0.025,typicality,8797.23046875,12.245774,0.0,371.0,0.0
47,smear_0.025,typicality,11542.498046875,11.415067,0.0,296.0,48.0
48,smear_0.025,typicality,11262.53125,0.02710364,1.0,193.0,32.0
49,smear_0.025,typicality,8700.451171875,0.73697454,1.0,158.0,38.0
50,smear_0.025,typicality,11045.5634765625,10.7431135,0.0,147.0,48.0
51,smear_0.025,typicality,9260.2822265625,5.6236157,0.0,165.0,13.0
52,smear_0.025,typicality,10703.556640625,16.861155,0.0,47.0,61.0
53,smear_0.025,typicality,11309.7900390625,3.523334,0.0,134.0,28.0
54,smear_0.025,typicality,12972.814453125,2.17947,0.0,355.0,31.0
55,smear_0.025,typicality,9368.56640625,8.436519,0.0,86.0,36.0
56,smear_0.025,typicality,9521.126953125,6.8759713,0.0,5.0,51.0
57,smear_0.025,typicality,11145.0390625,0.99561155,0.0,387.0,31.0
58,smear_0.025,typicality,11833.978515625,8.440721,0.0,129.0,7.0
59,smear_0.025,typicality,8298.1767578125,13.468501,0.0,39.0,60.0
60,smear_0.025,typicality,10385.9931640625,23.253548,0.0,404.0,52.0
61,smear_0.025,typicality,9950.48828125,3.8307507,0.0,94.0,34.0
62,smear_0.025,typicality,10973.9921875,4.107616,0.0,267.0,39.0
63,smear_0.025,typicality,10685.68359375,0.068930306,1.0,206.0,2.0
64,smear_0.025,typicality,9165.94921875,19.949865,0.0,93.0,4.0
65,smear_0.025,typicality,11070.7099609375,15.442248,0.0,345.0,21.0
66,smear_0.025,typicality,10863.958984375,1.1138766,1.0,45.0,63.0
67,smear_0.025,typicality,10728.1591796875,15.681032,0.0,190.0,31.0
68,smear_0.025,typicality,10953.39453125,4.8949924,0.0,126.0,48.0
69,smear_0.025,typicality,10002.2978515625,1.7021475,0.0,276.0,14.0
70,smear_0.025,typicality,8465.7255859375,6.2587748,0.0,400.0,6.0
71,smear_0.025,typicality,11817.005859375,15.510453,0.0,63.0,62.0
72,smear_0.025,typicality,11085.740234375,8.344238,0.0,367.0,53.0
73,smear_0.025,typicality,9360.58203125,9.2826605,0.0,68.0,61.0
74,smear_0.025,typicality,11141.96875,9.194484,0.0,167.0,18.0
75,smear_0.025,typicality,9341.064453125,10.989863,0.0,434.0,54.0
76,smear_0.025,typicality,9880.9013671875,10.1069565,0.0,254.0,31.0
77,smear_0.025,typicality,11872.599609375,2.3319979,0.0,357.0,33.0
78,smear_0.025,typicality,10607.46484375,0.35824603,1.0,168.0,9.0
79,smear_0.025,typicality,11140.185546875,10.995843,0.0,253.0,11.0
80,smear_0.025,typicality,10870.3642578125,10.1691675,0.0,111.0,11.0
81,smear_0.025,typicality,10551.865234375,4.850854,0.0,179.0,28.0
82,smear_0.025,typicality,10970.2314453125,6.491511,0.0,98.0,6.0
83,smear_0.025,typicality,10689.830078125,7.670441,0.0,172.0,48.0
84,smear_0.025,typicality,11090.439453125,10.702757,0.0,191.0,24.0
85,smear_0.025,typicality,10801.7109375,0.43657255,1.0,117.0,59.0
86,smear_0.025,typicality,9550.171875,10.586193,0.0,375.0,10.0
87,smear_0.025,typicality,10066.978515625,17.230877,0.0,34.0,4.0
88,smear_0.025,typicality,11615.248046875,10.09525,0.0,101.0,6.0
89,smear_0.025,typicality,9944.2900390625,23.786102,0.0,308.0,21.0
90,smear_0.025,typicality,9249.2138671875,12.2793455,0.0,22.0,16.0
91,smear_0.025,typicality,12762.4794921875,4.381646,0.0,239.0,20.0
92,smear_0.025,typicality,9676.8515625,7.9806857,0.0,20.0,17.0
93,smear_0.025,typicality,11072.134765625,24.085415,0.0,230.0,29.0
94,smear_0.025,typicality,9067.6279296875,11.587405,0.0,329.0,18.0
95,smear_0.025,typicality,10037.5634765625,3.5162892,0.0,277.0,12.0
96,smear_0.025,typicality,9569.263671875,12.465078,0.0,379.0,3.0
97,smear_0.025,typicality,11400.376953125,9.051501,0.0,416.0,8.0
98,smear_0.025,typicality,11105.484375,10.534645,0.0,301.0,7.0
99,smear_0.025,typicality,10029.552734375,30.730764,0.0,376.0,50.0
100,smear_0.025,typicality,8330.376953125,20.61664,0.0,297.0,21.0
101,smear_0.025,typicality,11842.544921875,2.2075076,0.0,58.0,6.0
102,smear_0.025,typicality,10450.4267578125,0.041124493,1.0,7.0,63.0
103,smear_0.025,typicality,8912.310546875,3.2225518,0.0,209.0,11.0
104,smear_0.025,typicality,11260.43359375,7.703595,0.0,249.0,3.0
105,smear_0.025,typicality,11182.41796875,6.1452,0.0,227.0,5.0
106,smear_0.025,typicality,9744.5859375,13.915728,0.0,395.0,21.0
107,smear_0.025,typicality,9685.7490234375,9.978323,0.0,121.0,1.0
108,smear_0.025,typicality,9544.2900390625,25.809116,0.0,31.0,24.0
