Dataset,Model,feature_name,fold,shift_type,category,observed_gap,predicted_gap,MAE,Method
CCT,vit,kNN,brightness_0.025,brightness,Synthetic,0.0282451923076924,0.060917401179215146,0.032672208871522744,Ours
CCT,vit,kNN,brightness_0.05,brightness,Synthetic,0.0282451923076924,0.06149398394819963,0.03324879164050723,Ours
CCT,vit,kNN,brightness_0.07500000000000001,brightness,Synthetic,0.030048076923076983,0.05999486874884002,0.029946791825763035,Ours
CCT,vit,kNN,brightness_0.1,brightness,Synthetic,0.02644230769230782,0.05538220659696437,0.02893989890465655,Ours
CCT,vit,kNN,brightness_0.125,brightness,Synthetic,0.0282451923076924,0.05399840795140167,0.02575321564370927,Ours
CCT,vit,kNN,brightness_0.15000000000000002,brightness,Synthetic,0.025841346153846256,0.050884860998885596,0.02504351484503934,Ours
CCT,vit,kNN,brightness_0.17500000000000002,brightness,Synthetic,0.0204326923076924,0.03347206137555496,0.013039369067862558,Ours
CCT,vit,kNN,brightness_0.2,brightness,Synthetic,0.017427884615384803,0.01467546310666161,0.0027524215087231935,Ours
CCT,vit,kNN,brightness_0.225,brightness,Synthetic,0.0078125,0.00994748440098904,0.00213498440098904,Ours
CCT,vit,kNN,brightness_0.25,brightness,Synthetic,-0.0078125,-0.013923042234967528,0.006110542234967528,Ours
CCT,vit,kNN,brightness_0.275,brightness,Synthetic,-0.015625,-0.023724949307703316,0.008099949307703316,Ours
CCT,vit,kNN,brightness_0.30000000000000004,brightness,Synthetic,-0.03485576923076916,-0.04252154757659668,0.0076657783458275175,Ours
CCT,vit,kNN,brightness_0.325,brightness,Synthetic,-0.054086538461538325,-0.04609636074430032,0.007990177717238006,Ours
CCT,vit,kNN,brightness_0.35000000000000003,brightness,Synthetic,-0.04867788461538458,-0.046326993851894094,0.0023508907634904874,Ours
CCT,vit,kNN,brightness_0.375,brightness,Synthetic,-0.061899038461538325,-0.0605109299689118,0.001388108492626522,Ours
CCT,vit,kNN,brightness_0.4,brightness,Synthetic,-0.04687499999999978,-0.0542838360638796,0.00740883606387982,Ours
CCT,vit,kNN,brightness_0.42500000000000004,brightness,Synthetic,-0.05288461538461542,-0.05797396578538014,0.0050893504007647195,Ours
CCT,vit,kNN,brightness_0.45,brightness,Synthetic,-0.060096153846153744,-0.06327852726003719,0.0031823734138834436,Ours
CCT,vit,kNN,brightness_0.47500000000000003,brightness,Synthetic,-0.06610576923076916,-0.07146600257961647,0.005360233348847304,Ours
CCT,vit,kNN,brightness_0.5,brightness,Synthetic,-0.0576923076923076,-0.07757777993085174,0.019885472238544144,Ours
CCT,vit,kNN,contrast_0.025,contrast,Synthetic,0.02854567307692324,0.06197218059112666,0.033426507514203424,Ours
CCT,vit,kNN,contrast_0.05,contrast,Synthetic,0.029146634615384803,0.06197218059112666,0.03282554597574186,Ours
CCT,vit,kNN,contrast_0.07500000000000001,contrast,Synthetic,0.02944711538461564,0.06104785273917057,0.03160073735455493,Ours
CCT,vit,kNN,contrast_0.1,contrast,Synthetic,0.027644230769230838,0.05977690194273089,0.03213267117350005,Ours
CCT,vit,kNN,contrast_0.125,contrast,Synthetic,0.025240384615384803,0.056946147896115316,0.03170576328073051,Ours
CCT,vit,kNN,contrast_0.15000000000000002,contrast,Synthetic,0.025841346153846256,0.05174680372886219,0.02590545757501593,Ours
CCT,vit,kNN,contrast_0.17500000000000002,contrast,Synthetic,0.023737980769230838,0.044987656311433144,0.021249675542202306,Ours
CCT,vit,kNN,contrast_0.2,contrast,Synthetic,0.018329326923076983,0.0372464105513007,0.018917083628223717,Ours
CCT,vit,kNN,contrast_0.225,contrast,Synthetic,0.015625,0.030371722152377156,0.014746722152377156,Ours
CCT,vit,kNN,contrast_0.25,contrast,Synthetic,0.010516826923076983,0.019915263327123636,0.009398436404046653,Ours
CCT,vit,kNN,contrast_0.275,contrast,Synthetic,0.00030048076923083755,0.010325361863079002,0.010024881093848165,Ours
CCT,vit,kNN,contrast_0.30000000000000004,contrast,Synthetic,0.002704326923076983,0.0056459521125512,0.0029416251894742174,Ours
CCT,vit,kNN,contrast_0.325,contrast,Synthetic,-0.01352163461538436,-0.00278853953654834,0.010733095078836019,Ours
CCT,vit,kNN,contrast_0.35000000000000003,contrast,Synthetic,-0.019230769230769162,-0.01237844100059296,0.006852328230176202,Ours
CCT,vit,kNN,contrast_0.375,contrast,Synthetic,-0.012319711538461453,-0.010009850879955429,0.0023098606585060244,Ours
CCT,vit,kNN,contrast_0.4,contrast,Synthetic,-0.01352163461538436,-0.014400408176746968,0.0008787735613626085,Ours
CCT,vit,kNN,contrast_0.42500000000000004,contrast,Synthetic,-0.011418269230769162,-0.011396342657889608,2.1926572879554795e-05,Ours
CCT,vit,kNN,contrast_0.45,contrast,Synthetic,-0.011418269230769162,-0.01411155572301065,0.0026932864922414868,Ours
CCT,vit,kNN,contrast_0.47500000000000003,contrast,Synthetic,-0.017728365384615197,-0.01416932621375791,0.0035590391708572866,Ours
CCT,vit,kNN,contrast_0.5,contrast,Synthetic,-0.01171875,-0.021332867066417807,0.009614117066417807,Ours
CCT,vit,kNN,fog_0.025,fog,Synthetic,-0.2620192307692306,-0.2649453368387618,0.002926106069531198,Ours
CCT,vit,kNN,fog_0.05,fog,Synthetic,-0.2572115384615383,-0.2629899498874973,0.005778411425958974,Ours
CCT,vit,kNN,fog_0.07500000000000001,fog,Synthetic,-0.2451923076923076,-0.27633259026083135,0.031140282568523747,Ours
CCT,vit,kNN,fog_0.1,fog,Synthetic,-0.2572115384615383,-0.2536731061785314,0.0035384322830069315,Ours
CCT,vit,kNN,fog_0.125,fog,Synthetic,-0.26021634615384603,-0.26241483607830196,0.0021984899244559264,Ours
CCT,vit,kNN,fog_0.15000000000000002,fog,Synthetic,-0.266826923076923,-0.26160967674542834,0.005217246331494674,Ours
CCT,vit,kNN,fog_0.17500000000000002,fog,Synthetic,-0.23137019230769218,-0.2604594491270375,0.02908925681934532,Ours
CCT,vit,kNN,fog_0.2,fog,Synthetic,-0.26141826923076916,-0.26920117902680796,0.007782909796038795,Ours
CCT,vit,kNN,fog_0.225,fog,Synthetic,-0.2638221153846154,-0.261149585698072,0.0026725296865434123,Ours
CCT,vit,kNN,fog_0.25,fog,Synthetic,-0.28004807692307687,-0.2559735614153131,0.024074515507763794,Ours
CCT,vit,kNN,fog_0.275,fog,Synthetic,-0.27103365384615374,-0.26805095140841717,0.002982702437736573,Ours
