,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,grad_magnitude,2.8180367946624756,36.78738,0.0,164.0,0.0
1,saltpepper_0.025,grad_magnitude,7.037363529205322,35.129456,0.0,277.0,0.0
2,saltpepper_0.025,grad_magnitude,5.870816230773926,15.571843,0.0,1095.0,2.0
3,saltpepper_0.025,grad_magnitude,2.6628427505493164,0.7245023,1.0,1551.0,7.0
4,saltpepper_0.025,grad_magnitude,5.9718852043151855,14.079324,0.0,1351.0,9.0
5,saltpepper_0.025,grad_magnitude,8.351655960083008,2.0503787e-05,1.0,636.0,8.0
6,saltpepper_0.025,grad_magnitude,7.428959846496582,79.40939,0.0,412.0,6.0
7,saltpepper_0.025,grad_magnitude,5.173623085021973,0.96059924,1.0,567.0,7.0
8,saltpepper_0.025,grad_magnitude,6.430646896362305,13.704344,0.0,1601.0,2.0
9,saltpepper_0.025,grad_magnitude,3.673706531524658,18.015772,0.0,650.0,1.0
10,saltpepper_0.025,grad_magnitude,4.725986957550049,12.4396715,0.0,1450.0,2.0
11,saltpepper_0.025,grad_magnitude,9.34308910369873,6.293471,0.0,1282.0,2.0
12,saltpepper_0.025,grad_magnitude,5.550544261932373,35.900707,0.0,890.0,0.0
13,saltpepper_0.025,grad_magnitude,3.1177585124969482,30.808636,0.0,410.0,6.0
14,saltpepper_0.025,grad_magnitude,2.9767966270446777,10.572095,0.0,1068.0,7.0
15,saltpepper_0.025,grad_magnitude,2.519268751144409,23.545795,0.0,1207.0,0.0
16,saltpepper_0.025,grad_magnitude,5.497344970703125,4.0778537,0.0,1573.0,2.0
17,saltpepper_0.025,grad_magnitude,6.51106071472168,9.978958,0.0,1567.0,6.0
18,saltpepper_0.025,grad_magnitude,5.516913890838623,0.78943336,0.0,390.0,5.0
19,saltpepper_0.025,grad_magnitude,2.5182080268859863,33.712357,0.0,441.0,0.0
20,saltpepper_0.025,grad_magnitude,5.718793869018555,20.869337,0.0,1657.0,0.0
21,saltpepper_0.025,grad_magnitude,4.449072360992432,0.91498786,0.0,351.0,7.0
22,saltpepper_0.025,grad_magnitude,7.817695140838623,7.549394,0.0,984.0,7.0
23,saltpepper_0.025,grad_magnitude,8.001745223999023,17.388096,0.0,448.0,1.0
24,saltpepper_0.025,grad_magnitude,6.171611785888672,28.438843,0.0,631.0,9.0
25,saltpepper_0.025,grad_magnitude,10.196956634521484,6.031513,0.0,1400.0,2.0
26,saltpepper_0.025,grad_magnitude,9.796881675720215,63.503048,0.0,897.0,3.0
27,saltpepper_0.025,grad_magnitude,4.389747619628906,36.771942,0.0,566.0,0.0
28,saltpepper_0.025,grad_magnitude,3.150926113128662,14.67768,0.0,971.0,11.0
29,saltpepper_0.025,grad_magnitude,5.136294364929199,34.73128,0.0,449.0,0.0
30,saltpepper_0.025,grad_magnitude,1.4051289558410645,0.48713478,1.0,1430.0,5.0
31,saltpepper_0.025,grad_magnitude,3.7065236568450928,9.23912,0.0,384.0,7.0
