,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,-18.649805068969727,0.047105122,1.0,4155.0,17.0
1,train,energy,-37.68024444580078,8.487341e-05,1.0,6586.0,39.0
2,train,energy,-46.1911506652832,2.0265559e-06,1.0,3123.0,14.0
3,train,energy,-29.74753189086914,0.00021443452,1.0,5563.0,31.0
4,train,energy,-49.37014389038086,-0.0,1.0,9326.0,37.0
5,train,energy,-44.71803665161133,2.3841855e-07,1.0,9255.0,22.0
6,train,energy,-25.156208038330078,8.344616e-06,1.0,7189.0,19.0
7,train,energy,-31.342741012573242,2.0265559e-06,1.0,651.0,52.0
8,train,energy,-44.365386962890625,7.772144e-05,1.0,2047.0,41.0
9,train,energy,-33.7732048034668,1.1920928e-07,1.0,9918.0,5.0
10,train,energy,-27.407102584838867,1.7881378e-06,1.0,2108.0,22.0
11,train,energy,-35.479583740234375,0.0015356664,1.0,5133.0,22.0
12,train,energy,-43.784889221191406,1.072883e-06,1.0,1397.0,30.0
13,train,energy,-40.49591064453125,0.00092547014,1.0,1266.0,8.0
14,train,energy,-22.746274948120117,9.536698e-06,1.0,3617.0,45.0
15,train,energy,-37.28038024902344,8.70224e-06,1.0,5171.0,37.0
16,train,energy,-33.28425598144531,0.0004072552,1.0,5159.0,49.0
17,train,energy,-47.02958679199219,1.1920928e-07,1.0,4684.0,22.0
18,train,energy,-36.948455810546875,7.152532e-06,1.0,3865.0,31.0
19,train,energy,-31.686338424682617,0.15501113,1.0,5415.0,0.0
20,train,energy,-31.48647689819336,0.00019274284,1.0,7994.0,24.0
21,train,energy,-38.86150360107422,0.03680331,1.0,3834.0,35.0
22,train,energy,-30.145288467407227,-0.0,1.0,2335.0,49.0
23,train,energy,-26.771183013916016,4.0531077e-06,1.0,3779.0,14.0
24,train,energy,-40.70924377441406,1.7762026e-05,1.0,8320.0,56.0
25,train,energy,-38.89628982543945,2.9147398,0.0,9104.0,54.0
26,train,energy,-31.74501609802246,1.0847986e-05,1.0,952.0,17.0
27,train,energy,-43.99253845214844,4.76836e-06,1.0,9423.0,51.0
28,train,energy,-42.85430908203125,2.622601e-06,1.0,5953.0,42.0
29,train,energy,-33.91947937011719,0.84502465,0.0,5431.0,16.0
30,train,energy,-33.58240509033203,0.0010786197,1.0,3576.0,1.0
31,train,energy,-29.80882453918457,2.1338235e-05,1.0,4853.0,44.0
32,train,energy,-32.820430755615234,-0.0,1.0,215.0,44.0
33,train,energy,-41.37982940673828,0.8708776,1.0,8050.0,56.0
34,train,energy,-26.312883377075195,5.960463e-07,1.0,5211.0,59.0
35,train,energy,-33.2815055847168,0.00013898837,1.0,4811.0,30.0
36,train,energy,-26.790904998779297,7.2715025e-05,1.0,7110.0,11.0
37,train,energy,-28.40320587158203,2.3841855e-07,1.0,2406.0,40.0
38,train,energy,-51.60203552246094,0.0017044316,1.0,3349.0,21.0
39,train,energy,-23.958477020263672,0.0001957225,1.0,604.0,48.0
40,train,energy,-33.56670379638672,5.972207e-05,1.0,3685.0,15.0
41,train,energy,-33.87493133544922,0.0011563766,1.0,4091.0,14.0
42,train,energy,-31.21847915649414,9.5367386e-07,1.0,2438.0,55.0
43,train,energy,-32.66095733642578,0.009680235,1.0,4776.0,3.0
44,train,energy,-31.72089195251465,0.00023576818,1.0,4761.0,30.0
45,train,energy,-37.978736877441406,0.008102169,1.0,5975.0,25.0
46,train,energy,-39.10300827026367,0.15483072,1.0,5822.0,14.0
47,train,energy,-19.19709587097168,0.00029082838,1.0,2848.0,48.0
48,train,energy,-27.757598876953125,1.5497195e-06,1.0,6132.0,26.0
49,train,energy,-30.474040985107422,0.00040439534,1.0,5439.0,3.0
50,train,energy,-41.622615814208984,8.320462e-05,1.0,7123.0,52.0
51,train,energy,-29.126422882080078,4.7683704e-07,1.0,760.0,28.0
52,train,energy,-36.83781814575195,7.152555e-07,1.0,7697.0,54.0
53,train,energy,-31.912883758544922,2.3841855e-07,1.0,8970.0,11.0
54,train,energy,-35.69478988647461,0.0030150216,1.0,9750.0,48.0
55,train,energy,-26.08426284790039,1.1920928e-07,1.0,9574.0,53.0
56,train,energy,-21.124067306518555,1.7810518,0.0,4910.0,8.0
57,train,energy,-52.38662338256836,9.345572e-05,1.0,3670.0,41.0
58,train,energy,-26.695329666137695,6.675698e-06,1.0,8556.0,1.0
59,train,energy,-39.449012756347656,3.1470758e-05,1.0,6611.0,20.0
60,train,energy,-38.12795639038086,0.00022134715,1.0,8659.0,31.0
61,train,energy,-43.51901626586914,1.0490363e-05,1.0,1151.0,45.0
62,train,energy,-22.369232177734375,2.503392e-06,1.0,9890.0,46.0
63,train,energy,-47.679195404052734,8.344616e-06,1.0,4249.0,9.0
64,train,energy,-34.3797721862793,0.00021634146,1.0,2621.0,40.0
65,train,energy,-23.575387954711914,0.0025735137,1.0,3717.0,16.0
66,train,energy,-26.819076538085938,0.000990258,1.0,3014.0,39.0
67,train,energy,-53.36074447631836,9.345572e-05,1.0,5823.0,16.0
68,train,energy,-38.095863342285156,2.8848232e-05,1.0,5289.0,8.0
69,train,energy,-36.00931167602539,0.00011681828,1.0,8847.0,54.0
70,train,energy,-33.97190856933594,2.4079987e-05,1.0,9466.0,2.0
71,train,energy,-22.995765686035156,8.344647e-07,1.0,9333.0,41.0
72,train,energy,-31.025888442993164,8.344647e-07,1.0,6515.0,36.0
73,train,energy,-23.71652603149414,2.0980615e-05,1.0,6258.0,48.0
74,train,energy,-30.719600677490234,7.950944e-05,1.0,4415.0,0.0
75,train,energy,-34.21486282348633,5.6028207e-06,1.0,8549.0,31.0
76,train,energy,-23.8146915435791,0.00014077626,1.0,2580.0,9.0
77,train,energy,-53.69868850708008,0.0013734204,1.0,308.0,40.0
78,train,energy,-33.70269012451172,0.0005538122,1.0,5735.0,33.0
79,train,energy,-32.55914306640625,7.9937334,0.0,996.0,10.0
80,train,energy,-18.18649673461914,3.8570921,0.0,5149.0,42.0
81,train,energy,-20.575176239013672,3.8964667,0.0,502.0,27.0
82,train,energy,-47.98054885864258,1.1920928e-07,1.0,4039.0,30.0
83,train,energy,-26.229089736938477,6.2940526e-05,1.0,2529.0,21.0
84,train,energy,-46.48631286621094,2.0265559e-06,1.0,5216.0,37.0
85,train,energy,-38.393489837646484,1.7881378e-06,1.0,1756.0,42.0
86,train,energy,-26.215805053710938,2.384183e-06,1.0,1318.0,51.0
87,train,energy,-49.716121673583984,0.00015817821,1.0,4705.0,8.0
88,train,energy,-23.081769943237305,2.2887922e-05,1.0,3817.0,16.0
89,train,energy,-32.296024322509766,3.5762723e-06,1.0,2233.0,42.0
90,train,energy,-40.235050201416016,3.576278e-07,1.0,5268.0,22.0
91,train,energy,-42.22525405883789,2.503392e-06,1.0,6626.0,7.0
92,train,energy,-47.78786087036133,1.5497195e-06,1.0,3391.0,51.0
93,train,energy,-36.10588073730469,0.00011050091,1.0,3479.0,12.0
94,train,energy,-34.19458770751953,4.7683704e-07,1.0,1084.0,20.0
95,train,energy,-22.50713348388672,0.00032681847,1.0,8196.0,6.0
96,train,energy,-39.44894790649414,1.5735503e-05,1.0,6920.0,44.0
97,train,energy,-47.11840057373047,8.106199e-06,1.0,6122.0,57.0
98,train,energy,-36.62167739868164,-0.0,1.0,9002.0,38.0
99,train,energy,-47.279117584228516,0.000106686624,1.0,6472.0,5.0
100,train,energy,-35.5904426574707,1.2993728e-05,1.0,1451.0,19.0
101,train,energy,-23.629566192626953,2.8610189e-06,1.0,1642.0,16.0
102,train,energy,-37.9130744934082,4.5299425e-06,1.0,127.0,15.0
103,train,energy,-48.00579071044922,5.960463e-07,1.0,7935.0,35.0
104,train,energy,-34.79861068725586,7.6293654e-06,1.0,6869.0,53.0
105,train,energy,-23.383771896362305,0.0051565506,1.0,832.0,50.0
106,train,energy,-35.42087173461914,0.00013958434,1.0,1037.0,28.0
107,train,energy,-43.1869010925293,0.17512543,1.0,3062.0,30.0
108,train,energy,-33.44303512573242,2.3841855e-07,1.0,3539.0,30.0
109,train,energy,-33.859474182128906,2.8729026e-05,1.0,8515.0,22.0
110,train,energy,-42.40587615966797,0.5754895,1.0,6821.0,15.0
111,train,energy,-33.16533279418945,1.5497088e-05,1.0,8650.0,55.0
112,train,energy,-41.19975662231445,1.239769e-05,1.0,3627.0,28.0
113,train,energy,-39.36943435668945,6.305973e-05,1.0,3663.0,25.0
114,train,energy,-33.53162384033203,1.3178717,0.0,6127.0,26.0
115,train,energy,-39.83366394042969,0.0036636156,1.0,4318.0,30.0
116,train,energy,-39.59418487548828,8.344647e-07,1.0,9175.0,5.0
117,train,energy,-29.695056915283203,7.223822e-05,1.0,7971.0,16.0
118,train,energy,-39.835914611816406,0.0001772485,1.0,4291.0,20.0
119,train,energy,-44.23554611206055,9.7751135e-06,1.0,7263.0,53.0
120,train,energy,-34.259830474853516,0.0013575872,1.0,1676.0,14.0
121,train,energy,-38.424598693847656,1.8596476e-05,1.0,6681.0,9.0
122,train,energy,-23.035152435302734,0.0033971714,1.0,5719.0,26.0
123,train,energy,-41.48200225830078,3.264036,0.0,4732.0,45.0
