,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,4.298433303833008,1.7793951,0.0,1799.0,41.0
1,train,energy,3.477325201034546,3.7799423,0.0,733.0,55.0
2,train,energy,3.2188761234283447,2.8686197,0.0,1826.0,47.0
3,train,energy,3.320756196975708,4.3476896,0.0,1849.0,62.0
4,train,energy,4.455581188201904,1.0488515,1.0,437.0,62.0
5,train,energy,3.749479293823242,1.5138036,1.0,1937.0,34.0
6,train,energy,5.375795841217041,2.3787527,0.0,2841.0,62.0
7,train,energy,3.7059783935546875,3.3981845,0.0,1938.0,30.0
8,train,energy,3.2768402099609375,2.352396,0.0,502.0,32.0
9,train,energy,3.485405445098877,1.3120596,1.0,1350.0,4.0
10,train,energy,4.284543037414551,3.4323144,0.0,2080.0,32.0
11,train,energy,3.2928457260131836,3.3091342,0.0,45.0,11.0
12,train,energy,5.368429660797119,2.78328,0.0,2024.0,37.0
13,train,energy,3.838902473449707,3.6199121,0.0,237.0,21.0
14,train,energy,4.683844566345215,3.9626527,0.0,50.0,59.0
15,train,energy,3.603785514831543,4.2814035,0.0,366.0,60.0
16,train,energy,3.2646241188049316,1.5924509,1.0,1945.0,4.0
17,train,energy,3.611100673675537,3.4141924,0.0,3154.0,20.0
18,train,energy,3.3058719635009766,4.6564817,0.0,880.0,21.0
19,train,energy,3.2720766067504883,2.8148732,0.0,1574.0,3.0
20,train,energy,3.6269545555114746,3.5547667,0.0,35.0,26.0
21,train,energy,3.9253997802734375,3.2493832,0.0,87.0,12.0
22,train,energy,3.6587328910827637,5.3392105,0.0,57.0,39.0
23,train,energy,7.097264766693115,5.6529813,0.0,1103.0,28.0
24,train,energy,3.86793851852417,2.2919352,0.0,1290.0,22.0
25,train,energy,3.7565248012542725,3.872011,0.0,927.0,20.0
26,train,energy,4.521045684814453,2.362454,1.0,3101.0,10.0
27,train,energy,4.92940616607666,2.4573574,0.0,509.0,27.0
28,train,energy,3.752197265625,0.8391416,0.0,48.0,1.0
29,train,energy,4.074519634246826,5.2776403,0.0,2704.0,35.0
30,train,energy,4.4549407958984375,0.23356952,1.0,1254.0,8.0
31,train,energy,3.6514830589294434,4.3757787,0.0,2735.0,64.0
32,train,energy,3.310746431350708,3.3958638,0.0,888.0,14.0
33,train,energy,3.580579996109009,3.449935,0.0,2905.0,2.0
34,train,energy,3.854383945465088,2.3054848,0.0,1427.0,63.0
35,train,energy,3.9986109733581543,2.3725677,1.0,3332.0,18.0
36,train,energy,3.813830614089966,0.970099,1.0,2560.0,7.0
37,train,energy,3.6229212284088135,2.1540966,0.0,2558.0,47.0
38,train,energy,3.673373222351074,1.1312417,1.0,1746.0,22.0
39,train,energy,3.6763486862182617,0.57125187,1.0,2337.0,8.0
40,train,energy,5.149405002593994,1.8069518,1.0,2315.0,56.0
41,train,energy,3.3772029876708984,2.6235704,0.0,1124.0,27.0
42,train,energy,5.166971206665039,2.2129667,1.0,2520.0,30.0
43,train,energy,3.8670969009399414,4.4983997,0.0,891.0,37.0
44,train,energy,3.36476469039917,5.0364504,0.0,86.0,55.0
45,train,energy,4.003087043762207,0.65966165,1.0,1163.0,18.0
46,train,energy,3.8822479248046875,0.575551,1.0,2016.0,22.0
47,train,energy,3.6284985542297363,4.2588396,0.0,2763.0,3.0
48,train,energy,3.6654536724090576,3.917875,0.0,2051.0,24.0
49,train,energy,3.7334022521972656,2.2596245,1.0,2837.0,61.0
50,train,energy,3.7426958084106445,4.4846067,0.0,1558.0,46.0
51,train,energy,6.727544784545898,3.5494654,0.0,23.0,43.0
52,train,energy,3.6699767112731934,3.9792247,0.0,882.0,34.0
53,train,energy,3.436067581176758,4.0550694,0.0,2613.0,34.0
54,train,energy,3.4729385375976562,1.1113582,1.0,1146.0,23.0
55,train,energy,4.172258377075195,3.388485,0.0,3444.0,58.0
56,train,energy,3.306907892227173,3.2703445,0.0,2609.0,23.0
57,train,energy,4.341989517211914,3.5004113,0.0,1316.0,54.0
58,train,energy,3.612961769104004,0.06504471,1.0,360.0,8.0
59,train,energy,3.127775192260742,3.2432287,0.0,1198.0,63.0
60,train,energy,7.298682689666748,2.4807982,0.0,3423.0,57.0
