,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,3.9090359210968018,0.2583397,1.0,1090.0,9.0
1,train,energy,4.180168151855469,4.8197327,0.0,2190.0,58.0
2,train,energy,3.811384677886963,0.9623575,1.0,991.0,22.0
3,train,energy,3.60931396484375,3.1692088,0.0,2160.0,16.0
4,train,energy,3.734086513519287,2.0791926,1.0,79.0,44.0
5,train,energy,4.125860214233398,0.004983504,1.0,1712.0,8.0
6,train,energy,3.6217594146728516,2.284588,0.0,1185.0,49.0
7,train,energy,4.417932510375977,6.565983,0.0,563.0,50.0
8,train,energy,5.405457496643066,6.0735025,0.0,1794.0,26.0
9,train,energy,3.3243236541748047,4.5183516,0.0,2896.0,15.0
10,train,energy,5.074828624725342,4.4737577,0.0,3293.0,5.0
11,train,energy,6.796290397644043,1.4235982,0.0,836.0,56.0
12,train,energy,3.796335458755493,1.3440963,1.0,3173.0,4.0
13,train,energy,4.43226957321167,2.145298,0.0,2420.0,44.0
14,train,energy,3.819204330444336,3.6972702,0.0,2921.0,43.0
15,train,energy,4.9515700340271,2.1484697,1.0,1400.0,34.0
16,train,energy,11.781685829162598,0.26720724,1.0,3306.0,9.0
17,train,energy,3.8926405906677246,2.4268808,0.0,3253.0,13.0
18,train,energy,4.129877090454102,2.5186346,1.0,676.0,3.0
19,train,energy,3.7425241470336914,4.530946,0.0,3268.0,4.0
20,train,energy,4.209723949432373,2.2831354,0.0,3020.0,6.0
21,train,energy,4.113443851470947,5.3622165,0.0,3329.0,60.0
22,train,energy,3.591233730316162,4.167922,0.0,384.0,3.0
23,train,energy,3.7838215827941895,2.3860416,0.0,2596.0,47.0
24,train,energy,4.904308795928955,3.90031,0.0,571.0,13.0
25,train,energy,3.8148109912872314,4.303052,0.0,1004.0,54.0
26,train,energy,4.1287922859191895,0.2002392,1.0,2743.0,9.0
27,train,energy,3.246903896331787,4.7429733,0.0,2636.0,49.0
28,train,energy,3.7908973693847656,2.7899404,0.0,2897.0,28.0
29,train,energy,3.3732573986053467,3.6731572,0.0,2325.0,37.0
30,train,energy,3.9704642295837402,2.7895224,0.0,419.0,60.0
31,train,energy,5.354696750640869,2.4490588,0.0,2918.0,49.0
32,train,energy,3.680631637573242,5.3942432,0.0,2439.0,61.0
33,train,energy,3.595309257507324,1.8285103,1.0,2668.0,53.0
34,train,energy,3.4168388843536377,4.224965,0.0,1461.0,54.0
35,train,energy,3.5027551651000977,3.3818507,0.0,1616.0,1.0
36,train,energy,3.12699031829834,3.9484022,0.0,1758.0,54.0
37,train,energy,3.5285215377807617,3.2243688,0.0,2864.0,20.0
38,train,energy,3.5864481925964355,4.4099813,0.0,2606.0,16.0
39,train,energy,3.965825080871582,5.506097,0.0,284.0,34.0
40,train,energy,3.72367525100708,2.7004485,1.0,90.0,32.0
41,train,energy,3.185399055480957,2.6245685,0.0,97.0,32.0
42,train,energy,5.369920253753662,3.866302,0.0,178.0,59.0
43,train,energy,3.5609521865844727,3.8106964,0.0,2689.0,59.0
44,train,energy,3.756906509399414,3.2024817,0.0,3123.0,6.0
45,train,energy,4.187775135040283,1.2047478,0.0,336.0,29.0
46,train,energy,4.1895036697387695,3.1407323,0.0,841.0,18.0
47,train,energy,5.894950866699219,4.9295254,0.0,1178.0,43.0
48,train,energy,3.1756463050842285,0.038518127,1.0,1805.0,29.0
49,train,energy,3.5575129985809326,0.5559062,1.0,540.0,22.0
50,train,energy,3.540302276611328,0.5159553,1.0,959.0,44.0
51,train,energy,4.601858615875244,2.5991886,0.0,435.0,11.0
52,train,energy,5.012036323547363,2.8707354,0.0,1878.0,61.0
53,train,energy,3.589876174926758,1.7198796,0.0,2511.0,55.0
54,train,energy,3.8009517192840576,3.9784195,0.0,1827.0,25.0
55,train,energy,3.2029576301574707,2.3684711,1.0,1803.0,3.0
56,train,energy,4.116454601287842,3.8683574,0.0,2975.0,54.0
57,train,energy,4.117436408996582,3.9421718,0.0,747.0,5.0
58,train,energy,3.6969404220581055,2.2755928,0.0,349.0,54.0
59,train,energy,2.947537899017334,3.5079916,0.0,1536.0,17.0
60,train,energy,4.314512252807617,4.61965,0.0,2507.0,63.0
61,train,energy,3.198568105697632,2.9643188,0.0,1920.0,36.0
62,train,energy,3.310706853866577,1.2449505,1.0,2800.0,34.0
63,train,energy,3.1662678718566895,2.3554811,1.0,3139.0,47.0
64,train,energy,4.076817512512207,2.5073085,0.0,2471.0,10.0
65,train,energy,4.530214309692383,8.33275,0.0,1588.0,24.0
66,train,energy,3.49153733253479,0.72972137,1.0,1624.0,4.0
67,train,energy,4.044796943664551,4.320772,0.0,2959.0,3.0
68,train,energy,3.612316608428955,2.766596,0.0,2950.0,48.0
69,train,energy,3.1078672409057617,2.9007118,0.0,353.0,52.0
70,train,energy,3.6628623008728027,2.6075292,0.0,3252.0,54.0
71,train,energy,4.540555000305176,3.7388058,0.0,2955.0,59.0
72,train,energy,8.762269020080566,2.3622694,1.0,2627.0,30.0
73,train,energy,3.5465574264526367,4.424575,0.0,1298.0,27.0
74,train,energy,3.024827003479004,2.2395594,0.0,3399.0,30.0
75,train,energy,5.264278888702393,4.1876793,0.0,259.0,13.0
76,train,energy,4.240668773651123,2.9710672,0.0,1806.0,37.0
77,train,energy,3.464768886566162,3.4085498,0.0,749.0,20.0
78,train,energy,4.132444381713867,3.4802096,0.0,126.0,6.0
79,train,energy,4.129993438720703,4.601095,0.0,1522.0,0.0
80,train,energy,3.847977876663208,2.2180371,1.0,3286.0,16.0
81,train,energy,3.731658935546875,1.8261838,1.0,2168.0,15.0
82,train,energy,3.30989408493042,1.4548627,1.0,1483.0,22.0
83,train,energy,3.6861085891723633,4.743607,0.0,3081.0,15.0
