,fold,feature_name,feature,loss,acc,idx,class
0,OoD Val,grad_magnitude,26.310497283935547,11.167356,0.0,10601.0,0.0
1,OoD Val,grad_magnitude,24.297096252441406,0.062345587,1.0,10986.0,1.0
2,OoD Val,grad_magnitude,30.142356872558594,31.536379,0.0,1407.0,6.0
3,OoD Val,grad_magnitude,30.89369773864746,0.2492992,1.0,4941.0,0.0
4,OoD Val,grad_magnitude,15.926145553588867,4.2999015,0.0,5224.0,3.0
5,OoD Val,grad_magnitude,96.08001708984375,3.113167,0.0,11883.0,9.0
6,OoD Val,grad_magnitude,12.433156967163086,3.9510572,0.0,7832.0,1.0
7,OoD Val,grad_magnitude,26.776987075805664,2.7067728,0.0,1543.0,0.0
8,OoD Val,grad_magnitude,34.445220947265625,0.08858701,1.0,5275.0,5.0
9,OoD Val,grad_magnitude,74.56233978271484,5.5907044,0.0,10607.0,3.0
10,OoD Val,grad_magnitude,38.41397476196289,0.23127821,1.0,5916.0,0.0
11,OoD Val,grad_magnitude,27.136825561523438,3.8213441,0.0,6961.0,1.0
12,OoD Val,grad_magnitude,19.151554107666016,10.132195,0.0,3559.0,7.0
13,OoD Val,grad_magnitude,32.5208854675293,6.5571485,0.0,3042.0,0.0
14,OoD Val,grad_magnitude,61.89500045776367,2.4263158,0.0,3611.0,7.0
15,OoD Val,grad_magnitude,26.877702713012695,6.537408,0.0,4711.0,1.0
16,OoD Val,grad_magnitude,13.187162399291992,14.296482,0.0,6147.0,1.0
17,OoD Val,grad_magnitude,41.952125549316406,0.000102157144,1.0,11003.0,11.0
18,OoD Val,grad_magnitude,37.0345573425293,6.7397676,0.0,8137.0,0.0
19,OoD Val,grad_magnitude,20.232282638549805,0.21259946,1.0,8607.0,6.0
20,OoD Val,grad_magnitude,27.320411682128906,0.101983,1.0,614.0,7.0
21,OoD Val,grad_magnitude,21.604827880859375,0.16076131,1.0,308.0,0.0
22,OoD Val,grad_magnitude,49.468318939208984,19.54682,0.0,381.0,0.0
23,OoD Val,grad_magnitude,24.251157760620117,2.321586,0.0,7273.0,11.0
24,OoD Val,grad_magnitude,21.782772064208984,23.451057,0.0,5674.0,8.0
25,OoD Val,grad_magnitude,22.64413833618164,10.723973,0.0,6998.0,0.0
26,OoD Val,grad_magnitude,38.6515007019043,5.8410846e-05,1.0,786.0,1.0
27,OoD Val,grad_magnitude,17.758378982543945,8.5830325e-06,1.0,3365.0,0.0
28,OoD Val,grad_magnitude,21.107309341430664,41.890182,0.0,5839.0,0.0
29,OoD Val,grad_magnitude,21.8117733001709,3.3927045,0.0,1585.0,3.0
30,OoD Val,grad_magnitude,19.014461517333984,-0.0,1.0,933.0,11.0
31,OoD Val,grad_magnitude,25.36737632751465,0.016069306,1.0,542.0,1.0
32,OoD Val,grad_magnitude,50.7496452331543,0.000723577,1.0,8589.0,1.0
33,OoD Val,grad_magnitude,34.84046936035156,8.417384,0.0,5719.0,2.0
34,OoD Val,grad_magnitude,25.115129470825195,13.8167925,0.0,8475.0,6.0
35,OoD Val,grad_magnitude,24.33895492553711,1.2433919,0.0,11365.0,1.0
36,OoD Val,grad_magnitude,28.3257999420166,4.645922,0.0,11109.0,0.0
37,OoD Val,grad_magnitude,27.270540237426758,0.03873432,1.0,2812.0,0.0
38,OoD Val,grad_magnitude,43.55080795288086,7.5716834,0.0,6313.0,9.0
39,OoD Val,grad_magnitude,33.424842834472656,0.0033808951,1.0,9409.0,1.0
40,OoD Val,grad_magnitude,15.25382137298584,10.966717,0.0,11546.0,2.0
41,OoD Val,grad_magnitude,56.33515167236328,4.3681445,0.0,10175.0,3.0
42,OoD Val,grad_magnitude,25.68433952331543,20.886654,0.0,1782.0,0.0
43,OoD Val,grad_magnitude,56.894065856933594,4.357581,0.0,905.0,1.0
44,OoD Val,grad_magnitude,19.392305374145508,0.0053828065,1.0,11872.0,0.0
45,OoD Val,grad_magnitude,26.0151309967041,0.0006344689,1.0,967.0,0.0
46,OoD Val,grad_magnitude,27.46344757080078,2.832556,0.0,11999.0,6.0
47,OoD Val,grad_magnitude,17.763885498046875,1.672173,0.0,6269.0,0.0
48,OoD Val,grad_magnitude,35.02039337158203,0.020348368,1.0,8028.0,1.0
49,OoD Val,grad_magnitude,15.582429885864258,14.797305,0.0,2962.0,1.0
50,OoD Val,grad_magnitude,34.161163330078125,0.0022134108,1.0,10991.0,1.0
51,OoD Val,grad_magnitude,91.74125671386719,15.912638,0.0,1174.0,0.0
52,OoD Val,grad_magnitude,62.95945739746094,4.1760015,0.0,7720.0,2.0
53,OoD Val,grad_magnitude,13.219612121582031,0.00030334163,1.0,11362.0,1.0
54,OoD Val,grad_magnitude,49.69729995727539,2.7219906,0.0,6874.0,5.0
55,OoD Val,grad_magnitude,44.06380844116211,0.6612058,1.0,8336.0,1.0
56,OoD Val,grad_magnitude,34.144107818603516,9.68734,0.0,2028.0,3.0
57,OoD Val,grad_magnitude,73.4797592163086,1.8282335,0.0,10183.0,9.0
58,OoD Val,grad_magnitude,61.419132232666016,19.114462,0.0,4667.0,10.0
59,OoD Val,grad_magnitude,27.43382453918457,3.536965,0.0,3216.0,3.0
