,fold,feature_name,feature,loss,acc,idx,class
0,train,typicality,853217705984.0,0.20062026,1.0,1126.0,11.0
1,train,typicality,1690751336448.0,0.2292141,1.0,196.0,27.0
2,train,typicality,736762200064.0,0.009644462,1.0,20.0,12.0
3,train,typicality,1146455851008.0,1.1026764,1.0,1945.0,29.0
4,train,typicality,13719201792.0,0.0018775708,1.0,1638.0,5.0
5,train,typicality,1222063030272.0,0.07226781,1.0,882.0,10.0
6,train,typicality,993769160704.0,3.871841,0.0,1576.0,27.0
7,train,typicality,359453392896.0,2.8994653,0.0,699.0,5.0
8,train,typicality,219764555776.0,0.65267795,1.0,7.0,24.0
9,train,typicality,736736772096.0,0.8345368,1.0,1755.0,30.0
10,train,typicality,1038817034240.0,0.00020442304,1.0,1883.0,0.0
11,train,typicality,481621934080.0,5.7366276,0.0,1428.0,8.0
12,train,typicality,965180129280.0,5.5738864,0.0,301.0,28.0
13,train,typicality,949320810496.0,0.00021443452,1.0,1182.0,11.0
14,train,typicality,1182709448704.0,1.4469177,1.0,894.0,12.0
15,train,typicality,864245186560.0,0.10177112,1.0,411.0,14.0
16,train,typicality,2947813474304.0,0.24991487,1.0,1962.0,27.0
17,train,typicality,1851457536000.0,0.0012856798,1.0,1703.0,10.0
18,train,typicality,1160942583808.0,0.06668148,1.0,2109.0,20.0
19,train,typicality,1846095511552.0,0.00943948,1.0,1834.0,27.0
20,train,typicality,118385745920.0,2.8272045,0.0,820.0,23.0
21,train,typicality,1355906285568.0,0.05727251,1.0,1125.0,27.0
22,train,typicality,1097379414016.0,0.007177757,1.0,678.0,15.0
23,train,typicality,981057798144.0,0.8647812,1.0,1108.0,15.0
24,train,typicality,673876672512.0,1.0674374,1.0,1604.0,22.0
25,train,typicality,790745841664.0,3.1195202,0.0,453.0,18.0
26,train,typicality,843197579264.0,2.0965087,0.0,1195.0,11.0
27,train,typicality,2178142175232.0,0.077641666,1.0,867.0,2.0
28,train,typicality,606117953536.0,0.23257795,1.0,337.0,14.0
29,train,typicality,1700724211712.0,0.0569023,1.0,478.0,25.0
30,train,typicality,505797148672.0,0.02017723,1.0,1741.0,2.0
31,train,typicality,967312801792.0,0.10600044,1.0,671.0,3.0
32,train,typicality,2178142175232.0,3.3745697,0.0,932.0,17.0
33,train,typicality,1107368214528.0,3.492771e-05,1.0,743.0,0.0
34,train,typicality,993088897024.0,0.01705117,1.0,648.0,5.0
35,train,typicality,1450652598272.0,0.18127738,1.0,218.0,21.0
36,train,typicality,1317092458496.0,1.7079157,0.0,41.0,24.0
37,train,typicality,793766264832.0,0.10323582,1.0,1507.0,27.0
38,train,typicality,1783890837504.0,0.008264155,1.0,611.0,6.0
39,train,typicality,2185639493632.0,0.059802216,1.0,1800.0,18.0
40,train,typicality,1599230705664.0,0.024845747,1.0,632.0,10.0
41,train,typicality,8001108480.0,4.503301,0.0,269.0,3.0
42,train,typicality,585698967552.0,2.650632,0.0,148.0,30.0
43,train,typicality,309731753984.0,0.18897493,1.0,1686.0,20.0
44,train,typicality,1483694669824.0,0.029081013,1.0,1675.0,14.0
45,train,typicality,1243048181760.0,0.07675851,1.0,369.0,17.0
46,train,typicality,300863808.0,0.00038270777,1.0,1519.0,0.0
47,train,typicality,1107175145472.0,1.764837,0.0,104.0,13.0
48,train,typicality,1203491307520.0,0.0005532165,1.0,1925.0,15.0
49,train,typicality,1290948837376.0,0.81204647,0.0,646.0,22.0
50,train,typicality,4687260024832.0,0.024303485,1.0,1100.0,10.0
51,train,typicality,797708779520.0,2.780282,0.0,1292.0,6.0
52,train,typicality,1176630722560.0,0.030282564,1.0,1047.0,13.0
53,train,typicality,631433068544.0,2.1481252,0.0,861.0,11.0
54,train,typicality,1591432445952.0,0.33139783,1.0,1464.0,2.0
55,train,typicality,1156640276480.0,1.3948128,0.0,1939.0,7.0
56,train,typicality,1022008885248.0,7.7214675,0.0,652.0,18.0
57,train,typicality,1028041211904.0,1.6164889,1.0,296.0,7.0
58,train,typicality,470029828096.0,2.301105,0.0,113.0,9.0
59,train,typicality,749082902528.0,0.09643718,1.0,853.0,27.0
60,train,typicality,1346667282432.0,0.07689927,1.0,2218.0,7.0
61,train,typicality,1117576626176.0,0.017037809,1.0,1632.0,0.0
62,train,typicality,484357701632.0,0.7653785,1.0,2221.0,20.0
63,train,typicality,785765302272.0,0.035217214,1.0,1753.0,10.0
64,train,typicality,1110191374336.0,0.08653824,1.0,2035.0,15.0
65,train,typicality,1271258284032.0,0.011307442,1.0,2029.0,6.0
66,train,typicality,258659188736.0,0.024328848,1.0,2217.0,21.0
67,train,typicality,933857591296.0,1.4899939,0.0,1729.0,30.0
68,train,typicality,1490637291520.0,0.859129,1.0,958.0,9.0
69,train,typicality,1158531383296.0,0.62289405,1.0,1018.0,2.0
70,train,typicality,1752279547904.0,1.3451312,1.0,1254.0,4.0
71,train,typicality,1431455006720.0,1.8965621,0.0,1048.0,30.0
72,train,typicality,2969711935488.0,0.80596626,1.0,190.0,24.0
73,train,typicality,1024340525056.0,2.1755347,0.0,677.0,7.0
74,train,typicality,1032421507072.0,0.31070143,1.0,815.0,20.0
75,train,typicality,2184167555072.0,0.35270724,1.0,883.0,8.0
76,train,typicality,866154250240.0,0.027597189,1.0,1412.0,10.0
77,train,typicality,61030211584.0,0.0068648914,1.0,1124.0,6.0
78,train,typicality,901531369472.0,2.2403207,0.0,658.0,22.0
79,train,typicality,474409926656.0,0.07652444,1.0,1164.0,1.0
80,train,typicality,725703196672.0,0.09142794,1.0,1995.0,16.0
81,train,typicality,1427855114240.0,0.022394037,1.0,100.0,19.0
82,train,typicality,716844630016.0,0.22560757,1.0,73.0,2.0
83,train,typicality,1077337587712.0,1.166758,1.0,406.0,21.0
84,train,typicality,1298748407808.0,0.10223402,1.0,1605.0,27.0
85,train,typicality,848345038848.0,0.7957926,1.0,86.0,30.0
86,train,typicality,1137431281664.0,0.60436904,1.0,1942.0,28.0
87,train,typicality,428333105152.0,2.258347,0.0,778.0,12.0
88,train,typicality,771020816384.0,0.6745684,1.0,381.0,28.0
89,train,typicality,24417523712.0,0.4000074,1.0,1970.0,30.0
90,train,typicality,1121247690752.0,0.0012684165,1.0,23.0,11.0
91,train,typicality,961062633472.0,0.59055495,1.0,787.0,30.0
92,train,typicality,948834533376.0,2.134337,0.0,2079.0,18.0
93,train,typicality,1287708213248.0,0.8090305,1.0,342.0,21.0
94,train,typicality,1964018106368.0,0.17430511,1.0,1980.0,29.0
95,train,typicality,3022487027712.0,0.01599528,1.0,960.0,27.0
96,train,typicality,937380347904.0,9.524369e-05,1.0,766.0,1.0
97,train,typicality,518416224.0,0.07712873,1.0,2245.0,14.0
98,train,typicality,363410358272.0,0.8075853,1.0,535.0,7.0
99,train,typicality,3052178767872.0,0.13670519,1.0,1745.0,26.0
100,train,typicality,1168001466368.0,0.31070143,1.0,784.0,20.0
101,train,typicality,51424337920.0,0.043194477,1.0,1319.0,5.0
102,train,typicality,1063619198976.0,0.0032848944,1.0,1156.0,1.0
103,train,typicality,1089442283520.0,2.4719844,0.0,466.0,9.0
104,train,typicality,950517891072.0,0.7732804,1.0,1364.0,23.0
105,train,typicality,520279818240.0,2.6184022,0.0,2124.0,16.0
106,train,typicality,1261070581760.0,0.05755503,1.0,2211.0,14.0
107,train,typicality,885596487680.0,5.6282806,0.0,794.0,27.0
108,train,typicality,1035324882944.0,0.0026021688,1.0,1133.0,16.0
109,train,typicality,1109893316608.0,2.9230711,0.0,426.0,28.0
110,train,typicality,1579775164416.0,0.8509731,1.0,892.0,27.0
111,train,typicality,639519424512.0,1.9718115,0.0,972.0,30.0
112,train,typicality,1130743988224.0,1.4502728,0.0,1603.0,23.0
113,train,typicality,1184233422848.0,0.0033431137,1.0,737.0,25.0
114,train,typicality,1794479489024.0,0.032665193,1.0,394.0,16.0
115,train,typicality,866680438784.0,0.0015317386,1.0,738.0,5.0
116,train,typicality,8707030646784.0,0.5909572,1.0,178.0,17.0
117,train,typicality,3255809605632.0,4.013015,0.0,1130.0,9.0
118,train,typicality,1526651158528.0,0.43188658,1.0,1373.0,14.0
119,train,typicality,930602745856.0,0.0020164174,1.0,672.0,11.0
120,train,typicality,1447276314624.0,0.027523201,1.0,153.0,0.0
121,train,typicality,1007843934208.0,0.8959901,0.0,1677.0,17.0
122,train,typicality,1907471155200.0,0.8805096,1.0,182.0,10.0
123,train,typicality,1143774642176.0,1.2590134,0.0,720.0,26.0
124,train,typicality,1716731772928.0,0.0036943774,1.0,1234.0,25.0
125,train,typicality,2267063255040.0,0.24046896,1.0,232.0,29.0
126,train,typicality,1123328720896.0,0.015096341,1.0,2056.0,19.0
127,train,typicality,963695607808.0,0.35148576,1.0,410.0,3.0
128,train,typicality,483242213376.0,0.85708195,0.0,96.0,27.0
129,train,typicality,1084089040896.0,1.8658887,0.0,1385.0,20.0
130,train,typicality,829797367808.0,1.7884858,0.0,1148.0,13.0
131,train,typicality,1291585716224.0,0.16462123,1.0,1958.0,9.0
132,train,typicality,360012021760.0,0.92983496,1.0,869.0,28.0
133,train,typicality,930602745856.0,0.30155596,1.0,1567.0,0.0
134,train,typicality,1357766459392.0,0.0009588173,1.0,552.0,1.0
135,train,typicality,2231670669312.0,1.9958279,0.0,893.0,8.0
136,train,typicality,1242339082240.0,0.014480973,1.0,1869.0,1.0
137,train,typicality,3834610450432.0,5.5907592e-05,1.0,2093.0,15.0
138,train,typicality,765907894272.0,4.0467677,0.0,1602.0,17.0
139,train,typicality,2619867136000.0,2.310112,0.0,816.0,21.0
140,train,typicality,980343324672.0,0.7187293,1.0,713.0,27.0
141,train,typicality,930316615680.0,2.2511303,0.0,728.0,4.0
142,train,typicality,1449969844224.0,1.3344175,0.0,513.0,18.0
143,train,typicality,1700875862016.0,2.5107756,0.0,412.0,3.0
144,train,typicality,986245234688.0,0.12947409,1.0,2113.0,12.0
145,train,typicality,1744562946048.0,0.0577712,1.0,1828.0,14.0
146,train,typicality,1193033072640.0,0.026799848,1.0,2129.0,10.0
147,train,typicality,799097225216.0,0.0077771726,1.0,1270.0,1.0
148,train,typicality,1197895581696.0,1.36602,0.0,1383.0,28.0
149,train,typicality,1068471156736.0,1.3341686,0.0,473.0,7.0
150,train,typicality,2206917197824.0,0.026748318,1.0,665.0,16.0
151,train,typicality,5307246313472.0,0.76128185,1.0,51.0,4.0
152,train,typicality,821530853376.0,0.023228908,1.0,1346.0,5.0
153,train,typicality,758509535232.0,0.032086633,1.0,69.0,3.0
154,train,typicality,1060688429056.0,3.3659203,0.0,1861.0,29.0
155,train,typicality,1311997820928.0,0.023331631,1.0,1019.0,7.0
156,train,typicality,2907839135744.0,0.005428573,1.0,676.0,11.0
157,train,typicality,1268868055040.0,0.22516273,1.0,1717.0,26.0
158,train,typicality,1508423106560.0,0.02956433,1.0,1040.0,10.0
159,train,typicality,420260544512.0,0.007118577,1.0,1908.0,0.0
160,train,typicality,1819569946624.0,0.1151572,1.0,1538.0,24.0
161,train,typicality,1195104927744.0,0.272903,1.0,2111.0,13.0
162,train,typicality,1503520751616.0,3.5440285,0.0,1004.0,19.0
163,train,typicality,728764383232.0,1.1501086,1.0,1179.0,25.0
164,train,typicality,1082437926912.0,0.31845754,1.0,1191.0,26.0
165,train,typicality,352109395968.0,0.4730158,1.0,2223.0,29.0
166,train,typicality,900095672320.0,3.43363,0.0,647.0,27.0
167,train,typicality,766496079872.0,2.727216,0.0,286.0,28.0
168,train,typicality,660370685952.0,0.25864145,1.0,1419.0,3.0
169,train,typicality,16140710912.0,0.0013866343,1.0,531.0,5.0
170,train,typicality,1125833637888.0,0.003830597,1.0,1888.0,8.0
171,train,typicality,2038148890624.0,1.0912547,0.0,150.0,25.0
172,train,typicality,1103140749312.0,0.70920837,1.0,638.0,27.0
173,train,typicality,778140909568.0,0.00893003,1.0,979.0,16.0
174,train,typicality,1311246647296.0,0.001998334,1.0,587.0,19.0
175,train,typicality,1146856931328.0,0.9631952,1.0,1107.0,0.0
176,train,typicality,918308126720.0,0.028380107,1.0,1902.0,21.0
177,train,typicality,1013274116096.0,0.013153921,1.0,1123.0,11.0
178,train,typicality,2367679889408.0,0.00041488145,1.0,1121.0,1.0
179,train,typicality,3684403511296.0,0.8642281,0.0,1303.0,12.0
180,train,typicality,302618673152.0,0.003969173,1.0,964.0,1.0
181,train,typicality,2904308318208.0,4.104868,0.0,1857.0,18.0
182,train,typicality,1263686254592.0,3.2702386,0.0,573.0,27.0
183,train,typicality,2677746434048.0,0.0067419913,1.0,389.0,5.0
184,train,typicality,1189778292736.0,0.8655125,1.0,297.0,30.0
185,train,typicality,4720929275904.0,0.79024947,1.0,32.0,11.0
186,train,typicality,1037527810048.0,0.0006642519,1.0,1202.0,15.0
187,train,typicality,686480162816.0,0.35562283,1.0,1706.0,26.0
188,train,typicality,776082423808.0,0.009513519,1.0,2193.0,11.0
189,train,typicality,1084232695808.0,0.005525791,1.0,1721.0,2.0
190,train,typicality,1030459949056.0,0.075900994,1.0,1220.0,9.0
191,train,typicality,1272657477632.0,0.0022549222,1.0,1493.0,1.0
192,train,typicality,1694958747648.0,1.7431569,0.0,2167.0,13.0
193,train,typicality,843373936640.0,1.0804312,1.0,891.0,22.0
194,train,typicality,1135074738176.0,1.8255365,0.0,2102.0,30.0
195,train,typicality,593956831232.0,0.089244135,1.0,1833.0,14.0
196,train,typicality,530687688704.0,0.00037043385,1.0,447.0,2.0
197,train,typicality,1148355739648.0,0.20174319,1.0,898.0,28.0
198,train,typicality,895245746176.0,1.6051193,0.0,2007.0,29.0
199,train,typicality,1009494654976.0,0.22275524,1.0,1990.0,1.0
200,train,typicality,1365503508480.0,0.22359596,1.0,1031.0,7.0
201,train,typicality,1535795396608.0,0.03240775,1.0,1665.0,5.0
202,train,typicality,718314799104.0,0.014079527,1.0,1824.0,19.0
203,train,typicality,1268868055040.0,0.62115926,1.0,158.0,7.0
204,train,typicality,1542482165760.0,0.09069375,1.0,40.0,25.0
205,train,typicality,1874996756480.0,0.04982659,1.0,355.0,25.0
206,train,typicality,4005372362752.0,1.6572869,0.0,2089.0,14.0
207,train,typicality,1292386172928.0,0.0023543516,1.0,160.0,19.0
208,train,typicality,1023749783552.0,1.5019681,0.0,88.0,20.0
209,train,typicality,312964120576.0,4.822239,0.0,119.0,6.0
210,train,typicality,704746881024.0,0.19189167,1.0,1406.0,3.0
211,train,typicality,863422382080.0,0.43079588,1.0,1680.0,18.0
212,train,typicality,654626521088.0,0.15826063,1.0,122.0,8.0
213,train,typicality,1080285462528.0,0.0019270675,1.0,781.0,6.0
214,train,typicality,1203481477120.0,0.08903172,1.0,826.0,5.0
215,train,typicality,1626583597056.0,0.40960178,1.0,1160.0,10.0
216,train,typicality,461476003840.0,0.001760958,1.0,980.0,10.0
217,train,typicality,898805071872.0,1.0553739,1.0,1562.0,27.0
218,train,typicality,1499056963584.0,0.14437266,1.0,1923.0,7.0
219,train,typicality,1270219014144.0,0.037458036,1.0,300.0,0.0
220,train,typicality,696087805952.0,4.8278598e-05,1.0,1982.0,1.0
221,train,typicality,1082738016256.0,1.828388,0.0,2082.0,8.0
222,train,typicality,2963107479552.0,0.0021772508,1.0,1790.0,18.0
223,train,typicality,1011197542400.0,1.8855847,0.0,340.0,7.0
224,train,typicality,1512296415232.0,0.0061420733,1.0,1986.0,10.0
225,train,typicality,870400131072.0,0.27538985,1.0,14.0,2.0
226,train,typicality,1703258619904.0,0.0046497793,1.0,1264.0,23.0
227,train,typicality,3476347682816.0,4.1696305,0.0,1813.0,24.0
228,train,typicality,1476653219840.0,0.03391396,1.0,1433.0,3.0
229,train,typicality,758285205504.0,0.9447733,1.0,99.0,23.0
230,train,typicality,716728303616.0,1.7560716,0.0,930.0,23.0
231,train,typicality,919871160320.0,1.8192699,0.0,1039.0,14.0
232,train,typicality,965027561472.0,0.072746,1.0,2091.0,11.0
233,train,typicality,217201180672.0,0.014929234,1.0,1631.0,14.0
234,train,typicality,871576371200.0,0.015396782,1.0,79.0,0.0
235,train,typicality,1558088515584.0,1.0100178,1.0,880.0,7.0
236,train,typicality,1398850191360.0,2.7118359,0.0,915.0,9.0
237,train,typicality,1342070849536.0,0.017522763,1.0,456.0,11.0
238,train,typicality,1056806600704.0,2.4575226,0.0,2141.0,19.0
239,train,typicality,821400764416.0,0.003436495,1.0,1061.0,10.0
240,train,typicality,934902628352.0,8.772933,0.0,1313.0,26.0
241,train,typicality,1305598623744.0,0.006749096,1.0,236.0,16.0
242,train,typicality,986496630784.0,0.4119346,1.0,1287.0,13.0
243,train,typicality,2225677533184.0,1.9977515,0.0,376.0,13.0
244,train,typicality,872253227008.0,0.11921305,1.0,2212.0,24.0
245,train,typicality,753376296960.0,2.8258097,0.0,1196.0,18.0
246,train,typicality,1522979307520.0,1.7131234,0.0,849.0,29.0
247,train,typicality,1059298738176.0,0.15051638,1.0,1294.0,20.0
248,train,typicality,1379369353216.0,0.44991022,1.0,1972.0,28.0
249,train,typicality,1073341005824.0,0.12590483,1.0,1382.0,23.0
250,train,typicality,1057782759424.0,0.59906507,1.0,1850.0,6.0
251,train,typicality,1196507398144.0,0.017055858,1.0,1274.0,10.0
252,train,typicality,601905823744.0,0.014112439,1.0,1535.0,1.0
253,train,typicality,671263948800.0,0.10017897,1.0,151.0,14.0
254,train,typicality,916733952000.0,2.1085954,0.0,483.0,13.0
255,train,typicality,3568374382592.0,0.2561394,1.0,2250.0,13.0
256,train,typicality,6126861549568.0,0.009483644,1.0,1812.0,10.0
257,train,typicality,1312670482432.0,5.3286657,0.0,267.0,30.0
258,train,typicality,20578820096.0,1.7636456,0.0,1311.0,23.0
259,train,typicality,489134587904.0,1.162733,0.0,134.0,17.0
260,train,typicality,2504342896640.0,0.11291201,1.0,172.0,16.0
261,train,typicality,1332928053248.0,0.0062674168,1.0,54.0,23.0
262,train,typicality,1180534308864.0,0.023524819,1.0,750.0,0.0
263,train,typicality,911191113728.0,4.613972,0.0,1651.0,17.0
264,train,typicality,1329562910720.0,0.035190053,1.0,82.0,7.0
265,train,typicality,956247048192.0,0.00080743607,1.0,1756.0,10.0
266,train,typicality,2250046439424.0,3.4063354,0.0,726.0,8.0
267,train,typicality,1253391073280.0,0.7444285,1.0,729.0,24.0
268,train,typicality,1216984383488.0,0.09359146,1.0,1081.0,14.0
269,train,typicality,861266968576.0,0.04759925,1.0,564.0,14.0
270,train,typicality,1014218883072.0,0.00022349245,1.0,1131.0,0.0
271,train,typicality,1217878556672.0,1.5790064,1.0,522.0,9.0
272,train,typicality,20411310.0,0.05521006,1.0,1539.0,20.0
273,train,typicality,1201630609408.0,0.9451994,0.0,565.0,10.0
274,train,typicality,2075685027840.0,2.6629286,0.0,1300.0,28.0
275,train,typicality,1019589165056.0,0.07356714,1.0,924.0,18.0
276,train,typicality,773531762688.0,0.012061754,1.0,238.0,16.0
277,train,typicality,882721947648.0,0.0037864198,1.0,669.0,10.0
278,train,typicality,3947083071488.0,0.2902703,1.0,576.0,27.0
279,train,typicality,442485964800.0,0.6473192,1.0,731.0,22.0
280,train,typicality,930602745856.0,1.1342995,1.0,325.0,10.0
281,train,typicality,934080020480.0,0.9223344,1.0,289.0,21.0
282,train,typicality,963182002176.0,0.029945726,1.0,2127.0,2.0
283,train,typicality,317242408960.0,0.010051703,1.0,541.0,3.0
284,train,typicality,2049090387968.0,0.67367685,1.0,1671.0,6.0
285,train,typicality,1108153466880.0,0.23413354,1.0,507.0,3.0
286,train,typicality,365494599680.0,0.18012634,1.0,2166.0,22.0
287,train,typicality,2006917054464.0,0.90847534,0.0,70.0,12.0
288,train,typicality,1171175899136.0,0.20579527,1.0,270.0,18.0
289,train,typicality,1462380265472.0,0.25508308,1.0,1843.0,1.0
290,train,typicality,1894641303552.0,6.6633224,0.0,727.0,25.0
291,train,typicality,677766103040.0,0.05780203,1.0,1152.0,12.0
292,train,typicality,1336500682752.0,1.8392378,0.0,1050.0,27.0
293,train,typicality,597926936576.0,3.6518946,0.0,1498.0,6.0
294,train,typicality,3785973301248.0,0.05363913,1.0,842.0,5.0
295,train,typicality,762221690880.0,1.5497195e-06,1.0,1476.0,26.0
296,train,typicality,1052920643584.0,0.012427394,1.0,2227.0,6.0
297,train,typicality,825996869632.0,1.3064771,1.0,804.0,13.0
298,train,typicality,799481004032.0,0.13070874,1.0,1780.0,26.0
299,train,typicality,1528345526272.0,0.056288697,1.0,1870.0,8.0
300,train,typicality,789486764032.0,0.40278503,1.0,1070.0,22.0
301,train,typicality,469566095360.0,0.43909776,1.0,2238.0,26.0
302,train,typicality,498512101376.0,0.015751818,1.0,1249.0,1.0
303,train,typicality,1169847222272.0,0.40808976,1.0,793.0,17.0
304,train,typicality,3606516334592.0,0.01723421,1.0,1000.0,0.0
305,train,typicality,1552643784704.0,0.022818608,1.0,1437.0,16.0
306,train,typicality,821374681088.0,0.028522968,1.0,1011.0,22.0
307,train,typicality,1169653497856.0,0.14558959,1.0,684.0,5.0
308,train,typicality,1636007018496.0,0.1448703,1.0,364.0,16.0
309,train,typicality,907974868992.0,0.25808161,1.0,2121.0,11.0
310,train,typicality,1923232563200.0,3.0321386,0.0,1544.0,16.0
311,train,typicality,860502097920.0,0.054443587,1.0,1327.0,29.0
312,train,typicality,2207960793088.0,0.40387574,1.0,740.0,13.0
313,train,typicality,275044466688.0,0.492723,1.0,1750.0,13.0
314,train,typicality,1482201104384.0,3.2743406,0.0,1190.0,23.0
315,train,typicality,1360254992384.0,1.0911796,1.0,370.0,9.0
316,train,typicality,788736180224.0,2.7485313,0.0,817.0,13.0
317,train,typicality,2586273644544.0,0.3207311,1.0,1992.0,3.0
318,train,typicality,973299318784.0,2.210584,0.0,1725.0,25.0
319,train,typicality,1184094093312.0,0.78921074,1.0,1071.0,8.0
320,train,typicality,40462946304.0,2.4385123,0.0,1762.0,28.0
