,fold,feature_name,feature,loss,acc,idx,class
0,dslr,typicality,26109.6484375,9.008489,0.0,83.0,4.0
1,dslr,typicality,7285818.5,10.582202,0.0,175.0,11.0
2,dslr,typicality,170966.5625,9.672544,0.0,423.0,27.0
3,dslr,typicality,2112452.5,7.822774,0.0,369.0,23.0
4,dslr,typicality,15437.1298828125,11.455839,0.0,277.0,16.0
5,dslr,typicality,1970678784.0,0.2926209,1.0,26.0,1.0
6,dslr,typicality,50934560.0,9.767041,0.0,488.0,30.0
7,dslr,typicality,9553.8681640625,3.6598094,0.0,138.0,8.0
8,dslr,typicality,37467.35546875,17.384163,0.0,246.0,14.0
9,dslr,typicality,1494458368.0,3.297463,0.0,250.0,15.0
10,dslr,typicality,35477756.0,3.6039805,0.0,276.0,16.0
11,dslr,typicality,38527.203125,9.482563,0.0,102.0,6.0
12,dslr,typicality,13596728.0,6.2710414,0.0,381.0,24.0
13,dslr,typicality,2421899.0,4.817316,0.0,309.0,19.0
14,dslr,typicality,462754016.0,9.644132,0.0,431.0,27.0
15,dslr,typicality,12586.8193359375,15.469278,0.0,349.0,22.0
16,dslr,typicality,480887488.0,2.6887398,0.0,61.0,3.0
17,dslr,typicality,20986.1015625,2.2427402,0.0,4.0,0.0
18,dslr,typicality,94240.8125,9.16577,0.0,218.0,14.0
19,dslr,typicality,2595506688.0,0.84068555,1.0,263.0,15.0
20,dslr,typicality,937105472.0,17.750051,0.0,244.0,14.0
21,dslr,typicality,12729.98828125,0.48166344,1.0,31.0,1.0
22,dslr,typicality,343546016.0,3.2820904,0.0,133.0,8.0
23,dslr,typicality,7640.96875,4.3335094,0.0,305.0,19.0
24,dslr,typicality,774810.75,17.528095,0.0,88.0,5.0
25,dslr,typicality,1070040.625,9.619443,0.0,375.0,23.0
26,dslr,typicality,32764464.0,11.235219,0.0,316.0,20.0
27,dslr,typicality,200540672.0,10.938509,0.0,100.0,6.0
28,dslr,typicality,28846916.0,18.148811,0.0,389.0,25.0
29,dslr,typicality,35479040.0,3.6053987,0.0,134.0,8.0
30,dslr,typicality,215493024.0,0.53173125,1.0,67.0,3.0
31,dslr,typicality,12307293.0,9.29484,0.0,409.0,26.0
32,dslr,typicality,26604726.0,14.487456,0.0,344.0,22.0
33,dslr,typicality,45818986496.0,7.2266655,0.0,8.0,0.0
34,dslr,typicality,5802.7919921875,3.994343,0.0,283.0,17.0
35,dslr,typicality,7983980.0,5.7983494,0.0,125.0,8.0
36,dslr,typicality,56815.625,15.870382,0.0,345.0,22.0
37,dslr,typicality,137672144.0,4.768507,0.0,115.0,7.0
38,dslr,typicality,98323628032.0,4.9924173,0.0,302.0,19.0
39,dslr,typicality,8846088.0,14.18836,0.0,165.0,10.0
40,dslr,typicality,24407262.0,5.713888,0.0,416.0,27.0
41,dslr,typicality,921612.75,8.7752075,0.0,435.0,27.0
42,dslr,typicality,147712352.0,14.591228,0.0,37.0,2.0
43,dslr,typicality,43400324.0,0.5322181,1.0,465.0,29.0
44,dslr,typicality,26269.857421875,6.1186337,0.0,211.0,13.0
45,dslr,typicality,6651321344.0,14.945295,0.0,91.0,5.0
46,dslr,typicality,220559.265625,15.935314,0.0,157.0,10.0
47,dslr,typicality,18477.9609375,15.605524,0.0,241.0,14.0
48,dslr,typicality,728745984.0,0.3112029,1.0,27.0,1.0
49,dslr,typicality,33170.29296875,15.289782,0.0,446.0,28.0
50,dslr,typicality,574836992.0,1.3209367,0.0,15.0,1.0
51,dslr,typicality,448479168.0,15.167227,0.0,350.0,22.0
52,dslr,typicality,8609781.0,7.227252,0.0,131.0,8.0
53,dslr,typicality,3595610.75,6.475427,0.0,384.0,24.0
54,dslr,typicality,880458432.0,0.40351677,1.0,481.0,29.0
55,dslr,typicality,92821424.0,5.3163223,0.0,99.0,6.0
56,dslr,typicality,417689.0,4.02197,0.0,210.0,13.0
57,dslr,typicality,19735958.0,0.54511875,1.0,467.0,29.0
58,dslr,typicality,6505291.5,14.686327,0.0,457.0,28.0
