,fold,feature_name,feature,loss,acc,idx,class
0,train,knn,0.0,0.00011657989,1.0,160.0,0.0
1,train,knn,0.0,2.384183e-06,1.0,252.0,0.0
2,train,knn,0.0,0.0004229843,1.0,303.0,0.0
3,train,knn,0.0,0.00031954906,1.0,322.0,0.0
4,train,knn,0.0,0.057680845,1.0,340.0,0.0
5,train,knn,0.0,0.0005012686,1.0,404.0,0.0
6,train,knn,0.0,0.0009178478,1.0,456.0,0.0
7,train,knn,0.0,0.017731834,1.0,472.0,0.0
8,train,knn,0.0,5.8530048e-05,1.0,528.0,0.0
9,train,knn,0.0,7.390703e-05,1.0,537.0,0.0
10,train,knn,0.0,8.59462e-05,1.0,589.0,0.0
11,train,knn,0.0,9.5367386e-07,1.0,615.0,0.0
12,train,knn,0.0,0.021814402,1.0,617.0,0.0
13,train,knn,0.0,0.0007801588,1.0,676.0,0.0
14,train,knn,0.0,2.9802277e-06,1.0,791.0,0.0
15,train,knn,0.0,3.373566e-05,1.0,834.0,0.0
16,train,knn,0.0,1.1324818e-05,1.0,861.0,0.0
17,train,knn,0.0,0.004012748,1.0,863.0,0.0
18,train,knn,0.0,5.841238e-06,1.0,921.0,0.0
19,train,knn,0.0,3.576278e-07,1.0,979.0,0.0
20,train,knn,0.0,2.3686895,0.0,1030.0,0.0
21,train,knn,0.0,4.6491514e-06,1.0,1098.0,0.0
22,train,knn,0.0,0.7726414,1.0,1125.0,0.0
23,train,knn,0.0,0.00016652151,1.0,1185.0,0.0
24,train,knn,0.0,0.07240453,1.0,1211.0,0.0
25,train,knn,0.0,2.7753353,0.0,1311.0,0.0
26,train,knn,0.0,3.4570635e-06,1.0,1330.0,0.0
27,train,knn,0.0,4.2676016e-05,1.0,1393.0,0.0
28,train,knn,0.0,4.1723165e-06,1.0,1399.0,0.0
29,train,knn,0.0,3.933899e-06,1.0,1405.0,0.0
30,train,knn,0.0,0.00041702634,1.0,1409.0,0.0
31,train,knn,0.0,1.12056105e-05,1.0,1497.0,0.0
32,train,knn,0.0,0.0002298091,1.0,1512.0,0.0
33,train,knn,0.0,0.0014429406,1.0,1513.0,0.0
34,train,knn,0.0,3.6004167,0.0,1524.0,0.0
35,train,knn,0.0,4.3033626e-05,1.0,1550.0,0.0
36,train,knn,0.0,0.0001349358,1.0,1663.0,0.0
37,train,knn,0.0,0.00010346831,1.0,1664.0,0.0
38,train,knn,0.0,0.12565444,1.0,1688.0,0.0
39,train,knn,0.0,5.4953973e-05,1.0,1707.0,0.0
40,train,knn,0.0,0.0022707412,1.0,1713.0,0.0
41,train,knn,0.0,8.344647e-07,1.0,1840.0,0.0
42,train,knn,0.0,2.145765e-06,1.0,1883.0,0.0
43,train,knn,0.0,5.6555634,0.0,1942.0,0.0
44,train,knn,0.0,2.145765e-06,1.0,1994.0,0.0
45,train,knn,0.0,3.4570635e-06,1.0,1999.0,0.0
46,train,knn,0.0,5.960463e-07,1.0,2042.0,0.0
47,train,knn,0.0,0.00012444676,1.0,2060.0,0.0
48,train,knn,0.0,0.0020109448,1.0,2111.0,0.0
49,train,knn,0.0,3.576278e-07,1.0,2129.0,0.0
50,train,knn,0.0,0.00026329866,1.0,2146.0,0.0
51,train,knn,0.0,4.7683704e-07,1.0,2164.0,0.0
52,train,knn,0.0,1.1920928e-07,1.0,2173.0,0.0
53,train,knn,0.0,0.00016115798,1.0,2265.0,0.0
54,train,knn,0.0,8.9164576e-05,1.0,2316.0,0.0
55,train,knn,0.0,3.4570635e-06,1.0,2317.0,0.0
56,train,knn,0.0,7.152555e-07,1.0,2369.0,0.0
57,train,knn,0.0,9.083335e-05,1.0,2419.0,0.0
58,train,knn,0.0,0.0016275506,1.0,2425.0,0.0
59,train,knn,0.0,4.7683704e-07,1.0,2489.0,0.0
60,train,knn,0.0,0.0001851149,1.0,2553.0,0.0
61,train,knn,0.0,9.8700424e-05,1.0,2576.0,0.0
62,train,knn,0.0,0.0021165845,1.0,2609.0,0.0
63,train,knn,0.0,5.245195e-06,1.0,2622.0,0.0
64,train,knn,0.0,4.5050573,0.0,2624.0,0.0
65,train,knn,0.0,5.3881147e-05,1.0,2639.0,0.0
66,train,knn,0.0,0.0007683662,1.0,2645.0,0.0
67,train,knn,0.0,1.7881378e-06,1.0,2653.0,0.0
68,train,knn,0.0,3.8623064e-05,1.0,2682.0,0.0
69,train,knn,0.0,2.441586,0.0,2745.0,0.0
70,train,knn,0.0,4.76836e-06,1.0,2762.0,0.0
71,train,knn,0.0,2.0265559e-06,1.0,2784.0,0.0
72,train,knn,0.0,-0.0,1.0,2852.0,0.0
73,train,knn,0.0,0.00013696209,1.0,2870.0,0.0
74,train,knn,0.0,0.15876168,1.0,2894.0,0.0
75,train,knn,0.0,1.5971296,0.0,2895.0,0.0
76,train,knn,0.0,0.00019381552,1.0,2958.0,0.0
77,train,knn,0.0,1.12056105e-05,1.0,2970.0,0.0
78,train,knn,0.0,1.7285198e-05,1.0,2986.0,0.0
79,train,knn,0.0,0.00055619504,1.0,2995.0,0.0
80,train,knn,0.0,8.034383e-05,1.0,3012.0,0.0
