,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.0,5.245195e-06,1.0,151.0,0.0
1,train,rabanser,0.0,0.02225053,1.0,185.0,0.0
2,train,rabanser,0.0,1.2516897e-05,1.0,228.0,0.0
3,train,rabanser,0.0,8.034383e-05,1.0,279.0,0.0
4,train,rabanser,0.0,0.0007683662,1.0,410.0,0.0
5,train,rabanser,0.0,0.0022707412,1.0,411.0,0.0
6,train,rabanser,0.0,2.6464111e-05,1.0,432.0,0.0
7,train,rabanser,0.0,0.7726414,1.0,488.0,0.0
8,train,rabanser,0.0,1.7046783e-05,1.0,492.0,0.0
9,train,rabanser,0.0,1.3735789,0.0,509.0,0.0
10,train,rabanser,0.0,4.7683704e-07,1.0,570.0,0.0
11,train,rabanser,0.0,0.0005012686,1.0,616.0,0.0
12,train,rabanser,0.0,0.00016926287,1.0,779.0,0.0
13,train,rabanser,0.0,0.0004209586,1.0,781.0,0.0
14,train,rabanser,0.0,8.189343e-05,1.0,813.0,0.0
15,train,rabanser,0.0,2.62257e-05,1.0,823.0,0.0
16,train,rabanser,0.0,0.00016652151,1.0,894.0,0.0
17,train,rabanser,0.0,5.841238e-06,1.0,902.0,0.0
18,train,rabanser,0.0,2.145765e-06,1.0,912.0,0.0
19,train,rabanser,0.0,5.0185852e-05,1.0,939.0,0.0
20,train,rabanser,0.0,3.4570635e-06,1.0,948.0,0.0
21,train,rabanser,0.0,9.2263734e-05,1.0,951.0,0.0
22,train,rabanser,0.0,5.960287e-05,1.0,1028.0,0.0
23,train,rabanser,0.0,4.7683704e-07,1.0,1086.0,0.0
24,train,rabanser,0.0,8.344647e-07,1.0,1243.0,0.0
25,train,rabanser,0.0,0.0016275506,1.0,1285.0,0.0
26,train,rabanser,0.0,1.1324818e-05,1.0,1287.0,0.0
27,train,rabanser,0.0,0.00019381552,1.0,1338.0,0.0
28,train,rabanser,0.0,0.29763383,1.0,1399.0,0.0
29,train,rabanser,0.0,0.0183328,1.0,1416.0,0.0
30,train,rabanser,0.0,5.3285134e-05,1.0,1422.0,0.0
31,train,rabanser,0.0,3.4570635e-06,1.0,1465.0,0.0
32,train,rabanser,0.0,4.804019e-05,1.0,1581.0,0.0
33,train,rabanser,0.0,2.3722367e-05,1.0,1616.0,0.0
34,train,rabanser,0.0,0.65963674,1.0,1626.0,0.0
35,train,rabanser,0.0,1.1086402e-05,1.0,1669.0,0.0
