,fold,feature_name,feature,loss,acc,idx,class
0,train,typicality,12345.900390625,1.3351351e-05,1.0,3760.0,41.0
1,train,typicality,23271.5,3.6954812e-06,1.0,5649.0,12.0
2,train,typicality,10817.9580078125,7.152555e-07,1.0,8665.0,12.0
3,train,typicality,14478.9453125,0.00013040646,1.0,4517.0,8.0
4,train,typicality,11988.16015625,0.00054964214,1.0,9107.0,37.0
5,train,typicality,19280.8203125,1.5497195e-06,1.0,9665.0,23.0
6,train,typicality,15228.662109375,0.0010750473,1.0,2669.0,1.0
7,train,typicality,20822.767578125,1.2278481e-05,1.0,2763.0,35.0
8,train,typicality,11388.0537109375,0.0030535283,1.0,7563.0,3.0
9,train,typicality,11019.10546875,0.003066839,1.0,6239.0,1.0
10,train,typicality,16385.09375,0.00011657989,1.0,6499.0,5.0
11,train,typicality,12360.7509765625,0.0005085367,1.0,4458.0,34.0
12,train,typicality,18135.099609375,1.7642818e-05,1.0,7834.0,42.0
13,train,typicality,8909.833984375,-0.0,1.0,6714.0,57.0
14,train,typicality,18314.46484375,-0.0,1.0,9699.0,24.0
15,train,typicality,22498.5859375,2.9086643e-05,1.0,2891.0,14.0
16,train,typicality,15015.888671875,1.6212332e-05,1.0,808.0,57.0
17,train,typicality,20170.19921875,0.0004489606,1.0,9117.0,37.0
18,train,typicality,12195.8154296875,3.397407e-05,1.0,8393.0,25.0
19,train,typicality,9316.494140625,2.467602e-05,1.0,6805.0,15.0
20,train,typicality,10240.9951171875,0.00013839241,1.0,1733.0,33.0
21,train,typicality,16372.61328125,0.00011789104,1.0,4010.0,51.0
22,train,typicality,12915.1103515625,-0.0,1.0,9448.0,4.0
23,train,typicality,13499.6201171875,2.4739113,0.0,1699.0,30.0
24,train,typicality,11544.7265625,0.0001957225,1.0,3858.0,15.0
25,train,typicality,15482.564453125,7.212691,0.0,2041.0,10.0
26,train,typicality,15363.53515625,3.576278e-07,1.0,9950.0,50.0
27,train,typicality,11689.9638671875,6.9053206,0.0,2749.0,37.0
28,train,typicality,9788.984375,0.00011443437,1.0,521.0,16.0
29,train,typicality,14513.265625,6.8781395e-05,1.0,1361.0,58.0
30,train,typicality,20682.56640625,3.576278e-07,1.0,1886.0,12.0
31,train,typicality,12054.091796875,0.00019524575,1.0,8975.0,6.0
32,train,typicality,19404.94921875,0.0003333728,1.0,9145.0,45.0
33,train,typicality,10298.8369140625,0.0011006495,1.0,9766.0,12.0
34,train,typicality,18516.44921875,4.2079995e-05,1.0,1254.0,50.0
35,train,typicality,19864.3671875,0.18718769,1.0,7703.0,5.0
36,train,typicality,17236.88671875,1.072883e-06,1.0,644.0,22.0
37,train,typicality,15332.66796875,7.3909487e-06,1.0,967.0,36.0
38,train,typicality,19170.78515625,0.0017514379,1.0,8264.0,14.0
39,train,typicality,11581.2236328125,1.5497195e-06,1.0,9768.0,12.0
40,train,typicality,12422.630859375,1.072883e-06,1.0,386.0,52.0
41,train,typicality,10131.64453125,0.0017602439,1.0,932.0,26.0
42,train,typicality,11275.705078125,8.344616e-06,1.0,1785.0,37.0
43,train,typicality,14296.1162109375,0.00073953933,1.0,6042.0,36.0
44,train,typicality,11347.3310546875,1.2516897e-05,1.0,4680.0,13.0
45,train,typicality,11820.2109375,3.3378547e-06,1.0,1355.0,20.0
46,train,typicality,19656.478515625,-0.0,1.0,8176.0,40.0
47,train,typicality,22049.6796875,2.3841855e-07,1.0,5971.0,25.0
48,train,typicality,17947.970703125,6.6158966e-05,1.0,6779.0,8.0
49,train,typicality,15403.087890625,0.00012599629,1.0,3637.0,8.0
50,train,typicality,15567.3095703125,1.1920922e-06,1.0,7439.0,52.0
51,train,typicality,14342.69921875,0.57760715,1.0,3125.0,3.0
52,train,typicality,14522.203125,9.1790735e-06,1.0,6546.0,51.0
53,train,typicality,27171.08984375,3.087473e-05,1.0,3238.0,7.0
54,train,typicality,14420.427734375,-0.0,1.0,6206.0,33.0
55,train,typicality,20804.3828125,0.0011780473,1.0,234.0,55.0
56,train,typicality,18257.765625,0.0018250967,1.0,5010.0,34.0
57,train,typicality,13547.5458984375,3.81469e-06,1.0,4627.0,42.0
58,train,typicality,14656.4287109375,0.0006393534,1.0,3212.0,20.0
59,train,typicality,9598.693359375,-0.0,1.0,4790.0,22.0
60,train,typicality,13377.693359375,9.5367386e-07,1.0,7833.0,4.0
61,train,typicality,20829.619140625,2.1576649e-05,1.0,9103.0,34.0
62,train,typicality,13054.47265625,0.001524835,1.0,1062.0,37.0
63,train,typicality,13235.6533203125,-0.0,1.0,4370.0,53.0
64,train,typicality,22690.630859375,0.18206646,1.0,3651.0,8.0
65,train,typicality,12428.705078125,1.1920928e-07,1.0,7235.0,11.0
66,train,typicality,17723.818359375,0.0012917516,1.0,1589.0,14.0
67,train,typicality,15123.63671875,3.2901222e-05,1.0,3488.0,12.0
68,train,typicality,18240.126953125,0.0017698829,1.0,4671.0,45.0
69,train,typicality,14888.23828125,0.00013791563,1.0,4784.0,7.0
70,train,typicality,16886.87890625,-0.0,1.0,9932.0,49.0
71,train,typicality,25962.11328125,3.402204,0.0,6639.0,28.0
72,train,typicality,24332.271484375,2.3841855e-07,1.0,2889.0,16.0
