,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,-49.55821990966797,1.2636105e-05,1.0,2986.0,3.0
1,train,energy,-26.233423233032227,2.2127504,0.0,9636.0,50.0
2,train,energy,-28.120948791503906,0.00011228884,1.0,9676.0,0.0
3,train,energy,-35.75680923461914,0.007394208,1.0,5007.0,42.0
4,train,energy,-20.043977737426758,5.4238757e-05,1.0,8275.0,36.0
5,train,energy,-21.83534049987793,0.00014745102,1.0,1145.0,31.0
6,train,energy,-19.732452392578125,0.00089486124,1.0,1745.0,0.0
7,train,energy,-65.069091796875,6.7949063e-06,1.0,9727.0,41.0
8,train,energy,-23.222835540771484,1.1920928e-07,1.0,1299.0,59.0
9,train,energy,-19.15978240966797,6.5564896e-06,1.0,6945.0,1.0
10,train,energy,-34.569400787353516,0.00020776021,1.0,8392.0,13.0
11,train,energy,-35.84503936767578,2.7775379e-05,1.0,5989.0,15.0
12,train,energy,-35.10248947143555,3.0755524e-05,1.0,10.0,20.0
13,train,energy,-49.14751434326172,6.0556486e-05,1.0,3732.0,16.0
14,train,energy,-37.279266357421875,-0.0,1.0,4042.0,54.0
15,train,energy,-42.07314682006836,1.800044e-05,1.0,5093.0,40.0
16,train,energy,-26.606319427490234,5.0067774e-06,1.0,1983.0,34.0
17,train,energy,-57.59861373901367,2.145765e-06,1.0,6232.0,46.0
18,train,energy,-42.62443161010742,1.9907753e-05,1.0,3827.0,48.0
19,train,energy,-18.837295532226562,-0.0,1.0,3574.0,13.0
20,train,energy,-20.720134735107422,1.7523613e-05,1.0,2528.0,21.0
21,train,energy,-23.364192962646484,5.415984,0.0,2286.0,55.0
22,train,energy,-37.66953659057617,0.0020404488,1.0,9314.0,21.0
23,train,energy,-27.287267684936523,9.774684e-05,1.0,1484.0,14.0
24,train,energy,-14.284153938293457,0.0005136601,1.0,2125.0,42.0
25,train,energy,-41.919464111328125,0.00010501787,1.0,2495.0,40.0
26,train,energy,-29.836320877075195,0.0007577647,1.0,4014.0,9.0
27,train,energy,-37.23583221435547,0.0001333863,1.0,4511.0,7.0
28,train,energy,-42.70798110961914,1.9073468e-06,1.0,7562.0,12.0
29,train,energy,-48.83474349975586,7.152555e-07,1.0,8008.0,7.0
30,train,energy,-29.4404354095459,0.0024166685,1.0,4209.0,38.0
31,train,energy,-36.73202133178711,0.00012099011,1.0,1012.0,5.0
32,train,energy,-37.845096588134766,0.0058300686,1.0,4226.0,24.0
33,train,energy,-44.16791915893555,6.5564896e-06,1.0,2749.0,43.0
34,train,energy,-41.276954650878906,6.9141147e-06,1.0,8899.0,0.0
35,train,energy,-20.076213836669922,-0.0,1.0,9755.0,26.0
36,train,energy,-29.415884017944336,0.014876383,1.0,9182.0,21.0
37,train,energy,-28.33998680114746,0.0288655,1.0,9235.0,30.0
