,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,0.1842372580305166,0.003848766,1.0,3252.0,54.0
1,train,rabanser,0.1688978162850674,0.038294543,1.0,1908.0,54.0
2,train,rabanser,0.1799023878986303,0.038437027,1.0,2732.0,21.0
3,train,rabanser,0.17425981254265377,0.00031168372,1.0,79.0,44.0
4,train,rabanser,0.1804574072835784,0.00054964214,1.0,453.0,23.0
5,train,rabanser,0.16859656698603537,0.016456585,1.0,3382.0,10.0
6,train,rabanser,0.1799560071092387,0.00092654204,1.0,196.0,63.0
7,train,rabanser,0.16993232362857363,0.20518027,1.0,2419.0,52.0
8,train,rabanser,0.17163583061584736,0.07354764,1.0,583.0,9.0
9,train,rabanser,0.17510262068171062,-0.0,1.0,1884.0,22.0
10,train,rabanser,0.16687238819298564,0.0005590545,1.0,305.0,43.0
11,train,rabanser,0.17932418474210568,0.0009698931,1.0,574.0,54.0
12,train,rabanser,0.1705128209537027,0.109427735,1.0,51.0,50.0
13,train,rabanser,0.17594430574816594,0.07132495,1.0,2514.0,17.0
14,train,rabanser,0.18245180646259518,0.0007433512,1.0,2360.0,31.0
15,train,rabanser,0.17840782219104956,0.0008819981,1.0,2409.0,2.0
16,train,rabanser,0.1815621553202834,0.07848503,1.0,2361.0,37.0
17,train,rabanser,0.17397573192075347,3.0762162,0.0,456.0,3.0
18,train,rabanser,0.17714064397027335,0.14360479,1.0,772.0,57.0
19,train,rabanser,0.1775987588768089,0.011600775,1.0,820.0,42.0
20,train,rabanser,0.17580173675756855,0.27308482,1.0,1958.0,50.0
21,train,rabanser,0.18067045871337567,0.000189644,1.0,3394.0,38.0
22,train,rabanser,0.17655541123173263,2.8967437e-05,1.0,2590.0,53.0
23,train,rabanser,0.1790589722677542,0.0010845738,1.0,2082.0,32.0
24,train,rabanser,0.1674455642904298,0.010548904,1.0,271.0,5.0
25,train,rabanser,0.1800981340041513,0.022925451,1.0,1862.0,2.0
26,train,rabanser,0.16966558168048504,0.0019257588,1.0,2914.0,54.0
27,train,rabanser,0.1741060818144749,0.00032562675,1.0,1416.0,30.0
28,train,rabanser,0.16574632025749222,0.00040308456,1.0,1918.0,2.0
29,train,rabanser,0.18429027988745592,0.05164287,1.0,1710.0,17.0
30,train,rabanser,0.17912330371335705,0.01853702,1.0,200.0,13.0
31,train,rabanser,0.1731676446193795,1.0559323,0.0,2639.0,15.0
32,train,rabanser,0.17521193379733774,0.0014235373,1.0,1385.0,31.0
33,train,rabanser,0.1757228765372738,0.00030787018,1.0,473.0,59.0
34,train,rabanser,0.17259750029815407,0.0023289004,1.0,828.0,63.0
35,train,rabanser,0.17273847256632652,0.004433208,1.0,1932.0,19.0
36,train,rabanser,0.1727834539858982,0.0036765619,1.0,1186.0,58.0
37,train,rabanser,0.1702908642513104,0.01353551,1.0,2203.0,3.0
38,train,rabanser,0.1754637424836613,0.0003213366,1.0,188.0,62.0
39,train,rabanser,0.16967319403434966,0.0017265665,1.0,2735.0,64.0
40,train,rabanser,0.16760533699661756,0.007825551,1.0,2934.0,30.0
41,train,rabanser,0.17636795838698213,0.19554137,1.0,27.0,61.0
42,train,rabanser,0.1867502258498394,0.18136777,1.0,1137.0,19.0
43,train,rabanser,0.17936593531519807,0.107669316,1.0,740.0,28.0
44,train,rabanser,0.1777671230851643,0.0021539363,1.0,2023.0,12.0
45,train,rabanser,0.1697084235008881,0.005195568,1.0,2444.0,15.0
46,train,rabanser,0.18017035170280948,0.0052058855,1.0,2047.0,53.0
47,train,rabanser,0.17708418963172282,0.8256259,1.0,114.0,60.0
48,train,rabanser,0.17881489933686517,3.576278e-07,1.0,1818.0,14.0
49,train,rabanser,0.16828705108564146,5.4836123e-06,1.0,1624.0,4.0
50,train,rabanser,0.1662597502029708,0.0013627062,1.0,1217.0,2.0
51,train,rabanser,0.1714635394277259,0.01278525,1.0,1173.0,5.0
52,train,rabanser,0.18291420985076026,0.011152904,1.0,1319.0,10.0
53,train,rabanser,0.18459872728129895,0.0002786725,1.0,1816.0,1.0
54,train,rabanser,0.17214497416233565,0.019600868,1.0,1670.0,50.0
55,train,rabanser,0.17890042796910843,0.0038820158,1.0,1442.0,30.0
56,train,rabanser,0.17360132325518607,0.05918758,1.0,1879.0,47.0
57,train,rabanser,0.17867910106357668,0.035112135,1.0,2497.0,46.0
58,train,rabanser,0.17168348104939557,0.00044550508,1.0,1985.0,4.0
59,train,rabanser,0.1768184061593846,1.2359917,0.0,2769.0,46.0
60,train,rabanser,0.17650095651824899,0.0038500724,1.0,3435.0,64.0
61,train,rabanser,0.18154521913249777,8.70224e-06,1.0,1464.0,17.0
62,train,rabanser,0.1804999993481075,0.004740191,1.0,2060.0,33.0
63,train,rabanser,0.1743519413755703,0.010863331,1.0,1056.0,45.0
64,train,rabanser,0.1771344646714902,0.00030143486,1.0,3000.0,39.0
65,train,rabanser,0.17331320297953196,0.00043406602,1.0,1120.0,61.0
66,train,rabanser,0.17502969415852587,0.034976084,1.0,2474.0,53.0
67,train,rabanser,0.16940279878953224,0.018865442,1.0,2495.0,10.0
68,train,rabanser,0.17398476296230514,0.09769112,1.0,466.0,5.0
69,train,rabanser,0.1733562450367852,0.045390286,1.0,184.0,52.0
70,train,rabanser,0.17649348205009352,-0.0,1.0,2166.0,22.0
71,train,rabanser,0.18049430234301186,1.7285198e-05,1.0,477.0,29.0
72,train,rabanser,0.17362799209055385,2.5748875e-05,1.0,3064.0,55.0
73,train,rabanser,0.1784765765856028,2.0265559e-06,1.0,3054.0,61.0
74,train,rabanser,0.18679855628083725,4.5299425e-06,1.0,512.0,21.0
75,train,rabanser,0.1819505281581727,1.1920928e-07,1.0,315.0,41.0
