Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k,batch_size,OOD==f(x)==y
CCT,kNN,OoD Val,OoD Val,0.9653794940079894,1.0,0.9826897470039947,Unbiased,-1,8,False
CCT,kNN,OoD Val,OoD Val,0.9653794940079894,0.9519230769230769,0.9586512854655331,Class,-1,8,False
CCT,kNN,OoD Val,OoD Val,0.9653794940079894,0.9519230769230769,0.9586512854655331,Synthetic,-1,8,False
CCT,kNN,OoD Val,OoD Val,0.9653794940079894,1.0,0.9826897470039947,Temporal,-1,8,False
CCT,kNN,OoD Val,OoD Test,0.9723701731025299,1.0,0.9861850865512649,Unbiased,-1,8,False
CCT,kNN,OoD Val,OoD Test,0.9723701731025299,0.9519230769230769,0.9621466250128035,Class,-1,8,False
CCT,kNN,OoD Val,OoD Test,0.9723701731025299,0.9519230769230769,0.9621466250128035,Synthetic,-1,8,False
CCT,kNN,OoD Val,OoD Test,0.9723701731025299,1.0,0.9861850865512649,Temporal,-1,8,False
CCT,kNN,OoD Test,OoD Val,0.965046604527297,1.0,0.9825233022636485,Unbiased,-1,8,False
CCT,kNN,OoD Test,OoD Val,0.965046604527297,0.9519230769230769,0.9584848407251869,Class,-1,8,False
CCT,kNN,OoD Test,OoD Val,0.965046604527297,0.9615384615384616,0.9632925330328792,Synthetic,-1,8,False
CCT,kNN,OoD Test,OoD Val,0.965046604527297,1.0,0.9825233022636485,Temporal,-1,8,False
CCT,kNN,OoD Test,OoD Test,0.9710386151797603,1.0,0.9855193075898802,Unbiased,-1,8,False
CCT,kNN,OoD Test,OoD Test,0.9710386151797603,0.9519230769230769,0.9614808460514186,Class,-1,8,False
CCT,kNN,OoD Test,OoD Test,0.9710386151797603,0.9615384615384616,0.9662885383591109,Synthetic,-1,8,False
CCT,kNN,OoD Test,OoD Test,0.9710386151797603,1.0,0.9855193075898802,Temporal,-1,8,False
CCT,kNN,OoD Val,OoD Val,0.9980026631158455,0.5480769230769231,0.7730397930963844,Unbiased,5,8,False
CCT,kNN,OoD Val,OoD Val,0.9980026631158455,0.5673076923076923,0.782655177711769,Temporal,5,8,False
CCT,kNN,OoD Val,OoD Test,0.9993342210386151,0.5480769230769231,0.7737055720577691,Unbiased,5,8,False
CCT,kNN,OoD Val,OoD Test,0.9993342210386151,0.5673076923076923,0.7833209566731537,Temporal,5,8,False
CCT,kNN,OoD Test,OoD Val,0.9980026631158455,0.5480769230769231,0.7730397930963844,Unbiased,5,8,False
CCT,kNN,OoD Test,OoD Val,0.9980026631158455,0.5673076923076923,0.782655177711769,Temporal,5,8,False
