Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,bias,k,tpr,tnr,ba
NICO,kNN,val_optimal,True,True,outdoor,outdoor,Unbiased,-1,0.9844444444444445,0.25391849529780564,0.6191814698711251
NICO,kNN,val_optimal,True,True,outdoor,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,True,outdoor,outdoor,Synthetic,-1,0.8666666666666667,0.32515337423312884,0.5959100204498977
NICO,kNN,val_optimal,True,True,outdoor,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,True,outdoor,water,Unbiased,-1,0.9915254237288136,0.1836283185840708,0.5875768711564422
NICO,kNN,val_optimal,True,True,outdoor,water,Class,-1,0.9711417816813049,0.1642411642411642,0.5676914729612346
NICO,kNN,val_optimal,True,True,outdoor,water,Synthetic,-1,0.8473895582329317,0.34943181818181823,0.598410688207375
NICO,kNN,val_optimal,True,True,outdoor,water,Temporal,-1,0.960960960960961,0.18461538461538463,0.5727881727881727
NICO,kNN,val_optimal,True,True,outdoor,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,True,outdoor,rock,Class,-1,0.9553956834532374,0.18075117370892024,0.5680734285810789
NICO,kNN,val_optimal,True,True,outdoor,rock,Synthetic,-1,0.9074889867841409,0.46875,0.6881194933920705
NICO,kNN,val_optimal,True,True,outdoor,rock,Temporal,-1,0.9571150097465887,0.32421875,0.6406668798732944
NICO,kNN,val_optimal,True,True,outdoor,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,True,outdoor,grass,Class,-1,0.9696629213483146,0.1593886462882096,0.564525783818262
NICO,kNN,val_optimal,True,True,outdoor,grass,Synthetic,-1,0.851380042462845,0.33630952380952384,0.5938447831361844
NICO,kNN,val_optimal,True,True,outdoor,grass,Temporal,-1,0.9758403361344538,0.20959595959595956,0.5927181478652066
NICO,kNN,val_optimal,True,True,outdoor,autumn,Unbiased,-1,0.9964912280701754,0.1582150101419878,0.5773531191060817
NICO,kNN,val_optimal,True,True,outdoor,autumn,Class,-1,0.9441624365482234,0.20799999999999996,0.5760812182741117
NICO,kNN,val_optimal,True,True,outdoor,autumn,Synthetic,-1,0.8388791593695272,0.45959595959595956,0.6492375594827433
NICO,kNN,val_optimal,True,True,outdoor,autumn,Temporal,-1,0.973170731707317,0.18558951965065507,0.5793801256789861
NICO,kNN,val_optimal,True,True,water,outdoor,Unbiased,-1,0.9844444444444445,0.25705329153605017,0.6207488679902473
NICO,kNN,val_optimal,True,True,water,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,True,water,outdoor,Synthetic,-1,0.8603773584905661,0.3282208588957055,0.5942991086931357
NICO,kNN,val_optimal,True,True,water,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,True,water,water,Unbiased,-1,0.9915254237288136,0.18584070796460173,0.5886830658467077
