Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,1.0,0.6451612903225806,0.8225806451612903
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,val_optimal,True,True,OoD Test,brightness,1.0,0.5,0.75
CCT,kNN,val_optimal,True,True,OoD Test,contrast,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Test,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,val_optimal,True,True,OoD Test,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,val_optimal,True,True,OoD Test,noise,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Test,smear,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,1.0,0.6451612903225806,0.8225806451612903
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,val_optimal,True,True,OoD Val,brightness,1.0,0.5,0.75
CCT,kNN,val_optimal,True,True,OoD Val,contrast,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Val,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,val_optimal,True,True,OoD Val,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,val_optimal,True,True,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,True,True,OoD Val,smear,1.0,1.0,1.0
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,1.0,0.6451612903225806,0.8225806451612903
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,ind_span,True,True,OoD Test,brightness,1.0,0.5,0.75
CCT,kNN,ind_span,True,True,OoD Test,contrast,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,hue,1.0,0.8928571428571429,0.9464285714285714
CCT,kNN,ind_span,True,True,OoD Test,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,ind_span,True,True,OoD Test,noise,1.0,1.0,1.0
CCT,kNN,ind_span,True,True,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,ind_span,True,True,OoD Test,smear,1.0,0.5,0.75
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,1.0,0.6451612903225806,0.8225806451612903
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,ind_span,True,True,OoD Val,brightness,1.0,0.5,0.75
CCT,kNN,ind_span,True,True,OoD Val,contrast,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Val,hue,1.0,0.8928571428571429,0.9464285714285714
CCT,kNN,ind_span,True,True,OoD Val,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,ind_span,True,True,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,ind_span,True,True,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,ind_span,True,True,OoD Val,smear,1.0,0.5,0.75
CCT,kNN,logistic,True,True,OoD Test,OoD Test,1.0,0.6451612903225806,0.8225806451612903
CCT,kNN,logistic,True,True,OoD Test,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,logistic,True,True,OoD Test,brightness,1.0,0.5,0.75
CCT,kNN,logistic,True,True,OoD Test,contrast,1.0,1.0,1.0
CCT,kNN,logistic,True,True,OoD Test,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,logistic,True,True,OoD Test,multnoise,1.0,0.9803921568627451,0.9901960784313726
