Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
Office31,kNN,val_optimal,True,True,brightness,brightness,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,brightness,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,brightness,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,True,True,brightness,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,dslr,brightness,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,dslr,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,dslr,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,True,True,dslr,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,smear,brightness,0.047619047619047616,0.1578947368421053,0.10275689223057646
Office31,kNN,val_optimal,True,True,smear,dslr,0.047619047619047616,0.1578947368421053,0.10275689223057646
Office31,kNN,val_optimal,True,True,smear,smear,0.9545454545454546,0.101123595505618,0.5278345250255363
Office31,kNN,val_optimal,True,True,smear,webcam,0.047619047619047616,0.1578947368421053,0.10275689223057646
Office31,kNN,val_optimal,True,True,webcam,brightness,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,webcam,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,True,webcam,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,True,True,webcam,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,ind_span,True,True,brightness,brightness,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,brightness,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,brightness,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,True,brightness,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,dslr,brightness,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,dslr,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,dslr,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,True,dslr,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,smear,brightness,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,smear,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,True,smear,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
