Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,CVC-ClinicDB,0.9900990099009901,0.9797979797979798,0.9849484948494849
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,EndoCV2020,0.9895833333333334,0.9326923076923077,0.9611378205128205
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,EtisLaribDB,0.9900990099009901,0.9797979797979798,0.9849484948494849
Polyp,kNN,val_optimal,True,True,EndoCV2020,CVC-ClinicDB,0.9900990099009901,0.9797979797979798,0.9849484948494849
Polyp,kNN,val_optimal,True,True,EndoCV2020,EndoCV2020,0.9895833333333334,0.9326923076923077,0.9611378205128205
Polyp,kNN,val_optimal,True,True,EndoCV2020,EtisLaribDB,0.9900990099009901,0.9797979797979798,0.9849484948494849
Polyp,kNN,val_optimal,True,True,EtisLaribDB,CVC-ClinicDB,0.7821782178217822,1.0,0.8910891089108911
Polyp,kNN,val_optimal,True,True,EtisLaribDB,EndoCV2020,0.9479166666666666,0.9519230769230769,0.9499198717948718
Polyp,kNN,val_optimal,True,True,EtisLaribDB,EtisLaribDB,0.9900990099009901,1.0,0.995049504950495
Polyp,kNN,ind_span,True,True,CVC-ClinicDB,CVC-ClinicDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,ind_span,True,True,CVC-ClinicDB,EndoCV2020,0.9895833333333334,0.33653846153846156,0.6630608974358975
Polyp,kNN,ind_span,True,True,CVC-ClinicDB,EtisLaribDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,ind_span,True,True,EndoCV2020,CVC-ClinicDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,ind_span,True,True,EndoCV2020,EndoCV2020,0.9895833333333334,0.33653846153846156,0.6630608974358975
Polyp,kNN,ind_span,True,True,EndoCV2020,EtisLaribDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,ind_span,True,True,EtisLaribDB,CVC-ClinicDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,ind_span,True,True,EtisLaribDB,EndoCV2020,0.9895833333333334,0.33653846153846156,0.6630608974358975
Polyp,kNN,ind_span,True,True,EtisLaribDB,EtisLaribDB,0.9900990099009901,0.3535353535353535,0.6718171817181717
Polyp,kNN,val_optimal,True,False,CVC-ClinicDB,CVC-ClinicDB,1.0,0.98,0.99
Polyp,kNN,val_optimal,True,False,CVC-ClinicDB,EndoCV2020,0.9895833333333334,0.9326923076923077,0.9611378205128205
Polyp,kNN,val_optimal,True,False,CVC-ClinicDB,EtisLaribDB,0.9900990099009901,0.9797979797979798,0.9849484948494849
