,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,940.0000000000003,635.0,0.9499999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0,0.050000000000000044,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Test,OoD Test
1,Detector Tree,350.5,909.5000000000003,635.0,0.9549999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0,0.04500000000000004,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Test,OoD Test
0,Base Tree,350.5,1451.6403313784465,1126.2105263157894,0.866124535839599,0.9194736842105263,0.0880451127819549,0.0880451127819549,0.09685388471177946,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.014301503759398497,0.05392612180451129,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.1,OoD Test,OoD Test
1,Detector Tree,350.5,1001.0753479949877,742.415037593985,0.8703497047619047,0.9194736842105263,0.0880451127819549,0.0880451127819549,0.09685388471177946,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.014301503759398497,0.050182183959899804,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.1,OoD Test,OoD Test
0,Base Tree,350.5,1982.6051814536343,1771.5263157894738,0.7790811177944862,0.8136842105263159,0.19909774436090225,0.19909774436090225,0.1973659147869674,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.020962406015037596,0.04514669674185466,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.2,OoD Test,OoD Test
1,Detector Tree,350.5,1096.1094724310778,877.8992481203007,0.7825021904761904,0.8136842105263159,0.19909774436090225,0.19909774436090225,0.1973659147869674,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.020962406015037596,0.04282417042606517,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.2,OoD Test,OoD Test
0,Base Tree,350.5,2525.4565435087725,2358.74686716792,0.6900890912280702,0.7174185463659147,0.30253132832080204,0.30253132832080204,0.30012807017543863,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.040802255639097736,0.05164853583959903,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.30000000000000004,OoD Test,OoD Test
1,Detector Tree,350.5,1193.2710903508773,1004.0882205513785,0.6926880666666666,0.7174185463659147,0.30253132832080204,0.30253132832080204,0.30012807017543863,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.040802255639097736,0.05073319849624062,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.30000000000000004,OoD Test,OoD Test
0,Base Tree,350.5,3089.954649924812,2945.967418546366,0.5975484180451127,0.6211528822055138,0.41255639097744357,0.41255639097744357,0.40698796992481207,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.03190426065162907,0.04176046716791982,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.4,OoD Test,OoD Test
1,Detector Tree,350.5,1294.30712556391,1138.3187969924813,0.5992925142857143,0.6211528822055138,0.41255639097744357,0.41255639097744357,0.40698796992481207,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.03190426065162907,0.04124676591478697,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.4,OoD Test,OoD Test
0,Base Tree,350.5,3632.057974636592,3457.0526315789475,0.5086790205513784,0.5373684210526316,0.5029072681704261,0.5029072681704261,0.5096085213032582,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.02238145363408522,0.04751756591478698,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.5,OoD Test,OoD Test
1,Detector Tree,350.5,1391.3348568922306,1248.5468671679198,0.5096021523809524,0.5373684210526316,0.5029072681704261,0.5029072681704261,0.5096085213032582,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.02238145363408522,0.047291035588972435,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.5,OoD Test,OoD Test
0,Base Tree,350.5,4072.645350075188,3937.561403508772,0.4364515819548872,0.45859649122807017,0.5874436090225564,0.5874436090225564,0.593012030075188,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.031904260651629095,0.04422954786967419,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.6000000000000001,OoD Test,OoD Test
1,Detector Tree,350.5,1470.1928744360903,1351.681203007519,0.43670748571428575,0.45859649122807017,0.5874436090225564,0.5874436090225564,0.593012030075188,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.031904260651629095,0.04420008220551379,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.6000000000000001,OoD Test,OoD Test
0,Base Tree,350.5,4637.143456491228,4524.7819548872185,0.3439109087719298,0.36233082706766917,0.697468671679198,0.697468671679198,0.6998719298245614,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.04080225563909776,0.04003415889724311,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.7000000000000001,OoD Test,OoD Test
1,Detector Tree,350.5,1571.228909649123,1485.9117794486217,0.3433119333333333,0.36233082706766917,0.697468671679198,0.697468671679198,0.6998719298245614,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.04080225563909776,0.040216620050125315,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.7000000000000001,OoD Test,OoD Test
0,Base Tree,350.5,5179.994818546365,5112.002506265664,0.2549188822055138,0.26606516290726817,0.8009022556390978,0.8009022556390978,0.8026340852130325,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.02096240601503758,0.03710644310776942,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.8,OoD Test,OoD Test
1,Detector Tree,350.5,1668.3905275689224,1612.1007518796991,0.2534978095238095,0.26606516290726817,0.8009022556390978,0.8009022556390978,0.8026340852130325,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.02096240601503758,0.03737345162907268,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.8,OoD Test,OoD Test
0,Base Tree,350.5,5710.959668621554,5757.318295739348,0.16787546416040097,0.16027568922305765,0.9119548872180451,0.9119548872180451,0.9031461152882205,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0143015037593985,0.026759791979949873,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.9,OoD Test,OoD Test
1,Detector Tree,350.5,1763.4246520050128,1747.5849624060152,0.1656502952380952,0.16027568922305765,0.9119548872180451,0.9119548872180451,0.9031461152882205,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0143015037593985,0.02678461203007519,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.9,OoD Test,OoD Test
0,Base Tree,350.5,6222.600000000001,6248.528822055137,0.08400000000000002,0.07974937343358396,1.0,1.0,1.0,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0,0.02106265664160401,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,1.0,OoD Test,OoD Test
1,Detector Tree,350.5,1855.0,1855.0,0.081,0.07974937343358396,1.0,1.0,1.0,0.9499999999999998,0.08400000000000002,0.08400000000000002,0.0,0.020303258145363406,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,1.0,OoD Test,OoD Test
0,Base Tree,350.5,940.0000000000003,635.0,0.9499999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0,0.050000000000000044,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Val,OoD Test
1,Detector Tree,350.5,909.5000000000003,635.0,0.9549999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0,0.04500000000000004,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Val,OoD Test
0,Base Tree,350.5,1451.6403313784465,1129.2681704260651,0.866124535839599,0.9189724310776943,0.0880451127819549,0.0880451127819549,0.09685388471177946,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.014301503759398497,0.05285120651629076,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.1,OoD Val,OoD Test
1,Detector Tree,350.5,1001.0753479949877,742.415037593985,0.8703497047619047,0.9189724310776943,0.0880451127819549,0.0880451127819549,0.09685388471177946,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.014301503759398497,0.048735749874686776,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.1,OoD Val,OoD Test
0,Base Tree,350.5,1982.6051814536343,1734.2230576441102,0.7790811177944862,0.8197994987468672,0.19909774436090225,0.19909774436090225,0.1973659147869674,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.020962406015037596,0.04788051428571432,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.2,OoD Val,OoD Test
1,Detector Tree,350.5,1096.1094724310778,877.8992481203007,0.7825021904761904,0.8197994987468672,0.19909774436090225,0.19909774436090225,0.1973659147869674,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.020962406015037596,0.04574049523809524,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.2,OoD Val,OoD Test
0,Base Tree,350.5,2525.4565435087725,2287.1979949874685,0.6900890912280702,0.7291478696741854,0.30253132832080204,0.30253132832080204,0.30012807017543863,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.040802255639097736,0.053473383959899784,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.30000000000000004,OoD Val,OoD Test
1,Detector Tree,350.5,1193.2710903508773,1004.0882205513785,0.6926880666666666,0.7291478696741854,0.30253132832080204,0.30253132832080204,0.30012807017543863,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.040802255639097736,0.052369445112781965,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.30000000000000004,OoD Val,OoD Test
0,Base Tree,350.5,3089.954649924812,2829.0125313283206,0.5975484180451127,0.6403258145363409,0.41255639097744357,0.41255639097744357,0.40698796992481207,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.03190426065162907,0.053095405513784485,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.4,OoD Val,OoD Test
1,Detector Tree,350.5,1294.30712556391,1138.3187969924813,0.5992925142857143,0.6403258145363409,0.41255639097744357,0.41255639097744357,0.40698796992481207,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.03190426065162907,0.052163371428571435,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.4,OoD Val,OoD Test
0,Base Tree,350.5,3632.057974636592,3331.9949874686718,0.5086790205513784,0.5578696741854636,0.5029072681704261,0.5029072681704261,0.5096085213032582,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.02238145363408522,0.0641737644110276,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.5,OoD Val,OoD Test
1,Detector Tree,350.5,1391.3348568922306,1248.5468671679198,0.5096021523809524,0.5578696741854636,0.5029072681704261,0.5029072681704261,0.5096085213032582,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.02238145363408522,0.06378447619047621,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.5,OoD Val,OoD Test
0,Base Tree,350.5,4072.645350075188,3760.9824561403507,0.4364515819548872,0.48754385964912283,0.5874436090225564,0.5874436090225564,0.593012030075188,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.031904260651629095,0.06486990275689224,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.6000000000000001,OoD Val,OoD Test
1,Detector Tree,350.5,1470.1928744360903,1351.681203007519,0.43670748571428575,0.48754385964912283,0.5874436090225564,0.5874436090225564,0.593012030075188,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.031904260651629095,0.06481871378446116,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.6000000000000001,OoD Val,OoD Test
0,Base Tree,350.5,4637.143456491228,4302.796992481203,0.3439109087719298,0.3987218045112782,0.697468671679198,0.697468671679198,0.6998719298245614,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.04080225563909776,0.062227711779448636,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.7000000000000001,OoD Val,OoD Test
1,Detector Tree,350.5,1571.228909649123,1485.9117794486217,0.3433119333333333,0.3987218045112782,0.697468671679198,0.697468671679198,0.6998719298245614,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.04080225563909776,0.06273226616541354,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.7000000000000001,OoD Val,OoD Test
0,Base Tree,350.5,5179.994818546365,4855.771929824561,0.2549188822055138,0.3080701754385965,0.8009022556390978,0.8009022556390978,0.8026340852130325,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.02096240601503758,0.06086973834586466,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.8,OoD Val,OoD Test
1,Detector Tree,350.5,1668.3905275689224,1612.1007518796991,0.2534978095238095,0.3080701754385965,0.8009022556390978,0.8009022556390978,0.8026340852130325,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.02096240601503758,0.06206106165413535,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.8,OoD Val,OoD Test
0,Base Tree,350.5,5710.959668621554,5460.726817042607,0.16787546416040097,0.20889724310776944,0.9119548872180451,0.9119548872180451,0.9031461152882205,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0143015037593985,0.04722741102756893,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.9,OoD Val,OoD Test
1,Detector Tree,350.5,1763.4246520050128,1747.5849624060152,0.1656502952380952,0.20889724310776944,0.9119548872180451,0.9119548872180451,0.9031461152882205,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0143015037593985,0.048803554385964926,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.9,OoD Val,OoD Test
0,Base Tree,350.5,6222.600000000001,5954.994987468672,0.08400000000000002,0.12786967418546366,1.0,1.0,1.0,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0,0.044471177944862154,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,1.0,OoD Val,OoD Test
1,Detector Tree,350.5,1855.0,1855.0,0.081,0.12786967418546366,1.0,1.0,1.0,0.9499999999999998,0.08400000000000002,0.11600000000000002,0.0,0.04702005012531328,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,1.0,OoD Val,OoD Test
0,Base Tree,350.5,940.0000000000003,635.0,0.9499999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.11600000000000002,0.08400000000000002,0.0,0.050000000000000044,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Test,OoD Val
1,Detector Tree,350.5,909.5000000000003,635.0,0.9549999999999998,1.0,0.0,0.0,0.0,0.9499999999999998,0.11600000000000002,0.08400000000000002,0.0,0.04500000000000004,kNN,0.6044444444444445,0.8922222222222221,0.7483333333333334,0.0,OoD Test,OoD Val
