,fold,feature_name,feature,loss,acc,idx,class
0,fog_0.025,cross_entropy,2223.55126953125,-0.0,1.0,378.0,40.0
1,fog_0.025,cross_entropy,1409.30126953125,-0.0,1.0,137.0,30.0
2,fog_0.025,cross_entropy,3981.769287109375,8.7614986e-05,1.0,956.0,2.0
3,fog_0.025,cross_entropy,1063.281982421875,-0.0,1.0,17.0,15.0
4,fog_0.025,cross_entropy,1395.817626953125,1.1920928e-07,1.0,1184.0,35.0
5,fog_0.025,cross_entropy,2264.3037109375,3.6100943,0.0,290.0,10.0
6,fog_0.025,cross_entropy,1303.126220703125,-0.0,1.0,646.0,15.0
7,fog_0.025,cross_entropy,2199.95654296875,0.00028713394,1.0,1141.0,14.0
8,fog_0.025,cross_entropy,1965.911865234375,1.1920928e-07,1.0,104.0,25.0
9,fog_0.025,cross_entropy,1569.4339599609375,7.867782e-06,1.0,612.0,53.0
10,fog_0.025,cross_entropy,2393.00927734375,3.576278e-07,1.0,479.0,12.0
11,fog_0.025,cross_entropy,1824.85205078125,3.0994368e-06,1.0,920.0,40.0
12,fog_0.025,cross_entropy,3020.54248046875,3.7192607e-05,1.0,1192.0,55.0
13,fog_0.025,cross_entropy,789.2625122070312,3.3378547e-06,1.0,403.0,3.0
14,fog_0.025,cross_entropy,2499.940185546875,-0.0,1.0,1144.0,28.0
15,fog_0.025,cross_entropy,1437.724853515625,-0.0,1.0,484.0,4.0
16,fog_0.025,cross_entropy,1031.6102294921875,1.3113013e-06,1.0,1046.0,28.0
17,fog_0.025,cross_entropy,2110.92626953125,-0.0,1.0,512.0,0.0
18,fog_0.025,cross_entropy,784.674072265625,8.344647e-07,1.0,733.0,42.0
19,fog_0.025,cross_entropy,3128.243896484375,3.81469e-06,1.0,963.0,8.0
20,fog_0.025,cross_entropy,1655.841796875,-0.0,1.0,1131.0,43.0
21,fog_0.025,cross_entropy,2306.9091796875,-0.0,1.0,1122.0,9.0
22,fog_0.025,cross_entropy,1362.380615234375,1.1920928e-07,1.0,1035.0,35.0
23,fog_0.025,cross_entropy,1676.517333984375,1.1920928e-07,1.0,737.0,54.0
24,fog_0.025,cross_entropy,1824.0233154296875,0.00016008526,1.0,283.0,0.0
25,fog_0.025,cross_entropy,2220.80517578125,1.0728779e-05,1.0,453.0,32.0
26,fog_0.025,cross_entropy,1921.929931640625,1.1920928e-07,1.0,872.0,37.0
27,fog_0.025,cross_entropy,1860.349609375,11.478511,0.0,1028.0,34.0
28,fog_0.025,cross_entropy,2188.192626953125,1.8477269e-05,1.0,1037.0,37.0
29,fog_0.025,cross_entropy,2015.9677734375,2.6583319e-05,1.0,157.0,35.0
30,fog_0.025,cross_entropy,2734.44091796875,1.20400655e-05,1.0,977.0,53.0
31,fog_0.025,cross_entropy,1885.6060791015625,-0.0,1.0,964.0,41.0
32,fog_0.025,cross_entropy,2091.307861328125,9.5367386e-07,1.0,1247.0,16.0
33,fog_0.025,cross_entropy,1433.23486328125,-0.0,1.0,904.0,20.0
34,fog_0.025,cross_entropy,2999.072509765625,4.410734e-06,1.0,198.0,31.0
35,fog_0.025,cross_entropy,1387.7923583984375,8.344647e-07,1.0,1233.0,19.0
36,fog_0.025,cross_entropy,2864.0947265625,1.1920928e-07,1.0,367.0,36.0
37,fog_0.025,cross_entropy,1936.18798828125,-0.0,1.0,86.0,55.0
38,fog_0.025,cross_entropy,1446.19287109375,2.3841855e-07,1.0,664.0,14.0
39,fog_0.025,cross_entropy,1460.867431640625,1.9788546e-05,1.0,929.0,9.0
40,fog_0.025,cross_entropy,1872.6373291015625,9.417489e-06,1.0,891.0,20.0
41,fog_0.025,cross_entropy,2492.634765625,1.490105e-05,1.0,958.0,0.0
42,fog_0.025,cross_entropy,2061.3779296875,-0.0,1.0,251.0,56.0
43,fog_0.025,cross_entropy,1389.5985107421875,0.00025805482,1.0,710.0,30.0
44,fog_0.025,cross_entropy,2573.82080078125,-0.0,1.0,839.0,0.0
45,fog_0.025,cross_entropy,2278.31103515625,2.5748875e-05,1.0,847.0,48.0
46,fog_0.025,cross_entropy,2009.856201171875,1.1920928e-07,1.0,607.0,26.0
47,fog_0.025,cross_entropy,973.7437744140625,2.3841855e-07,1.0,628.0,26.0
48,fog_0.025,cross_entropy,1910.67333984375,3.2066786e-05,1.0,203.0,3.0
49,fog_0.025,cross_entropy,1480.5484619140625,4.7683704e-07,1.0,229.0,26.0
50,fog_0.025,cross_entropy,1864.5357666015625,1.9311718e-05,1.0,729.0,8.0
51,fog_0.025,cross_entropy,1488.102294921875,1.239769e-05,1.0,124.0,16.0
52,fog_0.025,cross_entropy,1437.6611328125,-0.0,1.0,95.0,14.0
53,fog_0.025,cross_entropy,1762.84033203125,5.960463e-07,1.0,217.0,17.0
54,fog_0.025,cross_entropy,1510.1474609375,6.327664,0.0,822.0,27.0
55,fog_0.025,cross_entropy,1849.9727783203125,1.1920928e-07,1.0,388.0,50.0
56,fog_0.025,cross_entropy,1665.849365234375,7.152555e-07,1.0,633.0,39.0
57,fog_0.025,cross_entropy,2575.776611328125,2.264974e-06,1.0,838.0,40.0
58,fog_0.025,cross_entropy,1298.0380859375,1.1920928e-07,1.0,332.0,48.0
59,fog_0.025,cross_entropy,725.4364624023438,2.8610189e-06,1.0,216.0,42.0
60,fog_0.025,cross_entropy,1296.974609375,1.1920922e-06,1.0,811.0,30.0
61,fog_0.025,cross_entropy,1524.139892578125,3.81469e-06,1.0,23.0,13.0
62,fog_0.025,cross_entropy,1758.2344970703125,8.344647e-07,1.0,707.0,33.0
63,fog_0.025,cross_entropy,1460.29931640625,3.0994368e-06,1.0,598.0,16.0
64,fog_0.025,cross_entropy,2349.953369140625,-0.0,1.0,267.0,37.0
65,fog_0.025,cross_entropy,1947.81103515625,-0.0,1.0,550.0,26.0
66,fog_0.025,cross_entropy,1606.604736328125,1.1920928e-07,1.0,233.0,47.0
67,fog_0.025,cross_entropy,1685.048583984375,4.7683704e-07,1.0,1087.0,41.0
68,fog_0.025,cross_entropy,2361.09326171875,4.7683704e-07,1.0,642.0,16.0
69,fog_0.025,cross_entropy,1334.262939453125,2.384183e-06,1.0,330.0,55.0
70,fog_0.025,cross_entropy,1870.170166015625,5.9604467e-06,1.0,239.0,39.0
71,fog_0.025,cross_entropy,1817.864990234375,4.7683704e-07,1.0,101.0,4.0
72,fog_0.025,cross_entropy,1895.165771484375,-0.0,1.0,185.0,41.0
73,fog_0.025,cross_entropy,1355.669921875,-0.0,1.0,756.0,19.0
74,fog_0.025,cross_entropy,1743.543212890625,-0.0,1.0,740.0,22.0
75,fog_0.025,cross_entropy,1746.05322265625,15.045727,0.0,1123.0,15.0
76,fog_0.025,cross_entropy,1658.0740966796875,0.00013898837,1.0,802.0,1.0
77,fog_0.025,cross_entropy,1779.9014892578125,-0.0,1.0,874.0,28.0
78,fog_0.025,cross_entropy,1723.695556640625,-0.0,1.0,631.0,42.0
79,fog_0.025,cross_entropy,1779.090087890625,-0.0,1.0,1205.0,48.0
80,fog_0.025,cross_entropy,2259.16796875,-0.0,1.0,412.0,25.0
81,fog_0.025,cross_entropy,1692.841552734375,-0.0,1.0,200.0,16.0
82,fog_0.025,cross_entropy,2517.8876953125,-0.0,1.0,135.0,24.0
83,fog_0.025,cross_entropy,1127.858154296875,3.81469e-06,1.0,219.0,39.0
84,fog_0.025,cross_entropy,1627.589111328125,7.152555e-07,1.0,1198.0,20.0
85,fog_0.025,cross_entropy,2137.604736328125,-0.0,1.0,3.0,45.0
86,fog_0.025,cross_entropy,1863.6273193359375,-0.0,1.0,144.0,24.0
87,fog_0.025,cross_entropy,1299.7978515625,3.2543605e-05,1.0,1069.0,0.0
88,fog_0.025,cross_entropy,1491.4501953125,1.0132739e-05,1.0,1223.0,57.0
89,fog_0.025,cross_entropy,2379.912109375,5.7220295e-06,1.0,1175.0,40.0
90,fog_0.025,cross_entropy,2028.6575927734375,4.7683704e-07,1.0,150.0,25.0
91,fog_0.025,cross_entropy,1595.045166015625,-0.0,1.0,1124.0,3.0
92,fog_0.025,cross_entropy,835.6129150390625,1.4230071,0.0,20.0,3.0
93,fog_0.025,cross_entropy,1591.4129638671875,-0.0,1.0,1174.0,23.0
94,fog_0.025,cross_entropy,1117.5638427734375,7.6293654e-06,1.0,334.0,13.0
95,fog_0.025,cross_entropy,1663.3994140625,0.00058633776,1.0,181.0,57.0
96,fog_0.025,cross_entropy,3424.619873046875,-0.0,1.0,942.0,22.0
97,fog_0.025,cross_entropy,2760.310791015625,-0.0,1.0,504.0,9.0
98,fog_0.025,cross_entropy,2255.89990234375,5.960463e-07,1.0,411.0,12.0
99,fog_0.025,cross_entropy,1036.794677734375,1.5497195e-06,1.0,1226.0,42.0
100,fog_0.025,cross_entropy,1531.05322265625,-0.0,1.0,22.0,37.0
101,fog_0.025,cross_entropy,2586.13623046875,5.960463e-07,1.0,265.0,39.0
102,fog_0.025,cross_entropy,1696.1900634765625,-0.0,1.0,1074.0,16.0
103,fog_0.025,cross_entropy,1597.487060546875,1.20400655e-05,1.0,97.0,47.0
104,fog_0.025,cross_entropy,1758.8939208984375,1.1920928e-07,1.0,931.0,28.0
105,fog_0.025,cross_entropy,1384.3543701171875,4.7683704e-07,1.0,74.0,3.0
106,fog_0.025,cross_entropy,2143.71533203125,3.576278e-07,1.0,975.0,41.0
107,fog_0.025,cross_entropy,1392.972900390625,4.7683704e-07,1.0,1134.0,0.0
108,fog_0.025,cross_entropy,1927.537353515625,5.1505327,0.0,481.0,11.0
109,fog_0.025,cross_entropy,1914.05322265625,5.8530048e-05,1.0,85.0,26.0
110,fog_0.025,cross_entropy,1928.40771484375,7.033101e-05,1.0,1048.0,10.0
111,fog_0.025,cross_entropy,2153.178466796875,1.8552513,0.0,757.0,44.0
112,fog_0.025,cross_entropy,1785.1748046875,1.1920928e-07,1.0,84.0,0.0
113,fog_0.025,cross_entropy,1979.57421875,-0.0,1.0,349.0,3.0
114,fog_0.025,cross_entropy,1705.1815185546875,-0.0,1.0,1031.0,4.0
115,fog_0.025,cross_entropy,1858.948486328125,2.9802277e-06,1.0,214.0,16.0
116,fog_0.025,cross_entropy,1899.7357177734375,-0.0,1.0,916.0,27.0
117,fog_0.025,cross_entropy,1636.89306640625,-0.0,1.0,935.0,36.0
118,fog_0.025,cross_entropy,2069.7470703125,1.9584943,0.0,295.0,5.0
119,fog_0.025,cross_entropy,2559.1826171875,-0.0,1.0,468.0,24.0
120,fog_0.025,cross_entropy,2158.521240234375,1.1920922e-06,1.0,742.0,41.0
121,fog_0.025,cross_entropy,600.2001342773438,1.1920928e-07,1.0,709.0,41.0
122,fog_0.025,cross_entropy,1662.729248046875,-0.0,1.0,100.0,53.0
123,fog_0.025,cross_entropy,1324.35693359375,2.264974e-06,1.0,79.0,14.0
124,fog_0.025,cross_entropy,1755.169921875,4.1723165e-06,1.0,685.0,45.0
125,fog_0.025,cross_entropy,1638.461181640625,2.3841855e-07,1.0,521.0,54.0
126,fog_0.025,cross_entropy,1435.51953125,4.7683704e-07,1.0,978.0,57.0
127,fog_0.025,cross_entropy,3120.6826171875,7.152555e-07,1.0,1011.0,55.0
128,fog_0.025,cross_entropy,2256.0693359375,-0.0,1.0,444.0,19.0
129,fog_0.025,cross_entropy,2744.4794921875,-0.0,1.0,783.0,34.0
130,fog_0.025,cross_entropy,1490.81005859375,-0.0,1.0,81.0,51.0
131,fog_0.025,cross_entropy,2181.509765625,-0.0,1.0,863.0,51.0
132,fog_0.025,cross_entropy,2283.8125,3.9576702e-05,1.0,603.0,14.0
133,fog_0.025,cross_entropy,1556.8875732421875,3.576278e-07,1.0,581.0,54.0
134,fog_0.025,cross_entropy,1264.274169921875,-0.0,1.0,752.0,16.0
135,fog_0.025,cross_entropy,1160.18896484375,1.1920928e-07,1.0,951.0,33.0
136,fog_0.025,cross_entropy,2597.40283203125,-0.0,1.0,749.0,39.0
137,fog_0.025,cross_entropy,2142.02099609375,2.7418098e-06,1.0,309.0,0.0
138,fog_0.025,cross_entropy,2031.4149169921875,0.011418233,1.0,1237.0,39.0
139,fog_0.025,cross_entropy,1384.762451171875,-0.0,1.0,794.0,37.0
140,fog_0.025,cross_entropy,2989.875,8.344647e-07,1.0,199.0,40.0
141,fog_0.025,cross_entropy,1509.373779296875,4.7683704e-07,1.0,1199.0,28.0
142,fog_0.025,cross_entropy,3454.24560546875,7.576683,0.0,527.0,13.0
143,fog_0.025,cross_entropy,1956.74560546875,5.960463e-07,1.0,716.0,33.0
144,fog_0.025,cross_entropy,1914.51708984375,6.5564896e-06,1.0,1057.0,41.0
145,fog_0.025,cross_entropy,2026.76318359375,1.9073468e-06,1.0,1213.0,13.0
146,fog_0.025,cross_entropy,1231.486083984375,1.1920928e-07,1.0,745.0,36.0
147,fog_0.025,cross_entropy,1063.6209716796875,-0.0,1.0,805.0,37.0
148,fog_0.025,cross_entropy,1245.19970703125,-0.0,1.0,319.0,9.0
149,fog_0.025,cross_entropy,1533.0572509765625,-0.0,1.0,790.0,37.0
150,fog_0.025,cross_entropy,1816.8331298828125,-0.0,1.0,399.0,28.0
151,fog_0.025,cross_entropy,1587.140625,-0.0,1.0,211.0,37.0
152,fog_0.025,cross_entropy,1649.82373046875,-0.0,1.0,953.0,0.0
153,fog_0.025,cross_entropy,1923.996337890625,6.079655e-06,1.0,345.0,11.0
154,fog_0.025,cross_entropy,1782.67626953125,6.7949063e-06,1.0,1132.0,26.0
155,fog_0.025,cross_entropy,1638.6597900390625,7.152555e-07,1.0,368.0,54.0
156,fog_0.025,cross_entropy,937.248291015625,8.225103e-05,1.0,489.0,35.0
157,fog_0.025,cross_entropy,2093.261474609375,1.072883e-06,1.0,356.0,12.0
158,fog_0.025,cross_entropy,1617.78759765625,-0.0,1.0,798.0,38.0
159,fog_0.025,cross_entropy,1854.2796630859375,-0.0,1.0,858.0,34.0
160,fog_0.025,cross_entropy,2064.892578125,-0.0,1.0,413.0,41.0
161,fog_0.025,cross_entropy,2901.4658203125,8.785339e-05,1.0,714.0,10.0
162,fog_0.025,cross_entropy,2371.6650390625,-0.0,1.0,392.0,43.0
163,fog_0.025,cross_entropy,1552.824462890625,5.537488,0.0,436.0,28.0
164,fog_0.025,cross_entropy,1225.5401611328125,-0.0,1.0,235.0,48.0
165,fog_0.025,cross_entropy,2228.607421875,-0.0,1.0,160.0,9.0
166,fog_0.025,cross_entropy,3099.39453125,4.5299425e-06,1.0,834.0,48.0
167,fog_0.025,cross_entropy,1953.853515625,14.143982,0.0,1017.0,28.0
168,fog_0.025,cross_entropy,1783.67822265625,3.576278e-07,1.0,676.0,24.0
169,fog_0.025,cross_entropy,1587.741943359375,1.7046783e-05,1.0,803.0,39.0
170,fog_0.025,cross_entropy,1842.713134765625,2.6940936e-05,1.0,1219.0,30.0
171,fog_0.025,cross_entropy,2177.28759765625,7.152555e-07,1.0,298.0,17.0
172,fog_0.025,cross_entropy,1984.611083984375,1.4305105e-06,1.0,663.0,26.0
173,fog_0.025,cross_entropy,2150.830810546875,1.1920928e-07,1.0,105.0,15.0
174,fog_0.025,cross_entropy,1634.7991943359375,-0.0,1.0,965.0,38.0
175,fog_0.025,cross_entropy,1898.5625,4.5299425e-06,1.0,138.0,32.0
176,fog_0.025,cross_entropy,1390.553466796875,-0.0,1.0,1085.0,57.0
177,fog_0.025,cross_entropy,3914.0869140625,0.0070460173,1.0,499.0,54.0
178,fog_0.025,cross_entropy,1557.5113525390625,1.1920928e-07,1.0,1068.0,4.0
179,fog_0.025,cross_entropy,1823.890380859375,-0.0,1.0,247.0,49.0
180,fog_0.025,cross_entropy,1792.3818359375,5.0067774e-06,1.0,899.0,27.0
181,fog_0.025,cross_entropy,2963.371826171875,7.152555e-07,1.0,396.0,26.0
182,fog_0.025,cross_entropy,1750.412353515625,-0.0,1.0,679.0,29.0
183,fog_0.025,cross_entropy,1773.50341796875,5.960463e-07,1.0,434.0,53.0
184,fog_0.025,cross_entropy,2122.01513671875,-0.0,1.0,1112.0,8.0
185,fog_0.025,cross_entropy,1679.185791015625,2.3841855e-07,1.0,747.0,26.0
186,fog_0.025,cross_entropy,1742.90869140625,-0.0,1.0,717.0,29.0
187,fog_0.025,cross_entropy,1649.4527587890625,2.2411095e-05,1.0,118.0,0.0
188,fog_0.025,cross_entropy,2321.586669921875,2.384183e-06,1.0,56.0,53.0
189,fog_0.025,cross_entropy,1279.0457763671875,-0.0,1.0,599.0,44.0
190,fog_0.025,cross_entropy,1508.016845703125,2.384183e-06,1.0,955.0,3.0
191,fog_0.025,cross_entropy,2663.27587890625,8.785339e-05,1.0,582.0,58.0
192,fog_0.025,cross_entropy,2072.237548828125,0.00021217002,1.0,617.0,16.0
193,fog_0.025,cross_entropy,1750.495361328125,0.00014745102,1.0,587.0,55.0
194,fog_0.025,cross_entropy,1251.8038330078125,11.582953,0.0,708.0,0.0
195,fog_0.025,cross_entropy,1409.004638671875,7.152555e-07,1.0,719.0,20.0
196,fog_0.025,cross_entropy,2282.552978515625,-0.0,1.0,68.0,14.0
197,fog_0.025,cross_entropy,1057.42919921875,1.633154e-05,1.0,1218.0,5.0
198,fog_0.025,cross_entropy,2400.984375,3.576278e-07,1.0,91.0,1.0
199,fog_0.025,cross_entropy,1651.4208984375,-0.0,1.0,282.0,45.0
200,fog_0.025,cross_entropy,1564.175537109375,1.1086402e-05,1.0,1133.0,0.0
201,fog_0.025,cross_entropy,1127.9849853515625,2.3841855e-07,1.0,72.0,16.0
202,fog_0.025,cross_entropy,1928.34130859375,-0.0,1.0,33.0,30.0
203,fog_0.025,cross_entropy,1755.46240234375,5.763447,0.0,724.0,28.0
204,fog_0.025,cross_entropy,2497.0322265625,1.3589766e-05,1.0,556.0,53.0
205,fog_0.025,cross_entropy,1662.2440185546875,1.1920928e-07,1.0,760.0,26.0
206,fog_0.025,cross_entropy,1362.3583984375,-0.0,1.0,1044.0,36.0
207,fog_0.025,cross_entropy,1621.000244140625,6.079655e-06,1.0,592.0,34.0
208,fog_0.025,cross_entropy,2447.780029296875,-0.0,1.0,39.0,8.0
209,fog_0.025,cross_entropy,5053.27734375,-0.0,1.0,626.0,9.0
210,fog_0.025,cross_entropy,2373.70361328125,7.152555e-07,1.0,1082.0,28.0
211,fog_0.025,cross_entropy,2070.61865234375,8.8330184e-05,1.0,523.0,44.0
212,fog_0.025,cross_entropy,1838.82421875,2.3841855e-07,1.0,835.0,42.0
213,fog_0.025,cross_entropy,2147.9052734375,-0.0,1.0,234.0,53.0
214,fog_0.025,cross_entropy,1698.8331298828125,4.1603176e-05,1.0,806.0,31.0
215,fog_0.025,cross_entropy,1712.0164794921875,4.887569e-06,1.0,24.0,44.0
216,fog_0.025,cross_entropy,2160.057373046875,-0.0,1.0,366.0,32.0
217,fog_0.025,cross_entropy,1364.3367919921875,2.3841855e-07,1.0,751.0,41.0
218,fog_0.025,cross_entropy,2378.38818359375,-0.0,1.0,1089.0,53.0
219,fog_0.025,cross_entropy,1564.66552734375,-0.0,1.0,826.0,11.0
220,fog_0.025,cross_entropy,1529.752685546875,2.622601e-06,1.0,1130.0,40.0
221,fog_0.025,cross_entropy,1057.593994140625,-0.0,1.0,1196.0,12.0
222,fog_0.025,cross_entropy,1617.805908203125,0.00026377538,1.0,1036.0,34.0
223,fog_0.025,cross_entropy,2135.486572265625,-0.0,1.0,627.0,37.0
224,fog_0.025,cross_entropy,1846.634033203125,4.76836e-06,1.0,748.0,40.0
225,fog_0.025,cross_entropy,852.954833984375,-0.0,1.0,115.0,48.0
226,fog_0.025,cross_entropy,1362.8951416015625,7.152555e-07,1.0,1083.0,55.0
227,fog_0.025,cross_entropy,2166.89111328125,9.715085e-05,1.0,109.0,1.0
228,fog_0.025,cross_entropy,934.303466796875,-0.0,1.0,390.0,24.0
229,fog_0.025,cross_entropy,2360.72119140625,-0.0,1.0,430.0,8.0
230,fog_0.025,cross_entropy,2178.39111328125,8.4158215e-05,1.0,432.0,37.0
231,fog_0.025,cross_entropy,2295.917236328125,4.9441223,0.0,786.0,53.0
232,fog_0.025,cross_entropy,1619.76171875,2.503392e-06,1.0,1072.0,8.0
233,fog_0.025,cross_entropy,2009.4925537109375,2.264974e-06,1.0,875.0,56.0
234,fog_0.025,cross_entropy,2408.212890625,-0.0,1.0,140.0,41.0
235,fog_0.025,cross_entropy,1396.2216796875,1.6689287e-06,1.0,47.0,33.0
236,fog_0.025,cross_entropy,2221.45703125,-0.0,1.0,355.0,22.0
237,fog_0.025,cross_entropy,1712.9208984375,5.0067774e-06,1.0,1146.0,52.0
238,fog_0.025,cross_entropy,1961.484619140625,-0.0,1.0,1103.0,44.0
239,fog_0.025,cross_entropy,1785.3447265625,1.4305105e-06,1.0,156.0,8.0
240,fog_0.025,cross_entropy,2242.17333984375,1.180165e-05,1.0,837.0,40.0
241,fog_0.025,cross_entropy,1517.302734375,-0.0,1.0,423.0,22.0
242,fog_0.025,cross_entropy,1255.076904296875,-0.0,1.0,139.0,32.0
243,fog_0.025,cross_entropy,1902.5604248046875,5.799095,0.0,1098.0,16.0
244,fog_0.025,cross_entropy,969.7161254882812,4.7683704e-07,1.0,609.0,1.0
245,fog_0.025,cross_entropy,1234.178955078125,4.2915253e-06,1.0,271.0,56.0
246,fog_0.025,cross_entropy,2702.33056640625,5.960463e-07,1.0,985.0,20.0
247,fog_0.025,cross_entropy,1863.374755859375,-0.0,1.0,276.0,40.0
248,fog_0.025,cross_entropy,1486.44921875,-0.0,1.0,325.0,54.0
249,fog_0.025,cross_entropy,1347.065673828125,1.1920928e-07,1.0,973.0,4.0
250,fog_0.025,cross_entropy,2256.395751953125,3.5046916e-05,1.0,851.0,37.0
251,fog_0.025,cross_entropy,1879.145751953125,2.384183e-06,1.0,313.0,9.0
252,fog_0.025,cross_entropy,2217.71337890625,9.5367386e-07,1.0,788.0,13.0
253,fog_0.025,cross_entropy,2444.6884765625,-0.0,1.0,1177.0,28.0
254,fog_0.025,cross_entropy,1345.732421875,0.3584133,1.0,344.0,45.0
255,fog_0.025,cross_entropy,2010.389892578125,10.973431,0.0,269.0,53.0
256,fog_0.025,cross_entropy,1592.81005859375,1.8119648e-05,1.0,950.0,31.0
257,fog_0.025,cross_entropy,1483.69091796875,4.7683704e-07,1.0,886.0,8.0
258,fog_0.025,cross_entropy,1969.337890625,11.092769,0.0,563.0,16.0
259,fog_0.025,cross_entropy,1928.142822265625,2.3841855e-07,1.0,1241.0,45.0
260,fog_0.025,cross_entropy,1320.46044921875,4.76836e-06,1.0,655.0,14.0
261,fog_0.025,cross_entropy,2308.615478515625,4.7683704e-07,1.0,637.0,26.0
262,fog_0.025,cross_entropy,2490.42919921875,-0.0,1.0,981.0,34.0
263,fog_0.025,cross_entropy,1604.8212890625,1.883489e-05,1.0,1104.0,14.0
264,fog_0.025,cross_entropy,2945.004150390625,-0.0,1.0,291.0,44.0
265,fog_0.025,cross_entropy,1839.62060546875,7.986991e-06,1.0,398.0,42.0
266,fog_0.025,cross_entropy,1623.2501220703125,1.1920928e-07,1.0,120.0,27.0
267,fog_0.025,cross_entropy,1357.398681640625,3.576278e-07,1.0,799.0,16.0
268,fog_0.025,cross_entropy,1689.235595703125,4.410734e-06,1.0,30.0,55.0
269,fog_0.025,cross_entropy,2237.213623046875,-0.0,1.0,668.0,22.0
270,fog_0.025,cross_entropy,1559.58837890625,-0.0,1.0,440.0,36.0
271,fog_0.025,cross_entropy,2240.2939453125,3.4689303e-05,1.0,632.0,10.0
272,fog_0.025,cross_entropy,2947.3330078125,2.503392e-06,1.0,630.0,53.0
273,fog_0.025,cross_entropy,1652.4715576171875,-0.0,1.0,191.0,21.0
274,fog_0.025,cross_entropy,2323.2080078125,-0.0,1.0,579.0,41.0
275,fog_0.025,cross_entropy,2136.701416015625,1.1920928e-07,1.0,1140.0,57.0
276,fog_0.025,cross_entropy,1959.1865234375,5.805324e-05,1.0,285.0,34.0
277,fog_0.025,cross_entropy,1957.99609375,-0.0,1.0,360.0,12.0
